symbol,beg_date,end_date
CSX,2022-02-02,2022-02-22
VRSK,2022-02-02,2022-02-22
CDNS,2022-02-02,2022-02-22
MAR,2022-02-02,2022-02-22
DXCM,2022-02-02,2022-02-22
AMD,2022-02-02,2022-02-22
ISRG,2022-02-02,2022-02-22
FAST,2022-02-02,2022-02-22
ZS,2022-02-02,2022-02-22
TEAM,2022-02-02,2022-02-22
REGN,2022-02-02,2022-02-22
EXC,2022-02-02,2022-02-22
AMGN,2022-02-02,2022-02-22
DDOG,2022-02-02,2022-02-22
GEHC,2022-02-02,2022-02-22
SGEN,2022-02-02,2022-02-22
CRWD,2022-02-02,2022-02-22
ADP,2022-02-02,2022-02-22
CSCO,2022-02-02,2022-02-22
ADI,2022-02-02,2022-02-22
ILMN,2022-02-02,2022-02-22
MRNA,2022-02-02,2022-02-22
BIDU,2022-02-02,2022-02-22
ATVI,2022-02-02,2022-02-22
ROST,2022-02-02,2022-02-22
META,2022-02-02,2022-02-22
BIIB,2022-02-02,2022-02-22
IDXX,2022-02-02,2022-02-22
DOCU,2022-02-02,2022-02-22
MELI,2022-02-02,2022-02-22
INTC,2022-02-02,2022-02-22
MRVL,2022-02-02,2022-02-22
NFLX,2022-02-02,2022-02-22
JD,2022-02-02,2022-02-22
GOOGL,2022-02-02,2022-02-22
HON,2022-02-02,2022-02-22
VRTX,2022-02-02,2022-02-22
ZM,2022-02-02,2022-02-22
MDLZ,2022-02-02,2022-02-22
