Date,RFMD
2011-11-02,7.02
2011-11-01,6.96
2011-10-31,7.34
2011-10-28,7.55
2011-10-27,7.68
2011-10-26,7.6
2011-10-25,7.2
2011-10-24,7.49
2011-10-21,7.19
2011-10-20,7.04
2011-10-19,6.95
2011-10-18,7.29
2011-10-17,7.07
2011-10-14,7.28
2011-10-13,7.21
2011-10-12,6.88
2011-10-11,6.71
2011-10-10,6.86
2011-10-07,6.52
2011-10-06,6.64
2011-10-05,6.5
2011-10-04,6.37
2011-10-03,6.05
2011-09-30,6.34
2011-09-29,6.62
2011-09-28,6.63
2011-09-27,6.9
2011-09-26,6.84
2011-09-23,6.87
2011-09-22,6.83
2011-09-21,7.15
2011-09-20,7.0
2011-09-19,7.01
2011-09-16,7.01
2011-09-15,6.87
2011-09-14,6.58
2011-09-13,6.27
2011-09-12,5.98
2011-09-09,5.88
2011-09-08,6.06
2011-09-07,6.03
2011-09-06,5.83
2011-09-02,5.84
2011-09-01,5.95
2011-08-31,6.22
2011-08-30,6.3
2011-08-29,6.08
2011-08-26,5.54
2011-08-25,5.39
2011-08-24,5.57
2011-08-23,5.5
2011-08-22,5.04
2011-08-19,5.01
2011-08-18,5.24
2011-08-17,5.64
2011-08-16,5.65
2011-08-15,5.93
2011-08-12,5.68
2011-08-11,5.89
2011-08-10,5.68
2011-08-09,5.77
2011-08-08,5.49
2011-08-05,5.97
2011-08-04,6.17
2011-08-03,6.74
2011-08-02,6.5
2011-08-01,6.74
2011-07-29,6.75
2011-07-28,6.63
2011-07-27,6.53
2011-07-26,6.45
2011-07-25,6.34
2011-07-22,6.49
2011-07-21,6.17
2011-07-20,6.15
2011-07-19,5.99
2011-07-18,5.82
2011-07-15,6.02
2011-07-14,6.01
2011-07-13,6.16
2011-07-12,6.13
2011-07-11,6.45
2011-07-08,6.6
2011-07-07,6.61
2011-07-06,6.27
2011-07-05,6.36
2011-07-01,6.37
2011-06-30,6.13
2011-06-29,5.9
2011-06-28,5.85
2011-06-27,5.84
2011-06-24,5.91
2011-06-23,5.97
2011-06-22,5.85
2011-06-21,5.65
2011-06-20,5.38
2011-06-17,5.2
2011-06-16,5.37
2011-06-15,5.45
2011-06-14,5.69
2011-06-13,5.46
2011-06-10,5.7
2011-06-09,5.86
2011-06-08,5.89
2011-06-07,5.9
2011-06-06,5.8
2011-06-03,5.86
2011-06-02,6.05
2011-06-01,6.04
2011-05-31,6.3
2011-05-27,6.15
2011-05-26,6.07
2011-05-25,6.08
2011-05-24,5.76
2011-05-23,5.84
2011-05-20,5.93
2011-05-19,6.08
2011-05-18,6.08
2011-05-17,5.87
2011-05-16,5.94
2011-05-13,6.25
2011-05-12,6.08
2011-05-11,5.99
2011-05-10,6.1
2011-05-09,6.11
2011-05-06,6.13
2011-05-05,6.04
2011-05-04,6.09
2011-05-03,6.31
2011-05-02,6.43
2011-04-29,6.66
2011-04-28,6.53
2011-04-27,6.59
2011-04-26,6.32
2011-04-25,6.17
2011-04-21,6.09
2011-04-20,6.12
2011-04-19,5.85
2011-04-18,5.81
2011-04-15,5.88
2011-04-14,5.94
2011-04-13,5.89
2011-04-12,5.93
2011-04-11,6.1
2011-04-08,6.21
2011-04-07,6.26
2011-04-06,6.35
2011-04-05,6.34
2011-04-04,6.36
2011-04-01,6.39
2011-03-31,6.41
2011-03-30,6.59
2011-03-29,6.58
2011-03-28,6.35
2011-03-25,6.29
2011-03-24,6.29
2011-03-23,6.19
2011-03-22,6.13
2011-03-21,6.17
2011-03-18,6.04
2011-03-17,6.11
2011-03-16,6.15
2011-03-15,6.32
2011-03-14,6.22
2011-03-11,6.25
2011-03-10,6.3
2011-03-09,6.29
2011-03-08,6.74
2011-03-07,6.9
2011-03-04,7.09
2011-03-03,7.2
2011-03-02,7.08
2011-03-01,7.16
2011-02-28,7.5
2011-02-25,7.69
2011-02-24,7.55
2011-02-23,7.46
2011-02-22,7.76
2011-02-18,7.99
2011-02-16,8.23
2011-02-15,8.04
2011-02-14,8.12
2011-02-11,8.1
2011-02-10,7.97
2011-02-09,7.87
2011-02-08,7.55
2011-02-07,7.56
2011-02-04,7.1
2011-02-03,6.92
2011-02-02,6.96
2011-02-01,7.01
2011-01-31,6.72
2011-01-28,6.79
2011-01-27,6.91
2011-01-26,6.91
2011-01-25,7.66
2011-01-24,7.9
2011-01-21,7.7
2011-01-20,7.88
2011-01-19,8.19
2011-01-18,8.25
2011-01-14,8.28
2011-01-13,8.25
2011-01-12,8.3
2011-01-11,8.11
2011-01-10,7.96
2011-01-07,7.86
2011-01-06,7.76
2011-01-05,7.78
2011-01-04,7.87
2011-01-03,7.71
2010-12-31,7.35
2010-12-30,7.46
2010-12-29,7.43
2010-12-28,7.51
2010-12-27,7.65
2010-12-23,7.65
2010-12-22,7.81
2010-12-21,7.91
2010-12-20,7.84
2010-12-17,7.81
2010-12-16,7.84
2010-12-15,7.72
2010-12-14,7.85
2010-12-13,7.84
2010-12-10,7.86
2010-12-09,7.81
2010-12-08,7.7
2010-12-07,7.85
2010-12-06,7.36
2010-12-03,7.35
2010-12-02,7.28
2010-12-01,7.16
2010-11-30,7.01
2010-11-29,7.21
2010-11-26,7.31
2010-11-24,7.45
2010-11-23,7.19
2010-11-22,7.26
2010-11-19,7.29
2010-11-18,7.17
2010-11-17,6.8
2010-11-16,6.76
2010-11-15,7.1
2010-11-12,7.16
2010-11-11,7.33
2010-11-10,7.29
2010-11-09,7.22
2010-11-08,7.41
2010-11-05,7.43
2010-11-04,7.58
2010-11-03,7.41
2010-11-02,7.42
2010-11-01,7.22
2010-10-29,7.29
2010-10-28,7.4
2010-10-27,7.34
2010-10-26,6.37
2010-10-25,6.61
2010-10-22,6.57
2010-10-21,6.32
2010-10-20,6.54
2010-10-19,6.38
2010-10-18,6.65
2010-10-15,6.58
2010-10-14,6.58
2010-10-13,6.89
