TAP,Date
43.291263580322266,2020-11-25
43.57056427001953,2020-11-27
42.825767517089844,2020-11-30
43.05851364135742,2020-12-01
42.16476058959961,2020-12-02
43.44953155517578,2020-12-03
44.25950241088867,2020-12-04
44.371219635009766,2020-12-07
44.62258529663086,2020-12-08
44.762237548828125,2020-12-09
44.88326644897461,2020-12-10
44.03606414794922,2020-12-11
42.75128173828125,2020-12-14
42.85369873046875,2020-12-15
43.07713317871094,2020-12-16
42.7978401184082,2020-12-17
42.36957931518555,2020-12-18
41.50375747680664,2020-12-21
41.354793548583984,2020-12-22
42.25785827636719,2020-12-23
42.332340240478516,2020-12-24
42.341651916503906,2020-12-28
42.39751052856445,2020-12-29
42.118221282958984,2020-12-30
42.071659088134766,2020-12-31
42.49991226196289,2021-01-04
43.75676345825195,2021-01-05
45.85150146484375,2021-01-06
45.758399963378906,2021-01-07
46.08424377441406,2021-01-08
46.251827239990234,2021-01-11
48.27208709716797,2021-01-12
48.68172836303711,2021-01-13
49.808231353759766,2021-01-14
48.91447067260742,2021-01-15
48.439666748046875,2021-01-19
47.61107635498047,2021-01-20
47.15489959716797,2021-01-21
47.033870697021484,2021-01-22
48.08589172363281,2021-01-25
49.64996337890625,2021-01-26
51.19541549682617,2021-01-27
48.39311599731445,2021-01-28
46.69870376586914,2021-01-29
46.09355926513672,2021-02-01
45.516334533691406,2021-02-02
45.963218688964844,2021-02-03
45.67461395263672,2021-02-04
45.60013198852539,2021-02-05
45.35807800292969,2021-02-08
45.30221176147461,2021-02-09
45.60013198852539,2021-02-10
41.42927932739258,2021-02-11
40.97308349609375,2021-02-12
41.42927932739258,2021-02-16
42.24855422973633,2021-02-17
41.466514587402344,2021-02-18
41.33617401123047,2021-02-19
42.006492614746094,2021-02-22
43.73814010620117,2021-02-23
43.76607131958008,2021-02-24
42.667503356933594,2021-02-25
41.38272476196289,2021-02-26
41.755130767822266,2021-03-01
41.86684799194336,2021-03-02
41.84822463989258,2021-03-03
42.25785827636719,2021-03-04
42.974727630615234,2021-03-05
44.380523681640625,2021-03-08
43.17954635620117,2021-03-09
43.61711120605469,2021-03-10
42.8071403503418,2021-03-11
43.412296295166016,2021-03-12
44.352596282958984,2021-03-15
45.0694694519043,2021-03-16
45.30221176147461,2021-03-17
45.758399963378906,2021-03-18
45.80494689941406,2021-03-19
46.410099029541016,2021-03-22
45.42325210571289,2021-03-23
45.022911071777344,2021-03-24
46.642845153808594,2021-03-25
47.82521057128906,2021-03-26
49.258949279785156,2021-03-29
48.72827911376953,2021-03-30
47.62039566040039,2021-03-31
48.31863784790039,2021-04-01
49.109981536865234,2021-04-05
48.79344177246094,2021-04-06
48.15106201171875,2021-04-07
48.02072525024414,2021-04-08
46.54975128173828,2021-04-09
47.1269645690918,2021-04-12
48.169681549072266,2021-04-13
47.62039566040039,2021-04-14
49.286869049072266,2021-04-15
49.78030014038086,2021-04-16
50.28303146362305,2021-04-19
48.812068939208984,2021-04-20
49.50100326538086,2021-04-21
48.67241287231445,2021-04-22
48.663108825683594,2021-04-23
49.286869049072266,2021-04-26
48.46760559082031,2021-04-27
48.29071044921875,2021-04-28
51.67021560668945,2021-04-29
51.158172607421875,2021-04-30
53.197052001953125,2021-05-03
52.526729583740234,2021-05-04
53.020164489746094,2021-05-05
55.34764862060547,2021-05-06
55.40350341796875,2021-05-07
55.45006561279297,2021-05-10
53.81150817871094,2021-05-11
53.42049789428711,2021-05-12
54.22114944458008,2021-05-13
54.165283203125,2021-05-14
53.93253707885742,2021-05-17
51.65159606933594,2021-05-18
51.73537826538086,2021-05-19
52.59190368652344,2021-05-20
53.20636749267578,2021-05-21
53.76495361328125,2021-05-24
54.05356979370117,2021-05-25
53.41117477416992,2021-05-26
53.42049789428711,2021-05-27
54.295623779296875,2021-05-28
54.18391036987305,2021-06-01
55.952796936035156,2021-06-02
55.67349624633789,2021-06-03
55.96210861206055,2021-06-04
56.47414779663086,2021-06-07
56.5393180847168,2021-06-08
56.54863357543945,2021-06-09
56.53002166748047,2021-06-10
55.82246017456055,2021-06-11
55.63625717163086,2021-06-14
54.1280517578125,2021-06-15
53.80219650268555,2021-06-16
52.266056060791016,2021-06-17
50.48785400390625,2021-06-18
51.865726470947266,2021-06-21
51.13024139404297,2021-06-22
50.94404602050781,2021-06-23
51.167476654052734,2021-06-24
51.279205322265625,2021-06-25
51.046451568603516,2021-06-28
50.67405700683594,2021-06-29
49.9851188659668,2021-06-30
50.25510025024414,2021-07-01
50.096839904785156,2021-07-02
48.43035125732422,2021-07-06
49.24032211303711,2021-07-07
49.091365814208984,2021-07-08
49.510311126708984,2021-07-09
49.203086853027344,2021-07-12
48.123130798339844,2021-07-13
47.98347854614258,2021-07-14
47.51798629760742,2021-07-15
47.00593948364258,2021-07-16
46.884910583496094,2021-07-19
47.41557312011719,2021-07-20
47.09903335571289,2021-07-21
46.968692779541016,2021-07-22
46.270450592041016,2021-07-23
47.00593948364258,2021-07-26
46.559059143066406,2021-07-27
46.1121826171875,2021-07-28
46.00046920776367,2021-07-29
45.516334533691406,2021-07-30
45.85150146484375,2021-08-02
45.73978042602539,2021-08-03
44.706382751464844,2021-08-04
44.96705627441406,2021-08-05
45.71185302734375,2021-08-06
45.9352912902832,2021-08-09
47.66694259643555,2021-08-10
48.458290100097656,2021-08-11
46.89421463012695,2021-08-12
47.052486419677734,2021-08-13
46.90352249145508,2021-08-16
46.233211517333984,2021-08-17
45.507041931152344,2021-08-18
44.73430633544922,2021-08-19
44.492252349853516,2021-08-20
44.7156867980957,2021-08-23
45.10670852661133,2021-08-24
44.60396957397461,2021-08-25
43.9150276184082,2021-08-26
44.552703857421875,2021-08-27
43.830631256103516,2021-08-30
44.57145690917969,2021-08-31
44.32764434814453,2021-09-01
44.158843994140625,2021-09-02
44.05569076538086,2021-09-03
42.9679069519043,2021-09-07
43.399269104003906,2021-09-08
43.1835823059082,2021-09-09
42.73346710205078,2021-09-10
44.0181884765625,2021-09-13
43.68059539794922,2021-09-14
43.67122268676758,2021-09-15
43.4930419921875,2021-09-16
42.94914627075195,2021-09-17
42.29271697998047,2021-09-20
42.011390686035156,2021-09-21
42.78972625732422,2021-09-22
43.47428894042969,2021-09-23
43.61494445800781,2021-09-24
45.762413024902344,2021-09-27
