STCN,Date
53.856597900390625,2002-06-10
49.83745193481445,2002-06-11
45.014469146728516,2002-06-12
45.014469146728516,2002-06-13
45.81829833984375,2002-06-14
49.03361892700195,2002-06-17
53.052764892578125,2002-06-18
49.03361892700195,2002-06-19
48.22978973388672,2002-06-20
48.22978973388672,2002-06-21
51.445106506347656,2002-06-24
47.42595672607422,2002-06-25
45.014469146728516,2002-06-26
44.21063995361328,2002-06-27
38.583831787109375,2002-06-28
36.976173400878906,2002-07-01
35.36851119995117,2002-07-02
35.36851119995117,2002-07-03
39.38766098022461,2002-07-05
38.583831787109375,2002-07-08
36.976173400878906,2002-07-09
35.36851119995117,2002-07-10
34.56468200683594,2002-07-11
37.78000259399414,2002-07-12
36.172340393066406,2002-07-15
37.78000259399414,2002-07-16
40.99531936645508,2002-07-17
42.60298156738281,2002-07-18
37.78000259399414,2002-07-19
37.78000259399414,2002-07-22
34.56468200683594,2002-07-23
36.976173400878906,2002-07-24
34.56468200683594,2002-07-25
32.15319061279297,2002-07-26
32.95702362060547,2002-07-29
31.349363327026367,2002-07-30
32.95702362060547,2002-07-31
32.15319061279297,2002-08-01
31.349363327026367,2002-08-02
32.15319061279297,2002-08-05
31.349363327026367,2002-08-06
30.545534133911133,2002-08-07
28.9378719329834,2002-08-08
25.722553253173828,2002-08-09
25.722553253173828,2002-08-12
25.722553253173828,2002-08-13
26.526382446289062,2002-08-14
25.722553253173828,2002-08-15
24.918724060058594,2002-08-16
23.311065673828125,2002-08-19
24.918724060058594,2002-08-20
24.918724060058594,2002-08-21
46.622127532958984,2002-08-22
61.8948974609375,2002-08-23
52.248939514160156,2002-08-26
45.81829833984375,2002-08-27
41.79914855957031,2002-08-28
50.64127731323242,2002-08-29
45.81829833984375,2002-08-30
40.99531936645508,2002-09-03
41.79914855957031,2002-09-04
40.99531936645508,2002-09-05
43.40681076049805,2002-09-06
40.99531936645508,2002-09-09
43.40681076049805,2002-09-10
42.60298156738281,2002-09-11
43.40681076049805,2002-09-12
41.79914855957031,2002-09-13
39.38766098022461,2002-09-16
36.172340393066406,2002-09-17
33.7608528137207,2002-09-18
31.349363327026367,2002-09-19
32.15319061279297,2002-09-20
34.56468200683594,2002-09-23
30.545534133911133,2002-09-24
32.15319061279297,2002-09-25
32.15319061279297,2002-09-26
29.741703033447266,2002-09-27
28.134044647216797,2002-09-30
26.526382446289062,2002-10-01
28.9378719329834,2002-10-02
27.33021354675293,2002-10-03
27.33021354675293,2002-10-04
25.722553253173828,2002-10-07
27.33021354675293,2002-10-08
27.33021354675293,2002-10-09
29.741703033447266,2002-10-10
31.349363327026367,2002-10-11
29.741703033447266,2002-10-14
43.40681076049805,2002-10-15
38.583831787109375,2002-10-16
43.40681076049805,2002-10-17
40.99531936645508,2002-10-18
42.60298156738281,2002-10-21
37.78000259399414,2002-10-22
38.583831787109375,2002-10-23
43.40681076049805,2002-10-24
42.60298156738281,2002-10-25
43.40681076049805,2002-10-28
39.38766098022461,2002-10-29
40.99531936645508,2002-10-30
42.60298156738281,2002-10-31
45.81829833984375,2002-11-01
51.445106506347656,2002-11-04
50.64127731323242,2002-11-05
56.268089294433594,2002-11-06
52.248939514160156,2002-11-07
62.698726654052734,2002-11-08
51.445106506347656,2002-11-11
55.46426010131836,2002-11-12
52.248939514160156,2002-11-13
56.268089294433594,2002-11-14
55.46426010131836,2002-11-15
54.66042709350586,2002-11-18
53.856597900390625,2002-11-19
56.268089294433594,2002-11-20
62.698726654052734,2002-11-21
65.91404724121094,2002-11-22
78.77532196044922,2002-11-25
85.20596313476562,2002-11-26
96.45957946777344,2002-11-27
115.7514877319336,2002-11-29
135.0434112548828,2002-12-02
116.5553207397461,2002-12-03
98.0672378540039,2002-12-04
97.2634048461914,2002-12-05
86.0097885131836,2002-12-06
62.698726654052734,2002-12-09
84.40213012695312,2002-12-10
98.0672378540039,2002-12-11
94.04808807373047,2002-12-12
96.45957946777344,2002-12-13
90.02893829345703,2002-12-16
82.79447174072266,2002-12-17
76.36383056640625,2002-12-18
87.61744689941406,2002-12-19
81.99063873291016,2002-12-20
86.8136215209961,2002-12-23
84.40213012695312,2002-12-24
83.59829711914062,2002-12-26
81.99063873291016,2002-12-27
76.36383056640625,2002-12-30
78.77532196044922,2002-12-31
83.59829711914062,2003-01-02
84.40213012695312,2003-01-03
93.2442626953125,2003-01-06
90.83277130126953,2003-01-07
86.0097885131836,2003-01-08
88.42127990722656,2003-01-09
86.8136215209961,2003-01-10
90.02893829345703,2003-01-13
91.6365966796875,2003-01-14
90.02893829345703,2003-01-15
86.8136215209961,2003-01-16
81.99063873291016,2003-01-17
77.97148895263672,2003-01-21
82.79447174072266,2003-01-22
80.38298034667969,2003-01-23
77.97148895263672,2003-01-24
68.3255386352539,2003-01-27
73.14851379394531,2003-01-28
70.73702239990234,2003-01-29
71.54085540771484,2003-01-30
71.54085540771484,2003-01-31
70.73702239990234,2003-02-03
65.91404724121094,2003-02-04
65.11021423339844,2003-02-05
60.287235260009766,2003-02-06
61.8948974609375,2003-02-07
64.30638122558594,2003-02-10
63.5025520324707,2003-02-11
65.11021423339844,2003-02-12
61.8948974609375,2003-02-13
62.698726654052734,2003-02-14
66.7178726196289,2003-02-18
76.36383056640625,2003-02-19
68.3255386352539,2003-02-20
68.3255386352539,2003-02-21
68.3255386352539,2003-02-24
67.5217056274414,2003-02-25
65.91404724121094,2003-02-26
66.7178726196289,2003-02-27
65.91404724121094,2003-02-28
65.11021423339844,2003-03-03
63.5025520324707,2003-03-04
62.698726654052734,2003-03-05
62.698726654052734,2003-03-06
62.698726654052734,2003-03-07
60.287235260009766,2003-03-10
