SPY,Date
96.75999450683594,2000-07-19
98.10330963134766,2000-07-20
96.1900634765625,2000-07-21
95.64054870605469,2000-07-24
95.94586181640625,2000-07-25
95.00959014892578,2000-07-26
94.68390655517578,2000-07-27
92.54679107666016,2000-07-28
93.13710021972656,2000-07-31
93.70699310302734,2000-08-01
94.17510986328125,2000-08-02
94.82637023925781,2000-08-03
95.33528137207031,2000-08-04
96.47502136230469,2000-08-07
96.84139251708984,2000-08-08
96.02725982666016,2000-08-09
95.5591049194336,2000-08-10
96.00691986083984,2000-08-11
97.22811889648438,2000-08-14
97.14668273925781,2000-08-15
96.80069732666016,2000-08-16
97.8183822631836,2000-08-17
97.49270629882812,2000-08-18
98.02188873291016,2000-08-21
97.85903930664062,2000-08-22
98.24578857421875,2000-08-23
98.55107116699219,2000-08-24
98.51036071777344,2000-08-25
98.84617614746094,2000-08-28
98.8665771484375,2000-08-29
97.92008209228516,2000-08-30
99.22273254394531,2000-08-31
99.32453918457031,2000-09-01
98.53069305419922,2000-09-05
97.4112548828125,2000-09-06
98.24578857421875,2000-09-07
97.5740966796875,2000-09-08
97.4316177368164,2000-09-11
96.71924591064453,2000-09-12
96.97366333007812,2000-09-13
97.46215057373047,2000-09-14
95.32992553710938,2000-09-15
94.4525146484375,2000-09-18
95.30950164794922,2000-09-19
94.60553741455078,2000-09-20
93.16702270507812,2000-09-21
94.86060333251953,2000-09-22
94.18721771240234,2000-09-25
92.98334503173828,2000-09-26
93.47310638427734,2000-09-27
94.67697143554688,2000-09-28
93.77915954589844,2000-09-29
93.92198944091797,2000-10-02
93.04457092285156,2000-10-03
93.81997680664062,2000-10-04
94.14645385742188,2000-10-05
92.10598754882812,2000-10-06
91.41217803955078,2000-10-09
89.90229034423828,2000-10-10
89.14737701416016,2000-10-11
86.92326354980469,2000-10-12
89.82068634033203,2000-10-13
90.22874450683594,2000-10-16
87.98428344726562,2000-10-17
87.65782928466797,2000-10-18
90.96331787109375,2000-10-19
91.35103607177734,2000-10-20
91.75911712646484,2000-10-23
91.1469955444336,2000-10-24
89.00450134277344,2000-10-25
89.24932861328125,2000-10-26
90.94293212890625,2000-10-27
91.75911712646484,2000-10-30
93.34048461914062,2000-10-31
93.02418518066406,2000-11-01
93.17720031738281,2000-11-02
93.22823333740234,2000-11-03
93.88117218017578,2000-11-06
93.86077880859375,2000-11-07
91.77951049804688,2000-11-08
91.43262481689453,2000-11-09
89.20854187011719,2000-11-10
88.5147933959961,2000-11-13
90.84091186523438,2000-11-14
91.12657928466797,2000-11-15
89.69825744628906,2000-11-16
89.21870422363281,2000-11-17
87.94347381591797,2000-11-20
88.3923568725586,2000-11-21
86.28044891357422,2000-11-22
88.04544830322266,2000-11-24
88.82083129882812,2000-11-27
87.2905502319336,2000-11-28
87.12728881835938,2000-11-29
86.37232208251953,2000-11-30
86.33149719238281,2000-12-01
87.0660400390625,2000-12-04
89.92271423339844,2000-12-05
88.48419189453125,2000-12-06
87.27013397216797,2000-12-07
87.47416687011719,2000-12-08
90.51444244384766,2000-12-11
90.12676239013672,2000-12-12
88.89227294921875,2000-12-13
87.75981140136719,2000-12-14
85.77761840820312,2000-12-15
86.92377471923828,2000-12-18
85.15335845947266,2000-12-19
82.68708038330078,2000-12-20
83.26016998291016,2000-12-21
85.75715637207031,2000-12-22
86.6781997680664,2000-12-26
87.31265258789062,2000-12-27
87.5787124633789,2000-12-28
85.9208984375,2000-12-29
84.36539459228516,2001-01-02
88.41790008544922,2001-01-03
87.46617889404297,2001-01-04
84.6109848022461,2001-01-05
85.26595306396484,2001-01-08
85.04080200195312,2001-01-09
86.53485870361328,2001-01-10
86.61678314208984,2001-01-11
86.45304107666016,2001-01-12
87.00565338134766,2001-01-16
87.40475463867188,2001-01-17
88.2745590209961,2001-01-18
87.77315521240234,2001-01-19
88.35646057128906,2001-01-22
89.05238342285156,2001-01-23
89.31841278076172,2001-01-24
89.09326171875,2001-01-25
88.99097442626953,2001-01-26
89.46578979492188,2001-01-29
90.251708984375,2001-01-30
89.74089050292969,2001-01-31
90.33683776855469,2001-02-01
88.28689575195312,2001-02-02
88.93527221679688,2001-02-05
88.6733169555664,2001-02-06
88.21482849121094,2001-02-07
87.18657684326172,2001-02-08
86.34827423095703,2001-02-09
87.33722686767578,2001-02-12
86.6233139038086,2001-02-13
86.49235534667969,2001-02-14
87.33068084716797,2001-02-15
85.40510559082031,2001-02-16
84.08869934082031,2001-02-20
82.2744369506836,2001-02-21
82.39892578125,2001-02-22
81.84222412109375,2001-02-23
83.58439636230469,2001-02-26
82.81153106689453,2001-02-27
81.18071746826172,2001-02-28
81.60640716552734,2001-03-01
80.95805358886719,2001-03-02
81.69811248779297,2001-03-05
82.57575988769531,2001-03-06
83.16522216796875,2001-03-07
83.25689697265625,2001-03-08
80.79428100585938,2001-03-09
77.336181640625,2001-03-12
78.60677337646484,2001-03-13
77.05453491210938,2001-03-14
77.07417297363281,2001-03-15
75.52828979492188,2001-03-16
77.06501007080078,2001-03-19
74.996337890625,2001-03-20
73.72235870361328,2001-03-21
72.97370910644531,2001-03-22
75.18022155761719,2001-03-23
76.13905334472656,2001-03-26
77.69544219970703,2001-03-27
75.54803466796875,2001-03-28
75.83695983886719,2001-03-29
76.63156127929688,2001-03-30
74.996337890625,2001-04-02
72.49432373046875,2001-04-03
72.79635620117188,2001-04-04
75.55457305908203,2001-04-05
74.40531921386719,2001-04-06
75.23277282714844,2001-04-09
76.60528564453125,2001-04-10
76.65785217285156,2001-04-11
78.05008697509766,2001-04-12
77.22920989990234,2001-04-16
78.31930541992188,2001-04-17
81.4321060180664,2001-04-18
82.51570892333984,2001-04-19
81.76050567626953,2001-04-20
80.27629852294922,2001-04-23
79.84290313720703,2001-04-24
80.88707733154297,2001-04-25
81.24823760986328,2001-04-26
82.60107421875,2001-04-27
83.17897033691406,2001-04-30
83.43510437011719,2001-05-01
83.28402709960938,2001-05-02
82.22674560546875,2001-05-03
83.62555694580078,2001-05-04
82.90319061279297,2001-05-07
82.8637466430664,2001-05-08
82.51570892333984,2001-05-09
82.75869750976562,2001-05-10
82.1873550415039,2001-05-11
82.3515396118164,2001-05-14
82.73243713378906,2001-05-15
84.6828384399414,2001-05-16
84.8141860961914,2001-05-17
85.20162200927734,2001-05-18
86.45594787597656,2001-05-21
86.3443374633789,2001-05-22
84.8798599243164,2001-05-23
85.12940979003906,2001-05-24
84.1246566772461,2001-05-25
83.45478820800781,2001-05-29
82.28585052490234,2001-05-30
82.71271514892578,2001-05-31
83.2249526977539,2001-06-01
83.62555694580078,2001-06-04
84.5843505859375,2001-06-05
83.88166046142578,2001-06-06
84.1837387084961,2001-06-07
83.40225219726562,2001-06-08
82.81121063232422,2001-06-11
82.66671752929688,2001-06-12
81.9574966430664,2001-06-13
80.11871337890625,2001-06-14
80.2477798461914,2001-06-15
79.8592300415039,2001-06-18
80.2082748413086,2001-06-19
80.6297378540039,2001-06-20
81.54520416259766,2001-06-21
80.9063720703125,2001-06-22
80.16218566894531,2001-06-25
80.05023193359375,2001-06-26
80.0041275024414,2001-06-27
80.44536590576172,2001-06-28
80.74169921875,2001-06-29
81.74934387207031,2001-07-02
81.72957611083984,2001-07-03
80.13581085205078,2001-07-05
78.40375518798828,2001-07-06
78.83182525634766,2001-07-09
77.88349914550781,2001-07-10
77.96249389648438,2001-07-11
79.81310272216797,2001-07-12
80.5046157836914,2001-07-13
79.49700927734375,2001-07-16
80.24119567871094,2001-07-17
79.6945571899414,2001-07-18
80.39266967773438,2001-07-19
79.9118881225586,2001-07-20
78.33788299560547,2001-07-23
77.58056640625,2001-07-24
78.43669891357422,2001-07-25
79.2599105834961,2001-07-26
79.5628433227539,2001-07-27
79.58921813964844,2001-07-30
79.91849517822266,2001-07-31
80.41903686523438,2001-08-01
80.74832153320312,2001-08-02
80.30704498291016,2001-08-03
79.22701263427734,2001-08-06
79.53649139404297,2001-08-07
78.06128692626953,2001-08-08
78.29179382324219,2001-08-09
78.56180572509766,2001-08-10
78.58155822753906,2001-08-13
78.54865264892578,2001-08-14
77.87030792236328,2001-08-15
78.14031982421875,2001-08-16
76.88899993896484,2001-08-17
77.60031127929688,2001-08-20
76.27656555175781,2001-08-21
77.06684875488281,2001-08-22
76.79023742675781,2001-08-23
78.3840103149414,2001-08-24
77.9164047241211,2001-08-27
76.77709197998047,2001-08-28
76.09212493896484,2001-08-29
74.63008880615234,2001-08-30
75.17671966552734,2001-08-31
74.69596099853516,2001-09-04
74.88035583496094,2001-09-05
72.95073699951172,2001-09-06
71.60066223144531,2001-09-07
72.47655487060547,2001-09-10
68.68973541259766,2001-09-17
68.52510070800781,2001-09-18
67.14205169677734,2001-09-19
65.0082778930664,2001-09-20
64.30689239501953,2001-09-21
66.56771087646484,2001-09-24
67.26179504394531,2001-09-25
67.02381134033203,2001-09-26
67.60554504394531,2001-09-27
69.04003143310547,2001-09-28
68.92765808105469,2001-10-01
69.79365539550781,2001-10-02
70.96369934082031,2001-10-03
71.02315521240234,2001-10-04
70.88435363769531,2001-10-05
70.42162322998047,2001-10-08
70.04481506347656,2001-10-09
71.60490417480469,2001-10-10
72.71544647216797,2001-10-11
72.38493347167969,2001-10-12
72.25271606445312,2001-10-15
72.7088394165039,2001-10-16
71.16197204589844,2001-10-17
71.00993347167969,2001-10-18
70.96369934082031,2001-10-19
72.3650894165039,2001-10-22
71.99488830566406,2001-10-23
71.80319213867188,2001-10-24
73.09220886230469,2001-10-25
72.9269790649414,2001-10-26
71.02978515625,2001-10-29
70.17703247070312,2001-10-30
69.93902587890625,2001-10-31
71.73046112060547,2001-11-01
72.21967315673828,2001-11-02
73.16496276855469,2001-11-05
74.30198669433594,2001-11-06
74.2027816772461,2001-11-07
74.43415832519531,2001-11-08
74.51348876953125,2001-11-09
74.05740356445312,2001-11-12
75.72321319580078,2001-11-13
75.79597473144531,2001-11-14
75.93476104736328,2001-11-15
75.59766387939453,2001-11-16
76.52971649169922,2001-11-19
75.88851928710938,2001-11-20
75.38609313964844,2001-11-21
76.47020721435547,2001-11-23
76.63546752929688,2001-11-26
76.30496215820312,2001-11-27
74.92333221435547,2001-11-28
75.93476104736328,2001-11-29
75.39269256591797,2001-11-30
74.94319915771484,2001-12-03
76.21236419677734,2001-12-04
77.60723114013672,2001-12-05
77.56756591796875,2001-12-06
77.0519027709961,2001-12-07
75.61085510253906,2001-12-10
75.45879364013672,2001-12-11
75.54473876953125,2001-12-12
74.07725524902344,2001-12-13
74.78453063964844,2001-12-14
75.55796813964844,2001-12-17
76.00749206542969,2001-12-18
76.54289245605469,2001-12-19
75.7893295288086,2001-12-20
76.24901580810547,2001-12-21
76.10308074951172,2001-12-24
76.52100372314453,2001-12-26
76.98529052734375,2001-12-27
76.94552612304688,2001-12-28
75.81785583496094,2001-12-31
76.63373565673828,2002-01-02
77.50269317626953,2002-01-03
78.02007293701172,2002-01-04
77.46952056884766,2002-01-07
77.29042053222656,2002-01-08
76.66030883789062,2002-01-09
76.99858093261719,2002-01-10
76.24238586425781,2002-01-11
75.7647933959961,2002-01-14
76.38169860839844,2002-01-15
74.8361587524414,2002-01-16
75.39994049072266,2002-01-17
75.05500793457031,2002-01-18
74.53765106201172,2002-01-22
75.10810089111328,2002-01-23
75.34027862548828,2002-01-24
75.32035827636719,2002-01-25
75.5260009765625,2002-01-28
73.15130615234375,2002-01-29
74.2059555053711,2002-01-30
75.07493591308594,2002-01-31
74.72338104248047,2002-02-01
72.8660888671875,2002-02-04
72.41503143310547,2002-02-05
72.1032485961914,2002-02-06
71.65217590332031,2002-02-07
73.02523040771484,2002-02-08
73.92076110839844,2002-02-11
73.68859100341797,2002-02-12
74.47130584716797,2002-02-13
74.33202362060547,2002-02-14
73.5559310913086,2002-02-15
72.14305114746094,2002-02-19
73.35692596435547,2002-02-20
71.8379135131836,2002-02-21
72.72677612304688,2002-02-22
73.92737579345703,2002-02-25
73.7748031616211,2002-02-26
74.06007385253906,2002-02-27
73.72840118408203,2002-02-28
75.44638061523438,2002-03-01
76.77971649169922,2002-03-04
76.53425598144531,2002-03-05
77.44295501708984,2002-03-06
77.2771987915039,2002-03-07
77.6021957397461,2002-03-08
77.76800537109375,2002-03-11
77.72160339355469,2002-03-12
76.97203063964844,2002-03-13
76.86589050292969,2002-03-14
77.5983657836914,2002-03-15
77.61161804199219,2002-03-18
78.13050842285156,2002-03-19
76.66033935546875,2002-03-20
76.69361114501953,2002-03-21
76.52731323242188,2002-03-22
75.57604217529297,2002-03-25
76.01508331298828,2002-03-26
76.21465301513672,2002-03-27
76.18140411376953,2002-03-28
76.21465301513672,2002-04-01
75.79557800292969,2002-04-02
75.26338195800781,2002-04-03
74.95072174072266,2002-04-04
74.96406555175781,2002-04-05
75.12369537353516,2002-04-08
74.59815216064453,2002-04-09
75.44300079345703,2002-04-10
73.56705474853516,2002-04-11
74.11919403076172,2002-04-12
73.55374908447266,2002-04-15
75.30328369140625,2002-04-16
75.1436538696289,2002-04-17
74.81767272949219,2002-04-18
75.09044647216797,2002-04-19
73.83979034423828,2002-04-22
73.52049255371094,2002-04-23
72.7820816040039,2002-04-24
72.82201385498047,2002-04-25
71.43836212158203,2002-04-26
71.08576965332031,2002-04-29
71.75099182128906,2002-04-30
72.62908172607422,2002-05-01
72.3497085571289,2002-05-02
71.56475830078125,2002-05-03
70.16112518310547,2002-05-06
69.91498565673828,2002-05-07
72.5160140991211,2002-05-08
71.67778778076172,2002-05-09
70.32742309570312,2002-05-10
71.75764465332031,2002-05-13
73.32095336914062,2002-05-14
73.0348892211914,2002-05-15
73.41407775878906,2002-05-16
73.77326965332031,2002-05-17
72.97502899169922,2002-05-20
72.30979919433594,2002-05-21
72.46943664550781,2002-05-22
73.24109649658203,2002-05-23
72.3031234741211,2002-05-24
71.9106674194336,2002-05-28
71.37848663330078,2002-05-29
71.17893981933594,2002-05-30
71.32528686523438,2002-05-31
69.42935180664062,2002-06-03
69.6023178100586,2002-06-04
70.25426483154297,2002-06-05
68.82401275634766,2002-06-06
68.74421691894531,2002-06-07
69.01028442382812,2002-06-10
67.82616424560547,2002-06-11
68.23863220214844,2002-06-12
67.55342864990234,2002-06-13
67.45365142822266,2002-06-14
69.2630615234375,2002-06-17
69.82848358154297,2002-06-18
68.19871520996094,2002-06-19
67.32723236083984,2002-06-20
66.27454376220703,2002-06-21
66.62169647216797,2002-06-24
65.1263656616211,2002-06-25
65.233154296875,2002-06-26
66.37467193603516,2002-06-27
66.06092834472656,2002-06-28
64.7725601196289,2002-07-01
63.39740753173828,2002-07-02
63.75788879394531,2002-07-03
66.29454040527344,2002-07-05
65.46681213378906,2002-07-08
63.817928314208984,2002-07-09
61.49485397338867,2002-07-10
61.99552917480469,2002-07-11
61.31465530395508,2002-07-12
61.6417121887207,2002-07-15
60.453487396240234,2002-07-16
60.57363510131836,2002-07-17
58.61105728149414,2002-07-18
56.548309326171875,2002-07-19
54.872737884521484,2002-07-22
53.37076950073242,2002-07-23
56.55500030517578,2002-07-24
56.0743522644043,2002-07-25
57.14243698120117,2002-07-26
59.92611312866211,2002-07-29
60.7071533203125,2002-07-30
60.85401153564453,2002-07-31
59.265262603759766,2002-08-01
57.93683624267578,2002-08-02
