STX,Date
8.83209228515625,2005-05-10
8.856890678405762,2005-05-11
8.752747535705566,2005-05-12
9.169312477111816,2005-05-13
9.511486053466797,2005-05-16
9.630505561828613,2005-05-17
10.007389068603516,2005-05-18
10.052026748657227,2005-05-19
9.997479438781738,2005-05-20
10.185922622680664,2005-05-23
10.31981372833252,2005-05-24
10.443790435791016,2005-05-25
10.414033889770508,2005-05-26
10.389243125915527,2005-05-27
10.523137092590332,2005-05-31
10.438827514648438,2005-06-01
10.562808990478516,2005-06-02
10.22558879852295,2005-06-03
10.314854621887207,2005-06-06
10.49834156036377,2005-06-07
10.354525566101074,2005-06-08
10.126408576965332,2005-06-09
10.126408576965332,2005-06-10
10.180961608886719,2005-06-13
9.987553596496582,2005-06-14
9.898293495178223,2005-06-15
10.061943054199219,2005-06-16
9.422224998474121,2005-06-17
9.70984935760498,2005-06-20
9.680097579956055,2005-06-21
9.635459899902344,2005-06-22
9.372631072998047,2005-06-23
9.104842185974121,2005-06-24
8.975910186767578,2005-06-27
8.653570175170898,2005-06-28
8.663487434387207,2005-06-29
8.703157424926758,2005-06-30
8.603976249694824,2005-07-01
8.648608207702637,2005-07-05
8.881689071655273,2005-07-06
8.822175979614258,2005-07-07
9.04533576965332,2005-07-08
9.466854095458984,2005-07-11
9.352795600891113,2005-07-12
9.685052871704102,2005-07-13
9.531318664550781,2005-07-14
9.491646766662598,2005-07-15
9.422224998474121,2005-07-18
9.64538288116455,2005-07-19
9.45693588256836,2005-07-20
9.085005760192871,2005-07-21
9.080046653747559,2005-07-22
9.184185981750488,2005-07-25
9.293285369873047,2005-07-26
9.263530731201172,2005-07-27
9.595789909362793,2005-07-28
9.605705261230469,2005-07-29
9.461894989013672,2005-08-01
9.382551193237305,2005-08-02
9.297887802124023,2005-08-03
9.382551193237305,2005-08-04
9.387531280517578,2005-08-05
9.362631797790527,2005-08-08
9.332748413085938,2005-08-09
9.282946586608887,2005-08-10
9.362631797790527,2005-08-11
9.073784828186035,2005-08-12
9.188324928283691,2005-08-15
8.984140396118164,2005-08-16
9.203267097473145,2005-08-17
9.004060745239258,2005-08-18
9.17338752746582,2005-08-19
9.138524055480957,2005-08-22
9.13354778289795,2005-08-23
9.08872127532959,2005-08-24
9.038922309875488,2005-08-25
8.60067367553711,2005-08-26
8.700272560119629,2005-08-29
8.22716236114502,2005-08-30
8.262025833129883,2005-08-31
7.99309778213501,2005-09-01
7.948276042938232,2005-09-02
7.843693733215332,2005-09-06
8.252063751220703,2005-09-07
8.147481918334961,2005-09-08
8.052857398986816,2005-09-09
8.077760696411133,2005-09-12
8.077760696411133,2005-09-13
7.684329986572266,2005-09-14
7.4901041984558105,2005-09-15
7.4851250648498535,2005-09-16
7.475162506103516,2005-09-19
7.4901041984558105,2005-09-20
7.305840969085693,2005-09-21
7.465202331542969,2005-09-22
7.534925937652588,2005-09-23
7.519983768463135,2005-09-26
7.420382499694824,2005-09-27
7.529946327209473,2005-09-28
7.759032726287842,2005-09-29
7.893496513366699,2005-09-30
8.052857398986816,2005-10-03
7.908435821533203,2005-10-04
7.898472309112549,2005-10-05
7.8287529945373535,2005-10-06
7.863612174987793,2005-10-07
7.873574733734131,2005-10-10
7.803849697113037,2005-10-11
7.704249382019043,2005-10-12
7.465202331542969,2005-10-13
7.589710235595703,2005-10-14
7.803849697113037,2005-10-17
7.495085716247559,2005-10-18
7.320779800415039,2005-10-19
7.121574878692627,2005-10-20
7.106633186340332,2005-10-21
7.111616134643555,2005-10-24
7.2112202644348145,2005-10-25
7.061812877655029,2005-10-26
6.952251434326172,2005-10-27
7.021975517272949,2005-10-28
7.216198444366455,2005-10-31
7.280941963195801,2005-11-01
7.516293048858643,2005-11-02
7.811740398406982,2005-11-03
7.796713352203369,2005-11-04
7.846789360046387,2005-11-07
7.731617450714111,2005-11-08
7.831765651702881,2005-11-09
7.776680946350098,2005-11-10
7.971977233886719,2005-11-11
7.826760292053223,2005-11-14
7.876832485198975,2005-11-15
8.107179641723633,2005-11-16
8.442686080932617,2005-11-17
8.502778053283691,2005-11-18
8.527813911437988,2005-11-21
8.97848892211914,2005-11-22
8.993515014648438,2005-11-23
8.938426971435547,2005-11-25
8.81824779510498,2005-11-28
9.268925666809082,2005-11-29
9.474235534667969,2005-11-30
9.519303321838379,2005-12-01
9.288958549499512,2005-12-02
9.509288787841797,2005-12-05
9.539332389831543,2005-12-06
9.46422004699707,2005-12-07
9.519303321838379,2005-12-08
9.619450569152832,2005-12-09
9.74464225769043,2005-12-12
9.614446640014648,2005-12-13
9.679542541503906,2005-12-14
9.719599723815918,2005-12-15
9.809738159179688,2005-12-16
9.794713973999023,2005-12-19
9.81474781036377,2005-12-20
10.130218505859375,2005-12-21
10.195318222045898,2005-12-22
10.180298805236816,2005-12-23
10.02506160736084,2005-12-27
9.854805946350098,2005-12-28
9.884852409362793,2005-12-29
10.010041236877441,2005-12-30
10.05009937286377,2006-01-03
10.535828590393066,2006-01-04
10.440688133239746,2006-01-05
10.711091995239258,2006-01-06
11.161773681640625,2006-01-09
11.677542686462402,2006-01-10
11.607442855834961,2006-01-11
11.517306327819824,2006-01-12
12.133227348327637,2006-01-13
12.083151817321777,2006-01-17
12.318511009216309,2006-01-18
12.814254760742188,2006-01-19
12.51880931854248,2006-01-20
12.804234504699707,2006-01-23
13.214855194091797,2006-01-24
12.834282875061035,2006-01-25
13.11971378326416,2006-01-26
13.079649925231934,2006-01-27
12.849305152893066,2006-01-30
13.059622764587402,2006-01-31
13.069665908813477,2006-02-01
12.873770713806152,2006-02-02
12.813494682312012,2006-02-03
12.532217979431152,2006-02-06
12.23083782196045,2006-02-07
12.502077102661133,2006-02-08
12.587467193603516,2006-02-09
12.642715454101562,2006-02-10
13.039530754089355,2006-02-13
13.079713821411133,2006-02-14
13.310770034790039,2006-02-15
13.461455345153809,2006-02-16
13.707578659057617,2006-02-17
13.662376403808594,2006-02-21
13.265557289123535,2006-02-22
12.753220558166504,2006-02-23
12.833587646484375,2006-02-24
13.059622764587402,2006-02-27
13.345926284790039,2006-02-28
13.687484741210938,2006-03-01
13.913524627685547,2006-03-02
14.104386329650879,2006-03-03
13.823111534118652,2006-03-06
13.134963989257812,2006-03-07
12.487005233764648,2006-03-08
12.30617618560791,2006-03-09
12.19567584991455,2006-03-10
12.014851570129395,2006-03-13
12.406641960144043,2006-03-14
12.788382530212402,2006-03-15
12.38654899597168,2006-03-16
12.421708106994629,2006-03-17
12.557328224182129,2006-03-20
12.527190208435059,2006-03-21
12.060060501098633,2006-03-22
12.165538787841797,2006-03-23
12.291112899780273,2006-03-24
12.12535572052002,2006-03-27
12.095212936401367,2006-03-28
12.803451538085938,2006-03-29
13.225380897521973,2006-03-30
13.225380897521973,2006-03-31
13.170124053955078,2006-04-03
13.908496856689453,2006-04-04
13.687484741210938,2006-04-05
13.622187614440918,2006-04-06
13.662376403808594,2006-04-07
13.285653114318848,2006-04-10
13.260540962219238,2006-04-11
13.406207084655762,2006-04-12
13.160082817077637,2006-04-13
13.486567497253418,2006-04-17
13.823111534118652,2006-04-18
12.934049606323242,2006-04-19
12.758245468139648,2006-04-20
12.607559204101562,2006-04-21
12.54226303100586,2006-04-24
12.723093032836914,2006-04-25
12.497050285339355,2006-04-26
13.044551849365234,2006-04-27
13.340903282165527,2006-04-28
13.411224365234375,2006-05-01
13.436336517333984,2006-05-02
13.35069751739502,2006-05-03
13.265052795410156,2006-05-04
13.340614318847656,2006-05-05
13.401078224182129,2006-05-08
13.340614318847656,2006-05-09
12.962772369384766,2006-05-10
12.393478393554688,2006-05-11
12.136539459228516,2006-05-12
11.990438461303711,2006-05-15
11.713346481323242,2006-05-16
11.879598617553711,2006-05-17
12.121421813964844,2006-05-18
12.569805145263672,2006-05-19
12.549650192260742,2006-05-22
11.929980278015137,2006-05-23
11.713346481323242,2006-05-24
12.050890922546387,2006-05-25
12.196991920471191,2006-05-26
11.84433650970459,2006-05-30
11.763726234436035,2006-05-31
12.066004753112793,2006-06-01
12.151657104492188,2006-06-02
11.587397575378418,2006-06-05
11.446333885192871,2006-06-06
11.275040626525879,2006-06-07
11.61762523651123,2006-06-08
11.642810821533203,2006-06-09
11.204506874084473,2006-06-12
10.615060806274414,2006-06-13
10.650328636169434,2006-06-14
11.194436073303223,2006-06-15
10.972762107849121,2006-06-16
10.892156600952148,2006-06-19
10.625137329101562,2006-06-20
10.720863342285156,2006-06-21
10.625137329101562,2006-06-22
10.574751853942871,2006-06-23
10.725897789001465,2006-06-26
10.620100975036621,2006-06-27
10.715826034545898,2006-06-28
11.128938674926758,2006-06-29
11.406027793884277,2006-06-30
11.35060977935791,2006-07-03
11.461444854736328,2006-07-05
11.57732105255127,2006-07-06
11.375801086425781,2006-07-07
11.068479537963867,2006-07-10
11.486639976501465,2006-07-11
11.476561546325684,2006-07-12
11.31030559539795,2006-07-13
11.300230979919434,2006-07-14
11.537015914916992,2006-07-17
11.80906867980957,2006-07-18
12.22722339630127,2006-07-19
12.060970306396484,2006-07-20
11.481596946716309,2006-07-21
11.84433650970459,2006-07-24
11.683120727539062,2006-07-25
11.506789207458496,2006-07-26
11.411069869995117,2006-07-27
11.80906867980957,2006-07-28
11.68815803527832,2006-07-31
11.315346717834473,2006-08-01
11.285115242004395,2006-08-02
11.184354782104492,2006-08-03
10.962684631347656,2006-08-04
10.806506156921387,2006-08-07
10.428659439086914,2006-08-08
10.05080509185791,2006-08-09
10.161642074584961,2006-08-10
10.05080509185791,2006-08-11
10.237215042114258,2006-08-14
10.453845977783203,2006-08-15
10.989941596984863,2006-08-16
10.817987442016602,2006-08-17
10.79270076751709,2006-08-18
10.747180938720703,2006-08-21
10.580284118652344,2006-08-22
10.377985954284668,2006-08-23
10.32235050201416,2006-08-24
10.398212432861328,2006-08-25
10.575223922729492,2006-08-28
10.7067232131958,2006-08-29
11.126492500305176,2006-08-30
11.252933502197266,2006-08-31
11.424886703491211,2006-09-01
11.242817878723145,2006-09-05
10.327412605285645,2006-09-06
10.145339965820312,2006-09-07
10.140280723571777,2006-09-08
10.307178497314453,2006-09-11
10.580284118652344,2006-09-12
10.691549301147461,2006-09-13
11.217527389526367,2006-09-14
11.172008514404297,2006-09-15
11.232698440551758,2006-09-18
11.364194869995117,2006-09-19
11.62718677520752,2006-09-20
11.541202545166016,2006-09-21
11.389482498168945,2006-09-22
11.429944038391113,2006-09-25
11.374308586120605,2006-09-26
11.65753173828125,2006-09-27
11.632245063781738,2006-09-28
11.677763938903809,2006-09-29
11.596840858459473,2006-10-02
11.541202545166016,2006-10-03
11.536151885986328,2006-10-04
11.455235481262207,2006-10-05
11.318678855895996,2006-10-06
10.954541206359863,2006-10-09
10.600516319274902,2006-10-10
10.58534049987793,2006-10-11
10.575223922729492,2006-10-12
10.949481964111328,2006-10-13
11.126492500305176,2006-10-16
