PRDO,Date
6.467453956604004,2000-07-19
6.475116729736328,2000-07-20
6.467453956604004,2000-07-21
6.406150817871094,2000-07-24
6.605384349822998,2000-07-25
6.605384349822998,2000-07-26
6.590059280395508,2000-07-27
6.590059280395508,2000-07-28
7.003853797912598,2000-07-31
7.295042514801025,2000-08-01
7.402322292327881,2000-08-02
7.172436714172363,2000-08-03
7.348682880401611,2000-08-04
7.524928092956543,2000-08-07
7.524928092956543,2000-08-08
7.563243389129639,2000-08-09
7.578568458557129,2000-08-10
8.00002670288086,2000-08-11
7.846768379211426,2000-08-14
7.731825351715088,2000-08-15
7.7548136711120605,2000-08-16
8.168608665466309,2000-08-17
7.96937370300293,2000-08-18
8.09197998046875,2000-08-21
8.061327934265137,2000-08-22
8.061327934265137,2000-08-23
8.130295753479004,2000-08-24
8.337190628051758,2000-08-25
8.79696273803711,2000-08-28
8.827613830566406,2000-08-29
8.781637191772461,2000-08-30
9.793134689331055,2000-08-31
10.268232345581055,2000-09-01
10.099648475646973,2000-09-05
9.685853958129883,2000-09-06
8.705009460449219,2000-09-07
8.337190628051758,2000-09-08
8.56707763671875,2000-09-11
9.287385940551758,2000-09-12
9.501946449279785,2000-09-13
9.716506004333496,2000-09-14
9.685853958129883,2000-09-15
9.716506004333496,2000-09-18
9.808460235595703,2000-09-19
9.501946449279785,2000-09-20
9.471294403076172,2000-09-21
9.348689079284668,2000-09-22
9.563249588012695,2000-09-25
9.348689079284668,2000-09-26
9.624551773071289,2000-09-27
10.114974975585938,2000-09-28
10.91191291809082,2000-09-29
10.66670036315918,2000-10-02
10.329535484313965,2000-10-03
10.268232345581055,2000-10-04
10.421489715576172,2000-10-05
10.222254753112793,2000-10-06
10.421489715576172,2000-10-09
10.528768539428711,2000-10-10
10.114974975585938,2000-10-11
8.643705368041992,2000-10-12
9.348689079284668,2000-10-13
9.318037033081055,2000-10-16
9.379340171813965,2000-10-17
8.873591423034668,2000-10-18
8.888916969299316,2000-10-19
7.846768379211426,2000-10-20
8.09197998046875,2000-10-23
8.490447998046875,2000-10-24
8.122631072998047,2000-10-25
8.827613830566406,2000-10-26
9.318037033081055,2000-10-27
9.348689079284668,2000-10-30
9.48661994934082,2000-10-31
8.56707763671875,2000-11-01
8.367842674255371,2000-11-02
8.24523639678955,2000-11-03
8.09197998046875,2000-11-06
7.800790786743164,2000-11-07
7.233739376068115,2000-11-08
7.831442356109619,2000-11-09
7.632208347320557,2000-11-10
7.54025411605835,2000-11-13
7.356345176696777,2000-11-14
7.448299407958984,2000-11-15
7.325693607330322,2000-11-16
7.172436714172363,2000-11-17
