TRIN,Date
10.896512031555176,2022-05-24
11.223407745361328,2022-05-25
11.63747501373291,2022-05-26
12.138713836669922,2022-05-27
12.080598831176758,2022-05-31
12.080598831176758,2022-06-01
12.145977973937988,2022-06-02
11.942577362060547,2022-06-03
11.593888282775879,2022-06-06
11.819082260131836,2022-06-07
11.506715774536133,2022-06-08
11.601152420043945,2022-06-09
11.245200157165527,2022-06-10
10.555087089538574,2022-06-13
10.467916488647461,2022-06-14
10.729432106018066,2022-06-15
10.366214752197266,2022-06-16
10.409799575805664,2022-06-17
10.700374603271484,2022-06-21
10.642260551452637,2022-06-22
10.831132888793945,2022-06-23
11.107177734375,2022-06-24
11.237936019897461,2022-06-27
10.976421356201172,2022-06-28
10.810338020324707,2022-06-29
10.923576354980469,2022-06-30
11.09720516204834,2022-07-01
10.983968734741211,2022-07-05
10.991518020629883,2022-07-06
11.014164924621582,2022-07-07
10.938674926757812,2022-07-08
10.576316833496094,2022-07-11
10.757494926452637,2022-07-12
10.712200164794922,2022-07-13
10.719748497009277,2022-07-14
10.780143737792969,2022-07-15
10.832987785339355,2022-07-18
11.104755401611328,2022-07-19
11.150049209594727,2022-07-20
11.338777542114258,2022-07-21
11.24063777923584,2022-07-22
10.983968734741211,2022-07-25
10.757494926452637,2022-07-26
10.931123733520508,2022-07-27
11.00661563873291,2022-07-28
11.119853019714355,2022-07-29
11.285933494567871,2022-08-01
11.119853019714355,2022-08-02
11.278383255004883,2022-08-03
11.180246353149414,2022-08-04
11.21799087524414,2022-08-05
11.693586349487305,2022-08-08
11.497308731079102,2022-08-09
11.859665870666504,2022-08-10
11.920060157775879,2022-08-11
12.146533966064453,2022-08-12
12.289968490600586,2022-08-15
11.519956588745117,2022-08-16
11.46711254119873,2022-08-17
11.587898254394531,2022-08-18
11.489760398864746,2022-08-19
11.474661827087402,2022-08-22
11.572799682617188,2022-08-23
11.512407302856445,2022-08-24
11.565250396728516,2022-08-25
11.353875160217285,2022-08-26
11.331228256225586,2022-08-29
11.180246353149414,2022-08-30
11.180246353149414,2022-08-31
11.014164924621582,2022-09-01
11.089655876159668,2022-09-02
10.878281593322754,2022-09-06
11.036812782287598,2022-09-07
11.331228256225586,2022-09-08
11.361425399780273,2022-09-09
