CMI,Date
8.592230796813965,1999-08-18
8.46795654296875,1999-08-19
8.396949768066406,1999-08-20
8.556717872619629,1999-08-23
8.609977722167969,1999-08-24
8.663238525390625,1999-08-25
8.73423957824707,1999-08-26
8.769754409790039,1999-08-27
8.363186836242676,1999-08-30
8.452341079711914,1999-08-31
8.27402400970459,1999-09-01
8.247273445129395,1999-09-02
8.416681289672852,1999-09-03
8.488004684448242,1999-09-07
8.407763481140137,1999-09-08
7.819311141967773,1999-09-09
7.418092727661133,1999-09-10
6.990124702453613,1999-09-13
7.177359104156494,1999-09-14
7.507251262664795,1999-09-15
7.3467631340026855,1999-09-16
7.57857608795166,1999-09-17
7.4537529945373535,1999-09-20
7.355677127838135,1999-09-21
7.302182197570801,1999-09-22
7.177359104156494,1999-09-23
7.052535057067871,1999-09-24
7.177359104156494,1999-09-27
6.990124702453613,1999-09-28
7.150611400604248,1999-09-29
7.106034278869629,1999-09-30
7.177359104156494,1999-10-01
7.257602691650391,1999-10-04
7.025789260864258,1999-10-05
7.257602691650391,1999-10-06
7.40917444229126,1999-10-07
7.427006721496582,1999-10-08
7.5518293380737305,1999-10-11
7.516164302825928,1999-10-12
7.47158670425415,1999-10-13
7.355677127838135,1999-10-14
7.204106330871582,1999-10-15
7.248685359954834,1999-10-18
7.123865127563477,1999-10-19
7.061452865600586,1999-10-20
7.079285621643066,1999-10-21
7.177359104156494,1999-10-22
7.114943981170654,1999-10-25
7.159525394439697,1999-10-26
7.132780075073242,1999-10-27
7.043619632720947,1999-10-28
7.2308573722839355,1999-10-29
7.159525394439697,1999-11-01
7.248685359954834,1999-11-02
6.56215763092041,1999-11-03
6.357090473175049,1999-11-04
6.276843547821045,1999-11-05
6.152024269104004,1999-11-08
5.929121971130371,1999-11-09
6.0450310707092285,1999-11-10
6.0271992683410645,1999-11-11
5.982621669769287,1999-11-12
6.18768835067749,1999-11-15
6.259012222290039,1999-11-16
6.036114692687988,1999-11-17
6.08069372177124,1999-11-18
6.0985236167907715,1999-11-19
6.1698527336120605,1999-11-22
6.152024269104004,1999-11-23
6.01828145980835,1999-11-24
6.009365081787109,1999-11-26
5.998589038848877,1999-11-29
5.818992614746094,1999-11-30
5.684290409088135,1999-12-01
5.693272113800049,1999-12-02
5.612452507019043,1999-12-03
5.724704265594482,1999-12-06
5.783072471618652,1999-12-07
5.7471513748168945,1999-12-08
5.854911804199219,1999-12-09
5.908790588378906,1999-12-10
5.953690528869629,1999-12-13
5.935727596282959,1999-12-14
6.02553129196167,1999-12-15
6.178187847137451,1999-12-16
6.03450870513916,1999-12-17
5.944710731506348,1999-12-20
6.3128886222839355,1999-12-21
6.537388324737549,1999-12-22
6.752905368804932,1999-12-23
6.672085762023926,1999-12-27
6.815764904022217,1999-12-28
6.815764904022217,1999-12-29
6.851683139801025,1999-12-30
6.941481590270996,1999-12-31
6.7978057861328125,2000-01-03
6.609228610992432,2000-01-04
6.6182050704956055,2000-01-05
6.851683139801025,2000-01-06
7.031280040740967,2000-01-07
7.130062103271484,2000-01-10
6.725964069366455,2000-01-11
6.752905368804932,2000-01-12
6.8696441650390625,2000-01-13
6.708006381988525,2000-01-14
6.645148277282715,2000-01-18
6.49248743057251,2000-01-19
6.3488054275512695,2000-01-20
6.178187847137451,2000-01-21
5.989607334136963,2000-01-24
5.827972412109375,2000-01-25
5.845930576324463,2000-01-26
5.720213890075684,2000-01-27
5.549593448638916,2000-01-28
5.4957146644592285,2000-01-31
5.352035999298096,2000-02-01
5.2532572746276855,2000-02-02
5.3699951171875,2000-02-03
5.396934509277344,2000-02-04
5.334075450897217,2000-02-07
5.307135105133057,2000-02-08
5.2532572746276855,2000-02-09
5.26223611831665,2000-02-10
5.037736892700195,2000-02-11
5.082638263702393,2000-02-14
5.163457870483398,2000-02-15
5.325094699859619,2000-02-16
5.181417942047119,2000-02-17
5.854911804199219,2000-02-18
5.845930576324463,2000-02-22
5.4957146644592285,2000-02-23
5.028758525848389,2000-02-24
4.974879264831543,2000-02-25
4.873425006866455,2000-02-28
4.828132152557373,2000-02-29
4.909658908843994,2000-03-01
4.773780822753906,2000-03-02
5.0183587074279785,2000-03-03
4.782838821411133,2000-03-06
4.538264751434326,2000-03-07
4.502030372619629,2000-03-08
4.637906074523926,2000-03-09
4.637906074523926,2000-03-10
4.556380748748779,2000-03-13
4.5654377937316895,2000-03-14
4.8553056716918945,2000-03-15
5.38975191116333,2000-03-16
5.154236793518066,2000-03-17
5.2085862159729,2000-03-20
5.3988118171691895,2000-03-21
5.326345443725586,2000-03-22
5.5437469482421875,2000-03-23
5.525631427764893,2000-03-24
5.5709228515625,2000-03-27
5.3988118171691895,2000-03-28
5.453165531158447,2000-03-29
5.262935638427734,2000-03-30
5.444104194641113,2000-03-31
5.3988118171691895,2000-04-03
5.561864376068115,2000-04-04
5.480338096618652,2000-04-05
5.326345443725586,2000-04-06
5.28105354309082,2000-04-07
5.235762596130371,2000-04-10
5.244819641113281,2000-04-11
5.163293361663818,2000-04-12
5.598095893859863,2000-04-13
5.3082275390625,2000-04-14
5.317287921905518,2000-04-17
5.42598819732666,2000-04-18
5.244819641113281,2000-04-19
5.235762596130371,2000-04-20
5.262935638427734,2000-04-24
5.326345443725586,2000-04-25
5.244819641113281,2000-04-26
5.1814117431640625,2000-04-27
5.154236793518066,2000-04-28
5.136116027832031,2000-05-01
5.02741813659668,2000-05-02
4.918715953826904,2000-05-03
4.900600433349609,2000-05-04
4.945890426635742,2000-05-05
4.9277729988098145,2000-05-08
4.900600433349609,2000-05-09
4.882482051849365,2000-05-10
5.0183587074279785,2000-05-11
5.036476135253906,2000-05-12
4.95495080947876,2000-05-15
4.991183280944824,2000-05-16
4.95495080947876,2000-05-17
4.96400785446167,2000-05-18
4.93683385848999,2000-05-19
4.882482051849365,2000-05-22
4.819076061248779,2000-05-23
4.914188385009766,2000-05-24
4.7783122062683105,2000-05-25
4.728489875793457,2000-05-26
4.831799030303955,2000-05-30
4.758662223815918,2000-05-31
4.877511501312256,2000-06-01
4.900368690490723,2000-06-02
4.863799571990967,2000-06-05
4.818085193634033,2000-06-06
4.735802173614502,2000-06-07
4.626094341278076,2000-06-08
4.680948734283447,2000-06-09
4.690091133117676,2000-06-12
4.653519630432129,2000-06-13
4.735802173614502,2000-06-14
4.845513820648193,2000-06-15
4.776946544647217,2000-06-16
4.607809543609619,2000-06-19
4.552955150604248,2000-06-20
4.525528430938721,2000-06-21
4.443244934082031,2000-06-22
4.379246234893799,2000-06-23
4.397532939910889,2000-06-26
4.379246234893799,2000-06-27
4.301536560058594,2000-06-28
4.269537925720215,2000-06-29
3.9838359355926514,2000-06-30
4.141543865203857,2000-07-03
4.068403720855713,2000-07-05
4.178112983703613,2000-07-06
3.9952635765075684,2000-07-07
4.086690902709961,2000-07-10
4.3883891105651855,2000-07-11
4.168971061706543,2000-07-12
4.324392318725586,2000-07-13
4.470671653747559,2000-07-14
5.270638465881348,2000-07-17
5.302639007568359,2000-07-18
5.046647548675537,2000-07-19
4.845513820648193,2000-07-20
4.772373676300049,2000-07-21
4.82722806930542,2000-07-24
4.735802173614502,2000-07-25
4.607809543609619,2000-07-26
4.6718058586120605,2000-07-27
4.612381458282471,2000-07-28
4.6763787269592285,2000-07-31
4.83636999130249,2000-08-01
4.781517505645752,2000-08-02
4.772373676300049,2000-08-03
4.75408935546875,2000-08-04
4.83636999130249,2000-08-07
5.037505149841309,2000-08-08
4.964365482330322,2000-08-09
4.973506450653076,2000-08-10
5.092360019683838,2000-08-11
5.101502418518066,2000-08-14
4.955223083496094,2000-08-15
4.982651233673096,2000-08-16
5.055788993835449,2000-08-17
5.092360019683838,2000-08-18
5.147213459014893,2000-08-21
5.394062519073486,2000-08-22
5.174643039703369,2000-08-23
5.238641738891602,2000-08-24
5.238641738891602,2000-08-25
5.202071666717529,2000-08-28
5.256924629211426,2000-08-29
5.208985328674316,2000-08-30
5.236640930175781,2000-08-31
5.1444478034973145,2000-09-01
5.347277641296387,2000-09-05
5.291959285736084,2000-09-06
5.218203544616699,2000-09-07
5.116790294647217,2000-09-08
5.172104835510254,2000-09-11
5.116790294647217,2000-09-12
5.116790294647217,2000-09-13
5.135228633880615,2000-09-14
4.904743194580078,2000-09-15
4.784888744354248,2000-09-18
4.738793849945068,2000-09-19
4.738793849945068,2000-09-20
4.674256801605225,2000-09-21
4.6097211837768555,2000-09-22
4.628159046173096,2000-09-25
4.637379169464111,2000-09-26
4.425330638885498,2000-09-27
4.471429824829102,2000-09-28
4.416110992431641,2000-09-29
4.582062721252441,2000-10-02
4.794110298156738,2000-10-03
4.895522594451904,2000-10-04
4.720353603363037,2000-10-05
4.508306980133057,2000-10-06
4.508306980133057,2000-10-09
4.434551239013672,2000-10-10
4.333137035369873,2000-10-11
4.2870402336120605,2000-10-12
4.2870402336120605,2000-10-13
4.434551239013672,2000-10-16
4.388453960418701,2000-10-17
4.452991485595703,2000-10-18
4.600501537322998,2000-10-19
4.582062721252441,2000-10-20
4.665037631988525,2000-10-23
4.674256801605225,2000-10-24
4.674256801605225,2000-10-25
4.637379169464111,2000-10-26
4.683475494384766,2000-10-27
5.04303503036499,2000-10-30
5.015373229980469,2000-10-31
5.04303503036499,2000-11-01
5.098349094390869,2000-11-02
5.033813953399658,2000-11-03
5.190543174743652,2000-11-06
5.015373229980469,2000-11-07
4.978498458862305,2000-11-08
4.9877190589904785,2000-11-09
4.803326606750488,2000-11-10
4.794110298156738,2000-11-13
4.766450881958008,2000-11-14
4.9877190589904785,2000-11-15
4.849424839019775,2000-11-16
4.877083778381348,2000-11-17
4.812548637390137,2000-11-20
4.886303901672363,2000-11-21
4.812548637390137,2000-11-22
4.830987930297852,2000-11-24
4.904743194580078,2000-11-27
4.895522594451904,2000-11-28
5.070430278778076,2000-11-29
5.256500720977783,2000-11-30
5.470484256744385,2000-12-01
5.6472487449646,2000-12-04
5.516995906829834,2000-12-05
4.996001720428467,2000-12-06
4.9029645919799805,2000-12-07
5.126250267028809,2000-12-08
5.144856929779053,2000-12-11
5.340231895446777,2000-12-12
5.200679779052734,2000-12-13
5.0797319412231445,2000-12-14
4.958786964416504,2000-12-15
5.330929756164551,2000-12-18
5.014607906341553,2000-12-19
5.014607906341553,2000-12-20
5.061124324798584,2000-12-21
5.2844109535217285,2000-12-22
5.405357360839844,2000-12-26
5.582125186920166,2000-12-27
5.600733280181885,2000-12-28
5.6472487449646,2000-12-29
5.619337558746338,2001-01-02
5.712373733520508,2001-01-03
5.926355838775635,2001-01-04
5.75889253616333,2001-01-05
5.619337558746338,2001-01-08
5.637945652008057,2001-01-09
5.591428756713867,2001-01-10
5.544910907745361,2001-01-11
5.628643035888672,2001-01-12
5.740285873413086,2001-01-16
5.582125186920166,2001-01-17
5.637945652008057,2001-01-18
5.4890875816345215,2001-01-19
5.50769567489624,2001-01-22
5.619337558746338,2001-01-23
5.554214000701904,2001-01-24
5.554214000701904,2001-01-25
5.461179256439209,2001-01-26
5.509182929992676,2001-01-29
5.656552791595459,2001-01-30
5.585102558135986,2001-01-31
5.568728923797607,2001-02-01
5.53449010848999,2001-02-02
5.382653713226318,2001-02-05
5.470484256744385,2001-02-06
5.611895561218262,2001-02-07
5.486857891082764,2001-02-08
5.402007579803467,2001-02-09
5.470484256744385,2001-02-12
5.553843975067139,2001-02-13
5.515139102935791,2001-02-14
5.736936569213867,2001-02-15
5.5910539627075195,2001-02-16
5.533002853393555,2001-02-20
5.530025959014893,2001-02-21
5.454105854034424,2001-02-22
5.4183807373046875,2001-02-23
5.696745872497559,2001-02-26
5.641232490539551,2001-02-27
5.543710708618164,2001-02-28
5.644231796264648,2001-03-01
5.77476167678833,2001-03-02
6.010313034057617,2001-03-05
6.043317794799805,2001-03-06
6.392894268035889,2001-03-07
6.395897388458252,2001-03-08
6.311878204345703,2001-03-09
6.15134334564209,2001-03-12
6.158848285675049,2001-03-13
5.971303939819336,2001-03-14
5.995307445526123,2001-03-15
5.815267086029053,2001-03-16
5.998311996459961,2001-03-19
5.792766571044922,2001-03-20
5.608222484588623,2001-03-21
5.597723007202148,2001-03-22
5.488197326660156,2001-03-23
5.7222490310668945,2001-03-26
5.761258602142334,2001-03-27
5.659239292144775,2001-03-28
5.6562347412109375,2001-03-29
5.632229804992676,2001-03-30
5.5842204093933105,2001-04-02
5.402680397033691,2001-04-03
5.512204170227051,2001-04-04
5.569214820861816,2001-04-05
5.449190616607666,2001-04-06
5.524208068847656,2001-04-09
5.7582550048828125,2001-04-10
5.543710708618164,2001-04-11
5.777760982513428,2001-04-12
5.725248336791992,2001-04-16
5.761258602142334,2001-04-17
6.1363396644592285,2001-04-18
6.076328277587891,2001-04-19
5.983307361602783,2001-04-20
5.893287181854248,2001-04-23
5.930795192718506,2001-04-24
6.044821262359619,2001-04-25
6.082329273223877,2001-04-26
6.188852310180664,2001-04-27
6.211355209350586,2001-04-30
6.310374736785889,2001-05-01
6.308877944946289,2001-05-02
6.322380065917969,2001-05-03
6.4679131507873535,2001-05-04
6.487414836883545,2001-05-07
6.431904315948486,2001-05-08
6.4679131507873535,2001-05-09
6.586440086364746,2001-05-10
6.548928260803223,2001-05-11
6.455909729003906,2001-05-14
6.470912456512451,2001-05-15
6.758977890014648,2001-05-16
6.799483776092529,2001-05-17
6.724470615386963,2001-05-18
6.712470054626465,2001-05-21
6.721469402313232,2001-05-22
6.5294270515441895,2001-05-23
6.520424842834473,2001-05-24
6.544427394866943,2001-05-25
6.424407958984375,2001-05-29
6.2959747314453125,2001-05-30
6.398718357086182,2001-05-31
6.572473049163818,2001-06-01
6.551321506500244,2001-06-04
6.5634074211120605,2001-06-05
6.498435974121094,2001-06-06
6.513547897338867,2001-06-07
6.419870853424072,2001-06-08
6.155459880828857,2001-06-11
5.9847283363342285,2001-06-12
5.86234188079834,2001-06-13
5.891050815582275,2001-06-14
5.9197587966918945,2001-06-15
5.9907708168029785,2001-06-18
6.04667329788208,2001-06-19
6.149416923522949,2001-06-20
6.081427097320557,2001-06-21
5.937889099121094,2001-06-22
5.803417205810547,2001-06-25
