AMCR,Date
7.991968631744385,2018-09-17
7.991968631744385,2018-09-18
7.768864154815674,2018-09-19
7.768864154815674,2018-09-20
7.768864154815674,2018-09-21
7.768864154815674,2018-09-24
7.768864154815674,2018-09-25
7.888382911682129,2018-09-26
7.928223133087158,2018-09-27
7.928223133087158,2018-09-28
7.888382911682129,2018-10-01
7.888382911682129,2018-10-02
7.609503746032715,2018-10-03
7.609503746032715,2018-10-04
7.4899797439575195,2018-10-05
7.4899797439575195,2018-10-08
7.4899797439575195,2018-10-09
7.338586807250977,2018-10-10
7.338586807250977,2018-10-11
7.338586807250977,2018-10-12
7.410298824310303,2018-10-15
7.410298824310303,2018-10-16
7.410298824310303,2018-10-17
7.410298824310303,2018-10-18
7.171257972717285,2018-10-19
7.171257972717285,2018-10-22
7.171257972717285,2018-10-23
7.171257972717285,2018-10-24
7.171257972717285,2018-10-25
7.171257972717285,2018-10-26
7.171257972717285,2018-10-29
7.171257972717285,2018-10-30
7.171257972717285,2018-10-31
7.171257972717285,2018-11-01
7.171257972717285,2018-11-02
7.171257972717285,2018-11-05
7.641373634338379,2018-11-06
7.641373634338379,2018-11-07
7.768864154815674,2018-11-08
7.7290215492248535,2018-11-09
7.649341106414795,2018-11-12
7.768864154815674,2018-11-13
7.77683162689209,2018-11-14
7.928223133087158,2018-11-15
7.928223133087158,2018-11-16
7.928223133087158,2018-11-19
7.7290215492248535,2018-11-20
7.7290215492248535,2018-11-21
7.7290215492248535,2018-11-23
7.7290215492248535,2018-11-26
7.7290215492248535,2018-11-27
7.625436305999756,2018-11-28
7.856510162353516,2018-11-29
7.856510162353516,2018-11-30
7.856510162353516,2018-12-03
7.856510162353516,2018-12-04
7.856510162353516,2018-12-06
7.856510162353516,2018-12-07
7.856510162353516,2018-12-10
7.617471694946289,2018-12-11
7.649341106414795,2018-12-12
7.649341106414795,2018-12-13
7.649341106414795,2018-12-14
7.56966495513916,2018-12-17
7.56966495513916,2018-12-18
7.56966495513916,2018-12-19
7.370460510253906,2018-12-20
7.171257972717285,2018-12-21
7.171257972717285,2018-12-24
6.972057342529297,2018-12-26
6.972057342529297,2018-12-27
7.410298824310303,2018-12-28
7.410298824310303,2018-12-31
7.410298824310303,2019-01-02
7.410298824310303,2019-01-03
7.410298824310303,2019-01-04
7.56966495513916,2019-01-07
7.521851539611816,2019-01-08
7.52982234954834,2019-01-09
7.577630519866943,2019-01-10
7.577630519866943,2019-01-11
7.577630519866943,2019-01-14
7.450141906738281,2019-01-15
7.450141906738281,2019-01-16
7.625436305999756,2019-01-17
7.609503746032715,2019-01-18
7.609503746032715,2019-01-22
7.721054553985596,2019-01-23
7.721054553985596,2019-01-24
7.721054553985596,2019-01-25
7.721054553985596,2019-01-28
7.721054553985596,2019-01-29
7.721054553985596,2019-01-30
7.721054553985596,2019-01-31
7.721054553985596,2019-02-01
7.721054553985596,2019-02-04
8.039777755737305,2019-02-05
8.039777755737305,2019-02-06
8.207108497619629,2019-02-07
8.207108497619629,2019-02-08
8.183201789855957,2019-02-11
8.183201789855957,2019-02-12
8.183201789855957,2019-02-13
8.183201789855957,2019-02-14
8.183201789855957,2019-02-15
8.183201789855957,2019-02-19
8.183201789855957,2019-02-20
8.183201789855957,2019-02-21
8.183201789855957,2019-02-22
8.52582836151123,2019-02-25
8.52582836151123,2019-02-26
8.52582836151123,2019-02-27
8.52582836151123,2019-02-28
8.52582836151123,2019-03-01
8.697338104248047,2019-03-04
8.372203826904297,2019-03-05
8.404717445373535,2019-03-06
8.404717445373535,2019-03-07
8.404717445373535,2019-03-08
8.404717445373535,2019-03-11
8.526640892028809,2019-03-12
8.510383605957031,2019-03-13
8.510383605957031,2019-03-14
8.510383605957031,2019-03-15
8.510383605957031,2019-03-18
8.510383605957031,2019-03-19
8.510383605957031,2019-03-20
8.689208984375,2019-03-21
8.778621673583984,2019-03-22
8.762362480163574,2019-03-25
8.762362480163574,2019-03-26
8.778621673583984,2019-03-27
8.737979888916016,2019-03-28
8.737979888916016,2019-03-29
