Date,DISCK
2011-04-29,20.1327
2011-05-02,20.3163
2011-05-03,20.2857
2011-05-04,20.0459
2011-05-05,20.0153
2011-05-06,20.3725
2011-05-09,20.2704
2011-05-10,20.352
2011-05-11,20.0
2011-05-12,20.3827
2011-05-13,20.1786
2011-05-16,19.8163
2011-05-17,19.7653
2011-05-18,20.2857
2011-05-19,20.5153
2011-05-20,20.2908
2011-05-23,20.0204
2011-05-24,19.6378
2011-05-25,19.6378
2011-05-26,19.6684
2011-05-27,19.6378
2011-05-31,19.8112
2011-06-01,19.4949
2011-06-02,19.3673
2011-06-03,19.0867
2011-06-06,18.6429
2011-06-07,18.801
2011-06-08,18.5714
2011-06-09,18.7398
2011-06-10,18.2653
2011-06-13,18.301
2011-06-14,18.5969
2011-06-15,18.1786
2011-06-16,18.5714
2011-06-17,18.6633
2011-06-20,18.8316
2011-06-21,19.2092
2011-06-22,19.051
2011-06-23,18.6122
2011-06-24,18.3265
2011-06-27,18.3673
2011-06-28,18.4847
2011-06-29,18.5357
2011-06-30,18.648
2011-07-01,19.0663
2011-07-05,19.301
2011-07-06,19.1224
2011-07-07,19.4898
2011-07-08,19.1531
2011-07-11,19.0612
2011-07-12,19.25
2011-07-13,19.2194
2011-07-14,19.148
2011-07-15,19.0867
2011-07-18,18.6378
2011-07-19,18.7194
2011-07-20,18.5
2011-07-21,18.8265
2011-07-22,18.8316
2011-07-25,18.449
2011-07-26,18.5102
2011-07-27,18.4439
2011-07-28,18.6224
2011-07-29,18.3827
2011-08-01,18.1378
2011-08-02,17.5765
2011-08-03,17.4541
2011-08-04,16.7653
2011-08-05,17.2653
2011-08-08,16.1531
2011-08-09,17.3673
2011-08-10,17.102
2011-08-11,17.9031
2011-08-12,18.3112
2011-08-15,18.6582
2011-08-16,18.7041
2011-08-17,18.5357
2011-08-18,17.2245
2011-08-19,17.1939
2011-08-22,16.8929
2011-08-23,17.8316
2011-08-24,18.2959
2011-08-25,18.199
2011-08-26,18.7857
2011-08-29,19.2194
2011-08-30,19.7245
2011-08-31,20.1582
2011-09-01,20.0255
2011-09-02,19.7806
2011-09-06,19.3776
2011-09-07,19.5663
2011-09-08,19.1071
2011-09-09,18.7245
2011-09-12,18.4031
2011-09-13,18.6633
2011-09-14,19.1327
2011-09-15,19.4949
2011-09-16,19.1786
2011-09-19,19.2398
2011-09-20,19.3622
2011-09-21,19.3571
2011-09-22,18.8316
2011-09-23,19.4541
2011-09-26,19.7959
2011-09-27,19.5612
2011-09-28,18.7194
2011-09-29,18.4184
2011-09-30,17.9337
2011-10-03,17.4133
2011-10-04,17.8214
2011-10-05,18.1531
2011-10-06,18.5816
2011-10-07,18.4337
2011-10-10,19.0459
2011-10-11,19.3316
2011-10-12,19.5561
2011-10-13,19.5561
2011-10-14,19.9898
2011-10-17,19.7908
2011-10-18,19.8776
2011-10-19,19.6582
2011-10-20,19.75
2011-10-21,20.5
2011-10-24,20.6327
2011-10-25,20.301
2011-10-26,20.0408
2011-10-27,20.2857
2011-10-28,20.0
2011-10-31,20.1888
2011-11-01,19.6276
2011-11-02,20.4337
2011-11-03,20.6378
2011-11-04,20.5204
2011-11-07,20.8112
2011-11-08,21.3265
2011-11-09,19.8622
2011-11-10,19.7806
2011-11-11,20.0714
2011-11-14,20.0867
2011-11-15,19.7398
2011-11-16,19.5918
2011-11-17,19.1378
2011-11-18,19.1327
2011-11-21,18.8673
2011-11-22,19.0969
2011-11-23,18.4643
2011-11-25,18.3929
2011-11-28,18.5
2011-11-29,18.5765
2011-11-30,19.3061
2011-12-01,19.1122
2011-12-02,19.4694
2011-12-05,19.3316
2011-12-06,19.4082
2011-12-07,19.3878
2011-12-08,19.0714
2011-12-09,19.3622
2011-12-12,19.2755
2011-12-13,19.2347
2011-12-14,18.8265
2011-12-15,18.7806
2011-12-16,18.5969
2011-12-19,18.4592
2011-12-20,18.9133
2011-12-21,18.8469
2011-12-22,18.8265
2011-12-23,18.9694
2011-12-27,19.0051
2011-12-28,19.1735
2011-12-29,19.1224
2011-12-30,19.2347
2012-01-03,19.2857
2012-01-04,19.1327
2012-01-05,18.949
2012-01-06,19.0408
2012-01-09,19.1122
2012-01-10,19.4592
2012-01-11,19.6837
2012-01-12,20.0918
2012-01-13,20.2143
2012-01-17,20.3265
2012-01-18,20.3878
2012-01-19,20.75
2012-01-20,20.398
2012-01-23,20.2908
2012-01-24,20.3418
2012-01-25,20.4235
2012-01-26,20.3418
2012-01-27,19.9949
2012-01-30,19.8622
2012-01-31,19.8214
2012-02-01,20.0306
2012-02-02,19.8725
2012-02-03,20.0714
2012-02-06,20.2959
2012-02-07,20.6939
2012-02-08,20.8367
2012-02-09,20.7908
2012-02-10,20.9388
2012-02-13,21.102
2012-02-14,21.1531
2012-02-15,21.1837
2012-02-16,21.0357
2012-02-17,21.1888
2012-02-21,20.9286
2012-02-22,20.8061
2012-02-23,20.8418
2012-02-24,20.9898
2012-02-27,21.0714
2012-02-28,21.7092
2012-02-29,22.1735
2012-03-01,22.1429
2012-03-02,22.602
2012-03-05,22.7296
2012-03-06,22.1327
2012-03-07,22.102
2012-03-08,22.5867
2012-03-09,22.4847
2012-03-12,22.2908
2012-03-13,23.0765
2012-03-14,22.7398
2012-03-15,22.7857
2012-03-16,23.0561
2012-03-19,23.1939
2012-03-20,22.8061
2012-03-21,23.4133
2012-03-22,23.3929
2012-03-23,23.6786
2012-03-26,23.6735
2012-03-27,23.5459
2012-03-28,23.4235
2012-03-29,23.449
2012-03-30,23.9184
2012-04-02,24.1276
2012-04-03,24.2092
2012-04-04,24.3061
2012-04-05,24.4643
2012-04-09,24.3061
2012-04-10,23.8571
2012-04-11,24.2857
2012-04-12,24.5867
2012-04-13,24.602
2012-04-16,24.3776
2012-04-17,24.5102
2012-04-18,24.551
2012-04-19,24.3878
2012-04-20,24.5867
2012-04-23,24.25
2012-04-24,24.4388
2012-04-25,24.6582
2012-04-26,25.0255
2012-04-27,25.7092
2012-04-30,25.352
2012-05-01,25.2041
2012-05-02,25.4439
2012-05-03,25.7398
2012-05-04,25.1327
2012-05-07,25.1837
2012-05-08,24.0612
2012-05-09,24.0918
2012-05-10,23.9592
2012-05-11,24.2398
2012-05-14,23.8827
2012-05-15,23.9439
2012-05-16,24.1122
2012-05-17,22.7704
2012-05-18,22.4745
2012-05-21,23.2551
2012-05-22,23.4133
2012-05-23,23.5459
2012-05-24,23.6633
2012-05-25,23.9949
2012-05-29,24.1786
2012-05-30,23.8571
2012-05-31,23.7704
2012-06-01,23.0612
2012-06-04,22.949
2012-06-05,23.2908
2012-06-06,23.7704
2012-06-07,24.0867
2012-06-08,24.2857
2012-06-11,24.3367
2012-06-12,24.6939
2012-06-13,23.8827
2012-06-14,23.9643
2012-06-15,24.2704
2012-06-18,24.5867
2012-06-19,24.9184
2012-06-20,25.3673
2012-06-21,25.2653
2012-06-22,25.2908
2012-06-25,25.1327
2012-06-26,25.148
2012-06-27,25.2959
2012-06-28,25.1684
2012-06-29,25.5561
2012-07-02,26.0408
2012-07-03,26.0255
2012-07-05,25.699
2012-07-06,25.2857
2012-07-09,24.4133
2012-07-10,23.7194
2012-07-11,23.6071
2012-07-12,23.5306
2012-07-13,23.6837
2012-07-16,23.0969
2012-07-17,23.6224
2012-07-18,23.6071
2012-07-19,23.9337
2012-07-20,23.6378
2012-07-23,23.301
2012-07-24,23.2092
2012-07-25,23.4898
2012-07-26,23.9694
2012-07-27,24.6735
2012-07-30,24.0255
2012-07-31,23.7857
2012-08-01,23.4592
2012-08-02,23.9949
2012-08-03,24.7857
2012-08-06,25.2653
2012-08-07,25.7806
2012-08-08,25.8214
2012-08-09,25.8724
2012-08-10,26.2245
2012-08-13,26.0204
2012-08-14,25.4745
2012-08-15,25.5663
2012-08-16,25.551
2012-08-17,25.3622
2012-08-20,25.1327
2012-08-21,25.2908
2012-08-22,25.1888
2012-08-23,24.9286
2012-08-24,25.5612
2012-08-27,25.8316
2012-08-28,25.7041
2012-08-29,25.8265
2012-08-30,26.0408
2012-08-31,26.4337
2012-09-04,26.5663
2012-09-05,26.398
2012-09-06,26.6633
2012-09-07,26.7704
2012-09-10,26.6327
2012-09-11,26.4898
2012-09-12,26.7602
2012-09-13,27.5612
2012-09-14,27.7755
2012-09-17,27.7857
2012-09-18,27.898
2012-09-19,28.3827
2012-09-20,28.3776
2012-09-21,28.4184
2012-09-24,28.1531
2012-09-25,27.8112
2012-09-26,27.9286
2012-09-27,28.4643
2012-09-28,28.5918
2012-10-01,28.7398
2012-10-02,28.5765
2012-10-03,28.7602
2012-10-04,29.1225
2012-10-05,29.2194
2012-10-08,28.8163
2012-10-09,28.4082
2012-10-10,28.6378
2012-10-11,28.8827
2012-10-12,28.9337
2012-10-15,29.3214
2012-10-16,29.4541
2012-10-17,29.1225
2012-10-18,29.3061
2012-10-19,28.6531
2012-10-22,28.8827
2012-10-23,28.4235
2012-10-24,28.0357
2012-10-25,27.8571
2012-10-26,27.4235
2012-10-31,27.949
2012-11-01,28.7755
2012-11-02,28.1429
2012-11-05,27.8469
2012-11-06,27.0867
2012-11-07,26.7449
2012-11-08,26.3571
2012-11-09,26.8112
2012-11-12,26.4796
2012-11-13,26.9082
2012-11-14,26.1633
2012-11-15,26.2449
2012-11-16,26.2041
2012-11-19,27.0663
2012-11-20,27.3163
2012-11-21,27.2857
2012-11-23,27.648
2012-11-26,27.6173
2012-11-27,27.5765
2012-11-28,28.0918
2012-11-29,28.4643
2012-11-30,28.7143
2012-12-03,28.4949
2012-12-04,28.6224
2012-12-05,29.102
2012-12-06,29.3265
2012-12-07,29.0102
2012-12-10,28.5969
2012-12-11,29.2245
2012-12-12,29.25
2012-12-13,28.6122
2012-12-14,28.7398
2012-12-17,29.3214
2012-12-18,30.0357
2012-12-19,29.8265
2012-12-20,29.852
2012-12-21,29.7398
2012-12-24,29.7296
2012-12-26,29.5969
2012-12-27,29.3367
2012-12-28,29.1429
2012-12-31,29.8469
2013-01-02,30.6939
2013-01-03,30.7806
2013-01-04,30.9898
2013-01-07,30.7194
2013-01-08,31.6173
2013-01-09,31.5918
2013-01-10,31.4592
2013-01-11,31.6786
2013-01-14,31.5255
2013-01-15,31.3878
2013-01-16,31.4235
2013-01-17,31.6276
2013-01-18,31.5612
2013-01-22,31.5306
2013-01-23,31.5255
2013-01-24,31.7347
2013-01-25,32.0408
2013-01-28,32.148
2013-01-29,32.199
2013-01-30,32.2908
2013-01-31,32.5051
2013-02-01,32.75
2013-02-04,32.5051
2013-02-05,32.6327
2013-02-06,32.4847
2013-02-07,32.8214
2013-02-08,32.9592
2013-02-11,32.8112
2013-02-12,32.7653
2013-02-13,32.8112
2013-02-14,32.5306
2013-02-15,32.148
2013-02-19,32.1531
2013-02-20,31.7449
2013-02-21,31.4388
2013-02-22,32.1429
2013-02-25,32.1378
2013-02-26,32.2398
2013-02-27,33.0867
2013-02-28,32.9082
2013-03-01,33.7602
2013-03-04,34.0102
2013-03-05,34.7398
2013-03-06,33.9184
2013-03-07,35.4592
2013-03-08,35.7092
2013-03-11,35.7653
2013-03-12,35.6735
2013-03-13,35.7551
2013-03-14,36.0204
2013-03-15,35.3775
2013-03-18,35.4439
2013-03-19,35.5561
2013-03-20,35.9694
2013-03-21,35.5918
2013-03-22,35.6735
2013-03-25,35.5051
2013-03-26,35.5918
2013-03-27,35.449
2013-03-28,35.4796
2013-04-01,35.699
2013-04-02,35.7245
2013-04-03,35.6276
2013-04-04,35.5714
2013-04-05,35.7092
2013-04-08,35.9949
2013-04-09,36.0612
2013-04-10,37.1275
2013-04-11,37.2857
2013-04-12,37.4898
2013-04-15,36.2755
2013-04-16,36.352
2013-04-17,36.2653
2013-04-18,35.7143
2013-04-19,36.2296
2013-04-22,36.1735
2013-04-23,36.1786
2013-04-24,36.1327
2013-04-25,36.3724
2013-04-26,36.1122
2013-04-29,36.1582
2013-04-30,36.1684
2013-05-01,36.0
2013-05-02,36.6633
2013-05-03,36.5306
2013-05-06,36.352
2013-05-07,35.9541
2013-05-08,35.6224
2013-05-09,35.9184
2013-05-10,36.2398
2013-05-13,35.6429
2013-05-14,36.0051
2013-05-15,36.0816
2013-05-16,35.8265
