QRVO,Date
78.81999969482422,2018-02-14
78.55999755859375,2018-02-15
77.30999755859375,2018-02-16
80.16999816894531,2018-02-20
79.94999694824219,2018-02-21
78.5,2018-02-22
80.12999725341797,2018-02-23
81.4800033569336,2018-02-26
81.20999908447266,2018-02-27
80.70999908447266,2018-02-28
78.61000061035156,2018-03-01
81.12999725341797,2018-03-02
83.19000244140625,2018-03-05
83.68000030517578,2018-03-06
83.31999969482422,2018-03-07
84.2300033569336,2018-03-08
85.51000213623047,2018-03-09
86.38999938964844,2018-03-12
83.41999816894531,2018-03-13
82.22000122070312,2018-03-14
79.0,2018-03-15
80.75,2018-03-16
78.41999816894531,2018-03-19
75.06999969482422,2018-03-20
74.18000030517578,2018-03-21
72.6500015258789,2018-03-22
71.55000305175781,2018-03-23
73.33999633789062,2018-03-26
70.2300033569336,2018-03-27
68.54000091552734,2018-03-28
70.44999694824219,2018-03-29
68.52999877929688,2018-04-02
69.70999908447266,2018-04-03
71.51000213623047,2018-04-04
71.41000366210938,2018-04-05
69.72000122070312,2018-04-06
69.58999633789062,2018-04-09
71.23999786376953,2018-04-10
72.19999694824219,2018-04-11
72.51000213623047,2018-04-12
72.55000305175781,2018-04-13
72.27999877929688,2018-04-16
73.47000122070312,2018-04-17
73.12000274658203,2018-04-18
70.62999725341797,2018-04-19
69.87999725341797,2018-04-20
68.68000030517578,2018-04-23
68.05999755859375,2018-04-24
67.66000366210938,2018-04-25
68.4800033569336,2018-04-26
67.37999725341797,2018-04-27
67.4000015258789,2018-04-30
71.80000305175781,2018-05-01
74.23999786376953,2018-05-02
76.7300033569336,2018-05-03
79.48999786376953,2018-05-04
79.63999938964844,2018-05-07
79.88999938964844,2018-05-08
80.20999908447266,2018-05-09
81.98999786376953,2018-05-10
81.63999938964844,2018-05-11
81.66999816894531,2018-05-14
80.0999984741211,2018-05-15
81.05000305175781,2018-05-16
80.61000061035156,2018-05-17
79.58999633789062,2018-05-18
81.1500015258789,2018-05-21
80.77999877929688,2018-05-22
81.30000305175781,2018-05-23
81.2300033569336,2018-05-24
81.48999786376953,2018-05-25
79.94000244140625,2018-05-29
80.93000030517578,2018-05-30
80.25,2018-05-31
81.80999755859375,2018-06-01
81.69000244140625,2018-06-04
81.72000122070312,2018-06-05
80.08999633789062,2018-06-06
81.04000091552734,2018-06-07
80.16000366210938,2018-06-08
79.83000183105469,2018-06-11
80.7300033569336,2018-06-12
80.4000015258789,2018-06-13
83.6500015258789,2018-06-14
85.12000274658203,2018-06-15
85.79000091552734,2018-06-18
83.51000213623047,2018-06-19
83.45999908447266,2018-06-20
82.2300033569336,2018-06-21
82.05000305175781,2018-06-22
80.36000061035156,2018-06-25
81.72000122070312,2018-06-26
79.88999938964844,2018-06-27
80.4800033569336,2018-06-28
80.16999816894531,2018-06-29
80.0999984741211,2018-07-02
77.44000244140625,2018-07-03
81.81999969482422,2018-07-05
81.52999877929688,2018-07-06
82.58000183105469,2018-07-09
83.29000091552734,2018-07-10
80.26000213623047,2018-07-11
81.9800033569336,2018-07-12
81.37000274658203,2018-07-13
81.33000183105469,2018-07-16
82.72000122070312,2018-07-17
82.4000015258789,2018-07-18
83.76000213623047,2018-07-19
81.19999694824219,2018-07-20
82.54000091552734,2018-07-23
81.22000122070312,2018-07-24
81.25,2018-07-25
82.19999694824219,2018-07-26
81.72000122070312,2018-07-27
80.83000183105469,2018-07-30
81.76000213623047,2018-07-31
82.18000030517578,2018-08-01
84.41000366210938,2018-08-02
84.18000030517578,2018-08-03
85.19999694824219,2018-08-06
86.05999755859375,2018-08-07
85.55000305175781,2018-08-08
85.51000213623047,2018-08-09
83.19000244140625,2018-08-10
83.11000061035156,2018-08-13
82.79000091552734,2018-08-14
81.94999694824219,2018-08-15
82.16000366210938,2018-08-16
81.5,2018-08-17
78.18000030517578,2018-08-20
81.0999984741211,2018-08-21
80.62000274658203,2018-08-22
79.19999694824219,2018-08-23
79.62999725341797,2018-08-24
79.58999633789062,2018-08-27
79.83000183105469,2018-08-28
80.29000091552734,2018-08-29
79.4000015258789,2018-08-30
80.08999633789062,2018-08-31
80.27999877929688,2018-09-04
79.68000030517578,2018-09-05
75.12999725341797,2018-09-06
74.94999694824219,2018-09-07
73.9800033569336,2018-09-10
73.37000274658203,2018-09-11
73.45999908447266,2018-09-12
75.30000305175781,2018-09-13
75.73999786376953,2018-09-14
73.97000122070312,2018-09-17
75.04000091552734,2018-09-18
76.80999755859375,2018-09-19
78.66999816894531,2018-09-20
78.62000274658203,2018-09-21
78.44999694824219,2018-09-24
76.25,2018-09-25
75.05999755859375,2018-09-26
74.72000122070312,2018-09-27
76.88999938964844,2018-09-28
77.0999984741211,2018-10-01
77.29000091552734,2018-10-02
76.25,2018-10-03
76.16999816894531,2018-10-04
72.69000244140625,2018-10-05
72.9800033569336,2018-10-08
74.33999633789062,2018-10-09
70.29000091552734,2018-10-10
71.38999938964844,2018-10-11
72.68000030517578,2018-10-12
72.62999725341797,2018-10-15
75.44999694824219,2018-10-16
75.41999816894531,2018-10-17
73.4000015258789,2018-10-18
72.3499984741211,2018-10-19
72.87999725341797,2018-10-22
72.30000305175781,2018-10-23
68.18000030517578,2018-10-24
70.9800033569336,2018-10-25
69.73999786376953,2018-10-26
69.31999969482422,2018-10-29
70.94999694824219,2018-10-30
73.51000213623047,2018-10-31
78.48999786376953,2018-11-01
74.0,2018-11-02
69.31999969482422,2018-11-05
70.01000213623047,2018-11-06
70.27999877929688,2018-11-07
70.7300033569336,2018-11-08
68.1500015258789,2018-11-09
63.79999923706055,2018-11-12
63.650001525878906,2018-11-13
62.880001068115234,2018-11-14
65.16000366210938,2018-11-15
66.31999969482422,2018-11-16
63.150001525878906,2018-11-19
62.02000045776367,2018-11-20
63.58000183105469,2018-11-21
64.33000183105469,2018-11-23
65.47000122070312,2018-11-26
64.83000183105469,2018-11-27
67.0199966430664,2018-11-28
65.29000091552734,2018-11-29
65.80999755859375,2018-11-30
67.75,2018-12-03
64.16000366210938,2018-12-04
62.720001220703125,2018-12-06
61.130001068115234,2018-12-07
59.52000045776367,2018-12-10
59.58000183105469,2018-12-11
60.63999938964844,2018-12-12
60.77000045776367,2018-12-13
60.52000045776367,2018-12-14
60.34000015258789,2018-12-17
61.70000076293945,2018-12-18
59.63999938964844,2018-12-19
59.79999923706055,2018-12-20
57.68000030517578,2018-12-21
56.470001220703125,2018-12-24
60.02000045776367,2018-12-26
60.38999938964844,2018-12-27
60.790000915527344,2018-12-28
60.72999954223633,2018-12-31
61.18000030517578,2019-01-02
55.63999938964844,2019-01-03
59.369998931884766,2019-01-04
59.779998779296875,2019-01-07
59.369998931884766,2019-01-08
60.45000076293945,2019-01-09
