TT,Date
0.6560642719268799,1982-07-28
0.6602832674980164,1982-07-29
0.645516574382782,1982-07-30
0.645516574382782,1982-08-02
0.6434061527252197,1982-08-03
0.6412979364395142,1982-08-04
0.6412979364395142,1982-08-05
0.6286402940750122,1982-08-06
0.6223114728927612,1982-08-09
0.6244212985038757,1982-08-10
0.6244212985038757,1982-08-11
0.6117638349533081,1982-08-12
0.6244212985038757,1982-08-13
0.6328592300415039,1982-08-16
0.670831024646759,1982-08-17
0.6834881901741028,1982-08-18
0.666611909866333,1982-08-19
0.6834881901741028,1982-08-20
0.700364351272583,1982-08-23
0.7130220532417297,1982-08-24
0.7214590907096863,1982-08-25
0.7256788015365601,1982-08-26
0.7235689759254456,1982-08-27
0.7235689759254456,1982-08-30
0.7214590907096863,1982-08-31
0.7256788015365601,1982-09-01
0.7214590907096863,1982-09-02
0.7298974990844727,1982-09-03
0.7256788015365601,1982-09-07
0.6961448788642883,1982-09-08
0.700364351272583,1982-09-09
0.6961448788642883,1982-09-10
0.6961448788642883,1982-09-13
0.7066932916641235,1982-09-14
0.7088024020195007,1982-09-15
0.7024737596511841,1982-09-16
0.6877067685127258,1982-09-17
0.6623927354812622,1982-09-20
0.6370782852172852,1982-09-21
0.6244212985038757,1982-09-22
0.6075447201728821,1982-09-23
0.6223114728927612,1982-09-24
0.6223114728927612,1982-09-27
0.6117638349533081,1982-09-28
0.6223114728927612,1982-09-29
0.6202021241188049,1982-09-30
0.6117638349533081,1982-10-01
0.6075447201728821,1982-10-04
0.6075447201728821,1982-10-05
0.6202021241188049,1982-10-06
0.618092954158783,1982-10-07
0.6518451571464539,1982-10-08
0.6750501394271851,1982-10-11
0.6813786029815674,1982-10-12
0.7024737596511841,1982-10-13
0.6940355896949768,1982-10-14
0.700364351272583,1982-10-15
0.7151307463645935,1982-10-18
0.7277880907058716,1982-10-19
0.7172409296035767,1982-10-20
0.7214590907096863,1982-10-21
0.7362262606620789,1982-10-22
0.7109119296073914,1982-10-25
0.7045833468437195,1982-10-26
0.6834881901741028,1982-10-27
0.6792691349983215,1982-10-28
0.6581739187240601,1982-10-29
0.670831024646759,1982-11-01
0.6497349143028259,1982-11-02
0.6855974793434143,1982-11-03
0.6792691349983215,1982-11-04
0.6581739187240601,1982-11-05
0.6687217354774475,1982-11-08
0.7256788015365601,1982-11-09
0.7446646690368652,1982-11-10
0.7425551414489746,1982-11-11
0.7362262606620789,1982-11-12
0.7298974990844727,1982-11-15
0.7088024020195007,1982-11-16
0.6982550621032715,1982-11-17
0.7045833468437195,1982-11-18
0.6961448788642883,1982-11-19
0.670831024646759,1982-11-22
0.672940194606781,1982-11-23
0.670831024646759,1982-11-24
0.6560642719268799,1982-11-26
0.645516574382782,1982-11-29
0.6581739187240601,1982-11-30
0.6497349143028259,1982-12-01
0.6476260423660278,1982-12-02
0.6497349143028259,1982-12-03
0.6581739187240601,1982-12-06
0.6623927354812622,1982-12-07
0.6750501394271851,1982-12-08
0.6581739187240601,1982-12-09
0.6412979364395142,1982-12-10
0.6560642719268799,1982-12-13
0.6497349143028259,1982-12-14
0.6307496428489685,1982-12-15
0.6244212985038757,1982-12-16
0.645516574382782,1982-12-17
0.6518451571464539,1982-12-20
0.6497349143028259,1982-12-21
0.6497349143028259,1982-12-22
0.6602832674980164,1982-12-23
0.6750501394271851,1982-12-27
0.6581739187240601,1982-12-28
0.6581739187240601,1982-12-29
0.6645021438598633,1982-12-30
0.666611909866333,1982-12-31
0.6581739187240601,1983-01-03
0.666611909866333,1983-01-04
0.6877067685127258,1983-01-05
0.7151307463645935,1983-01-06
0.7045833468437195,1983-01-07
0.7130220532417297,1983-01-10
0.7256788015365601,1983-01-11
0.7467741370201111,1983-01-12
0.7341167330741882,1983-01-13
0.7298974990844727,1983-01-14
0.7467741370201111,1983-01-17
0.7509927153587341,1983-01-18
0.7509927153587341,1983-01-19
0.7362262606620789,1983-01-20
0.7214590907096863,1983-01-21
0.7109119296073914,1983-01-24
0.7214590907096863,1983-01-25
0.7298974990844727,1983-01-26
0.7341167330741882,1983-01-27
0.7088024020195007,1983-01-28
0.7130220532417297,1983-01-31
0.7130220532417297,1983-02-01
0.7172409296035767,1983-02-02
0.7151307463645935,1983-02-03
0.7214590907096863,1983-02-04
0.7383358478546143,1983-02-07
0.7509927153587341,1983-02-08
0.767869770526886,1983-02-09
0.7657593488693237,1983-02-10
0.7768883109092712,1983-02-11
0.7768883109092712,1983-02-14
0.785449206829071,1983-02-15
0.7790294289588928,1983-02-16
0.7726083993911743,1983-02-17
0.7790294289588928,1983-02-18
0.7447858452796936,1983-02-22
0.785449206829071,1983-02-23
