PXD,Date
6.3232645988464355,2000-03-06
6.842339515686035,2000-03-07
6.889528751373291,2000-03-08
7.1254706382751465,2000-03-09
6.747962951660156,2000-03-10
6.370455741882324,2000-03-13
6.606398582458496,2000-03-14
6.464831829071045,2000-03-15
6.983907699584961,2000-03-16
6.795152187347412,2000-03-17
6.6535868644714355,2000-03-20
6.795152187347412,2000-03-21
6.983907699584961,2000-03-22
6.889528751373291,2000-03-23
7.078283786773682,2000-03-24
6.983907699584961,2000-03-27
6.795152187347412,2000-03-28
6.936716556549072,2000-03-29
7.550168514251709,2000-03-30
7.927674770355225,2000-03-31
7.927674770355225,2000-04-03
7.502979755401611,2000-04-04
7.361413955688477,2000-04-05
7.550168514251709,2000-04-06
7.455792427062988,2000-04-07
6.936716556549072,2000-04-10
6.936716556549072,2000-04-11
7.314228534698486,2000-04-12
7.361413955688477,2000-04-13
7.361413955688477,2000-04-14
7.219848155975342,2000-04-17
7.408602714538574,2000-04-18
7.361413955688477,2000-04-19
7.219848155975342,2000-04-20
7.408602714538574,2000-04-24
7.64454460144043,2000-04-25
7.1726603507995605,2000-04-26
7.64454460144043,2000-04-27
7.786113739013672,2000-04-28
7.927674770355225,2000-05-01
8.069243431091309,2000-05-02
7.927674770355225,2000-05-03
8.777069091796875,2000-05-04
9.154581069946289,2000-05-05
8.9186372756958,2000-05-08
8.729883193969727,2000-05-09
8.635504722595215,2000-05-10
9.154581069946289,2000-05-11
9.060200691223145,2000-05-12
9.437711715698242,2000-05-15
9.62646770477295,2000-05-16
10.192728042602539,2000-05-17
9.909600257873535,2000-05-18
10.05116081237793,2000-05-19
10.098355293273926,2000-05-22
9.909600257873535,2000-05-23
9.815217018127441,2000-05-24
9.815217018127441,2000-05-25
10.617425918579102,2000-05-26
10.664615631103516,2000-05-30
11.27806568145752,2000-05-31
10.947746276855469,2000-06-01
10.806177139282227,2000-06-02
10.42867374420166,2000-06-05
10.42867374420166,2000-06-06
10.28710651397705,2000-06-07
10.28710651397705,2000-06-08
10.239916801452637,2000-06-09
10.475860595703125,2000-06-12
10.57023811340332,2000-06-13
10.42867374420166,2000-06-14
10.28710651397705,2000-06-15
10.381482124328613,2000-06-16
10.381482124328613,2000-06-19
10.05116081237793,2000-06-20
10.192728042602539,2000-06-21
9.862409591674805,2000-06-22
9.720843315124512,2000-06-23
9.62646770477295,2000-06-26
9.62646770477295,2000-06-27
9.720843315124512,2000-06-28
9.154581069946289,2000-06-29
9.638262748718262,2000-06-30
9.815217018127441,2000-07-03
9.154581069946289,2000-07-05
9.390522956848145,2000-07-06
9.154581069946289,2000-07-07
9.154581069946289,2000-07-10
9.532088279724121,2000-07-11
9.29614543914795,2000-07-12
9.34333324432373,2000-07-13
9.248955726623535,2000-07-14
9.060200691223145,2000-07-17
9.201767921447754,2000-07-18
8.9186372756958,2000-07-19
8.87144947052002,2000-07-20
8.54112720489502,2000-07-21
8.116432189941406,2000-07-24
8.210809707641602,2000-07-25
8.54112720489502,2000-07-26
8.493941307067871,2000-07-27
8.305185317993164,2000-07-28
8.116432189941406,2000-07-31
8.54112720489502,2000-08-01
8.729883193969727,2000-08-02
8.682695388793945,2000-08-03
8.588316917419434,2000-08-04
8.87144947052002,2000-08-07
8.965826988220215,2000-08-08
9.484902381896973,2000-08-09
9.673650741577148,2000-08-10
9.673650741577148,2000-08-11
9.862409591674805,2000-08-14
9.437711715698242,2000-08-15
10.003974914550781,2000-08-16
10.523046493530273,2000-08-17
10.145540237426758,2000-08-18
10.098355293273926,2000-08-21
10.192728042602539,2000-08-22
10.475860595703125,2000-08-23
10.475860595703125,2000-08-24
10.239916801452637,2000-08-25
10.475860595703125,2000-08-28
10.523046493530273,2000-08-29
10.334294319152832,2000-08-30
10.475860595703125,2000-08-31
10.806177139282227,2000-09-01
10.617425918579102,2000-09-05
10.947746276855469,2000-09-06
11.04212474822998,2000-09-07
10.711801528930664,2000-09-08
10.900555610656738,2000-09-11
10.900555610656738,2000-09-12
10.900555610656738,2000-09-13
10.947746276855469,2000-09-14
11.04212474822998,2000-09-15
11.938705444335938,2000-09-18
11.70276165008545,2000-09-19
11.608386993408203,2000-09-20
10.758991241455078,2000-09-21
10.664615631103516,2000-09-22
10.381482124328613,2000-09-25
10.900555610656738,2000-09-26
10.900555610656738,2000-09-27
10.947746276855469,2000-09-28
10.711801528930664,2000-09-29
