SBNY,Date
114.79736328125,2018-11-29
115.4903335571289,2018-11-30
114.52580261230469,2018-12-03
109.7499771118164,2018-12-04
109.15068054199219,2018-12-06
108.86974334716797,2018-12-07
106.95004272460938,2018-12-10
106.42564392089844,2018-12-11
107.54937744140625,2018-12-12
103.96282196044922,2018-12-13
101.97760009765625,2018-12-14
101.1067123413086,2018-12-17
100.6478500366211,2018-12-18
96.27470397949219,2018-12-19
96.04059600830078,2018-12-20
95.77840423583984,2018-12-21
94.0460205078125,2018-12-24
98.28803253173828,2018-12-26
95.3851089477539,2018-12-27
95.42254638671875,2018-12-28
96.27470397949219,2018-12-31
97.85728454589844,2019-01-02
98.94354248046875,2019-01-03
100.40438079833984,2019-01-04
102.35215759277344,2019-01-07
104.31867218017578,2019-01-08
103.8879165649414,2019-01-09
102.29597473144531,2019-01-10
104.02838134765625,2019-01-11
103.85047149658203,2019-01-14
103.20430755615234,2019-01-15
105.31129455566406,2019-01-16
113.60810089111328,2019-01-17
116.49230194091797,2019-01-18
116.6795883178711,2019-01-22
117.38192749023438,2019-01-23
116.48292541503906,2019-01-24
117.92503356933594,2019-01-25
117.50364685058594,2019-01-28
117.69093322753906,2019-01-29
119.06748962402344,2019-01-30
119.74471282958984,2019-01-31
120.39370727539062,2019-02-01
122.98969268798828,2019-02-04
123.39414978027344,2019-02-05
123.74215698242188,2019-02-06
124.67330932617188,2019-02-07
124.3065185546875,2019-02-08
126.15941619873047,2019-02-11
127.42921447753906,2019-02-12
126.75199127197266,2019-02-13
125.068359375,2019-02-14
125.70795440673828,2019-02-15
127.81488037109375,2019-02-19
127.54210662841797,2019-02-20
126.9965591430664,2019-02-21
127.84307098388672,2019-02-22
127.68317413330078,2019-02-25
127.3163833618164,2019-02-26
128.34158325195312,2019-02-27
127.69257354736328,2019-02-28
128.08761596679688,2019-03-01
127.89948272705078,2019-03-04
128.52027893066406,2019-03-05
125.68914794921875,2019-03-06
125.13420104980469,2019-03-07
125.48222351074219,2019-03-08
126.6673812866211,2019-03-11
125.74557495117188,2019-03-12
125.32234954833984,2019-03-13
125.9807357788086,2019-03-14
126.46981048583984,2019-03-15
128.4450225830078,2019-03-18
124.05253601074219,2019-03-19
120.99568939208984,2019-03-20
122.34070587158203,2019-03-21
118.60662841796875,2019-03-22
116.65962982177734,2019-03-25
120.28085327148438,2019-03-26
120.29024505615234,2019-03-27
122.13378143310547,2019-03-28
120.45955657958984,2019-03-29
122.80155944824219,2019-04-01
122.27487182617188,2019-04-02
121.12737274169922,2019-04-03
122.45357513427734,2019-04-04
122.26547241210938,2019-04-05
122.83920288085938,2019-04-08
121.12737274169922,2019-04-09
122.80155944824219,2019-04-10
124.25946807861328,2019-04-11
127.2034683227539,2019-04-12
126.59210968017578,2019-04-15
128.0124053955078,2019-04-16
120.45014190673828,2019-04-17
118.8699722290039,2019-04-18
119.70708465576172,2019-04-22
122.59467315673828,2019-04-23
123.13078308105469,2019-04-24
123.6292953491211,2019-04-25
124.84263610839844,2019-04-26
125.07777404785156,2019-04-29
124.74718475341797,2019-04-30
122.52748107910156,2019-05-01
124.46383666992188,2019-05-02
125.59727478027344,2019-05-03
126.126220703125,2019-05-06
123.03754425048828,2019-05-07
121.8285140991211,2019-05-08
120.6667251586914,2019-05-09
119.8921890258789,2019-05-10
116.1517562866211,2019-05-13
117.46469116210938,2019-05-14
111.61788940429688,2019-05-15
108.90702819824219,2019-05-16
110.19163513183594,2019-05-17
111.0417251586914,2019-05-20
112.10907745361328,2019-05-21
111.5045394897461,2019-05-22
110.54110717773438,2019-05-23
111.48565673828125,2019-05-24
110.81501770019531,2019-05-28
112.95915985107422,2019-05-29
109.29429626464844,2019-05-30
108.1986312866211,2019-05-31
111.0511703491211,2019-06-03
114.53655242919922,2019-06-04
112.25074005126953,2019-06-05
110.89058685302734,2019-06-06
110.19163513183594,2019-06-07
110.87169647216797,2019-06-10
113.64868927001953,2019-06-11
109.42652893066406,2019-06-12
110.71111297607422,2019-06-13
109.85157775878906,2019-06-14
107.79246520996094,2019-06-17
107.4996337890625,2019-06-18
109.83267974853516,2019-06-19
111.68400573730469,2019-06-20
110.60721588134766,2019-06-21
