ZTS,Date
129.44454956054688,2020-06-26
128.78102111816406,2020-06-29
133.7183837890625,2020-06-30
133.86476135253906,2020-07-01
134.3233642578125,2020-07-02
135.2405548095703,2020-07-06
135.08444213867188,2020-07-07
135.4454345703125,2020-07-08
134.34286499023438,2020-07-09
133.77691650390625,2020-07-10
134.9575958251953,2020-07-13
136.99693298339844,2020-07-14
139.4558563232422,2020-07-15
139.67083740234375,2020-07-16
141.35150146484375,2020-07-17
142.63153076171875,2020-07-20
141.6934814453125,2020-07-21
141.79119873046875,2020-07-22
140.7749786376953,2020-07-23
140.9215545654297,2020-07-24
143.55979919433594,2020-07-27
142.64129638671875,2020-07-28
144.21450805664062,2020-07-29
145.69972229003906,2020-07-30
148.21092224121094,2020-07-31
150.9761962890625,2020-08-03
152.0803680419922,2020-08-04
154.11280822753906,2020-08-05
157.64022827148438,2020-08-06
155.2462615966797,2020-08-07
154.47433471679688,2020-08-10
153.34083557128906,2020-08-11
155.71530151367188,2020-08-12
155.23648071289062,2020-08-13
153.45814514160156,2020-08-14
153.81964111328125,2020-08-17
156.5067596435547,2020-08-18
154.953125,2020-08-19
154.9140167236328,2020-08-20
154.7479248046875,2020-08-21
153.17474365234375,2020-08-24
154.953125,2020-08-25
156.1061248779297,2020-08-26
155.9595947265625,2020-08-27
156.3406524658203,2020-08-28
156.43836975097656,2020-08-31
158.34376525878906,2020-09-01
161.54873657226562,2020-09-02
155.1680908203125,2020-09-03
153.64376831054688,2020-09-04
149.9990997314453,2020-09-08
155.27560424804688,2020-09-09
154.4840850830078,2020-09-10
154.96287536621094,2020-09-11
157.18099975585938,2020-09-14
158.56851196289062,2020-09-15
157.56207275390625,2020-09-16
156.79994201660156,2020-09-17
157.19078063964844,2020-09-18
157.2884979248047,2020-09-21
157.8161163330078,2020-09-22
155.6859893798828,2020-09-23
154.36685180664062,2020-09-24
157.16143798828125,2020-09-25
157.6304473876953,2020-09-28
158.763916015625,2020-09-29
161.5878448486328,2020-09-30
160.27847290039062,2020-10-01
159.8094482421875,2020-10-02
159.7117462158203,2020-10-05
157.8258819580078,2020-10-06
156.2527313232422,2020-10-07
159.43812561035156,2020-10-08
161.64645385742188,2020-10-09
164.69509887695312,2020-10-12
161.53900146484375,2020-10-13
159.91693115234375,2020-10-14
159.26226806640625,2020-10-15
159.8094482421875,2020-10-16
156.33087158203125,2020-10-19
156.2330780029297,2020-10-20
157.6907958984375,2020-10-21
158.8648223876953,2020-10-22
159.9507598876953,2020-10-23
157.00596618652344,2020-10-26
158.95285034179688,2020-10-27
155.25469970703125,2020-10-28
157.70059204101562,2020-10-29
155.11773681640625,2020-10-30
159.36376953125,2020-11-02
159.60836791992188,2020-11-03
170.57568359375,2020-11-04
167.20034790039062,2020-11-05
165.58607482910156,2020-11-06
161.62374877929688,2020-11-09
159.04090881347656,2020-11-10
161.37916564941406,2020-11-11
161.61398315429688,2020-11-12
162.1912078857422,2020-11-13
161.71182250976562,2020-11-16
161.84878540039062,2020-11-17
159.96058654785156,2020-11-18
162.709716796875,2020-11-19
162.6021270751953,2020-11-20
160.7823944091797,2020-11-23
157.57337951660156,2020-11-24
156.72222900390625,2020-11-25
157.97451782226562,2020-11-27
156.90809631347656,2020-11-30
157.8668670654297,2020-12-01
155.50904846191406,2020-12-02
153.6697998046875,2020-12-03
154.53073120117188,2020-12-04
155.0198974609375,2020-12-07
155.54818725585938,2020-12-08
155.26446533203125,2020-12-09
154.69703674316406,2020-12-10
156.07650756835938,2020-12-11
156.04714965820312,2020-12-14
