NDX,Date
13393.1201171875,2021-05-14
13312.91015625,2021-05-17
13217.6796875,2021-05-18
13237.91015625,2021-05-19
13494.08984375,2021-05-20
13411.740234375,2021-05-21
13641.75,2021-05-24
13657.73046875,2021-05-25
13702.740234375,2021-05-26
13657.849609375,2021-05-27
13686.509765625,2021-05-28
13654.58984375,2021-06-01
13675.7900390625,2021-06-02
13529.6796875,2021-06-03
13770.76953125,2021-06-04
13802.8896484375,2021-06-07
13810.8603515625,2021-06-08
13814.9404296875,2021-06-09
13960.349609375,2021-06-10
13998.2998046875,2021-06-11
14128.2001953125,2021-06-14
14030.41015625,2021-06-15
13983.009765625,2021-06-16
14163.8095703125,2021-06-17
14049.580078125,2021-06-18
14137.23046875,2021-06-21
14270.419921875,2021-06-22
14274.240234375,2021-06-23
14365.9599609375,2021-06-24
14345.1796875,2021-06-25
14524.98046875,2021-06-28
14572.75,2021-06-29
14554.7998046875,2021-06-30
14560.0498046875,2021-07-01
14727.6298828125,2021-07-02
14786.3603515625,2021-07-06
14810.5400390625,2021-07-07
14722.1396484375,2021-07-08
14826.08984375,2021-07-09
14877.8896484375,2021-07-12
14874.5400390625,2021-07-13
14794.6904296875,2021-07-15
14681.3798828125,2021-07-16
14549.08984375,2021-07-19
14728.2099609375,2021-07-20
14842.6298828125,2021-07-21
14940.169921875,2021-07-22
15111.7900390625,2021-07-23
15125.9501953125,2021-07-26
14956.9697265625,2021-07-27
15018.099609375,2021-07-28
15048.3603515625,2021-07-29
14959.900390625,2021-07-30
14963.6201171875,2021-08-02
15061.419921875,2021-08-03
15083.3896484375,2021-08-04
15181.6396484375,2021-08-05
15109.3603515625,2021-08-06
15133.1103515625,2021-08-09
15053.580078125,2021-08-10
15027.759765625,2021-08-11
15088.98046875,2021-08-12
15140.76953125,2021-08-16
15002.830078125,2021-08-17
14857.919921875,2021-08-18
14933.9404296875,2021-08-19
15092.5703125,2021-08-20
15312.8203125,2021-08-23
15368.919921875,2021-08-25
15278.51953125,2021-08-26
15432.9501953125,2021-08-27
15605.08984375,2021-08-30
15582.509765625,2021-08-31
15611.5703125,2021-09-01
15604.25,2021-09-02
15652.8603515625,2021-09-03
15675.759765625,2021-09-07
15561.0498046875,2021-09-09
15440.75,2021-09-10
15434.5,2021-09-13
15382.900390625,2021-09-14
15503.5302734375,2021-09-15
15515.91015625,2021-09-16
15333.4697265625,2021-09-17
15012.1904296875,2021-09-20
15027.76953125,2021-09-21
15176.509765625,2021-09-22
15316.580078125,2021-09-23
15329.6796875,2021-09-24
15204.8203125,2021-09-27
14770.2998046875,2021-09-28
14752.8896484375,2021-09-29
14689.6201171875,2021-09-30
14791.8701171875,2021-10-01
14472.1201171875,2021-10-04
14674.150390625,2021-10-05
14766.75,2021-10-06
14897.1298828125,2021-10-07
14820.75,2021-10-08
14713.73046875,2021-10-11
14662.1103515625,2021-10-12
14774.599609375,2021-10-13
15052.419921875,2021-10-14
15146.919921875,2021-10-15
15300.8896484375,2021-10-18
15410.7197265625,2021-10-19
15388.7099609375,2021-10-20
15489.58984375,2021-10-21
15355.0703125,2021-10-22
15514.1904296875,2021-10-25
15559.490234375,2021-10-26
15598.3896484375,2021-10-27
15778.16015625,2021-10-28
15850.4697265625,2021-10-29
15972.490234375,2021-11-02
16144.5,2021-11-03
16346.240234375,2021-11-04
16359.3798828125,2021-11-05
16336.0302734375,2021-11-08
16219.9404296875,2021-11-09
15985.5703125,2021-11-10
16032.4697265625,2021-11-11
16199.8896484375,2021-11-12
16189.1201171875,2021-11-15
16309.76953125,2021-11-16
16308.0703125,2021-11-17
16482.970703125,2021-11-18
16573.33984375,2021-11-19
16380.98046875,2021-11-22
16306.7197265625,2021-11-23
16025.580078125,2021-11-26
16399.240234375,2021-11-29
16135.919921875,2021-11-30
15877.7197265625,2021-12-01
15990.759765625,2021-12-02
