TSN,Date
10.823579788208008,1992-12-01
10.766910552978516,1992-12-02
10.880252838134766,1992-12-03
10.823579788208008,1992-12-04
10.880252838134766,1992-12-07
10.880252838134766,1992-12-08
10.710248947143555,1992-12-09
10.653578758239746,1992-12-10
10.766910552978516,1992-12-11
10.653578758239746,1992-12-14
10.59691333770752,1992-12-15
10.653578758239746,1992-12-16
10.823579788208008,1992-12-17
10.766910552978516,1992-12-18
10.880252838134766,1992-12-21
10.710248947143555,1992-12-22
10.823579788208008,1992-12-23
10.823579788208008,1992-12-24
10.936915397644043,1992-12-28
11.220260620117188,1992-12-29
11.106925964355469,1992-12-30
10.993586540222168,1992-12-31
10.710248947143555,1993-01-04
10.766910552978516,1993-01-05
10.653578758239746,1993-01-06
10.370235443115234,1993-01-07
10.14356517791748,1993-01-08
10.313570976257324,1993-01-11
10.200236320495605,1993-01-12
10.200236320495605,1993-01-13
10.426907539367676,1993-01-14
10.710248947143555,1993-01-15
10.710248947143555,1993-01-18
10.823579788208008,1993-01-19
10.993586540222168,1993-01-20
10.993586540222168,1993-01-21
10.823579788208008,1993-01-22
10.880252838134766,1993-01-25
10.766910552978516,1993-01-26
10.540243148803711,1993-01-27
10.823579788208008,1993-01-28
10.710248947143555,1993-01-29
10.540243148803711,1993-02-01
10.59691333770752,1993-02-02
10.766910552978516,1993-02-03
10.710248947143555,1993-02-04
10.766910552978516,1993-02-05
10.823579788208008,1993-02-08
10.710248947143555,1993-02-09
10.766910552978516,1993-02-10
10.823579788208008,1993-02-11
10.880252838134766,1993-02-12
10.766910552978516,1993-02-16
10.823579788208008,1993-02-17
10.766910552978516,1993-02-18
10.59691333770752,1993-02-19
10.766910552978516,1993-02-22
10.884835243225098,1993-02-23
11.22498893737793,1993-02-24
11.22498893737793,1993-02-25
11.22498893737793,1993-02-26
11.281678199768066,1993-03-01
11.338373184204102,1993-03-02
11.50844669342041,1993-03-03
11.621824264526367,1993-03-04
11.791903495788574,1993-03-05
12.01866626739502,1993-03-08
12.188745498657227,1993-03-09
12.075361251831055,1993-03-10
11.451753616333008,1993-03-11
11.054910659790039,1993-03-12
10.884835243225098,1993-03-15
10.884835243225098,1993-03-16
10.658066749572754,1993-03-17
10.998220443725586,1993-03-18
10.941522598266602,1993-03-19
10.6013765335083,1993-03-22
10.317915916442871,1993-03-23
10.544682502746582,1993-03-24
10.658066749572754,1993-03-25
10.6013765335083,1993-03-26
10.544682502746582,1993-03-29
10.374603271484375,1993-03-30
10.544682502746582,1993-03-31
10.487994194030762,1993-04-01
10.317915916442871,1993-04-02
10.431296348571777,1993-04-05
10.034456253051758,1993-04-06
9.750997543334961,1993-04-07
9.694303512573242,1993-04-08
9.637611389160156,1993-04-12
9.694303512573242,1993-04-13
9.694303512573242,1993-04-14
9.52423095703125,1993-04-15
9.467537879943848,1993-04-16
9.52423095703125,1993-04-19
9.694303512573242,1993-04-20
10.374603271484375,1993-04-21
9.921074867248535,1993-04-22
9.977762222290039,1993-04-23
9.807686805725098,1993-04-26
10.317915916442871,1993-04-27
10.261219024658203,1993-04-28
10.204530715942383,1993-04-29
10.091143608093262,1993-04-30
10.091143608093262,1993-05-03
10.487994194030762,1993-05-04
10.431296348571777,1993-05-05
10.317915916442871,1993-05-06
10.147839546203613,1993-05-07
10.091143608093262,1993-05-10
9.921074867248535,1993-05-11
9.921074867248535,1993-05-12
9.637611389160156,1993-05-13
9.637611389160156,1993-05-14
9.580921173095703,1993-05-17
9.467537879943848,1993-05-18
9.694303512573242,1993-05-19
9.977762222290039,1993-05-20
10.317915916442871,1993-05-21
10.317915916442871,1993-05-24
10.434510231018066,1993-05-25
10.547931671142578,1993-05-26
10.774765968322754,1993-05-27
10.944892883300781,1993-05-28
10.774765968322754,1993-06-01
10.774765968322754,1993-06-02
10.831475257873535,1993-06-03
10.71805191040039,1993-06-04
10.434510231018066,1993-06-07
10.434510231018066,1993-06-08
10.491222381591797,1993-06-09
10.434510231018066,1993-06-10
10.207670211791992,1993-06-11
10.264382362365723,1993-06-14
10.264382362365723,1993-06-15
10.377800941467285,1993-06-16
10.434510231018066,1993-06-17
10.321089744567871,1993-06-18
10.264382362365723,1993-06-21
10.321089744567871,1993-06-22
10.150962829589844,1993-06-23
10.150962829589844,1993-06-24
9.924126625061035,1993-06-25
9.980829238891602,1993-06-28
9.867417335510254,1993-06-29
9.980829238891602,1993-06-30
9.867417335510254,1993-07-01
9.924126625061035,1993-07-02
9.980829238891602,1993-07-06
9.583868026733398,1993-07-07
9.640580177307129,1993-07-08
9.583868026733398,1993-07-09
9.470446586608887,1993-07-12
9.583868026733398,1993-07-13
9.527161598205566,1993-07-14
9.527161598205566,1993-07-15
9.470446586608887,1993-07-16
9.470446586608887,1993-07-19
9.413740158081055,1993-07-20
9.186905860900879,1993-07-21
9.130193710327148,1993-07-22
8.903356552124023,1993-07-23
8.846649169921875,1993-07-26
8.846649169921875,1993-07-27
9.016775131225586,1993-07-28
9.24361515045166,1993-07-29
9.357030868530273,1993-07-30
9.300326347351074,1993-08-02
9.300326347351074,1993-08-03
9.130193710327148,1993-08-04
9.130193710327148,1993-08-05
9.24361515045166,1993-08-06
9.357030868530273,1993-08-09
9.357030868530273,1993-08-10
9.413740158081055,1993-08-11
9.300326347351074,1993-08-12
9.413740158081055,1993-08-13
9.413740158081055,1993-08-16
9.527161598205566,1993-08-17
9.583868026733398,1993-08-18
