Date,CTXS
2005-06-01,20.199
2005-06-02,18.1927
2005-06-03,17.5796
2005-06-06,17.6831
2005-06-07,17.3169
2005-06-08,17.0939
2005-06-09,16.9904
2005-06-10,17.086
2005-06-13,17.5955
2005-06-14,17.2691
2005-06-15,17.4363
2005-06-16,17.5796
2005-06-17,17.6354
2005-06-20,17.6035
2005-06-21,17.7229
2005-06-22,17.8185
2005-06-23,17.8105
2005-06-24,17.7229
2005-06-27,17.6035
2005-06-28,17.5159
2005-06-29,17.4682
2005-06-30,17.2452
2005-07-01,17.0382
2005-07-05,17.4682
2005-07-06,17.9379
2005-07-07,17.6274
2005-07-08,17.8264
2005-07-11,17.8583
2005-07-12,17.9618
2005-07-13,18.0573
2005-07-14,17.9538
2005-07-15,17.9618
2005-07-18,17.8822
2005-07-19,18.3121
2005-07-20,18.5828
2005-07-21,18.2245
2005-07-22,17.6752
2005-07-25,17.6831
2005-07-26,17.5
2005-07-27,18.9729
2005-07-28,18.8057
2005-07-29,18.9729
2005-08-01,18.9331
2005-08-02,18.7102
2005-08-03,18.8217
2005-08-04,18.6545
2005-08-05,18.344
2005-08-08,18.5191
2005-08-09,18.5191
2005-08-10,18.2564
2005-08-11,18.551
2005-08-12,18.6783
2005-08-15,18.6783
2005-08-16,18.6067
2005-08-17,18.7261
2005-08-18,18.7102
2005-08-19,18.742
2005-08-22,18.6704
2005-08-23,18.6943
2005-08-24,18.8296
2005-08-25,19.0287
2005-08-26,19.0048
2005-08-29,19.1799
2005-08-30,19.0287
2005-08-31,18.949
2005-09-01,19.0605
2005-09-02,19.1959
2005-09-06,19.8487
2005-09-07,19.8169
2005-09-08,19.7134
2005-09-09,19.8806
2005-09-12,20.1672
2005-09-13,20.2309
2005-09-14,20.0239
2005-09-15,19.9682
2005-09-16,20.0
2005-09-19,19.578
2005-09-20,19.6258
2005-09-21,19.172
2005-09-22,18.9252
2005-09-23,18.8376
2005-09-26,18.9013
2005-09-27,19.0287
2005-09-28,19.4188
2005-09-29,19.7771
2005-09-30,20.0159
2005-10-03,20.1513
2005-10-04,20.1752
2005-10-05,19.7213
2005-10-06,19.3471
2005-10-07,19.2834
2005-10-10,19.4108
2005-10-11,19.5462
2005-10-12,19.2277
2005-10-13,19.0685
2005-10-14,19.3392
2005-10-17,19.1799
2005-10-18,18.949
2005-10-19,19.4825
2005-10-20,20.8201
2005-10-21,21.0032
2005-10-24,21.8312
2005-10-25,21.6959
2005-10-26,21.7675
2005-10-27,21.0748
2005-10-28,21.258
2005-10-31,21.9108
2005-11-01,22.2532
2005-11-02,22.6513
2005-11-03,22.0701
2005-11-04,21.8153
2005-11-07,21.8551
2005-11-08,21.8631
2005-11-09,21.5685
2005-11-10,21.9745
2005-11-11,21.7994
2005-11-14,21.9666
2005-11-15,21.9984
2005-11-16,22.1417
2005-11-17,22.1895
2005-11-18,22.1736
2005-11-21,22.2611
2005-11-22,22.1895
2005-11-23,22.0939
2005-11-25,22.0382
2005-11-28,21.4729
2005-11-29,21.5207
2005-11-30,21.6083
2005-12-01,21.8949
2005-12-02,21.9347
2005-12-05,21.6879
2005-12-06,21.8471
2005-12-07,21.7755
2005-12-08,21.5366
2005-12-09,21.8551
2005-12-12,21.879
2005-12-13,21.6879
2005-12-14,21.5685
2005-12-15,21.3296
2005-12-16,21.4968
2005-12-19,21.8631
2005-12-20,21.7994
2005-12-21,22.4841
2005-12-22,23.0812
2005-12-23,23.2803
2005-12-27,23.0812
2005-12-28,23.2643
2005-12-29,23.0334
2005-12-30,22.8742
2006-01-03,23.2803
2006-01-04,23.8376
2006-01-05,23.8535
2006-01-06,23.9889
2006-01-09,23.8217
2006-01-10,23.4793
2006-01-11,23.551
2006-01-12,24.172
2006-01-13,24.3312
2006-01-17,24.2118
2006-01-18,23.9092
2006-01-19,25.7803
2006-01-20,25.2309
2006-01-23,24.9682
2006-01-24,24.8408
2006-01-25,24.9045
2006-01-26,24.9204
2006-01-27,25.0557
2006-01-30,24.7134
2006-01-31,24.5541
2006-02-01,24.793
2006-02-02,24.5701
2006-02-03,24.3869
2006-02-06,24.2516
2006-02-07,23.949
2006-02-08,24.4268
2006-02-09,24.7373
2006-02-10,24.3392
2006-02-13,24.1561
2006-02-14,23.8854
2006-02-15,24.4029
2006-02-16,25.207
2006-02-17,25.0
2006-02-21,24.4427
2006-02-22,25.0478
2006-02-23,24.8726
2006-02-24,24.6417
2006-02-27,25.5892
2006-02-28,25.7643
2006-03-01,26.1306
2006-03-02,26.1465
2006-03-03,26.0987
2006-03-06,26.0987
2006-03-07,25.7564
2006-03-08,25.8519
2006-03-09,25.6131
2006-03-10,25.7564
2006-03-13,26.9666
2006-03-14,27.2691
2006-03-15,27.8583
2006-03-16,28.0732
2006-03-17,28.5987
2006-03-20,28.5111
2006-03-21,27.8503
2006-03-22,28.1131
2006-03-23,28.5669
2006-03-24,28.3678
2006-03-27,28.2245
2006-03-28,27.7946
2006-03-29,28.4236
2006-03-30,29.1799
2006-03-31,30.1752
2006-04-03,30.3901
2006-04-04,29.9363
2006-04-05,30.0717
2006-04-06,29.9363
2006-04-07,29.9283
2006-04-10,30.5255
2006-04-11,29.8885
2006-04-12,30.1672
2006-04-13,30.1831
2006-04-17,30.1672
2006-04-18,30.5494
2006-04-19,30.9554
2006-04-20,33.3997
2006-04-21,32.3169
2006-04-24,32.1895
2006-04-25,31.9745
2006-04-26,32.1656
2006-04-27,31.7675
2006-04-28,31.7834
2006-05-01,32.1258
2006-05-02,32.3806
2006-05-03,33.1927
2006-05-04,33.9968
2006-05-05,34.7213
2006-05-08,35.9554
2006-05-09,35.3583
2006-05-10,34.6338
2006-05-11,32.7707
2006-05-12,32.6433
2006-05-15,32.4682
2006-05-16,32.0303
2006-05-17,32.0621
2006-05-18,31.2261
2006-05-19,31.8073
2006-05-22,30.9395
2006-05-23,31.051
2006-05-24,31.0908
2006-05-25,31.2898
2006-05-26,30.7245
2006-05-30,29.7532
2006-05-31,29.9204
2006-06-01,30.1274
2006-06-02,29.8726
2006-06-05,29.4745
2006-06-06,28.9331
2006-06-07,28.742
2006-06-08,28.6067
2006-06-09,28.3997
2006-06-12,27.6592
2006-06-13,27.5557
2006-06-14,27.8662
2006-06-15,29.6019
2006-06-16,29.371
2006-06-19,28.949
2006-06-20,28.9013
2006-06-21,29.6019
2006-06-22,29.5462
2006-06-23,29.8408
2006-06-26,29.8248
2006-06-27,29.7054
2006-06-28,29.8885
2006-06-29,31.4968
2006-06-30,31.9268
2006-07-03,32.078
2006-07-05,31.7277
2006-07-06,31.1067
2006-07-07,30.0637
2006-07-10,28.3519
2006-07-11,28.7978
2006-07-12,27.5319
2006-07-13,27.8185
2006-07-14,27.6274
2006-07-17,27.6115
2006-07-18,27.8583
2006-07-19,27.6831
2006-07-20,23.8615
2006-07-21,24.6815
2006-07-24,25.0796
2006-07-25,25.2946
2006-07-26,25.2866
2006-07-27,24.8567
2006-07-28,25.1672
2006-07-31,25.2946
2006-08-01,24.5064
2006-08-02,25.0876
2006-08-03,24.5621
2006-08-04,24.1481
2006-08-07,23.9889
2006-08-08,23.9172
2006-08-09,23.0573
2006-08-10,22.293
2006-08-11,22.6672
2006-08-14,22.8424
2006-08-15,24.1401
2006-08-16,24.8248
2006-08-17,26.1226
2006-08-18,25.5414
2006-08-21,25.0717
2006-08-22,24.7293
2006-08-23,24.6178
2006-08-24,24.7054
2006-08-25,24.379
2006-08-28,24.4506
2006-08-29,24.2038
2006-08-30,24.4347
2006-08-31,24.4506
2006-09-01,24.2357
2006-09-05,24.801
2006-09-06,24.7771
2006-09-07,24.6576
2006-09-08,25.4061
2006-09-11,26.2659
2006-09-12,27.3885
2006-09-13,28.0096
2006-09-14,27.9618
2006-09-15,27.301
2006-09-18,27.5478
2006-09-19,27.1258
2006-09-20,28.8854
2006-09-21,28.6385
2006-09-22,28.3599
2006-09-25,29.0764
2006-09-26,28.9411
2006-09-27,28.5987
2006-09-28,29.0685
2006-09-29,28.8296
2006-10-02,27.8583
2006-10-03,26.8631
2006-10-04,27.5398
2006-10-05,27.7946
2006-10-06,27.6831
2006-10-09,27.3169
2006-10-10,26.7516
2006-10-11,26.9745
2006-10-12,27.5159
2006-10-13,27.7787
2006-10-16,28.1768
2006-10-17,27.914
2006-10-18,27.914
2006-10-19,22.4124
2006-10-20,22.6274
2006-10-23,23.6067
2006-10-24,24.1401
2006-10-25,23.8376
2006-10-26,23.7102
2006-10-27,23.2882
2006-10-30,24.0764
2006-10-31,23.5111
2006-11-01,23.2484
2006-11-02,23.336
2006-11-03,23.1051
2006-11-06,22.9061
2006-11-07,22.1576
2006-11-08,22.7627
2006-11-09,22.9618
2006-11-10,23.2245
2006-11-13,23.7898
2006-11-14,23.7898
2006-11-15,24.4984
2006-11-16,24.0127
2006-11-17,24.2357
2006-11-20,24.1003
2006-11-21,23.8854
2006-11-22,24.2755
2006-11-24,24.4268
2006-11-27,23.3599
2006-11-28,22.9697
2006-11-29,23.1688
2006-11-30,22.8822
2006-12-01,23.0892
2006-12-04,23.2325
2006-12-05,22.9061
2006-12-06,22.7309
2006-12-07,22.3965
2006-12-08,22.7866
2006-12-11,22.9857
2006-12-12,22.4522
2006-12-13,22.8264
2006-12-14,22.7787
2006-12-15,23.2484
2006-12-18,22.8503
2006-12-19,22.2611
2006-12-20,22.4363
2006-12-21,22.2532
2006-12-22,21.4889
2006-12-26,21.3535
2006-12-27,21.7914
2006-12-28,21.664
2006-12-29,21.5366
2007-01-03,21.3615
2007-01-04,22.2532
2007-01-05,22.1736
2007-01-08,22.914
2007-01-09,23.1768
2007-01-10,23.543
2007-01-11,23.8376
2007-01-12,24.2357
2007-01-16,24.1003
2007-01-17,23.75
2007-01-18,23.0653
2007-01-19,22.9299
2007-01-22,22.8583
2007-01-23,23.7818
2007-01-24,25.199
2007-01-25,24.8487
2007-01-26,24.7611
2007-01-29,24.9522
2007-01-30,25.0318
2007-01-31,25.207
2007-02-01,25.422
2007-02-02,25.3981
2007-02-05,25.4299
2007-02-06,25.3185
2007-02-07,25.3742
2007-02-08,25.2787
2007-02-09,25.0398
2007-02-12,24.8089
2007-02-13,24.6576
2007-02-14,25.1592
2007-02-15,25.199
2007-02-16,25.0239
2007-02-20,25.2787
2007-02-21,25.6688
2007-02-22,25.6768
2007-02-23,26.3217
2007-02-26,25.8519
2007-02-27,25.1513
2007-02-28,25.6369
2007-03-01,25.0318
2007-03-02,24.8885
2007-03-05,24.8408
2007-03-06,24.9363
2007-03-07,25.0796
2007-03-08,25.3025
2007-03-09,25.4777
2007-03-12,25.7803
2007-03-13,24.8567
2007-03-14,25.1274
2007-03-15,24.8408
2007-03-16,24.8248
2007-03-19,25.207
2007-03-20,25.2627
2007-03-21,26.1146
2007-03-22,26.051
2007-03-23,25.8599
2007-03-26,25.8838
2007-03-27,25.4777
2007-03-28,25.4459
2007-03-29,25.1911
2007-03-30,25.5016
2007-04-02,25.8678
2007-04-03,26.3376
2007-04-04,26.5127
2007-04-05,26.6799
2007-04-09,26.672
2007-04-10,26.4729
2007-04-11,26.2739
2007-04-12,26.5287
2007-04-13,26.7994
2007-04-16,27.3089
2007-04-17,27.3089
2007-04-18,27.3328
2007-04-19,27.0143
2007-04-20,27.2612
2007-04-23,27.5557
2007-04-24,27.2213
2007-04-25,27.1497
2007-04-26,26.8232
2007-04-27,26.465
2007-04-30,25.9554
2007-05-01,25.9475
2007-05-02,26.1465
2007-05-03,25.8758
2007-05-04,25.3981
2007-05-07,25.3424
2007-05-08,25.2787
2007-05-09,25.3344
2007-05-10,24.793
2007-05-11,25.199
2007-05-14,24.9204
2007-05-15,24.4188
2007-05-16,24.7611
2007-05-17,24.2675
2007-05-18,24.4586
2007-05-21,24.8646
2007-05-22,26.2022
2007-05-23,26.2739
2007-05-24,25.8599
2007-05-25,26.1704
2007-05-29,26.3217
2007-05-30,26.4411
2007-05-31,26.7596
2007-06-01,26.9029
2007-06-04,26.6322
2007-06-05,26.5207
2007-06-06,26.3933
2007-06-07,26.1385
2007-06-08,26.7675
2007-06-11,27.0701
2007-06-12,27.1019
2007-06-13,27.4841
2007-06-14,27.4682
2007-06-15,27.301
2007-06-18,27.0223
2007-06-19,26.9904
2007-06-20,26.8312
2007-06-21,26.9268
2007-06-22,26.6322
2007-06-25,26.2102
2007-06-26,26.3057
2007-06-27,26.7118
2007-06-28,27.0621
2007-06-29,26.8073
2007-07-02,26.8073
2007-07-03,26.8312
2007-07-05,26.9666
2007-07-06,27.0541
2007-07-09,27.0541
2007-07-10,26.9029
2007-07-11,27.8185
2007-07-12,28.2882
2007-07-13,27.4045
2007-07-16,27.699
2007-07-17,27.9538
2007-07-18,28.1051
2007-07-19,29.6019
2007-07-20,29.7771
2007-07-23,29.8248
2007-07-24,29.6815
2007-07-25,29.6497
2007-07-26,29.4188
2007-07-27,28.5908
2007-07-30,29.4984
2007-07-31,28.7978
2007-08-01,28.9013
2007-08-02,29.3551
2007-08-03,28.4554
2007-08-06,29.1959
2007-08-07,29.1879
2007-08-08,29.9761
2007-08-09,27.8344
2007-08-10,26.8869
2007-08-13,27.0064
2007-08-14,26.0828
2007-08-15,25.6927
2007-08-16,25.3105
2007-08-17,26.0271
2007-08-20,26.5207
2007-08-21,27.1576
2007-08-22,27.8742
2007-08-23,27.8583
2007-08-24,28.742
2007-08-27,28.6624
2007-08-28,28.3997
2007-08-29,28.4315
