MDB,Date
233.8000030517578,2020-08-31
250.72000122070312,2020-09-01
239.52999877929688,2020-09-02
221.94000244140625,2020-09-03
214.50999450683594,2020-09-04
210.72000122070312,2020-09-08
215.5800018310547,2020-09-09
209.63999938964844,2020-09-10
207.3800048828125,2020-09-11
211.02999877929688,2020-09-14
213.60000610351562,2020-09-15
205.69000244140625,2020-09-16
208.64999389648438,2020-09-17
214.35000610351562,2020-09-18
222.5399932861328,2020-09-21
222.91000366210938,2020-09-22
219.00999450683594,2020-09-23
218.55999755859375,2020-09-24
233.17999267578125,2020-09-25
230.9499969482422,2020-09-28
232.08999633789062,2020-09-29
231.50999450683594,2020-09-30
235.77999877929688,2020-10-01
234.32000732421875,2020-10-02
238.69000244140625,2020-10-05
246.41000366210938,2020-10-06
253.11000061035156,2020-10-07
252.86000061035156,2020-10-08
259.07000732421875,2020-10-09
263.20001220703125,2020-10-12
268.1499938964844,2020-10-13
265.19000244140625,2020-10-14
269.8699951171875,2020-10-15
267.29998779296875,2020-10-16
265.239990234375,2020-10-19
256.67999267578125,2020-10-20
248.83999633789062,2020-10-21
245.75,2020-10-22
248.0,2020-10-23
240.10000610351562,2020-10-26
244.00999450683594,2020-10-27
240.0399932861328,2020-10-28
235.69000244140625,2020-10-29
228.47000122070312,2020-10-30
224.17999267578125,2020-11-02
226.97000122070312,2020-11-03
244.6699981689453,2020-11-04
253.14999389648438,2020-11-05
252.39999389648438,2020-11-06
239.88999938964844,2020-11-09
230.05999755859375,2020-11-10
245.08999633789062,2020-11-11
251.02000427246094,2020-11-12
246.86000061035156,2020-11-13
242.94000244140625,2020-11-16
248.33999633789062,2020-11-17
247.33999633789062,2020-11-18
255.11000061035156,2020-11-19
264.2799987792969,2020-11-20
265.3500061035156,2020-11-23
264.6000061035156,2020-11-24
265.3999938964844,2020-11-25
270.0199890136719,2020-11-27
287.30999755859375,2020-11-30
275.29998779296875,2020-12-01
267.9100036621094,2020-12-02
272.010009765625,2020-12-03
277.6300048828125,2020-12-04
280.4599914550781,2020-12-07
282.9800109863281,2020-12-08
280.010009765625,2020-12-09
319.05999755859375,2020-12-10
340.0,2020-12-11
340.1199951171875,2020-12-14
