TPR,Date
4.952314853668213,2002-09-11
4.749143123626709,2002-09-12
4.906601905822754,2002-09-13
4.915066719055176,2002-09-16
4.813480854034424,2002-09-17
4.920146942138672,2002-09-18
4.8304123878479,2002-09-19
4.76438045501709,2002-09-20
4.656021595001221,2002-09-23
4.530733108520508,2002-09-24
4.683111667633057,2002-09-25
4.75591516494751,2002-09-26
4.589992523193359,2002-09-27
4.334334850311279,2002-09-30
4.302165508270264,2002-10-01
4.200579643249512,2002-10-02
4.247986793518066,2002-10-03
4.231056213378906,2002-10-04
4.016031265258789,2002-10-07
4.181954860687256,2002-10-08
3.9940216541290283,2002-10-09
4.110843658447266,2002-10-10
4.317403316497803,2002-10-11
4.432535171508789,2002-10-14
4.906601905822754,2002-10-15
4.713588714599609,2002-10-16
5.016653537750244,2002-10-17
4.937076568603516,2002-10-18
4.981098651885986,2002-10-21
4.977712154388428,2002-10-22
5.382361888885498,2002-10-23
5.399292945861816,2002-10-24
5.395905494689941,2002-10-25
5.197814464569092,2002-10-28
5.19273567199707,2002-10-29
5.021730899810791,2002-10-30
5.036970615386963,2002-10-31
5.316331386566162,2002-11-01
5.206279277801514,2002-11-04
5.1605658531188965,2002-11-05
5.341728687286377,2002-11-06
5.180884838104248,2002-11-07
5.035276889801025,2002-11-08
4.8270263671875,2002-11-11
5.163951396942139,2002-11-12
5.23336935043335,2002-11-13
5.262153148651123,2002-11-14
5.333261489868164,2002-11-15
5.385748386383057,2002-11-18
5.333261489868164,2002-11-19
5.509346008300781,2002-11-20
5.714211940765381,2002-11-21
5.529661655426025,2002-11-22
5.624476909637451,2002-11-25
5.487333297729492,2002-11-26
5.737914085388184,2002-11-27
5.759923458099365,2002-11-29
5.836113452911377,2002-12-02
5.741299629211426,2002-12-03
5.773468017578125,2002-12-04
5.592304229736328,2002-12-05
5.741299629211426,2002-12-06
5.24014139175415,2002-12-09
5.453473091125488,2002-12-10
5.4704060554504395,2002-12-11
5.627861499786377,2002-12-12
5.502572059631348,2002-12-13
5.632941246032715,2002-12-16
5.595693588256836,2002-12-17
5.363738059997559,2002-12-18
5.443313121795654,2002-12-19
5.654951572418213,2002-12-20
5.475482940673828,2002-12-23
5.428075313568115,2002-12-24
5.517808437347412,2002-12-26
5.334956169128418,2002-12-27
5.580455780029297,2002-12-30
5.573681354522705,2002-12-31
5.710824012756348,2003-01-02
5.631247043609619,2003-01-03
5.720982074737549,2003-01-06
5.856430530548096,2003-01-07
5.69558572769165,2003-01-08
5.651565074920654,2003-01-09
5.654951572418213,2003-01-10
5.411144256591797,2003-01-13
5.138556003570557,2003-01-14
5.206279277801514,2003-01-15
5.27061653137207,2003-01-16
5.123318195343018,2003-01-17
4.938769817352295,2003-01-21
5.499185562133789,2003-01-22
5.527970314025879,2003-01-23
5.434849262237549,2003-01-24
5.312945365905762,2003-01-27
5.370510101318359,2003-01-28
5.407760143280029,2003-01-29
5.455166816711426,2003-01-30
5.409451007843018,2003-01-31
5.451779842376709,2003-02-03
5.399292945861816,2003-02-04
5.52288818359375,2003-02-05
5.467018127441406,2003-02-06
5.277388572692871,2003-02-07
5.3180251121521,2003-02-10
5.304478645324707,2003-02-11
5.214744567871094,2003-02-12
5.140250205993652,2003-02-13
5.3806681632995605,2003-02-14
5.553366661071777,2003-02-18
5.4890265464782715,2003-02-19
5.5059590339660645,2003-02-20
5.62955379486084,2003-02-21
5.367124557495117,2003-02-24
5.751457214355469,2003-02-25
5.746377944946289,2003-02-26
5.8394975662231445,2003-02-27
6.049442768096924,2003-02-28
5.9986491203308105,2003-03-03
5.8919854164123535,2003-03-04
5.985105514526367,2003-03-05
6.074841022491455,2003-03-06
6.188278675079346,2003-03-07
6.064680099487305,2003-03-10
6.122246742248535,2003-03-11
6.240764141082764,2003-03-12
6.320339202880859,2003-03-13
6.261081695556641,2003-03-14
6.5692243576049805,2003-03-17
6.518431663513184,2003-03-18
6.542136192321777,2003-03-19
6.603086948394775,2003-03-20
6.760544776916504,2003-03-21
6.410071849822998,2003-03-24
6.721601963043213,2003-03-25
6.518431663513184,2003-03-26
6.5235114097595215,2003-03-27
6.484570503234863,2003-03-28
6.489650726318359,2003-03-31
6.401608467102051,2003-04-01
6.5235114097595215,2003-04-02
6.57430362701416,2003-04-03
6.525205612182617,2003-04-04
6.7046732902526855,2003-04-07
6.603086948394775,2003-04-08
6.487954139709473,2003-04-09
6.598008632659912,2003-04-10
6.518431663513184,2003-04-11
6.504886150360107,2003-04-14
6.481184959411621,2003-04-15
6.278013229370117,2003-04-16
6.45578670501709,2003-04-17
6.518431663513184,2003-04-21
7.2024455070495605,2003-04-22
7.227842807769775,2003-04-23
7.14487886428833,2003-04-24
6.9704909324646,2003-04-25
7.280327796936035,2003-04-28
7.349742889404297,2003-04-29
7.366673469543457,2003-04-30
7.283710956573486,2003-05-01
7.466567516326904,2003-05-02
7.517362117767334,2003-05-05
7.659580230712891,2003-05-06
7.652809143066406,2003-05-07
7.557993412017822,2003-05-08
7.7036004066467285,2003-05-09
7.9050798416137695,2003-05-12
7.90846586227417,2003-05-13
7.937248229980469,2003-05-14
7.742544651031494,2003-05-15
7.6612749099731445,2003-05-16
7.297257423400879,2003-05-19
7.3175764083862305,2003-05-20
7.5766167640686035,2003-05-21
7.618948936462402,2003-05-22
7.5664567947387695,2003-05-23
7.7205328941345215,2003-05-27
8.015130996704102,2003-05-28
7.9897332191467285,2003-05-29
8.318197250366211,2003-05-30
8.609408378601074,2003-06-02
8.54507064819336,2003-06-03
8.653432846069336,2003-06-04
8.95311164855957,2003-06-05
8.910781860351562,2003-06-06
8.69914436340332,2003-06-09
8.607715606689453,2003-06-10
8.666974067687988,2003-06-11
8.741470336914062,2003-06-12
8.748242378234863,2003-06-13
8.77702522277832,2003-06-16
8.438407897949219,2003-06-17
8.599251747131348,2003-06-18
8.626338005065918,2003-06-19
8.60094165802002,2003-06-20
8.296188354492188,2003-06-23
8.27078914642334,2003-06-24
8.507820129394531,2003-06-25
8.599251747131348,2003-06-26
8.455337524414062,2003-06-27
8.42147445678711,2003-06-30
8.61956787109375,2003-07-01
8.663585662841797,2003-07-02
8.61956787109375,2003-07-03
8.948028564453125,2003-07-07
9.508444786071777,2003-07-08
9.34929370880127,2003-07-09
9.213845252990723,2003-07-10
9.367918014526367,2003-07-11
9.34929370880127,2003-07-14
9.303581237792969,2003-07-15
9.15797233581543,2003-07-16
8.92771053314209,2003-07-17
8.914172172546387,2003-07-18
9.066545486450195,2003-07-21
9.11395263671875,2003-07-22
9.08009147644043,2003-07-23
8.992051124572754,2003-07-24
9.098712921142578,2003-07-25
9.374691009521484,2003-07-28
9.176595687866211,2003-07-29
9.030993461608887,2003-07-30
8.973423957824707,2003-07-31
8.990357398986816,2003-08-01
8.939563751220703,2003-08-04
8.844748497009277,2003-08-05
8.612794876098633,2003-08-06
8.790569305419922,2003-08-07
9.088561058044434,2003-08-08
8.94972038269043,2003-08-11
9.11903190612793,2003-08-12
9.271411895751953,2003-08-13
9.130882263183594,2003-08-14
9.296809196472168,2003-08-15
9.278183937072754,2003-08-18
9.274796485900879,2003-08-19
9.452573776245117,2003-08-20
9.572781562805176,2003-08-21
9.39500617980957,2003-08-22
9.30019474029541,2003-08-25
9.31882095336914,2003-08-26
9.60664176940918,2003-08-27
9.708232879638672,2003-08-28
9.826750755310059,2003-08-29
9.836906433105469,2003-09-02
10.03669261932373,2003-09-03
9.985896110534668,2003-09-04
9.71838665008545,2003-09-05
9.669288635253906,2003-09-08
9.469504356384277,2003-09-09
9.498286247253418,2003-09-10
9.640509605407715,2003-09-11
9.706538200378418,2003-09-12
9.801352500915527,2003-09-15
9.977433204650879,2003-09-16
9.989285469055176,2003-09-17
9.926643371582031,2003-09-18
9.935104370117188,2003-09-19
9.819974899291992,2003-09-22
9.78272819519043,2003-09-23
9.564315795898438,2003-09-24
9.483048439025879,2003-09-25
9.191837310791016,2003-09-26
9.16982650756836,2003-09-29
9.244321823120117,2003-09-30
9.621882438659668,2003-10-01
9.623574256896973,2003-10-02
9.921558380126953,2003-10-03
10.040081024169922,2003-10-06
9.85045051574707,2003-10-07
9.748863220214844,2003-10-08
10.121346473693848,2003-10-09
10.023149490356445,2003-10-10
10.090868949890137,2003-10-13
10.409174919128418,2003-10-14
10.673299789428711,2003-10-15
10.564937591552734,2003-10-16
10.64281940460205,2003-10-17
10.646207809448242,2003-10-20
11.469051361083984,2003-10-21
11.309903144836426,2003-10-22
11.428423881530762,2003-10-23
11.394556999206543,2003-10-24
11.68238639831543,2003-10-27
11.956665992736816,2003-10-28
12.247875213623047,2003-10-29
12.109046936035156,2003-10-30
12.010845184326172,2003-10-31
12.505230903625488,2003-11-03
12.329151153564453,2003-11-04
12.376557350158691,2003-11-05
12.359624862670898,2003-11-06
12.346077919006348,2003-11-07
12.234334945678711,2003-11-10
12.332533836364746,2003-11-11
12.830301284790039,2003-11-12
12.816756248474121,2003-11-13
12.765971183776855,2003-11-14
12.434115409851074,2003-11-17
12.359624862670898,2003-11-18
12.061638832092285,2003-11-19
11.753495216369629,2003-11-20
12.271587371826172,2003-11-21
12.969141006469727,2003-11-24
12.99622631072998,2003-11-25
13.23326587677002,2003-11-26
13.490609169006348,2003-11-28
13.51770305633545,2003-12-01
13.20617389678955,2003-12-02
13.00300121307373,2003-12-03
12.566180229187012,2003-12-04
12.427349090576172,2003-12-05
12.190312385559082,2003-12-08
12.190312385559082,2003-12-09
11.970211029052734,2003-12-10
12.142906188964844,2003-12-11
12.291901588439941,2003-12-12
12.00068473815918,2003-12-15
11.709474563598633,2003-12-16
11.96343994140625,2003-12-17
12.346077919006348,2003-12-18
12.52554988861084,2003-12-19
12.339306831359863,2003-12-22
12.596659660339355,2003-12-23
12.498456954956055,2003-12-24
12.701629638671875,2003-12-26
12.637284278869629,2003-12-29
12.552634239196777,2003-12-30
12.782898902893066,2003-12-31
12.508615493774414,2004-01-02
12.782898902893066,2004-01-05
13.128292083740234,2004-01-06
12.887869834899902,2004-01-07
