PEP,Date
0.27556806802749634,1975-03-13
0.28666478395462036,1975-03-14
0.2952953577041626,1975-03-17
0.2952953577041626,1975-03-18
0.2928297519683838,1975-03-19
0.28666478395462036,1975-03-20
0.2928297519683838,1975-03-21
0.28666478395462036,1975-03-24
0.2928297519683838,1975-03-25
0.2952953577041626,1975-03-26
0.2952953577041626,1975-03-27
0.2952953577041626,1975-03-31
0.2928297519683838,1975-04-01
0.2928297519683838,1975-04-02
0.28666478395462036,1975-04-03
0.28666478395462036,1975-04-04
0.27556806802749634,1975-04-07
0.28111645579338074,1975-04-08
0.2952953577041626,1975-04-09
0.2952953577041626,1975-04-10
0.2952953577041626,1975-04-11
0.31563928723335266,1975-04-14
0.31563928723335266,1975-04-15
0.31563928723335266,1975-04-16
0.31563928723335266,1975-04-17
0.31317341327667236,1975-04-18
0.3218041956424713,1975-04-21
0.3335176408290863,1975-04-22
0.33043524622917175,1975-04-23
0.3242703676223755,1975-04-24
0.31317341327667236,1975-04-25
0.31009089946746826,1975-04-28
0.31009089946746826,1975-04-29
0.31563928723335266,1975-04-30
0.3242703676223755,1975-05-01
0.3242703676223755,1975-05-02
0.33043524622917175,1975-05-05
0.3335176408290863,1975-05-06
0.3335176408290863,1975-05-07
0.3390655517578125,1975-05-08
0.342148095369339,1975-05-09
0.342148095369339,1975-05-12
0.34769657254219055,1975-05-13
0.342148095369339,1975-05-14
0.3335176408290863,1975-05-15
0.33043524622917175,1975-05-16
0.33043524622917175,1975-05-19
0.33043524622917175,1975-05-20
0.3242703676223755,1975-05-21
0.33043524622917175,1975-05-22
0.33043524622917175,1975-05-23
0.33043524622917175,1975-05-27
0.3242703676223755,1975-05-28
0.3218041956424713,1975-05-29
0.33043524622917175,1975-05-30
0.3335176408290863,1975-06-02
0.3408294916152954,1975-06-03
0.3408294916152954,1975-06-04
0.3408294916152954,1975-06-05
0.33525267243385315,1975-06-06
0.33215412497520447,1975-06-09
0.33215412497520447,1975-06-10
0.33525267243385315,1975-06-11
0.33525267243385315,1975-06-12
0.33525267243385315,1975-06-13
0.3408294916152954,1975-06-16
0.33215412497520447,1975-06-17
0.33215412497520447,1975-06-18
0.3259572386741638,1975-06-19
0.3259572386741638,1975-06-20
0.33215412497520447,1975-06-23
0.33525267243385315,1975-06-24
0.33525267243385315,1975-06-25
0.33525267243385315,1975-06-26
0.33215412497520447,1975-06-27
0.33215412497520447,1975-06-30
0.33215412497520447,1975-07-01
0.3234782814979553,1975-07-02
0.3172813951969147,1975-07-03
0.3148026764392853,1975-07-07
0.3148026764392853,1975-07-08
0.3234782814979553,1975-07-09
0.33215412497520447,1975-07-10
0.33525267243385315,1975-07-11
0.33525267243385315,1975-07-14
0.33215412497520447,1975-07-15
0.3259572386741638,1975-07-16
0.3234782814979553,1975-07-17
0.3234782814979553,1975-07-18
0.3172813951969147,1975-07-21
0.3172813951969147,1975-07-22
0.3148026764392853,1975-07-23
0.3061271905899048,1975-07-24
0.31170418858528137,1975-07-25
0.31170418858528137,1975-07-28
0.31170418858528137,1975-07-29
0.31170418858528137,1975-07-30
0.3148026764392853,1975-07-31
0.2968314588069916,1975-08-01
0.2968314588069916,1975-08-04
0.2943529486656189,1975-08-05
0.30302828550338745,1975-08-06
0.30302828550338745,1975-08-07
0.2968314588069916,1975-08-08
0.30302828550338745,1975-08-11
0.3061271905899048,1975-08-12
0.30302828550338745,1975-08-13
0.2968314588069916,1975-08-14
0.30302828550338745,1975-08-15
0.2943529486656189,1975-08-18
0.2881559431552887,1975-08-19
0.28567737340927124,1975-08-20
0.28567737340927124,1975-08-21
0.2943529486656189,1975-08-22
0.2881559431552887,1975-08-25
0.2881559431552887,1975-08-26
0.2881559431552887,1975-08-27
0.2968314588069916,1975-08-28
0.2943529486656189,1975-08-29
0.2943529486656189,1975-09-02
0.2876148819923401,1975-09-03
0.2901102304458618,1975-09-04
0.2844952344894409,1975-09-05
0.2844952344894409,1975-09-08
0.27576062083244324,1975-09-09
0.27576062083244324,1975-09-10
0.27576062083244324,1975-09-11
0.27576062083244324,1975-09-12
0.2695217728614807,1975-09-15
0.2695217728614807,1975-09-16
0.2788802683353424,1975-09-17
0.2844952344894409,1975-09-18
0.29634934663772583,1975-09-19
0.2901102304458618,1975-09-22
0.2844952344894409,1975-09-23
0.2876148819923401,1975-09-24
0.2901102304458618,1975-09-25
0.29634934663772583,1975-09-26
0.29634934663772583,1975-09-29
0.2901102304458618,1975-09-30
0.2876148819923401,1975-10-01
0.29634934663772583,1975-10-02
0.30820339918136597,1975-10-03
0.3138181269168854,1975-10-06
0.3169376850128174,1975-10-07
0.32567209005355835,1975-10-08
0.3281678259372711,1975-10-09
0.3375263810157776,1975-10-10
0.3518756628036499,1975-10-13
0.3431411385536194,1975-10-14
0.3375263810157776,1975-10-15
0.3375263810157776,1975-10-16
0.3375263810157776,1975-10-17
0.3431411385536194,1975-10-20
0.3518756628036499,1975-10-21
0.3574908375740051,1975-10-22
0.3637298345565796,1975-10-23
0.3549952507019043,1975-10-24
0.3518756628036499,1975-10-27
0.3549952507019043,1975-10-28
0.3518756628036499,1975-10-29
0.3431411385536194,1975-10-30
0.3462604582309723,1975-10-31
0.3462604582309723,1975-11-03
0.3431411385536194,1975-11-04
0.3462604582309723,1975-11-05
0.3518756628036499,1975-11-06
0.3549952507019043,1975-11-07
0.3518756628036499,1975-11-10
0.3518756628036499,1975-11-11
0.3574908375740051,1975-11-12
0.3637298345565796,1975-11-13
0.3637298345565796,1975-11-14
0.37246423959732056,1975-11-17
