UBER,Date
31.479999542236328,2022-04-29
30.389999389648438,2022-05-02
29.469999313354492,2022-05-03
28.100000381469727,2022-05-04
26.829999923706055,2022-05-05
26.06999969482422,2022-05-06
23.049999237060547,2022-05-09
23.670000076293945,2022-05-10
22.56999969482422,2022-05-11
23.290000915527344,2022-05-12
24.389999389648438,2022-05-13
23.59000015258789,2022-05-16
24.200000762939453,2022-05-17
22.459999084472656,2022-05-18
23.239999771118164,2022-05-19
23.350000381469727,2022-05-20
23.780000686645508,2022-05-23
21.549999237060547,2022-05-24
22.040000915527344,2022-05-25
23.100000381469727,2022-05-26
23.670000076293945,2022-05-27
23.200000762939453,2022-05-31
22.940000534057617,2022-06-01
24.739999771118164,2022-06-02
24.149999618530273,2022-06-03
24.729999542236328,2022-06-06
25.299999237060547,2022-06-07
25.829999923706055,2022-06-08
25.440000534057617,2022-06-09
23.719999313354492,2022-06-10
21.56999969482422,2022-06-13
21.09000015258789,2022-06-14
22.030000686645508,2022-06-15
20.469999313354492,2022-06-16
21.809999465942383,2022-06-17
21.760000228881836,2022-06-21
21.5,2022-06-22
22.3700008392334,2022-06-23
23.030000686645508,2022-06-24
22.860000610351562,2022-06-27
22.079999923706055,2022-06-28
21.469999313354492,2022-06-29
20.459999084472656,2022-06-30
21.34000015258789,2022-07-01
22.520000457763672,2022-07-05
21.5,2022-07-06
22.739999771118164,2022-07-07
22.34000015258789,2022-07-08
21.190000534057617,2022-07-11
21.56999969482422,2022-07-12
21.5,2022-07-13
20.649999618530273,2022-07-14
21.670000076293945,2022-07-15
22.579999923706055,2022-07-18
22.670000076293945,2022-07-19
24.1200008392334,2022-07-20
24.229999542236328,2022-07-21
23.299999237060547,2022-07-22
23.350000381469727,2022-07-25
22.549999237060547,2022-07-26
23.09000015258789,2022-07-27
23.309999465942383,2022-07-28
23.450000762939453,2022-07-29
24.600000381469727,2022-08-01
29.25,2022-08-02
30.190000534057617,2022-08-03
31.850000381469727,2022-08-04
32.0099983215332,2022-08-05
31.850000381469727,2022-08-08
31.059999465942383,2022-08-09
32.79999923706055,2022-08-10
32.2400016784668,2022-08-11
32.470001220703125,2022-08-12
32.4900016784668,2022-08-15
32.380001068115234,2022-08-16
30.719999313354492,2022-08-17
30.149999618530273,2022-08-18
29.010000228881836,2022-08-19
28.0,2022-08-22
27.809999465942383,2022-08-23
28.709999084472656,2022-08-24
29.6200008392334,2022-08-25
28.579999923706055,2022-08-26
28.739999771118164,2022-08-29
28.709999084472656,2022-08-30
28.760000228881836,2022-08-31
28.920000076293945,2022-09-01
29.049999237060547,2022-09-02
28.889999389648438,2022-09-06
30.030000686645508,2022-09-07
30.68000030517578,2022-09-08
31.780000686645508,2022-09-09
32.5,2022-09-12
31.31999969482422,2022-09-13
33.04999923706055,2022-09-14
33.130001068115234,2022-09-15
31.93000030517578,2022-09-16
31.489999771118164,2022-09-19
31.489999771118164,2022-09-20
30.469999313354492,2022-09-21
28.579999923706055,2022-09-22
27.81999969482422,2022-09-23
26.889999389648438,2022-09-26
27.56999969482422,2022-09-27
28.040000915527344,2022-09-28
26.420000076293945,2022-09-29
26.5,2022-09-30
26.719999313354492,2022-10-03
29.190000534057617,2022-10-04
29.18000030517578,2022-10-05
29.729999542236328,2022-10-06
28.06999969482422,2022-10-07
27.530000686645508,2022-10-10
24.65999984741211,2022-10-11
25.979999542236328,2022-10-12
25.0,2022-10-13
24.709999084472656,2022-10-14
25.940000534057617,2022-10-17
27.610000610351562,2022-10-18
27.530000686645508,2022-10-19
27.8700008392334,2022-10-20
28.020000457763672,2022-10-21
27.649999618530273,2022-10-24
28.360000610351562,2022-10-25
28.200000762939453,2022-10-26
27.81999969482422,2022-10-27
27.5,2022-10-28
26.56999969482422,2022-10-31
29.75,2022-11-01
28.809999465942383,2022-11-02
28.729999542236328,2022-11-03
28.389999389648438,2022-11-04
27.690000534057617,2022-11-07
27.440000534057617,2022-11-08
26.549999237060547,2022-11-09
28.850000381469727,2022-11-10
29.149999618530273,2022-11-11
29.06999969482422,2022-11-14
31.56999969482422,2022-11-15
