TXT,Date
20.99114418029785,1997-11-18
21.246566772460938,1997-11-19
21.943178176879883,1997-11-20
21.919954299926758,1997-11-21
21.734189987182617,1997-11-24
21.66453742980957,1997-11-25
21.919954299926758,1997-11-26
21.966392517089844,1997-11-28
22.61656379699707,1997-12-01
22.895204544067383,1997-12-02
22.802318572998047,1997-12-03
22.964866638183594,1997-12-04
23.54537582397461,1997-12-05
23.777568817138672,1997-12-08
23.824018478393555,1997-12-09
23.54428482055664,1997-12-10
23.404422760009766,1997-12-11
23.28786277770996,1997-12-12
23.054746627807617,1997-12-15
23.031429290771484,1997-12-16
22.86826515197754,1997-12-17
22.37871742248535,1997-12-18
21.982444763183594,1997-12-19
22.40203094482422,1997-12-22
22.262170791625977,1997-12-23
22.238855361938477,1997-12-24
22.37871742248535,1997-12-26
22.681760787963867,1997-12-29
23.124675750732422,1997-12-30
23.31117057800293,1997-12-31
23.357786178588867,1998-01-02
23.194610595703125,1998-01-05
22.728389739990234,1998-01-06
22.35541343688965,1998-01-07
22.37871742248535,1998-01-08
21.72601318359375,1998-01-09
21.935808181762695,1998-01-12
22.09898567199707,1998-01-13
21.982444763183594,1998-01-14
21.72601318359375,1998-01-15
21.72601318359375,1998-01-16
21.353029251098633,1998-01-20
21.469587326049805,1998-01-21
21.376352310180664,1998-01-22
21.213167190551758,1998-01-23
21.213167190551758,1998-01-26
21.166542053222656,1998-01-27
21.632768630981445,1998-01-28
22.192235946655273,1998-01-29
22.308788299560547,1998-01-30
23.17131233215332,1998-02-02
23.730770111083984,1998-02-03
24.40679359436035,1998-02-04
24.150373458862305,1998-02-05
24.593286514282227,1998-02-06
25.315935134887695,1998-02-09
25.64229393005371,1998-02-10
25.3858699798584,1998-02-11
25.33924102783203,1998-02-12
25.991954803466797,1998-02-13
26.015270233154297,1998-02-17
25.82876968383789,1998-02-18
25.432483673095703,1998-02-19
25.549047470092773,1998-02-20
26.318313598632812,1998-02-23
25.85209083557129,1998-02-24
26.901084899902344,1998-02-25
27.810230255126953,1998-02-26
27.950088500976562,1998-02-27
27.786903381347656,1998-03-02
27.530492782592773,1998-03-03
27.41395378112793,1998-03-04
26.924400329589844,1998-03-05
27.320693969726562,1998-03-06
27.460552215576172,1998-03-09
27.204133987426758,1998-03-10
26.936416625976562,1998-03-11
26.959814071655273,1998-03-12
26.866207122802734,1998-03-13
27.685300827026367,1998-03-16
27.7554988861084,1998-03-17
27.685300827026367,1998-03-18
28.12993812561035,1998-03-19
28.270374298095703,1998-03-20
29.159648895263672,1998-03-23
29.13625717163086,1998-03-24
29.20645523071289,1998-03-25
28.972429275512695,1998-03-26
28.808626174926758,1998-03-27
28.45758056640625,1998-03-30
28.83201789855957,1998-03-31
28.73841094970703,1998-04-01
28.87883949279785,1998-04-02
29.089454650878906,1998-04-03
29.791526794433594,1998-04-06
29.931957244873047,1998-04-07
29.908550262451172,1998-04-08
30.142562866210938,1998-04-09
