NWSA,Date
9.119937896728516,2020-04-27
9.457357406616211,2020-04-28
10.122553825378418,2020-04-29
9.55376148223877,2020-04-30
9.1392183303833,2020-05-01
9.293468475341797,2020-05-04
9.206701278686523,2020-05-05
9.322388648986816,2020-05-06
9.303107261657715,2020-05-07
10.537095069885254,2020-05-08
10.315362930297852,2020-05-11
10.20931625366211,2020-05-12
10.228597640991211,2020-05-13
10.344284057617188,2020-05-14
10.479252815246582,2020-05-15
10.758827209472656,2020-05-18
10.700984001159668,2020-05-19
11.03840160369873,2020-05-20
10.970919609069824,2020-05-21
11.10588550567627,2020-05-22
11.452943801879883,2020-05-26
11.6553955078125,2020-05-27
11.452943801879883,2020-05-28
11.80964469909668,2020-05-29
11.751801490783691,2020-06-01
11.80964469909668,2020-06-02
12.44591999053955,2020-06-03
12.330233573913574,2020-06-04
12.494121551513672,2020-06-05
12.879741668701172,2020-06-08
12.416996002197266,2020-06-09
11.944610595703125,2020-06-10
10.999839782714844,2020-06-11
11.298697471618652,2020-06-12
11.366180419921875,2020-06-15
11.510787010192871,2020-06-16
11.857848167419434,2020-06-17
11.50114917755127,2020-06-18
11.433664321899414,2020-06-19
11.530068397521973,2020-06-22
11.568631172180176,2020-06-23
11.250494003295898,2020-06-24
11.337260246276855,2020-06-25
11.067323684692383,2020-06-26
11.231212615966797,2020-06-29
11.433664321899414,2020-06-30
11.64575481414795,2020-07-01
11.597553253173828,2020-07-02
11.732521057128906,2020-07-06
11.568631172180176,2020-07-07
11.42402458190918,2020-07-08
11.30833625793457,2020-07-09
11.530068397521973,2020-07-10
11.50114917755127,2020-07-13
11.983173370361328,2020-07-14
12.19526481628418,2020-07-15
12.301310539245605,2020-07-16
12.359153747558594,2020-07-17
12.204906463623047,2020-07-20
12.291670799255371,2020-07-21
12.388076782226562,2020-07-22
12.262750625610352,2020-07-23
12.253108978271484,2020-07-24
12.416996002197266,2020-07-27
12.253108978271484,2020-07-28
12.407357215881348,2020-07-29
12.436279296875,2020-07-30
12.262750625610352,2020-07-31
12.532683372497559,2020-08-03
12.90866470336914,2020-08-04
12.81225872039795,2020-08-05
13.024352073669434,2020-08-06
13.82451343536377,2020-08-07
14.306540489196777,2020-08-10
14.354743957519531,2020-08-11
14.624679565429688,2020-08-12
14.740363121032715,2020-08-13
14.778925895690918,2020-08-14
14.576475143432617,2020-08-17
14.634319305419922,2020-08-18
14.672880172729492,2020-08-19
14.595756530761719,2020-08-20
14.084808349609375,2020-08-21
14.33546257019043,2020-08-24
14.451148986816406,2020-08-25
14.46078872680664,2020-08-26
14.518632888793945,2020-08-27
14.711442947387695,2020-08-28
14.576475143432617,2020-08-31
14.634319305419922,2020-09-01
14.69216251373291,2020-09-02
14.663238525390625,2020-09-03
14.412585258483887,2020-09-04
14.113730430603027,2020-09-08
14.576475143432617,2020-09-09
14.306540489196777,2020-09-10
14.518632888793945,2020-09-11
14.759645462036133,2020-09-14
14.866387367248535,2020-09-15
14.662605285644531,2020-09-16
14.7596435546875,2020-09-17
15.176913261413574,2020-09-18
14.138594627380371,2020-09-21
14.303561210632324,2020-09-22
13.818366050720215,2020-09-23
13.604880332946777,2020-09-24
13.682511329650879,2020-09-25
13.915404319763184,2020-09-28
13.478729248046875,2020-09-29
13.604880332946777,2020-09-30
13.760141372680664,2020-10-01
13.798957824707031,2020-10-02
13.915404319763184,2020-10-05
13.89599609375,2020-10-06
13.808660507202148,2020-10-07
14.012444496154785,2020-10-08
13.828069686889648,2020-10-09
13.789254188537598,2020-10-12
13.8862943649292,2020-10-13
13.760141372680664,2020-10-14
13.556361198425293,2020-10-15
13.643695831298828,2020-10-16
13.362282752990723,2020-10-19
13.439913749694824,2020-10-20
13.536952018737793,2020-10-21
13.507841110229492,2020-10-22
13.56606388092041,2020-10-23
13.245835304260254,2020-10-26
13.032349586486816,2020-10-27
12.585970878601074,2020-10-28
12.70241641998291,2020-10-29
12.741231918334961,2020-10-30
12.89649486541748,2020-11-02
13.100275993347168,2020-11-03
13.139091491699219,2020-11-04
13.585472106933594,2020-11-05
14.711125373840332,2020-11-06
15.206025123596191,2020-11-09
15.788259506225586,2020-11-10
16.690723419189453,2020-11-11
15.904704093933105,2020-11-12
16.477235794067383,2020-11-13
16.87509536743164,2020-11-16
17.156509399414062,2020-11-17
17.030359268188477,2020-11-18
17.030359268188477,2020-11-19
17.001249313354492,2020-11-20
17.3699951171875,2020-11-23
17.632001876831055,2020-11-24
17.467037200927734,2020-11-25
17.18562126159668,2020-11-27
17.127397537231445,2020-11-30
17.534961700439453,2020-12-01
17.84548568725586,2020-12-02
18.020158767700195,2020-12-03
18.126901626586914,2020-12-04
17.952232360839844,2020-12-07
17.83578109741211,2020-12-08
17.729040145874023,2020-12-09
17.806671142578125,2020-12-10
17.428218841552734,2020-12-11
17.224437713623047,2020-12-14
17.554372787475586,2020-12-15
17.24384307861328,2020-12-16
17.18562126159668,2020-12-17
16.836280822753906,2020-12-18
17.127397537231445,2020-12-21
17.117692947387695,2020-12-22
17.156509399414062,2020-12-23
17.2923641204834,2020-12-24
17.641706466674805,2020-12-28
17.4864444732666,2020-12-29
17.49614715576172,2020-12-30
17.437925338745117,2020-12-31
17.622299194335938,2021-01-04
17.738744735717773,2021-01-05
18.680023193359375,2021-01-06
18.18512535095215,2021-01-07
18.078378677368164,2021-01-08
18.107492446899414,2021-01-11
17.855192184448242,2021-01-12
17.738744735717773,2021-01-13
18.136606216430664,2021-01-14
18.146310806274414,2021-01-15
18.194826126098633,2021-01-19
18.544170379638672,2021-01-20
18.641204833984375,2021-01-21
18.020158767700195,2021-01-22
18.194826126098633,2021-01-25
18.57328224182129,2021-01-26
19.00025177001953,2021-01-27
18.932329177856445,2021-01-28
18.825580596923828,2021-01-29
18.796470642089844,2021-02-01
19.204036712646484,2021-02-02
19.252553939819336,2021-02-03
19.698932647705078,2021-02-04
20.591691970825195,2021-02-05
21.05748176574707,2021-02-08
21.523269653320312,2021-02-09
21.950241088867188,2021-02-10
22.357805252075195,2021-02-11
23.017669677734375,2021-02-12
23.085599899291992,2021-02-16
22.4936580657959,2021-02-17
21.979352951049805,2021-02-18
21.83379554748535,2021-02-19
22.668331146240234,2021-02-22
22.736257553100586,2021-02-23
23.10500144958496,2021-02-24
22.522769927978516,2021-02-25
22.755666732788086,2021-02-26
23.638723373413086,2021-03-01
22.940038681030273,2021-03-02
23.085599899291992,2021-03-03
22.833295822143555,2021-03-04
23.648426055908203,2021-03-05
23.522274017333984,2021-03-08
24.114213943481445,2021-03-09
24.764375686645508,2021-03-10
24.968154907226562,2021-03-11
25.433942794799805,2021-03-12
25.336904525756836,2021-03-15
25.794740676879883,2021-03-16
25.668106079101562,2021-03-17
26.447404861450195,2021-03-18
26.593521118164062,2021-03-19
26.018789291381836,2021-03-22
25.434316635131836,2021-03-23
24.791399002075195,2021-03-24
25.531728744506836,2021-03-25
25.064151763916016,2021-03-26
24.382265090942383,2021-03-29
25.025188446044922,2021-03-30
24.771915435791016,2021-03-31
25.385610580444336,2021-04-01
25.736295700073242,2021-04-05
25.872671127319336,2021-04-06
25.736295700073242,2021-04-07
26.028532028198242,2021-04-08
25.989566802978516,2021-04-09
26.067495346069336,2021-04-12
25.463539123535156,2021-04-13
25.72655487060547,2021-04-14
25.92137908935547,2021-04-15
26.009050369262695,2021-04-16
26.04801368713379,2021-04-19
25.804481506347656,2021-04-20
26.613004684448242,2021-04-21
26.19413185119629,2021-04-22
26.038270950317383,2021-04-23
25.97008514404297,2021-04-26
25.862930297851562,2021-04-27
25.49276351928711,2021-04-28
25.83370590209961,2021-04-29
25.521989822387695,2021-04-30
25.67784881591797,2021-05-03
24.849842071533203,2021-05-04
25.444061279296875,2021-05-05
25.32716178894043,2021-05-06
26.729900360107422,2021-05-07
26.729900360107422,2021-05-10
26.924724578857422,2021-05-11
25.463539123535156,2021-05-12
25.570695877075195,2021-05-13
26.009050369262695,2021-05-14
26.21361541748047,2021-05-17
25.794740676879883,2021-05-18
25.33690643310547,2021-05-19
26.349992752075195,2021-05-20
25.804481506347656,2021-05-21
26.145423889160156,2021-05-24
25.950599670410156,2021-05-25
26.08698081970215,2021-05-26
26.398698806762695,2021-05-27
26.291545867919922,2021-05-28
25.823965072631836,2021-06-01
25.23949432373047,2021-06-02
25.220008850097656,2021-06-03
25.54146957397461,2021-06-04
25.181047439575195,2021-06-07
25.785001754760742,2021-06-08
25.84345245361328,2021-06-09
25.775259017944336,2021-06-10
26.145423889160156,2021-06-11
25.62914276123047,2021-06-14
25.32716178894043,2021-06-15
25.258975982666016,2021-06-16
24.840105056762695,2021-06-17
24.479677200317383,2021-06-18
25.064151763916016,2021-06-21
24.85958480834961,2021-06-22
24.791399002075195,2021-06-23
24.90829086303711,2021-06-24
25.064151763916016,2021-06-25
24.95699691772461,2021-06-28
24.89855194091797,2021-06-29
25.103116989135742,2021-06-30
25.463539123535156,2021-07-01
25.083633422851562,2021-07-02
24.87906837463379,2021-07-06
24.693984985351562,2021-07-07
24.158218383789062,2021-07-08
24.85958480834961,2021-07-09
25.161561965942383,2021-07-12
24.577089309692383,2021-07-13
24.353042602539062,2021-07-14
24.265371322631836,2021-07-15
23.593225479125977,2021-07-16
23.262025833129883,2021-07-19
23.69063949584961,2021-07-20
23.973134994506836,2021-07-21
23.778310775756836,2021-07-22
24.109512329101562,2021-07-23
24.158218383789062,2021-07-26
24.080289840698242,2021-07-27
24.109512329101562,2021-07-28
23.943912506103516,2021-07-29
23.992616653442383,2021-07-30
24.09977149963379,2021-08-02
23.447111129760742,2021-08-03
23.700382232666016,2021-08-04
24.206924438476562,2021-08-05
24.080289840698242,2021-08-06
23.778310775756836,2021-08-09
23.651676177978516,2021-08-10
23.554262161254883,2021-08-11
23.34969711303711,2021-08-12
22.911344528198242,2021-08-13
22.989273071289062,2021-08-16
22.395057678222656,2021-08-17
21.606019973754883,2021-08-18
21.304044723510742,2021-08-19
21.52808952331543,2021-08-20
21.800844192504883,2021-08-23
21.742395401000977,2021-08-24
21.995668411254883,2021-08-25
21.781362533569336,2021-08-26
22.15152931213379,2021-08-27
21.79110336303711,2021-08-30
21.88851547241211,2021-08-31
22.229455947875977,2021-09-01
22.063858032226562,2021-09-02
21.97618293762207,2021-09-03
21.62550163269043,2021-09-07
21.50860595703125,2021-09-08
21.479381561279297,2021-09-09
21.323522567749023,2021-09-10
21.31378173828125,2021-09-13
21.538860321044922,2021-09-14
21.480144500732422,2021-09-15
21.989011764526367,2021-09-16
21.871580123901367,2021-09-17
21.392070770263672,2021-09-20
21.734575271606445,2021-09-21
22.625099182128906,2021-09-22
23.496047973632812,2021-09-23
23.84834098815918,2021-09-24
23.672195434570312,2021-09-27
23.40797233581543,2021-09-28
23.30032730102539,2021-09-29
23.026323318481445,2021-09-30
23.202468872070312,2021-10-01
22.948036193847656,2021-10-04
23.27096939086914,2021-10-05
23.124181747436523,2021-10-06
23.54497718811035,2021-10-07
23.564550399780273,2021-10-08
23.45690155029297,2021-10-11
23.36882972717285,2021-10-12
23.182897567749023,2021-10-13
23.54497718811035,2021-10-14
23.38840103149414,2021-10-15
23.0458927154541,2021-10-18
23.192684173583984,2021-10-19
23.29054069519043,2021-10-20
23.310115814208984,2021-10-21
23.554763793945312,2021-10-22
23.64283561706543,2021-10-25
23.339473724365234,2021-10-26
22.468524932861328,2021-10-27
22.654457092285156,2021-10-28
