K,Date
41.79683303833008,2013-04-18
42.56966018676758,2013-04-19
42.62761688232422,2013-04-22
42.83369827270508,2013-04-23
42.13816833496094,2013-04-24
42.37644958496094,2013-04-25
42.312042236328125,2013-04-26
42.17035675048828,2013-04-29
41.88698959350586,2013-04-30
41.610076904296875,2013-05-01
40.84368133544922,2013-05-02
40.99824523925781,2013-05-03
40.856563568115234,2013-05-06
41.152809143066406,2013-05-07
41.3588981628418,2013-05-08
41.159244537353516,2013-05-09
41.403987884521484,2013-05-10
41.48771667480469,2013-05-13
42.04155731201172,2013-05-14
42.440853118896484,2013-05-15
42.389320373535156,2013-05-16
42.286293029785156,2013-05-17
41.78395462036133,2013-05-20
42.13816833496094,2013-05-21
41.925636291503906,2013-05-22
41.661590576171875,2013-05-23
41.50702667236328,2013-05-24
41.680908203125,2013-05-28
40.966041564941406,2013-05-29
40.84186553955078,2013-05-30
40.25794219970703,2013-05-31
40.63425064086914,2013-06-03
40.9067497253418,2013-06-04
40.08926010131836,2013-06-05
40.25146484375,2013-06-06
41.1273307800293,2013-06-07
40.91971969604492,2013-06-10
40.87430953979492,2013-06-11
40.7704963684082,2013-06-12
41.67232894897461,2013-06-13
41.67881774902344,2013-06-14
41.96428680419922,2013-06-17
42.12000274658203,2013-06-18
41.43876647949219,2013-06-19
40.59532165527344,2013-06-20
41.0365104675293,2013-06-21
41.04299545288086,2013-06-24
40.991085052490234,2013-06-25
41.21168518066406,2013-06-26
41.795616149902344,2013-06-27
41.67232894897461,2013-06-28
42.100528717041016,2013-07-01
42.24326705932617,2013-07-02
42.2108154296875,2013-07-03
42.392494201660156,2013-07-05
42.645538330078125,2013-07-08
42.768795013427734,2013-07-09
42.801246643066406,2013-07-10
43.16456604003906,2013-07-11
43.145103454589844,2013-07-12
43.158077239990234,2013-07-15
43.02183532714844,2013-07-16
42.9375,2013-07-17
43.23592758178711,2013-07-18
43.67711639404297,2013-07-19
43.7679443359375,2013-07-22
43.61872863769531,2013-07-23
43.385154724121094,2013-07-24
43.45003128051758,2013-07-25
43.45652389526367,2013-07-26
43.39813232421875,2013-07-29
43.112667083740234,2013-07-30
42.97641372680664,2013-07-31
42.444393157958984,2013-08-01
42.321128845214844,2013-08-02
42.28868865966797,2013-08-05
42.690940856933594,2013-08-06
42.51576614379883,2013-08-07
42.60011672973633,2013-08-08
42.61307907104492,2013-08-09
42.645538330078125,2013-08-12
42.75582504272461,2013-08-13
42.444393157958984,2013-08-14
41.82154846191406,2013-08-15
40.84186553955078,2013-08-16
40.74454116821289,2013-08-19
40.62126922607422,2013-08-20
40.25146484375,2013-08-21
40.49799346923828,2013-08-22
40.69913101196289,2013-08-23
40.030887603759766,2013-08-26
39.985450744628906,2013-08-27
39.62861633300781,2013-08-28
39.6285514831543,2013-08-29
39.707035064697266,2013-08-30
39.73320007324219,2013-09-03
39.75934982299805,2013-09-04
39.517364501953125,2013-09-05
39.393096923828125,2013-09-06
39.41271209716797,2013-09-09
38.88948059082031,2013-09-10
39.294986724853516,2013-09-11
39.321163177490234,2013-09-12
39.661251068115234,2013-09-13
39.883628845214844,2013-09-16
39.661251068115234,2013-09-17
40.034061431884766,2013-09-18
39.949031829833984,2013-09-19
39.61547088623047,2013-09-20
39.39963150024414,2013-09-23
39.21650314331055,2013-09-24
39.1641731262207,2013-09-25
39.14455795288086,2013-09-26
38.6016960144043,2013-09-27
38.412025451660156,2013-09-30
38.42510223388672,2013-10-01
38.516685485839844,2013-10-02
38.516685485839844,2013-10-03
38.824066162109375,2013-10-04
38.9287109375,2013-10-07
38.98103332519531,2013-10-08
38.98758316040039,2013-10-09
39.67433166503906,2013-10-10
39.739742279052734,2013-10-11
39.43232345581055,2013-10-14
39.23612594604492,2013-10-15
39.68086624145508,2013-10-16
39.870548248291016,2013-10-17
40.191036224365234,2013-10-18
39.929412841796875,2013-10-21
40.47879409790039,2013-10-22
40.76005172729492,2013-10-23
40.63577651977539,2013-10-24
40.831993103027344,2013-10-25
41.49911117553711,2013-10-28
42.04197311401367,2013-10-29
41.72148895263672,2013-10-30
41.36830520629883,2013-10-31
40.74043273925781,2013-11-01
41.02167510986328,2013-11-04
41.263668060302734,2013-11-05
41.433712005615234,2013-11-06
40.60307312011719,2013-11-07
40.67502212524414,2013-11-08
40.51150894165039,2013-11-11
40.58345031738281,2013-11-12
40.85814666748047,2013-11-13
41.40100860595703,2013-11-14
40.94971466064453,2013-11-15
40.792747497558594,2013-11-18
40.361080169677734,2013-11-19
39.988277435302734,2013-11-20
