MS,Date
41.608489990234375,2018-07-17
42.77603530883789,2018-07-18
42.17533874511719,2018-07-19
42.53068542480469,2018-07-20
42.928314208984375,2018-07-23
43.13137435913086,2018-07-24
43.18213653564453,2018-07-25
43.13983154296875,2018-07-26
43.19059371948242,2018-07-27
43.318260192871094,2018-07-30
43.028892517089844,2018-07-31
42.705509185791016,2018-08-01
42.390621185302734,2018-08-02
42.4757194519043,2018-08-03
42.543800354003906,2018-08-06
42.66294479370117,2018-08-07
42.654441833496094,2018-08-08
42.075721740722656,2018-08-09
41.18212127685547,2018-08-10
40.297035217285156,2018-08-13
40.73107147216797,2018-08-14
40.382144927978516,2018-08-15
41.105533599853516,2018-08-16
41.16511154174805,2018-08-17
41.09702682495117,2018-08-20
41.309791564941406,2018-08-21
41.360843658447266,2018-08-22
40.960853576660156,2018-08-23
40.969364166259766,2018-08-24
42.45869064331055,2018-08-27
42.55231475830078,2018-08-28
42.509765625,2018-08-29
41.95658493041992,2018-08-30
41.556583404541016,2018-08-31
41.4544677734375,2018-09-04
41.46297836303711,2018-09-05
40.7906494140625,2018-09-06
41.03744888305664,2018-09-07
40.799156188964844,2018-09-10
40.73107147216797,2018-09-11
40.407676696777344,2018-09-12
40.6119270324707,2018-09-13
41.01190185546875,2018-09-14
40.577884674072266,2018-09-17
40.72256088256836,2018-09-18
41.786373138427734,2018-09-19
42.45018768310547,2018-09-20
42.05019760131836,2018-09-21
41.32680892944336,2018-09-24
41.0885124206543,2018-09-25
40.59490203857422,2018-09-26
40.654476165771484,2018-09-27
39.63322448730469,2018-09-28
39.68428421020508,2018-10-01
39.68428421020508,2018-10-02
40.09278869628906,2018-10-03
40.22895050048828,2018-10-04
39.786407470703125,2018-10-05
40.01619338989258,2018-10-08
39.28429412841797,2018-10-09
37.97367858886719,2018-10-10
37.012001037597656,2018-10-11
36.960941314697266,2018-10-12
36.99498748779297,2018-10-15
39.09706115722656,2018-10-16
40.16086196899414,2018-10-17
39.17366027832031,2018-10-18
39.50556182861328,2018-10-19
38.39069747924805,2018-10-22
37.88857650756836,2018-10-23
37.012001037597656,2018-10-24
37.91411209106445,2018-10-25
37.42049789428711,2018-10-26
37.403480529785156,2018-10-29
38.131832122802734,2018-10-30
39.12583541870117,2018-10-31
39.32292175292969,2018-11-01
39.37434768676758,2018-11-02
39.262939453125,2018-11-05
39.17726135253906,2018-11-06
39.93989562988281,2018-11-07
39.7856559753418,2018-11-08
39.185821533203125,2018-11-09
37.814788818359375,2018-11-12
38.28608322143555,2018-11-13
37.57486343383789,2018-11-14
37.96046447753906,2018-11-15
37.814788818359375,2018-11-16
38.05472183227539,2018-11-19
36.93218231201172,2018-11-20
37.47203826904297,2018-11-21
36.91505813598633,2018-11-23
37.94332504272461,2018-11-26
37.74623489379883,2018-11-27
38.825923919677734,2018-11-28
38.140403747558594,2018-11-29
38.03757858276367,2018-11-30
38.91162109375,2018-12-03
36.94932174682617,2018-12-04
36.51231002807617,2018-12-06
35.40692138671875,2018-12-07
34.88420486450195,2018-12-10
34.80708694458008,2018-12-11
34.96989440917969,2018-12-12
34.789955139160156,2018-12-13
33.96733093261719,2018-12-14
33.93306350708008,2018-12-17
34.18155288696289,2018-12-18
33.67598342895508,2018-12-19
33.3417854309082,2018-12-20
32.287818908691406,2018-12-21
31.713687896728516,2018-12-24
33.67598342895508,2018-12-26
33.984474182128906,2018-12-27
33.735965728759766,2018-12-28
33.97590255737305,2018-12-31
34.61857604980469,2019-01-02
34.00160598754883,2019-01-03
35.3897705078125,2019-01-04
35.7411003112793,2019-01-07
35.51831817626953,2019-01-08
35.766807556152344,2019-01-09
35.69826126098633,2019-01-10
35.766807556152344,2019-01-11
36.400909423828125,2019-01-14
36.74366760253906,2019-01-15
38.1232795715332,2019-01-16
36.44375991821289,2019-01-17
37.43775177001953,2019-01-18
36.3409309387207,2019-01-22
36.118141174316406,2019-01-23
36.03244400024414,2019-01-24
36.82936096191406,2019-01-25
36.54658889770508,2019-01-28
36.409488677978516,2019-01-29
36.92728042602539,2019-01-30
36.5044059753418,2019-01-31
36.09017562866211,2019-02-01
36.642494201660156,2019-02-04
36.63386154174805,2019-02-05
36.57345199584961,2019-02-06
35.79676818847656,2019-02-07
35.21855545043945,2019-02-08
34.700767517089844,2019-02-11
35.51197052001953,2019-02-12
35.54650115966797,2019-02-13
35.14089584350586,2019-02-14
36.23688507080078,2019-02-15
36.38359069824219,2019-02-19
36.60797119140625,2019-02-20
36.210994720458984,2019-02-21
36.06428527832031,2019-02-22
36.409481048583984,2019-02-25
36.59933853149414,2019-02-26
36.728790283203125,2019-02-27
36.22825241088867,2019-02-28
36.6770133972168,2019-03-01
36.24551010131836,2019-03-04
36.15921401977539,2019-03-05
35.91757583618164,2019-03-06
35.529232025146484,2019-03-07
35.693206787109375,2019-03-08
36.116065979003906,2019-03-11
36.27140426635742,2019-03-12
36.59933853149414,2019-03-13
36.840972900390625,2019-03-14
37.3932991027832,2019-03-15
37.99737548828125,2019-03-18
37.928340911865234,2019-03-19
37.134395599365234,2019-03-20
37.220699310302734,2019-03-21
36.003875732421875,2019-03-22
35.598270416259766,2019-03-25
36.14196014404297,2019-03-26
35.70183181762695,2019-03-27
36.18510055541992,2019-03-28
36.41810989379883,2019-03-29
37.56589126586914,2019-04-01
37.71259689331055,2019-04-02
38.2994270324707,2019-04-03
38.77406692504883,2019-04-04
38.74817657470703,2019-04-05
38.817222595214844,2019-04-08
38.19587326049805,2019-04-09
38.35983657836914,2019-04-10
38.66188430786133,2019-04-11
40.29293441772461,2019-04-12
39.76651382446289,2019-04-15
40.57771682739258,2019-04-16
41.6478157043457,2019-04-17
41.03509521484375,2019-04-18
40.810726165771484,2019-04-22
40.86250686645508,2019-04-23
40.888389587402344,2019-04-24
40.810726165771484,2019-04-25
41.328521728515625,2019-04-26
42.08404541015625,2019-04-29
