D,Date
11.769270896911621,2002-12-31
11.95577621459961,2003-01-02
11.940765380859375,2003-01-03
12.566747665405273,2003-01-06
12.26233196258545,2003-01-07
12.101548194885254,2003-01-08
12.185162544250488,2003-01-09
12.10583782196045,2003-01-10
12.050103187561035,2003-01-13
12.035091400146484,2003-01-14
11.938623428344727,2003-01-15
11.876458168029785,2003-01-16
11.683518409729004,2003-01-17
11.524879455566406,2003-01-21
11.361948013305664,2003-01-22
11.668512344360352,2003-01-23
11.50772762298584,2003-01-24
11.113272666931152,2003-01-27
11.58704948425293,2003-01-28
11.638497352600098,2003-01-29
11.415546417236328,2003-01-30
11.617057800292969,2003-01-31
11.799280166625977,2003-02-03
11.687806129455566,2003-02-04
11.715673446655273,2003-02-05
11.58704948425293,2003-02-06
11.572040557861328,2003-02-07
11.764976501464844,2003-02-10
11.522735595703125,2003-02-11
11.310501098632812,2003-02-12
11.531309127807617,2003-02-13
11.683518409729004,2003-02-14
11.794994354248047,2003-02-18
11.803572654724121,2003-02-19
11.882887840270996,2003-02-20
11.942912101745605,2003-02-21
11.95577621459961,2003-02-24
12.035091400146484,2003-02-25
11.795454978942871,2003-02-26
11.784611701965332,2003-02-27
11.689190864562988,2003-02-28
11.760756492614746,2003-03-03
11.689190864562988,2003-03-04
11.8822021484375,2003-03-05
11.95810604095459,2003-03-06
12.090394020080566,2003-03-07
11.821484565734863,2003-03-10
11.825817108154297,2003-03-11
11.736900329589844,2003-03-12
11.73039436340332,2003-03-13
11.765091896057129,2003-03-14
11.923404693603516,2003-03-17
12.057863235473633,2003-03-18
12.125094413757324,2003-03-19
12.216180801391602,2003-03-20
12.305093765258789,2003-03-21
12.079549789428711,2003-03-24
12.148951530456543,2003-03-25
12.092562675476074,2003-03-26
12.151117324829102,2003-03-27
12.146780967712402,2003-03-28
12.007986068725586,2003-03-31
12.075214385986328,2003-04-01
12.055694580078125,2003-04-02
11.988470077514648,2003-04-03
12.200994491577148,2003-04-04
12.177144050598145,2003-04-07
12.207507133483887,2003-04-08
12.172804832458496,2003-04-09
12.320277214050293,2003-04-10
12.283409118652344,2003-04-11
12.404853820800781,2003-04-14
12.569670677185059,2003-04-15
12.667266845703125,2003-04-16
12.721482276916504,2003-04-17
12.699799537658691,2003-04-21
12.686779022216797,2003-04-22
12.769193649291992,2003-04-23
12.912323951721191,2003-04-24
12.758346557617188,2003-04-25
12.888472557067871,2003-04-28
12.855940818786621,2003-04-29
12.83425521850586,2003-04-30
12.795214653015137,2003-05-01
12.864618301391602,2003-05-02
12.890645027160645,2003-05-05
12.886302947998047,2003-05-06
12.8125638961792,2003-05-07
12.786540031433105,2003-05-08
12.868948936462402,2003-05-09
12.990403175354004,2003-05-12
12.947027206420898,2003-05-13
13.005577087402344,2003-05-14
13.144372940063477,2003-05-15
13.421964645385742,2003-05-16
13.424137115478516,2003-05-19
13.597627639770508,2003-05-20
13.35690975189209,2003-05-21
13.508709907531738,2003-05-22
13.877387046813965,2003-05-23
14.020522117614746,2003-05-27
13.909903526306152,2003-05-28
13.638270378112793,2003-05-29
13.800374984741211,2003-05-30
13.87047004699707,2003-06-02
13.920848846435547,2003-06-03
13.93179988861084,2003-06-04
13.78942584991455,2003-06-05
13.66894245147705,2003-06-06
13.690848350524902,2003-06-09
13.73465633392334,2003-06-10
13.78284740447998,2003-06-11
14.166191101074219,2003-06-12
14.010666847229004,2003-06-13
14.383055686950684,2003-06-16
14.249430656433105,2003-06-17
14.25600528717041,2003-06-18
14.286676406860352,2003-06-19
14.260384559631348,2003-06-20
14.15523910522461,2003-06-23
14.107047080993652,2003-06-24
14.030380249023438,2003-06-25
14.06323528289795,2003-06-26
14.02161693572998,2003-06-27
14.078569412231445,2003-06-30
13.990949630737305,2003-07-01
14.080761909484863,2003-07-02
13.936182975769043,2003-07-03
13.894567489624023,2003-07-07
13.8463716506958,2003-07-08
13.736845016479492,2003-07-09
13.381987571716309,2003-07-10
13.417031288146973,2003-07-11
13.493698120117188,2003-07-14
13.311882972717285,2003-07-15
13.059975624084473,2003-07-16
13.156352996826172,2003-07-17
13.373223304748535,2003-07-18
13.180450439453125,2003-07-21
13.263692855834961,2003-07-22
13.13883113861084,2003-07-23
13.09940242767334,2003-07-24
13.169498443603516,2003-07-25
13.12131118774414,2003-07-28
13.14978313446045,2003-07-29
13.204546928405762,2003-07-30
13.165119171142578,2003-07-31
12.99425983428955,2003-08-01
12.88254165649414,2003-08-04
12.768628120422363,2003-08-05
12.884724617004395,2003-08-06
13.081880569458008,2003-08-07
13.215503692626953,2003-08-08
13.204546928405762,2003-08-11
13.3688383102417,2003-08-12
13.406074523925781,2003-08-13
13.35788631439209,2003-08-14
13.311882972717285,2003-08-15
13.276836395263672,2003-08-18
13.187020301818848,2003-08-19
13.351312637329102,2003-08-20
13.419219970703125,2003-08-21
13.176070213317871,2003-08-22
13.34473705291748,2003-08-25
13.397317886352539,2003-08-26
13.396204948425293,2003-08-27
13.405064582824707,2003-08-28
13.411707878112793,2003-08-29
13.548962593078613,2003-09-02
13.560036659240723,2003-09-03
13.493617057800293,2003-09-04
13.45598316192627,2003-09-05
13.560036659240723,2003-09-08
13.360782623291016,2003-09-09
13.440485000610352,2003-09-10
13.393987655639648,2003-09-11
13.540111541748047,2003-09-12
13.45598316192627,2003-09-15
13.517971992492676,2003-09-16
13.504691123962402,2003-09-17
13.73493480682373,2003-09-18
13.7105712890625,2003-09-19
13.475905418395996,2003-09-22
13.526827812194824,2003-09-23
13.420559883117676,2003-09-24
13.407279968261719,2003-09-25
13.571101188659668,2003-09-26
13.759286880493164,2003-09-29
13.703941345214844,2003-09-30
13.743785858154297,2003-10-01
13.865553855895996,2003-10-02
13.907611846923828,2003-10-03
14.051517486572266,2003-10-06
13.883259773254395,2003-10-07
13.836771965026855,2003-10-08
13.93639850616455,2003-10-09
13.885478019714355,2003-10-10
13.845626831054688,2003-10-13
13.91425609588623,2003-10-14
13.748214721679688,2003-10-15
13.770355224609375,2003-10-16
13.770355224609375,2003-10-17
13.726076126098633,2003-10-20
13.657442092895508,2003-10-21
