EW,Date
21.170000076293945,2015-01-06
21.666667938232422,2015-01-07
22.191667556762695,2015-01-08
22.19333267211914,2015-01-09
22.54833221435547,2015-01-12
22.270000457763672,2015-01-13
21.94499969482422,2015-01-14
21.43166732788086,2015-01-15
21.52666664123535,2015-01-16
21.40999984741211,2015-01-20
21.479999542236328,2015-01-21
21.72333335876465,2015-01-22
21.604999542236328,2015-01-23
21.690000534057617,2015-01-26
21.56333351135254,2015-01-27
21.47833251953125,2015-01-28
21.546667098999023,2015-01-29
20.891666412353516,2015-01-30
20.913333892822266,2015-02-02
21.166667938232422,2015-02-03
22.475000381469727,2015-02-04
22.47166633605957,2015-02-05
22.10333251953125,2015-02-06
21.34666633605957,2015-02-09
21.678333282470703,2015-02-10
21.93166732788086,2015-02-11
22.05666732788086,2015-02-12
22.371667861938477,2015-02-13
22.17333221435547,2015-02-17
22.3700008392334,2015-02-18
22.286666870117188,2015-02-19
22.40999984741211,2015-02-20
22.375,2015-02-23
22.331666946411133,2015-02-24
22.34166717529297,2015-02-25
22.483333587646484,2015-02-26
22.170000076293945,2015-02-27
22.641666412353516,2015-03-02
22.43000030517578,2015-03-03
22.626667022705078,2015-03-04
22.608333587646484,2015-03-05
22.166667938232422,2015-03-06
22.316667556762695,2015-03-09
22.274999618530273,2015-03-10
22.45166778564453,2015-03-11
22.833332061767578,2015-03-12
22.558332443237305,2015-03-13
24.773332595825195,2015-03-16
24.683332443237305,2015-03-17
24.729999542236328,2015-03-18
24.823333740234375,2015-03-19
24.461666107177734,2015-03-20
24.350000381469727,2015-03-23
24.299999237060547,2015-03-24
23.708332061767578,2015-03-25
23.649999618530273,2015-03-26
23.946666717529297,2015-03-27
24.023332595825195,2015-03-30
23.74333381652832,2015-03-31
23.450000762939453,2015-04-01
23.434999465942383,2015-04-02
23.308332443237305,2015-04-06
23.125,2015-04-07
23.170000076293945,2015-04-08
23.22833251953125,2015-04-09
23.613332748413086,2015-04-10
23.850000381469727,2015-04-13
23.791667938232422,2015-04-14
23.546667098999023,2015-04-15
23.621667861938477,2015-04-16
23.323333740234375,2015-04-17
23.546667098999023,2015-04-20
23.413333892822266,2015-04-21
23.47833251953125,2015-04-22
23.65333366394043,2015-04-23
23.05500030517578,2015-04-24
21.828332901000977,2015-04-27
21.649999618530273,2015-04-28
21.65999984741211,2015-04-29
21.108333587646484,2015-04-30
21.198333740234375,2015-05-01
21.291667938232422,2015-05-04
20.643333435058594,2015-05-05
20.731666564941406,2015-05-06
20.65833282470703,2015-05-07
