YUM,Date
8.698334693908691,1999-03-18
8.761366844177246,1999-03-19
8.800765037536621,1999-03-22
8.52500057220459,1999-03-23
8.351664543151855,1999-03-24
8.477728843688965,1999-03-25
8.564393997192383,1999-03-26
8.761366844177246,1999-03-29
8.753491401672363,1999-03-30
8.855918884277344,1999-03-31
9.265619277954102,1999-04-01
9.108043670654297,1999-04-05
9.115920066833496,1999-04-06
9.005616188049316,1999-04-07
8.981977462768555,1999-04-08
8.942578315734863,1999-04-09
9.076528549194336,1999-04-12
9.060770034790039,1999-04-13
8.96622085571289,1999-04-14
8.808638572692871,1999-04-15
8.52500057220459,1999-04-16
8.304389953613281,1999-04-19
8.493483543395996,1999-04-20
8.792885780334473,1999-04-21
8.855918884277344,1999-04-22
8.71409797668457,1999-04-23
8.461970329284668,1999-04-26
8.71409797668457,1999-04-27
8.320148468017578,1999-04-28
8.194085121154785,1999-04-29
8.115294456481934,1999-04-30
8.209845542907715,1999-05-03
8.004989624023438,1999-05-04
7.973477363586426,1999-05-05
7.894686698913574,1999-05-06
7.752866268157959,1999-05-07
7.8159003257751465,1999-05-10
7.705589771270752,1999-05-11
7.839532375335693,1999-05-12
7.784379482269287,1999-05-13
7.595286846160889,1999-05-14
7.406190395355225,1999-05-17
7.37467622756958,1999-05-18
7.469224452972412,1999-05-19
7.201340675354004,1999-05-20
7.429832935333252,1999-05-21
7.185579776763916,1999-05-24
6.791636943817139,1999-05-25
6.901941776275635,1999-05-26
6.980731964111328,1999-05-27
7.343161106109619,1999-05-28
7.280129432678223,1999-06-01
7.185579776763916,1999-06-02
6.649818420410156,1999-06-03
6.712848663330078,1999-06-04
6.77587890625,1999-06-07
6.610421180725098,1999-06-08
6.35829496383667,1999-06-09
6.507993221282959,1999-06-10
6.334658145904541,1999-06-11
6.271626949310303,1999-06-14
6.30314302444458,1999-06-15
6.389811038970947,1999-06-16
6.460720062255859,1999-06-17
6.397690296173096,1999-06-18
6.145564079284668,1999-06-21
6.216473579406738,1999-06-22
6.106168270111084,1999-06-23
6.255869388580322,1999-06-24
6.271626949310303,1999-06-25
6.523752212524414,1999-06-28
6.846790790557861,1999-06-29
6.823151588439941,1999-06-30
6.807395935058594,1999-07-01
6.901941776275635,1999-07-02
6.88618278503418,1999-07-06
6.88618278503418,1999-07-07
6.838913440704346,1999-07-08
6.901941776275635,1999-07-09
6.791636943817139,1999-07-12
6.838913440704346,1999-07-13
6.72860860824585,1999-07-14
7.106795787811279,1999-07-15
7.0752763748168945,1999-07-16
6.823151588439941,1999-07-19
6.673449516296387,1999-07-20
5.987987041473389,1999-07-21
5.798892021179199,1999-07-22
5.483733654022217,1999-07-23
5.641312599182129,1999-07-26
5.475856304168701,1999-07-27
5.263123512268066,1999-07-28
5.176455497741699,1999-07-29
5.129184246063232,1999-07-30
5.168576717376709,1999-08-02
5.231609344482422,1999-08-03
4.916451930999756,1999-08-04
4.68008279800415,1999-08-05
4.790387153625488,1999-08-06
4.640689849853516,1999-08-09
4.506747722625732,1999-08-10
4.790387153625488,1999-08-11
4.979482173919678,1999-08-12
5.074031829833984,1999-08-13
5.0661516189575195,1999-08-16
5.263123512268066,1999-08-17
5.483733654022217,1999-08-18
5.428582668304443,1999-08-19
5.546765327453613,1999-08-20
5.601917743682861,1999-08-23
5.341911792755127,1999-08-24
5.129184246063232,1999-08-25
5.460099220275879,1999-08-26
5.594039440155029,1999-08-27
5.1922125816345215,1999-08-30
5.121305465698242,1999-08-31
5.207971572875977,1999-09-01
5.089789390563965,1999-09-02
5.239487171173096,1999-09-03
5.160696506500244,1999-09-07
5.0819091796875,1999-09-08
5.0819091796875,1999-09-09
5.215848922729492,1999-09-10
5.263123512268066,1999-09-13
5.255246639251709,1999-09-14
5.326156139373779,1999-09-15
5.121305465698242,1999-09-16
5.200094223022461,1999-09-17
5.129184246063232,1999-09-20
5.121305465698242,1999-09-21
4.75887393951416,1999-09-22
4.806146621704102,1999-09-23
5.263123512268066,1999-09-24
5.460099220275879,1999-09-27
5.263123512268066,1999-09-28
5.255246639251709,1999-09-29
5.160696506500244,1999-09-30
5.255246639251709,1999-10-01
5.381305694580078,1999-10-04
5.341911792755127,1999-10-05
5.294639587402344,1999-10-06
5.215848922729492,1999-10-07
5.294639587402344,1999-10-08
5.302517890930176,1999-10-11
5.271003246307373,1999-10-12
4.908572673797607,1999-10-13
4.955844879150391,1999-10-14
4.916451930999756,1999-10-15
4.92432975769043,1999-10-18
4.9479660987854,1999-10-19
4.97160530090332,1999-10-20
5.050394535064697,1999-10-21
4.955844879150391,1999-10-22
4.916451930999756,1999-10-25
4.86129903793335,1999-10-26
4.963726043701172,1999-10-27
5.042513847351074,1999-10-28
5.0661516189575195,1999-10-29
5.1134257316589355,1999-11-01
5.034634590148926,1999-11-02
4.9479660987854,1999-11-03
4.9479660987854,1999-11-04
5.097665786743164,1999-11-05
5.1134257316589355,1999-11-08
5.247365951538086,1999-11-09
5.491611957550049,1999-11-10
5.5704026222229,1999-11-11
5.436459064483643,1999-11-12
