GOLD,Date
0.552684485912323,1985-12-24
0.552684485912323,1985-12-26
0.552684485912323,1985-12-27
0.552684485912323,1985-12-30
0.552684485912323,1985-12-31
0.5424495935440063,1986-01-02
0.5424495935440063,1986-01-03
0.5424495935440063,1986-01-06
0.5424495935440063,1986-01-07
0.5424495935440063,1986-01-08
0.552684485912323,1986-01-09
0.552684485912323,1986-01-10
0.5424495935440063,1986-01-13
0.552684485912323,1986-01-14
0.5629193186759949,1986-01-15
0.5936239361763,1986-01-16
0.5936239361763,1986-01-17
0.5833889842033386,1986-01-20
0.5833889842033386,1986-01-21
0.5833889842033386,1986-01-22
0.573154091835022,1986-01-23
0.5833889842033386,1986-01-24
0.5936239361763,1986-01-27
0.5833889842033386,1986-01-28
0.6140938401222229,1986-01-29
0.6243286728858948,1986-01-30
0.5936239361763,1986-01-31
0.5833889842033386,1986-02-03
0.5424495935440063,1986-02-04
0.573154091835022,1986-02-05
0.573154091835022,1986-02-06
0.573154091835022,1986-02-07
0.573154091835022,1986-02-10
0.573154091835022,1986-02-11
0.573154091835022,1986-02-12
0.573154091835022,1986-02-13
0.573154091835022,1986-02-14
0.573154091835022,1986-02-18
0.573154091835022,1986-02-19
0.573154091835022,1986-02-20
0.573154091835022,1986-02-21
0.573154091835022,1986-02-24
0.573154091835022,1986-02-25
0.5629193186759949,1986-02-26
0.552684485912323,1986-02-27
0.5424495935440063,1986-02-28
0.5322145223617554,1986-03-03
0.5424495935440063,1986-03-04
0.5322145223617554,1986-03-05
0.552684485912323,1986-03-06
0.552684485912323,1986-03-07
0.552684485912323,1986-03-10
0.552684485912323,1986-03-11
0.573154091835022,1986-03-12
0.5629193186759949,1986-03-13
0.573154091835022,1986-03-14
0.5629193186759949,1986-03-17
0.573154091835022,1986-03-18
0.573154091835022,1986-03-19
0.573154091835022,1986-03-20
0.573154091835022,1986-03-21
0.573154091835022,1986-03-24
0.5936239361763,1986-03-25
0.5936239361763,1986-03-26
0.5936239361763,1986-03-27
0.5833889842033386,1986-03-31
0.573154091835022,1986-04-01
0.573154091835022,1986-04-02
0.5833889842033386,1986-04-03
0.5936239361763,1986-04-04
0.5936239361763,1986-04-07
0.6243286728858948,1986-04-08
0.6345636248588562,1986-04-09
0.6755031943321228,1986-04-10
0.6959728598594666,1986-04-11
0.6959728598594666,1986-04-14
0.7369125485420227,1986-04-15
0.7369125485420227,1986-04-16
0.7062078714370728,1986-04-17
0.7062078714370728,1986-04-18
0.6755031943321228,1986-04-21
0.7164425849914551,1986-04-22
