J,Date
55.78157043457031,2013-07-31
57.93933868408203,2013-08-01
58.7308349609375,2013-08-02
57.69434356689453,2013-08-05
56.054832458496094,2013-08-06
55.97943878173828,2013-08-07
57.14784622192383,2013-08-08
57.36455535888672,2013-08-09
57.43052673339844,2013-08-12
57.45878601074219,2013-08-13
57.72262191772461,2013-08-14
57.553009033203125,2013-08-15
57.87337875366211,2013-08-16
56.507110595703125,2013-08-19
56.66729736328125,2013-08-20
56.36577224731445,2013-08-21
56.865177154541016,2013-08-22
56.41288757324219,2013-08-23
56.39403533935547,2013-08-26
54.88643264770508,2013-08-27
55.22563934326172,2013-08-28
54.726261138916016,2013-08-29
54.914695739746094,2013-08-30
55.18795394897461,2013-09-03
55.81926727294922,2013-09-04
55.611968994140625,2013-09-05
54.726261138916016,2013-09-06
55.05603790283203,2013-09-09
55.13140869140625,2013-09-10
54.283390045166016,2013-09-11
54.7074089050293,2013-09-12
54.556644439697266,2013-09-13
55.18795394897461,2013-09-16
55.46119689941406,2013-09-17
56.23385238647461,2013-09-18
56.280967712402344,2013-09-19
55.649654388427734,2013-09-20
54.90526580810547,2013-09-23
54.858150482177734,2013-09-24
54.914695739746094,2013-09-25
54.895843505859375,2013-09-26
54.45299530029297,2013-09-27
54.820465087890625,2013-09-30
55.22563934326172,2013-10-01
55.23506546020508,2013-10-02
54.01012420654297,2013-10-03
54.21743392944336,2013-10-04
53.953590393066406,2013-10-07
53.03018569946289,2013-10-08
52.87942123413086,2013-10-09
54.047813415527344,2013-10-10
54.79220199584961,2013-10-11
54.980648040771484,2013-10-14
54.30223083496094,2013-10-15
55.43294143676758,2013-10-16
56.507110595703125,2013-10-17
56.17731857299805,2013-10-18
56.507110595703125,2013-10-21
57.081878662109375,2013-10-22
56.76152801513672,2013-10-23
57.19496536254883,2013-10-24
57.06304168701172,2013-10-25
57.45878601074219,2013-10-28
57.61897659301758,2013-10-29
57.12900161743164,2013-10-30
57.30801773071289,2013-10-31
