GE,Date
2.7304413318634033,1982-04-26
2.725259780883789,1982-04-27
2.7148971557617188,1982-04-28
2.6630868911743164,1982-04-29
2.6579058170318604,1982-04-30
2.6682684421539307,1982-05-03
2.7148971557617188,1982-05-04
2.7304413318634033,1982-05-05
2.704536199569702,1982-05-06
2.704536199569702,1982-05-07
2.6579058170318604,1982-05-10
2.6527247428894043,1982-05-11
2.6268203258514404,1982-05-12
2.606096029281616,1982-05-13
2.595731735229492,1982-05-14
2.5801889896392822,1982-05-17
2.5750086307525635,1982-05-18
2.5801889896392822,1982-05-19
2.5801889896392822,1982-05-20
2.595731735229492,1982-05-21
2.595731735229492,1982-05-24
2.5698275566101074,1982-05-25
2.5750086307525635,1982-05-26
2.5801889896392822,1982-05-27
2.5646450519561768,1982-05-28
2.559464693069458,1982-06-01
2.5750086307525635,1982-06-02
2.558199405670166,1982-06-03
2.5476930141448975,1982-06-04
2.5424396991729736,1982-06-07
2.5476930141448975,1982-06-08
2.552945852279663,1982-06-09
2.5634517669677734,1982-06-10
2.605476140975952,1982-06-11
2.573958396911621,1982-06-14
2.573958396911621,1982-06-15
2.573958396911621,1982-06-16
2.552945852279663,1982-06-17
2.5424396991729736,1982-06-18
2.552945852279663,1982-06-21
2.605476140975952,1982-06-22
2.631739854812622,1982-06-23
2.6580049991607666,1982-06-24
2.6212356090545654,1982-06-25
2.6632590293884277,1982-06-28
2.679016590118408,1982-06-29
2.673764944076538,1982-06-30
2.668510913848877,1982-07-01
2.668510913848877,1982-07-02
2.7052834033966064,1982-07-06
2.668510913848877,1982-07-07
2.721040725708008,1982-07-08
2.768317461013794,1982-07-09
2.878629446029663,1982-07-12
2.8418588638305664,1982-07-13
2.878629446029663,1982-07-14
2.8628718852996826,1982-07-15
2.915403127670288,1982-07-16
2.889136552810669,1982-07-19
2.889136552810669,1982-07-20
2.8576180934906006,1982-07-21
2.8471133708953857,1982-07-22
2.831352710723877,1982-07-23
2.831352710723877,1982-07-26
2.7893295288085938,1982-07-27
2.768317461013794,1982-07-28
2.7788233757019043,1982-07-29
2.7630650997161865,1982-07-30
2.826099157333374,1982-08-02
2.83660626411438,1982-08-03
2.773571729660034,1982-08-04
2.7578110694885254,1982-08-05
2.7052834033966064,1982-08-06
2.7052834033966064,1982-08-09
2.6947765350341797,1982-08-10
2.6527552604675293,1982-08-11
2.647500514984131,1982-08-12
2.689523696899414,1982-08-13
2.689523696899414,1982-08-16
2.873375654220581,1982-08-17
2.8576180934906006,1982-08-18
2.873375654220581,1982-08-19
2.941664934158325,1982-08-20
2.9889416694641113,1982-08-23
2.9679317474365234,1982-08-24
2.994194746017456,1982-08-25
3.0677380561828613,1982-08-26
3.0467257499694824,1982-08-27
3.0887503623962402,1982-08-30
3.162292957305908,1982-08-31
3.115015745162964,1982-09-01
3.199061155319214,1982-09-02
3.2831082344055176,1982-09-03
3.2305803298950195,1982-09-07
3.183302640914917,1982-09-08
3.14127779006958,1982-09-09
3.130772113800049,1982-09-10
3.2043166160583496,1982-09-13
3.220071792602539,1982-09-14
3.2148196697235107,1982-09-15
3.199061155319214,1982-09-16
3.183302640914917,1982-09-17
3.1727969646453857,1982-09-20
3.246338367462158,1982-09-21
3.246338367462158,1982-09-22
3.2358322143554688,1982-09-23
3.1885550022125244,1982-09-24
3.2410855293273926,1982-09-27
3.2293994426727295,1982-09-28
3.1922216415405273,1982-09-29
3.176283121109009,1982-09-30
3.2612688541412354,1982-10-01
3.2293994426727295,1982-10-04
3.245333433151245,1982-10-05
3.4206156730651855,1982-10-06
3.4524834156036377,1982-10-07
3.4949777126312256,1982-10-08
3.5268428325653076,1982-10-11
3.510910749435425,1982-10-12
3.537468433380127,1982-10-13
3.447174072265625,1982-10-14
3.3887438774108887,1982-10-15
3.6065187454223633,1982-10-18
3.564023971557617,1982-10-19
3.617143154144287,1982-10-20
3.617143154144287,1982-10-21
3.6224522590637207,1982-10-22
3.5427794456481934,1982-10-25
3.5746500492095947,1982-10-26
3.6012074947357178,1982-10-27
3.5799598693847656,1982-10-28
3.6490092277526855,1982-10-29
3.733994245529175,1982-11-01
3.7764856815338135,1982-11-02
3.9676995277404785,1982-11-03
