MDLZ,Date
38.189937591552734,2018-09-18
38.16358184814453,2018-09-19
38.541343688964844,2018-09-20
38.60284423828125,2018-09-21
38.17236328125,2018-09-24
38.00543975830078,2018-09-25
37.98786926269531,2018-09-26
38.06741714477539,2018-09-27
37.97019958496094,2018-09-28
37.85529327392578,2018-10-01
38.208839416503906,2018-10-02
37.81109619140625,2018-10-03
37.4487190246582,2018-10-04
37.492916107177734,2018-10-05
37.93482971191406,2018-10-08
37.793426513671875,2018-10-09
37.3603401184082,2018-10-10
36.40577697753906,2018-10-11
36.343910217285156,2018-10-12
36.273193359375,2018-10-15
36.48532485961914,2018-10-16
36.379268646240234,2018-10-17
36.273193359375,2018-10-18
36.94492721557617,2018-10-19
36.626731872558594,2018-10-22
36.4676513671875,2018-10-23
36.52068328857422,2018-10-24
36.23785400390625,2018-10-25
35.45121765136719,2018-10-26
35.45121765136719,2018-10-29
37.227752685546875,2018-10-30
37.1040153503418,2018-10-31
37.4487190246582,2018-11-01
37.1040153503418,2018-11-02
37.74922561645508,2018-11-05
38.40327835083008,2018-11-06
38.58888244628906,2018-11-07
38.836360931396484,2018-11-08
39.1545524597168,2018-11-09
39.287132263183594,2018-11-12
38.96010971069336,2018-11-13
38.677268981933594,2018-11-14
38.836360931396484,2018-11-15
39.12803268432617,2018-11-16
39.269439697265625,2018-11-19
38.61539840698242,2018-11-20
38.42979049682617,2018-11-21
38.70379638671875,2018-11-23
38.845211029052734,2018-11-26
39.36668014526367,2018-11-27
39.26061248779297,2018-11-28
39.35783004760742,2018-11-29
39.75556564331055,2018-11-30
39.79975128173828,2018-12-03
39.3048095703125,2018-12-04
39.11035919189453,2018-12-06
38.71262741088867,2018-12-07
38.82752990722656,2018-12-10
39.075008392333984,2018-12-11
38.951271057128906,2018-12-12
39.19874572753906,2018-12-13
38.49165725708008,2018-12-14
37.837615966796875,2018-12-17
37.24542999267578,2018-12-18
36.6002197265625,2018-12-19
36.379268646240234,2018-12-20
35.95500183105469,2018-12-21
34.89440155029297,2018-12-24
35.35399627685547,2018-12-26
35.55727767944336,2018-12-27
35.48611831665039,2018-12-28
35.61066436767578,2018-12-31
35.48611831665039,2019-01-02
35.352664947509766,2019-01-03
36.33123016357422,2019-01-04
36.580322265625,2019-01-07
37.4343376159668,2019-01-08
37.3009033203125,2019-01-09
37.665626525878906,2019-01-10
37.567787170410156,2019-01-11
37.79018020629883,2019-01-14
38.19938659667969,2019-01-15
37.95919418334961,2019-01-16
38.28834915161133,2019-01-17
38.57301712036133,2019-01-18
38.36841583251953,2019-01-22
38.70646286010742,2019-01-23
38.27946090698242,2019-01-24
38.00367736816406,2019-01-25
38.3595085144043,2019-01-28
38.63529968261719,2019-01-29
38.973350524902344,2019-01-30
41.152862548828125,2019-01-31
40.53903579711914,2019-02-01
41.01942825317383,2019-02-04
40.90376663208008,2019-02-05
41.099483489990234,2019-02-06
41.36636734008789,2019-02-07
41.72220230102539,2019-02-08
42.211483001708984,2019-02-11
42.30044174194336,2019-02-12
42.353816986083984,2019-02-13
42.0958366394043,2019-02-14
42.84309768676758,2019-02-15
42.78972244262695,2019-02-19
42.69187545776367,2019-02-20
43.06549835205078,2019-02-21
42.451683044433594,2019-02-22
41.99798583984375,2019-02-25
42.193687438964844,2019-02-26
41.926815032958984,2019-02-27
41.9535026550293,2019-02-28
42.01576614379883,2019-03-01
41.80227279663086,2019-03-04
41.74888610839844,2019-03-05
41.784481048583984,2019-03-06
41.64213562011719,2019-03-07
41.43754196166992,2019-03-08
41.91791534423828,2019-03-11
41.766685485839844,2019-03-12
42.060245513916016,2019-03-13
42.122528076171875,2019-03-14
42.52284240722656,2019-03-15
42.7363395690918,2019-03-18
42.914268493652344,2019-03-19
42.86088562011719,2019-03-20
43.483612060546875,2019-03-21
43.70601272583008,2019-03-22
43.955101013183594,2019-03-25
44.29315185546875,2019-03-26
44.15081787109375,2019-03-27
44.1329231262207,2019-03-28
44.64267349243164,2019-03-29
44.436973571777344,2019-04-01
44.392269134521484,2019-04-02
44.47276306152344,2019-04-03
44.40121841430664,2019-04-04
44.42805099487305,2019-04-05
44.365440368652344,2019-04-08
44.392269134521484,2019-04-09
44.4459228515625,2019-04-10
44.419090270996094,2019-04-11
44.52640914916992,2019-04-12
44.9646110534668,2019-04-15
44.8215217590332,2019-04-16
44.919898986816406,2019-04-17
44.794700622558594,2019-04-18
44.875179290771484,2019-04-22
45.03615188598633,2019-04-23
45.05404281616211,2019-04-24
44.72315216064453,2019-04-25
44.97356033325195,2019-04-26
45.188167572021484,2019-04-29
45.47434997558594,2019-04-30
46.18083953857422,2019-05-01
46.03774642944336,2019-05-02
46.28814697265625,2019-05-03
46.145057678222656,2019-05-06
45.617435455322266,2019-05-07
45.617435455322266,2019-05-08
45.92148971557617,2019-05-09
46.38652038574219,2019-05-10
45.77840805053711,2019-05-13
46.16295623779297,2019-05-14
46.35074996948242,2019-05-15
47.218204498291016,2019-05-16
46.708465576171875,2019-05-17
46.76212692260742,2019-05-20
46.66374588012695,2019-05-21
46.5832633972168,2019-05-22
46.538543701171875,2019-05-23
46.61903762817383,2019-05-24
45.5816650390625,2019-05-28
45.7515754699707,2019-05-29
45.83206558227539,2019-05-30
45.47434997558594,2019-05-31
46.10930252075195,2019-06-03
46.62797546386719,2019-06-04
47.34340286254883,2019-06-05
47.80842971801758,2019-06-06
48.30923080444336,2019-06-07
48.46126174926758,2019-06-10
48.28240966796875,2019-06-11
48.78319549560547,2019-06-12
48.87263488769531,2019-06-13
49.2303352355957,2019-06-14
48.96205520629883,2019-06-17
48.792144775390625,2019-06-18
49.23929214477539,2019-06-19
49.597007751464844,2019-06-20
49.40919876098633,2019-06-21
49.48074722290039,2019-06-24
49.61488342285156,2019-06-25
48.70271682739258,2019-06-26
48.630828857421875,2019-06-27
48.43314743041992,2019-06-28
49.160987854003906,2019-07-01
49.37665557861328,2019-07-02
50.1494255065918,2019-07-03
49.870853424072266,2019-07-05
49.81694412231445,2019-07-08
49.76302719116211,2019-07-09
49.89781951904297,2019-07-10
49.08910369873047,2019-07-11
49.008235931396484,2019-07-12
49.15201187133789,2019-07-15
49.21490478515625,2019-07-16
49.32272720336914,2019-07-17
49.62824249267578,2019-07-18
49.32272720336914,2019-07-19
49.098087310791016,2019-07-22
49.232879638671875,2019-07-23
48.9004020690918,2019-07-24
48.891422271728516,2019-07-25
49.25084686279297,2019-07-26
49.295780181884766,2019-07-29
49.25084686279297,2019-07-30
48.064727783203125,2019-07-31
48.19052505493164,2019-08-01
48.30733871459961,2019-08-02
46.92353820800781,2019-08-05
47.4716796875,2019-08-06
48.00183868408203,2019-08-07
49.37665557861328,2019-08-08
49.14301300048828,2019-08-09
48.74764633178711,2019-08-12
49.035186767578125,2019-08-13
47.804134368896484,2019-08-14
48.3253059387207,2019-08-15
49.008235931396484,2019-08-16
49.026214599609375,2019-08-19
48.514015197753906,2019-08-20
48.79257583618164,2019-08-21
48.98127746582031,2019-08-22
48.19052505493164,2019-08-23
