COMS,Date
27302.400390625,2012-07-11
30336.0,2012-07-12
30336.0,2012-07-13
24268.80078125,2012-07-16
24268.80078125,2012-07-17
24268.80078125,2012-07-18
24268.80078125,2012-07-19
26088.9609375,2012-07-20
24268.80078125,2012-07-23
23055.359375,2012-07-24
22448.640625,2012-07-25
22448.640625,2012-07-26
21235.19921875,2012-07-27
21235.19921875,2012-07-30
21235.19921875,2012-07-31
18201.599609375,2012-08-01
18201.599609375,2012-08-02
23055.359375,2012-08-03
24268.80078125,2012-08-06
21841.919921875,2012-08-07
19415.0390625,2012-08-08
18201.599609375,2012-08-09
18201.599609375,2012-08-10
18201.599609375,2012-08-13
18201.599609375,2012-08-14
18201.599609375,2012-08-15
18201.599609375,2012-08-16
18201.599609375,2012-08-17
18201.599609375,2012-08-20
15168.0,2012-08-21
15168.0,2012-08-22
15168.0,2012-08-23
15168.0,2012-08-24
13954.5595703125,2012-08-27
18201.599609375,2012-08-28
18201.599609375,2012-08-29
18201.599609375,2012-08-30
14561.2802734375,2012-08-31
14561.2802734375,2012-09-04
18201.599609375,2012-09-05
18201.599609375,2012-09-06
18201.599609375,2012-09-07
18201.599609375,2012-09-10
18201.599609375,2012-09-11
13954.5595703125,2012-09-12
18201.599609375,2012-09-13
15774.7197265625,2012-09-14
18201.599609375,2012-09-17
18201.599609375,2012-09-18
17594.880859375,2012-09-19
16381.4404296875,2012-09-20
17594.880859375,2012-09-21
21235.19921875,2012-09-24
22448.640625,2012-09-25
27302.400390625,2012-09-26
27302.400390625,2012-09-27
27302.400390625,2012-09-28
30336.0,2012-10-01
24268.80078125,2012-10-02
27302.400390625,2012-10-03
29122.560546875,2012-10-04
24268.80078125,2012-10-05
27302.400390625,2012-10-08
24268.80078125,2012-10-09
27302.400390625,2012-10-10
30336.0,2012-10-11
