SYF,Date
24.241622924804688,2018-10-26
24.267620086669922,2018-10-29
24.900081634521484,2018-10-30
25.02137565612793,2018-10-31
25.506555557250977,2018-11-01
23.063230514526367,2018-11-02
23.3162899017334,2018-11-05
23.447185516357422,2018-11-06
23.866039276123047,2018-11-07
23.97947883605957,2018-11-08
24.10165023803711,2018-11-09
23.743873596191406,2018-11-12
24.12782859802246,2018-11-13
23.49081802368164,2018-11-14
23.13304328918457,2018-11-15
22.609474182128906,2018-11-16
22.277881622314453,2018-11-19
22.09463119506836,2018-11-20
22.391315460205078,2018-11-21
22.304059982299805,2018-11-23
22.644380569458008,2018-11-26
22.7578182220459,2018-11-27
23.054506301879883,2018-11-28
22.661828994750977,2018-11-29
22.670557022094727,2018-11-30
22.522212982177734,2018-12-03
21.728132247924805,2018-12-04
21.937559127807617,2018-12-06
22.12952995300293,2018-12-07
21.780488967895508,2018-12-10
21.291826248168945,2018-12-11
21.42271614074707,2018-12-12
21.099849700927734,2018-12-13
21.03003692626953,2018-12-14
20.49774169921875,2018-12-17
20.53264617919922,2018-12-18
20.244688034057617,2018-12-19
20.061433792114258,2018-12-20
19.633853912353516,2018-12-21
19.345890045166016,2018-12-24
20.192325592041016,2018-12-26
20.436656951904297,2018-12-27
20.506471633911133,2018-12-28
20.4715633392334,2018-12-31
21.178382873535156,2019-01-02
21.021310806274414,2019-01-03
22.02482032775879,2019-01-04
22.138263702392578,2019-01-07
22.18189239501953,2019-01-08
22.67928123474121,2019-01-09
22.469852447509766,2019-01-10
22.705461502075195,2019-01-11
22.557117462158203,2019-01-14
22.4873104095459,2019-01-15
23.01959800720215,2019-01-16
22.993425369262695,2019-01-17
22.93233871459961,2019-01-18
23.167945861816406,2019-01-22
25.654897689819336,2019-01-23
26.012680053710938,2019-01-24
25.995223999023438,2019-01-25
26.1610164642334,2019-01-28
25.873058319091797,2019-01-29
26.23955535888672,2019-01-30
26.213376998901367,2019-01-31
26.090349197387695,2019-02-01
26.11671257019043,2019-02-04
26.353973388671875,2019-02-05
26.459428787231445,2019-02-06
26.459428787231445,2019-02-07
26.31003761291504,2019-02-08
26.68790626525879,2019-02-11
26.74941635131836,2019-02-12
27.039411544799805,2019-02-13
27.09213638305664,2019-02-14
27.900592803955078,2019-02-15
27.909378051757812,2019-02-19
27.935741424560547,2019-02-20
27.926956176757812,2019-02-21
28.01482582092285,2019-02-22
27.97089385986328,2019-02-25
28.129066467285156,2019-02-26
28.137859344482422,2019-02-27
28.65632438659668,2019-02-28
28.524507522583008,2019-03-01
28.524507522583008,2019-03-04
28.313610076904297,2019-03-05
28.023618698120117,2019-03-06
27.680906295776367,2019-03-07
27.71605682373047,2019-03-08
28.137859344482422,2019-03-11
28.3048152923584,2019-03-12
28.928735733032227,2019-03-13
28.85843849182129,2019-03-14
29.271451950073242,2019-03-15
29.20993995666504,2019-03-18
29.069347381591797,2019-03-19
28.51572608947754,2019-03-20
28.919946670532227,2019-03-21
27.97089385986328,2019-03-22
27.5842342376709,2019-03-25
27.918167114257812,2019-03-26
27.79514503479004,2019-03-27
27.97089385986328,2019-03-28
28.03240394592285,2019-03-29
28.62996482849121,2019-04-01
28.48935317993164,2019-04-02
28.427846908569336,2019-04-03
28.559663772583008,2019-04-04
28.392696380615234,2019-04-05
28.59480857849121,2019-04-08
28.357545852661133,2019-04-09
28.60359764099121,2019-04-10
28.66511344909668,2019-04-11
28.999040603637695,2019-04-12
28.95510482788086,2019-04-15
29.13964080810547,2019-04-16
29.20993995666504,2019-04-17
29.297822952270508,2019-04-18
29.482358932495117,2019-04-22
29.40326499938965,2019-04-23
29.464784622192383,2019-04-24
29.43842315673828,2019-04-25
30.229305267333984,2019-04-26
30.238094329833984,2019-04-29
30.46656608581543,2019-04-30
30.018404006958008,2019-05-01
30.009611129760742,2019-05-02
30.363292694091797,2019-05-03
30.319082260131836,2019-05-06
30.062665939331055,2019-05-07
29.90351676940918,2019-05-08
30.41634750366211,2019-05-09
30.955698013305664,2019-05-10
30.053823471069336,2019-05-13
30.743499755859375,2019-05-14
30.823074340820312,2019-05-15
31.159074783325195,2019-05-16
30.86728286743164,2019-05-17
30.946863174438477,2019-05-20
31.079492568969727,2019-05-21
31.159074783325195,2019-05-22
30.725811004638672,2019-05-23
30.77886390686035,2019-05-24
30.593185424804688,2019-05-28
30.38981819152832,2019-05-29
30.266033172607422,2019-05-30
29.735517501831055,2019-05-31
29.4437255859375,2019-06-03
30.009611129760742,2019-06-04
30.124561309814453,2019-06-05
30.354454040527344,2019-06-06
29.86814308166504,2019-06-07
29.461416244506836,2019-06-10
30.10688018798828,2019-06-11
29.876989364624023,2019-06-12
30.044984817504883,2019-06-13
30.018451690673828,2019-06-14
30.071504592895508,2019-06-17
30.451711654663086,2019-06-18
29.921188354492188,2019-06-19
30.27488136291504,2019-06-20
30.336761474609375,2019-06-21
30.053823471069336,2019-06-24
29.974254608154297,2019-06-25
30.266033172607422,2019-06-26
