ETR,Date
14.191179275512695,2000-09-11
14.490947723388672,2000-09-12
14.592998504638672,2000-09-13
14.74606990814209,2000-09-14
15.415769577026367,2000-09-15
15.479543685913086,2000-09-18
15.001199722290039,2000-09-19
14.822609901428223,2000-09-20
14.363387107849121,2000-09-21
14.465438842773438,2000-09-22
14.261335372924805,2000-09-25
14.618509292602539,2000-09-26
14.752449989318848,2000-09-27
14.72056770324707,2000-09-28
15.211668014526367,2000-09-29
16.27680015563965,2000-10-02
14.695045471191406,2000-10-03
14.388903617858887,2000-10-04
14.00622272491455,2000-10-05
14.644025802612305,2000-10-06
14.669533729553223,2000-10-09
15.026702880859375,2000-10-10
15.358362197875977,2000-10-11
15.15427303314209,2000-10-12
15.48592472076416,2000-10-13
15.99616813659668,2000-10-16
15.868607521057129,2000-10-17
15.562463760375977,2000-10-18
14.899145126342773,2000-10-19
15.103241920471191,2000-10-20
15.128754615783691,2000-10-23
14.79709529876709,2000-10-24
14.695045471191406,2000-10-25
14.18480396270752,2000-10-26
15.256305694580078,2000-10-27
15.715544700622559,2000-10-30
15.638995170593262,2000-10-31
15.741048812866211,2000-11-01
15.307342529296875,2000-11-02
15.052217483520508,2000-11-03
15.179777145385742,2000-11-06
15.205293655395508,2000-11-07
15.129136085510254,2000-11-08
15.540803909301758,2000-11-09
15.875298500061035,2000-11-10
16.338428497314453,2000-11-13
16.08112907409668,2000-11-14
16.389888763427734,2000-11-15
16.621456146240234,2000-11-16
16.853025436401367,2000-11-17
17.0845890045166,2000-11-20
17.058866500854492,2000-11-21
17.161787033081055,2000-11-22
16.930221557617188,2000-11-24
16.698650360107422,2000-11-27
17.18751335144043,2000-11-28
17.161787033081055,2000-11-29
16.930221557617188,2000-11-30
16.775840759277344,2000-12-01
16.775840759277344,2000-12-04
16.57000160217285,2000-12-05
16.57000160217285,2000-12-06
16.364160537719727,2000-12-07
16.08112907409668,2000-12-08
15.592264175415039,2000-12-11
15.97822093963623,2000-12-12
15.926756858825684,2000-12-13
15.412162780761719,2000-12-14
15.97822093963623,2000-12-15
16.389888763427734,2000-12-18
17.033138275146484,2000-12-19
17.753568649291992,2000-12-20
17.599193572998047,2000-12-21
17.599193572998047,2000-12-22
17.80503273010254,2000-12-26
17.702110290527344,2000-12-27
17.264699935913086,2000-12-28
17.41908073425293,2000-12-29
17.18751335144043,2001-01-02
16.672922134399414,2001-01-03
15.232048988342285,2001-01-04
15.412162780761719,2001-01-05
15.56654167175293,2001-01-08
15.43789005279541,2001-01-09
15.334975242614746,2001-01-10
13.971288681030273,2001-01-11
14.460156440734863,2001-01-12
14.151398658752441,2001-01-16
14.640267372131348,2001-01-17
14.717453956604004,2001-01-18
14.511612892150879,2001-01-19
15.103401184082031,2001-01-22
15.180590629577637,2001-01-23
15.129136085510254,2001-01-24
15.232048988342285,2001-01-25
15.103401184082031,2001-01-26
15.026211738586426,2001-01-29
15.013862609863281,2001-01-30
14.581605911254883,2001-01-31
14.342826843261719,2001-02-01
14.676288604736328,2001-02-02
14.733920097351074,2001-02-05
14.910941123962402,2001-02-06
14.993276596069336,2001-02-07
15.211463928222656,2001-02-08
15.533256530761719,2001-02-09
15.363020896911621,2001-02-12
15.27582836151123,2001-02-13
15.412849426269531,2001-02-14
15.354718208312988,2001-02-15
15.591385841369629,2001-02-16
15.686893463134766,2001-02-20
15.944327354431152,2001-02-21
16.060583114624023,2001-02-22
16.031517028808594,2001-02-23
15.948477745056152,2001-02-26
16.2764949798584,2001-02-27
16.12286949157715,2001-02-28
16.29725456237793,2001-03-01
16.38029670715332,2001-03-02
16.24327850341797,2001-03-05
16.08133888244629,2001-03-06
16.172698974609375,2001-03-07
16.35953712463379,2001-03-08
16.318025588989258,2001-03-09
16.110416412353516,2001-03-12
15.936022758483887,2001-03-13
15.757478713989258,2001-03-14
15.799003601074219,2001-03-15
15.570625305175781,2001-03-16
15.321500778198242,2001-03-19
15.172021865844727,2001-03-20
15.072370529174805,2001-03-21
14.76095962524414,2001-03-22
14.408015251159668,2001-03-23
14.947805404663086,2001-03-26
15.321500778198242,2001-03-27
15.321500778198242,2001-03-28
15.433608055114746,2001-03-29
15.778234481811523,2001-03-30
15.778234481811523,2001-04-02
16.193452835083008,2001-04-03
16.504865646362305,2001-04-04
15.948477745056152,2001-04-05
15.612153053283691,2001-04-06
15.873737335205078,2001-04-09
16.048131942749023,2001-04-10
16.02736473083496,2001-04-11
15.965088844299316,2001-04-12
16.151933670043945,2001-04-16
16.587915420532227,2001-04-17
16.388612747192383,2001-04-18
15.923563957214355,2001-04-19
16.02736473083496,2001-04-20
16.284807205200195,2001-04-23
16.2349796295166,2001-04-24
16.392759323120117,2001-04-25
16.463342666625977,2001-04-26
16.724925994873047,2001-04-27
16.816286087036133,2001-04-30
17.061250686645508,2001-05-01
16.712478637695312,2001-05-02
16.795515060424805,2001-05-03
17.044649124145508,2001-05-04
17.082015991210938,2001-05-07
17.194116592407227,2001-05-08
17.231491088867188,2001-05-09
17.414188385009766,2001-05-10
17.571075439453125,2001-05-11
17.759336471557617,2001-05-14
17.780256271362305,2001-05-15
17.92668342590332,2001-05-16
17.822093963623047,2001-05-17
18.156782150268555,2001-05-18
18.286466598510742,2001-05-21
18.370141983032227,2001-05-22
18.60860824584961,2001-05-23
18.428714752197266,2001-05-24
18.07310676574707,2001-05-25
18.198612213134766,2001-05-29
18.19443702697754,2001-05-30
18.07310676574707,2001-05-31
17.981063842773438,2001-06-01
17.947589874267578,2001-06-04
17.947589874267578,2001-06-05
17.67984390258789,2001-06-06
17.466487884521484,2001-06-07
17.529239654541016,2001-06-08
17.612911224365234,2001-06-11
17.27821922302246,2001-06-12
16.901700973510742,2001-06-13
16.35364532470703,2001-06-14
16.79711151123047,2001-06-15
16.483346939086914,2001-06-18
16.671600341796875,2001-06-19
16.5670166015625,2001-06-20
16.106821060180664,2001-06-21
16.278343200683594,2001-06-22
16.274168014526367,2001-06-25
16.583751678466797,2001-06-26
16.60466766357422,2001-06-27
16.43313217163086,2001-06-28
16.060794830322266,2001-06-29
16.5377254486084,2001-07-02
16.483346939086914,2001-07-03
16.69251823425293,2001-07-05
16.755268096923828,2001-07-06
16.98119354248047,2001-07-09
16.956085205078125,2001-07-10
16.809669494628906,2001-07-11
16.713438034057617,2001-07-12
16.621402740478516,2001-07-13
16.625585556030273,2001-07-16
16.240699768066406,2001-07-17
16.274168014526367,2001-07-18
