TSCO,Date
8.477624893188477,2004-01-07
8.462895393371582,2004-01-08
8.439746856689453,2004-01-09
8.399768829345703,2004-01-12
8.361894607543945,2004-01-13
8.326125144958496,2004-01-14
8.372413635253906,2004-01-15
8.258794784545898,2004-01-16
8.18514633178711,2004-01-20
9.258268356323242,2004-01-21
8.942641258239746,2004-01-22
9.355057716369629,2004-01-23
9.163578987121582,2004-01-26
9.11728572845459,2004-01-27
8.87109661102295,2004-01-28
8.786932945251465,2004-01-29
8.911079406738281,2004-01-30
8.883723258972168,2004-02-02
8.706977844238281,2004-02-03
8.580727577209473,2004-02-04
8.656476974487305,2004-02-05
8.85637092590332,2004-02-06
8.94895076751709,2004-02-09
8.896352767944336,2004-02-10
9.20145034790039,2004-02-11
9.047849655151367,2004-02-12
8.942641258239746,2004-02-13
9.047849655151367,2004-02-17
9.153059005737305,2004-02-18
8.868993759155273,2004-02-19
8.868993759155273,2004-02-20
8.683829307556152,2004-02-23
8.845853805541992,2004-02-24
8.94895076751709,2004-02-25
8.974202156066895,2004-02-26
9.009974479675293,2004-02-27
9.106766700744629,2004-03-01
9.12149429321289,2004-03-02
9.129915237426758,2004-03-03
9.243538856506348,2004-03-04
9.258268356323242,2004-03-05
9.081512451171875,2004-03-08
8.94895076751709,2004-03-09
8.860581398010254,2004-03-10
8.776413917541504,2004-03-11
8.858475685119629,2004-03-12
8.565996170043945,2004-03-15
8.435542106628418,2004-03-16
8.555474281311035,2004-03-17
8.307184219360352,2004-03-18
8.180939674377441,2004-03-19
8.10939884185791,2004-03-22
8.214608192443848,2004-03-23
8.128334999084473,2004-03-24
8.364002227783203,2004-03-25
8.401872634887695,2004-03-26
8.204085350036621,2004-03-29
8.216710090637207,2004-03-30
8.147273063659668,2004-03-31
8.153585433959961,2004-04-01
8.206191062927246,2004-04-02
8.189353942871094,2004-04-05
8.134645462036133,2004-04-06
8.094667434692383,2004-04-07
8.016815185546875,2004-04-08
8.176730155944824,2004-04-12
8.39345645904541,2004-04-13
8.273526191711426,2004-04-14
8.263002395629883,2004-04-15
8.496560096740723,2004-04-16
