CFG,Date
29.77742576599121,2017-11-20
29.504953384399414,2017-11-21
29.450458526611328,2017-11-22
29.38817596435547,2017-11-24
29.29476547241211,2017-11-27
30.190031051635742,2017-11-28
31.66138458251953,2017-11-29
31.684743881225586,2017-11-30
31.676959991455078,2017-12-01
32.58000946044922,2017-12-04
31.83265495300293,2017-12-05
31.63024139404297,2017-12-06
32.253047943115234,2017-12-07
32.494380950927734,2017-12-08
32.24525833129883,2017-12-11
32.6345100402832,2017-12-12
32.1829833984375,2017-12-13
31.817087173461914,2017-12-14
32.46324157714844,2017-12-15
32.72012710571289,2017-12-18
32.759063720703125,2017-12-19
32.64228439331055,2017-12-20
33.163875579833984,2017-12-21
33.18724060058594,2017-12-22
33.10159683227539,2017-12-26
32.9770393371582,2017-12-27
33.0393180847168,2017-12-28
32.68120574951172,2017-12-29
33.22615432739258,2018-01-02
33.60762023925781,2018-01-03
34.00465393066406,2018-01-04
34.16035461425781,2018-01-05
34.30048751831055,2018-01-08
34.401695251464844,2018-01-09
34.95442199707031,2018-01-10
35.265811920166016,2018-01-11
35.43708419799805,2018-01-12
35.226890563964844,2018-01-16
35.68619918823242,2018-01-17
35.623924255371094,2018-01-18
36.449127197265625,2018-01-19
37.219844818115234,2018-01-22
37.26655197143555,2018-01-23
36.88508987426758,2018-01-24
36.33235168457031,2018-01-25
36.550331115722656,2018-01-26
36.39463424682617,2018-01-29
35.94310760498047,2018-01-30
35.90399169921875,2018-01-31
36.61581802368164,2018-02-01
35.997867584228516,2018-02-02
34.16746520996094,2018-02-05
34.88710403442383,2018-02-06
35.07484436035156,2018-02-07
33.001953125,2018-02-08
33.67466354370117,2018-02-09
34.38649368286133,2018-02-12
34.72283935546875,2018-02-13
35.8648796081543,2018-02-14
35.997867584228516,2018-02-15
35.92746353149414,2018-02-16
36.052616119384766,2018-02-20
36.216880798339844,2018-02-21
35.551998138427734,2018-02-22
36.318572998046875,2018-02-23
34.840171813964844,2018-02-26
34.22222900390625,2018-02-27
34.01884460449219,2018-02-28
34.05012512207031,2018-03-01
34.558570861816406,2018-03-02
35.09048843383789,2018-03-05
35.45030212402344,2018-03-06
35.5441780090332,2018-03-07
35.37208557128906,2018-03-08
36.18559265136719,2018-03-09
36.099544525146484,2018-03-12
35.77101516723633,2018-03-13
35.30168533325195,2018-03-14
35.168704986572266,2018-03-15
35.098304748535156,2018-03-16
35.12959671020508,2018-03-19
35.02008819580078,2018-03-20
35.137413024902344,2018-03-21
33.596435546875,2018-03-22
32.28230285644531,2018-03-23
33.72941589355469,2018-03-26
32.53261947631836,2018-03-27
32.5013313293457,2018-03-28
32.837677001953125,2018-03-29
32.149322509765625,2018-04-02
32.7047119140625,2018-04-03
33.45563888549805,2018-04-04
33.65119934082031,2018-04-05
32.44657897949219,2018-04-06
32.64995574951172,2018-04-09
33.400882720947266,2018-04-10
32.994117736816406,2018-04-11
33.82328414916992,2018-04-12
33.07236099243164,2018-04-13
33.14274597167969,2018-04-16
32.29795455932617,2018-04-17
32.09457015991211,2018-04-18
32.74381637573242,2018-04-19
32.837677001953125,2018-04-20
33.252262115478516,2018-04-23
33.06452941894531,2018-04-24
33.26008224487305,2018-04-25
32.837677001953125,2018-04-26
33.220977783203125,2018-04-27
32.45439529418945,2018-04-30
32.2027473449707,2018-05-01
32.24992370605469,2018-05-02
31.77808952331543,2018-05-03
32.265655517578125,2018-05-04
32.297115325927734,2018-05-07
32.49372100830078,2018-05-08
33.16215515136719,2018-05-09
33.31156539916992,2018-05-10
33.34302520751953,2018-05-11
33.29582595825195,2018-05-14
33.59466552734375,2018-05-15
33.45311737060547,2018-05-16
33.42165756225586,2018-05-17
32.68245315551758,2018-05-18
32.94195556640625,2018-05-21
33.17787170410156,2018-05-22
32.863319396972656,2018-05-23
