ASML,Date
7.368366718292236,2002-08-14
7.500814914703369,2002-08-15
8.016671180725098,2002-08-16
8.393106460571289,2002-08-19
8.037585258483887,2002-08-20
8.783487319946289,2002-08-21
8.99261474609375,2002-08-22
8.10729694366455,2002-08-23
8.295515060424805,2002-08-26
7.814512729644775,2002-08-27
7.396252155303955,2002-08-28
7.382310390472412,2002-08-29
7.1383233070373535,2002-08-30
6.720061779022217,2002-09-03
6.434249401092529,2002-09-04
5.995075702667236,2002-09-05
6.30877161026001,2002-09-06
6.12752628326416,2002-09-09
6.23906135559082,2002-09-10
6.273917198181152,2002-09-11
5.75806188583374,2002-09-12
5.521047115325928,2002-09-13
5.137640476226807,2002-09-16
4.684525489807129,2002-09-17
4.677553176879883,2002-09-18
4.5520758628845215,2002-09-19
4.677553176879883,2002-09-20
4.217466831207275,2002-09-23
3.980452060699463,2002-09-24
4.503278732299805,2002-09-25
4.677553176879883,2002-09-26
4.32900333404541,2002-09-27
4.315060615539551,2002-09-30
4.579959392547607,2002-10-01
4.566016674041748,2002-10-02
4.559048175811768,2002-10-03
4.182610988616943,2002-10-04
3.492480754852295,2002-10-07
3.673726797103882,2002-10-08
3.6806983947753906,2002-10-09
4.008335590362549,2002-10-10
4.524191379547119,2002-10-11
4.6008734703063965,2002-10-14
5.618640899658203,2002-10-15
4.642697811126709,2002-10-16
5.590757369995117,2002-10-17
5.813828945159912,2002-10-18
6.162381172180176,2002-10-21
5.102786540985107,2002-10-22
5.604700565338135,2002-10-23
5.423452377319336,2002-10-24
5.785945415496826,2002-10-25
5.848684310913086,2002-10-28
5.507105350494385,2002-10-29
6.057816028594971,2002-10-30
5.995075702667236,2002-10-31
6.232092380523682,2002-11-01
6.76885986328125,2002-11-04
6.92222261428833,2002-11-05
7.124381065368652,2002-11-06
6.329685211181641,2002-11-07
6.24603271484375,2002-11-08
5.576815128326416,2002-11-11
5.995075702667236,2002-11-12
5.772004127502441,2002-11-13
6.287859916687012,2002-11-14
6.301800727844238,2002-11-15
6.51790189743042,2002-11-18
6.420308589935303,2002-11-19
6.747944355010986,2002-11-20
7.696004867553711,2002-11-21
7.772685527801514,2002-11-22
8.051527976989746,2002-11-25
7.375339508056641,2002-11-26
8.051527976989746,2002-11-27
7.772685527801514,2002-11-29
8.170032501220703,2002-12-02
7.619325637817383,2002-12-03
7.159237384796143,2002-12-04
7.249858379364014,2002-12-05
7.228947639465332,2002-12-06
6.476077556610107,2002-12-09
6.699148654937744,2002-12-10
6.343627452850342,2002-12-11
6.155411243438721,2002-12-12
5.82080078125,2002-12-13
6.204207420349121,2002-12-16
6.036902904510498,2002-12-17
5.381626605987549,2002-12-18
5.388598918914795,2002-12-19
5.869598388671875,2002-12-20
6.0647873878479,2002-12-23
6.029931545257568,2002-12-24
6.009017467498779,2002-12-26
5.806859016418457,2002-12-27
5.785945415496826,2002-12-30
5.82777214050293,2002-12-31
6.204207420349121,2003-01-02
6.413337230682373,2003-01-03
6.650351047515869,2003-01-06
6.587613105773926,2003-01-07
6.141468524932861,2003-01-08
6.071757793426514,2003-01-09
6.559728622436523,2003-01-10
6.490018844604492,2003-01-13
6.476077556610107,2003-01-14
6.183295249938965,2003-01-15
6.197236061096191,2003-01-16
5.76503324508667,2003-01-17
5.681380748748779,2003-01-21
5.576815128326416,2003-01-22
5.723206043243408,2003-01-23
5.409511089324951,2003-01-24
5.24220609664917,2003-01-27
5.430424213409424,2003-01-28
5.5001349449157715,2003-01-29
5.562872409820557,2003-01-30
5.583786487579346,2003-01-31
5.5001349449157715,2003-02-03
5.332828998565674,2003-02-04
5.263118743896484,2003-02-05
5.193410396575928,2003-02-06
5.033076763153076,2003-02-07
4.949423313140869,2003-02-10
5.026104927062988,2003-02-11
5.026104927062988,2003-02-12
5.040046691894531,2003-02-13
5.228264808654785,2003-02-14
5.437394142150879,2003-02-18
5.311916828155518,2003-02-19
5.514077186584473,2003-02-20
5.332828998565674,2003-02-21
5.221293926239014,2003-02-24
