CCEP,Date
32.135108947753906,2018-02-28
31.94915199279785,2018-03-01
32.439388275146484,2018-03-02
33.301509857177734,2018-03-05
33.85089111328125,2018-03-06
34.09600830078125,2018-03-07
34.7130126953125,2018-03-08
34.5693244934082,2018-03-09
35.3131217956543,2018-03-12
35.54132843017578,2018-03-13
34.83134078979492,2018-03-14
34.4678955078125,2018-03-15
34.45099639892578,2018-03-16
34.13826370239258,2018-03-19
34.4678955078125,2018-03-20
34.58623504638672,2018-03-21
34.121360778808594,2018-03-22
33.926963806152344,2018-03-23
34.21433639526367,2018-03-26
34.27350616455078,2018-03-27
35.01729202270508,2018-03-28
35.211692810058594,2018-03-29
34.45099639892578,2018-04-02
34.68766403198242,2018-04-03
35.05955123901367,2018-04-04
35.24550247192383,2018-04-05
35.27085494995117,2018-04-06
35.211692810058594,2018-04-09
34.79753494262695,2018-04-10
34.62849044799805,2018-04-11
34.535518646240234,2018-04-12
34.873600006103516,2018-04-13
35.10181427001953,2018-04-16
35.372283935546875,2018-04-17
34.924312591552734,2018-04-18
34.552425384521484,2018-04-19
34.27350616455078,2018-04-20
34.18053436279297,2018-04-23
34.00303268432617,2018-04-24
33.614234924316406,2018-04-25
33.69875717163086,2018-04-26
33.43674087524414,2018-04-27
33.13246154785156,2018-04-30
32.599979400634766,2018-05-01
32.380218505859375,2018-05-02
32.22807693481445,2018-05-03
32.447837829589844,2018-05-04
32.01678466796875,2018-05-07
32.253440856933594,2018-05-08
32.26188659667969,2018-05-09
32.96342468261719,2018-05-10
32.98044967651367,2018-05-11
32.83561706542969,2018-05-14
32.48630905151367,2018-05-15
32.375545501708984,2018-05-16
32.64818572998047,2018-05-17
32.528907775878906,2018-05-18
32.554466247558594,2018-05-21
32.87821960449219,2018-05-22
32.54594039916992,2018-05-23
32.23923110961914,2018-05-24
32.145511627197266,2018-05-25
32.34998321533203,2018-05-29
32.469261169433594,2018-05-30
32.34998321533203,2018-05-31
32.281822204589844,2018-06-01
32.46074295043945,2018-06-04
32.324424743652344,2018-06-05
32.5629768371582,2018-06-06
32.469261169433594,2018-06-07
32.73337936401367,2018-06-08
32.758941650390625,2018-06-11
33.048614501953125,2018-06-12
33.60240936279297,2018-06-13
33.65353012084961,2018-06-14
34.24140167236328,2018-06-15
33.67908477783203,2018-06-18
33.45756912231445,2018-06-19
33.40645217895508,2018-06-20
33.30420684814453,2018-06-21
34.002838134765625,2018-06-22
34.20732116699219,2018-06-25
34.377716064453125,2018-06-26
33.9261589050293,2018-06-27
34.3095588684082,2018-06-28
34.62479782104492,2018-06-29
34.34363555908203,2018-07-02
34.59071731567383,2018-07-03
34.67591094970703,2018-07-05
34.769630432128906,2018-07-06
34.78667068481445,2018-07-09
35.544944763183594,2018-07-10
35.740901947021484,2018-07-11
35.953895568847656,2018-07-12
35.502342224121094,2018-07-13
35.29786682128906,2018-07-16
35.69829559326172,2018-07-17
35.5960578918457,2018-07-18
35.49382019042969,2018-07-19
35.749412536621094,2018-07-20
35.47678756713867,2018-07-23
35.44269943237305,2018-07-24
35.67273712158203,2018-07-25
35.82609176635742,2018-07-26
35.40010070800781,2018-07-27
35.26378631591797,2018-07-30
35.135986328125,2018-07-31
34.692962646484375,2018-08-01
34.266963958740234,2018-08-02
34.56515884399414,2018-08-03
34.556636810302734,2018-08-06
34.573673248291016,2018-08-07
34.83778762817383,2018-08-08
36.32025146484375,2018-08-09
35.9709358215332,2018-08-10
35.77498245239258,2018-08-13
35.757938385009766,2018-08-14
36.422489166259766,2018-08-15
36.43101119995117,2018-08-16
36.43101119995117,2018-08-17
36.27765655517578,2018-08-20
35.9944953918457,2018-08-21
36.12320327758789,2018-08-22
36.02023696899414,2018-08-23
36.226173400878906,2018-08-24
36.30338668823242,2018-08-27
35.93444061279297,2018-08-28
35.98591232299805,2018-08-29
36.148948669433594,2018-08-30
36.586544036865234,2018-08-31
36.535064697265625,2018-09-04
36.30338668823242,2018-09-05
36.54364013671875,2018-09-06
36.72382736206055,2018-09-07
37.1785888671875,2018-09-10
37.12710189819336,2018-09-11
38.465633392333984,2018-09-12
38.911808013916016,2018-09-13
39.0405158996582,2018-09-14
39.280765533447266,2018-09-17
39.272186279296875,2018-09-18
39.20354461669922,2018-09-19
39.46953201293945,2018-09-20
39.34941101074219,2018-09-21
38.86890411376953,2018-09-24
38.96329116821289,2018-09-25
39.220703125,2018-09-26
39.09199523925781,2018-09-27
39.0147819519043,2018-09-28
39.0748405456543,2018-10-01
38.52569580078125,2018-10-02
38.5685920715332,2018-10-03
38.4484748840332,2018-10-04
38.4484748840332,2018-10-05
38.40557098388672,2018-10-08
37.564701080322266,2018-10-09
36.94691467285156,2018-10-10
36.56938171386719,2018-10-11
36.9984016418457,2018-10-12
37.255802154541016,2018-10-15
38.43989181518555,2018-10-16
38.9289665222168,2018-10-17
38.62008285522461,2018-10-18
38.61150360107422,2018-10-19
38.088096618652344,2018-10-22
38.16532516479492,2018-10-23
38.00230026245117,2018-10-24
37.35019302368164,2018-10-25
37.91648864746094,2018-10-26
38.07952117919922,2018-10-29
38.66298294067383,2018-10-30
39.03194046020508,2018-10-31
39.29792785644531,2018-11-01
39.323673248291016,2018-11-02
39.62398147583008,2018-11-05
40.087318420410156,2018-11-06
40.5506591796875,2018-11-07
41.034427642822266,2018-11-08
41.42318344116211,2018-11-09
41.40590286254883,2018-11-12
41.47500991821289,2018-11-13
41.7514533996582,2018-11-14
41.81192398071289,2018-11-15
42.47711181640625,2018-11-16
42.2006721496582,2018-11-19
41.466373443603516,2018-11-20
41.8983154296875,2018-11-21
42.226593017578125,2018-11-23
42.036529541015625,2018-11-26
41.84647750854492,2018-11-27
42.40800094604492,2018-11-28
42.09700012207031,2018-11-29
41.9328727722168,2018-11-30
41.138099670410156,2018-12-03
41.29359817504883,2018-12-04
41.397254943847656,2018-12-06
40.637046813964844,2018-12-07
40.887569427490234,2018-12-10
40.775264739990234,2018-12-11
40.46426773071289,2018-12-12
41.14673614501953,2018-12-13
40.8443717956543,2018-12-14
40.45562744140625,2018-12-17
40.46426773071289,2018-12-18
39.859554290771484,2018-12-19
39.87682342529297,2018-12-20
39.81635665893555,2018-12-21
39.34122085571289,2018-12-24
39.997772216796875,2018-12-26
39.859554290771484,2018-12-27
39.332576751708984,2018-12-28
39.60902404785156,2018-12-31
38.82288360595703,2019-01-02
38.42551040649414,2019-01-03
38.93519592285156,2019-01-04
39.7645149230957,2019-01-07
40.360599517822266,2019-01-08
40.231021881103516,2019-01-09
40.42971420288086,2019-01-10
40.89620590209961,2019-01-11
40.110076904296875,2019-01-14
39.91138458251953,2019-01-15
39.652217864990234,2019-01-16
39.82499313354492,2019-01-17
39.91138458251953,2019-01-18
39.62630081176758,2019-01-22
40.34333038330078,2019-01-23
39.96321487426758,2019-01-24
38.94383239746094,2019-01-25
38.58100891113281,2019-01-28
39.48807907104492,2019-01-29
39.87682342529297,2019-01-30
41.10354232788086,2019-01-31
41.07762145996094,2019-02-01
41.51820755004883,2019-02-04
41.64778137207031,2019-02-05
41.73417663574219,2019-02-06
41.466373443603516,2019-02-07
41.63050842285156,2019-02-08
41.578678131103516,2019-02-11
41.008514404296875,2019-02-12
40.991233825683594,2019-02-13
40.42107391357422,2019-02-14
40.326045989990234,2019-02-15
40.110076904296875,2019-02-19
40.13599395751953,2019-02-20
40.29148864746094,2019-02-21
40.68023681640625,2019-02-22
40.34333038330078,2019-02-25
40.231021881103516,2019-02-26
40.490177154541016,2019-02-27
40.72343063354492,2019-02-28
41.16401290893555,2019-03-01
40.930763244628906,2019-03-04
41.12082290649414,2019-03-05
41.362701416015625,2019-03-06
41.25904083251953,2019-03-07
41.31950759887695,2019-03-08
42.33024978637695,2019-03-11
42.226593017578125,2019-03-12
42.166114807128906,2019-03-13
42.12291717529297,2019-03-14
42.606693267822266,2019-03-15
42.84858703613281,2019-03-18
42.70172882080078,2019-03-19
42.027896881103516,2019-03-20
42.77083969116211,2019-03-21
42.693084716796875,2019-03-22
42.47711181640625,2019-03-25
43.928436279296875,2019-03-26
44.118492126464844,2019-03-27
44.31718444824219,2019-03-28
44.69729232788086,2019-03-29
44.37765884399414,2019-04-01
43.928436279296875,2019-04-02
43.919795989990234,2019-04-03
44.0321044921875,2019-04-04
44.04073715209961,2019-04-05
44.57634353637695,2019-04-08
44.49859619140625,2019-04-09
44.187599182128906,2019-04-10
44.24807357788086,2019-04-11
44.36037826538086,2019-04-12
44.73184585571289,2019-04-15
44.52451705932617,2019-04-16
44.83551025390625,2019-04-17
44.95645523071289,2019-04-18
44.800960540771484,2019-04-22
45.466148376464844,2019-04-23
45.25881576538086,2019-04-24
45.29336929321289,2019-04-25
45.33656311035156,2019-04-26
45.75123596191406,2019-04-29
46.29547882080078,2019-04-30
46.1658935546875,2019-05-01
46.34730911254883,2019-05-02
46.977943420410156,2019-05-03
47.07297134399414,2019-05-06
46.736061096191406,2019-05-07
46.822444915771484,2019-05-08
46.390506744384766,2019-05-09
47.24574661254883,2019-05-10
47.26302719116211,2019-05-13
47.6258544921875,2019-05-14
48.11826705932617,2019-05-15
48.56748580932617,2019-05-16
48.99079132080078,2019-05-17
49.04262161254883,2019-05-20
48.645233154296875,2019-05-21
49.172203063964844,2019-05-22
48.839900970458984,2019-05-23
