OKTA,Date
133.8699951171875,2019-08-22
132.4600067138672,2019-08-23
133.44000244140625,2019-08-26
135.07000732421875,2019-08-27
133.1699981689453,2019-08-28
127.18000030517578,2019-08-29
126.5,2019-08-30
128.19000244140625,2019-09-03
127.94000244140625,2019-09-04
124.25,2019-09-05
121.25,2019-09-06
109.26000213623047,2019-09-09
107.22000122070312,2019-09-10
106.58000183105469,2019-09-11
106.37000274658203,2019-09-12
102.08999633789062,2019-09-13
103.79000091552734,2019-09-16
105.66000366210938,2019-09-17
103.62999725341797,2019-09-18
103.5,2019-09-19
106.16000366210938,2019-09-20
105.12000274658203,2019-09-23
102.38999938964844,2019-09-24
102.66999816894531,2019-09-25
102.11000061035156,2019-09-26
97.05999755859375,2019-09-27
98.45999908447266,2019-09-30
103.69000244140625,2019-10-01
103.05999755859375,2019-10-02
114.1500015258789,2019-10-03
116.52999877929688,2019-10-04
119.06999969482422,2019-10-07
115.19000244140625,2019-10-08
118.20999908447266,2019-10-09
114.56999969482422,2019-10-10
116.23999786376953,2019-10-11
115.7699966430664,2019-10-14
115.86000061035156,2019-10-15
106.4000015258789,2019-10-16
104.98999786376953,2019-10-17
98.55999755859375,2019-10-18
101.16000366210938,2019-10-21
99.29000091552734,2019-10-22
100.79000091552734,2019-10-23
108.0,2019-10-24
107.98999786376953,2019-10-25
107.25,2019-10-28
107.45999908447266,2019-10-29
112.30999755859375,2019-10-30
109.06999969482422,2019-10-31
111.06999969482422,2019-11-01
107.2699966430664,2019-11-04
106.80000305175781,2019-11-05
108.2300033569336,2019-11-06
105.22000122070312,2019-11-07
109.66000366210938,2019-11-08
110.9000015258789,2019-11-11
113.45999908447266,2019-11-12
116.69999694824219,2019-11-13
115.95999908447266,2019-11-14
117.5199966430664,2019-11-15
121.1500015258789,2019-11-18
126.08000183105469,2019-11-19
129.41000366210938,2019-11-20
127.87999725341797,2019-11-21
127.66999816894531,2019-11-22
128.6199951171875,2019-11-25
130.32000732421875,2019-11-26
129.9600067138672,2019-11-27
129.77999877929688,2019-11-29
121.94999694824219,2019-12-02
124.79000091552734,2019-12-03
121.8499984741211,2019-12-04
119.16000366210938,2019-12-05
118.30999755859375,2019-12-06
121.0199966430664,2019-12-09
119.61000061035156,2019-12-10
117.6500015258789,2019-12-11
113.25,2019-12-12
116.69000244140625,2019-12-13
116.2300033569336,2019-12-16
114.0999984741211,2019-12-17
115.4000015258789,2019-12-18
115.75,2019-12-19
116.22000122070312,2019-12-20
118.08999633789062,2019-12-23
119.0199966430664,2019-12-24
120.4000015258789,2019-12-26
119.91999816894531,2019-12-27
114.30000305175781,2019-12-30
115.37000274658203,2019-12-31
117.30999755859375,2020-01-02
118.29000091552734,2020-01-03
123.43000030517578,2020-01-06
122.88999938964844,2020-01-07
125.55000305175781,2020-01-08
128.52000427246094,2020-01-09
129.38999938964844,2020-01-10
131.16000366210938,2020-01-13
129.02999877929688,2020-01-14
128.57000732421875,2020-01-15
128.39999389648438,2020-01-16
125.83000183105469,2020-01-17
125.26000213623047,2020-01-21
125.0199966430664,2020-01-22
127.83999633789062,2020-01-23
129.66000366210938,2020-01-24
125.81999969482422,2020-01-27
127.47000122070312,2020-01-28
129.0,2020-01-29
132.94000244140625,2020-01-30
128.0500030517578,2020-01-31
129.35000610351562,2020-02-03
134.75999450683594,2020-02-04
129.6699981689453,2020-02-05
130.08999633789062,2020-02-06
132.7899932861328,2020-02-07
135.75999450683594,2020-02-10
137.27000427246094,2020-02-11
137.5800018310547,2020-02-12
135.30999755859375,2020-02-13
137.02999877929688,2020-02-14
137.89999389648438,2020-02-18
139.5,2020-02-19
138.5500030517578,2020-02-20
133.58999633789062,2020-02-21
126.80000305175781,2020-02-24
122.97000122070312,2020-02-25
127.81999969482422,2020-02-26
123.83000183105469,2020-02-27
128.05999755859375,2020-02-28
133.42999267578125,2020-03-02
131.33999633789062,2020-03-03
131.33999633789062,2020-03-04
129.0500030517578,2020-03-05
125.97000122070312,2020-03-06
114.8499984741211,2020-03-09
119.20999908447266,2020-03-10
114.75,2020-03-11
106.08000183105469,2020-03-12
107.29000091552734,2020-03-13
96.08000183105469,2020-03-16
109.11000061035156,2020-03-17
102.05999755859375,2020-03-18
113.94999694824219,2020-03-19
115.44999694824219,2020-03-20
118.4000015258789,2020-03-23
123.97000122070312,2020-03-24
117.7699966430664,2020-03-25
123.30000305175781,2020-03-26
121.05000305175781,2020-03-27
124.94000244140625,2020-03-30
122.26000213623047,2020-03-31
119.56999969482422,2020-04-01
115.98999786376953,2020-04-02
118.94000244140625,2020-04-03
128.1199951171875,2020-04-06
125.54000091552734,2020-04-07
128.08999633789062,2020-04-08
130.9600067138672,2020-04-09
134.25999450683594,2020-04-13
139.83999633789062,2020-04-14
142.47000122070312,2020-04-15
147.42999267578125,2020-04-16
148.08999633789062,2020-04-17
152.60000610351562,2020-04-20
148.41000366210938,2020-04-21
151.63999938964844,2020-04-22
152.00999450683594,2020-04-23
155.35000610351562,2020-04-24
151.94000244140625,2020-04-27
147.66000366210938,2020-04-28
149.55999755859375,2020-04-29
151.3000030517578,2020-04-30
148.83999633789062,2020-05-01
154.69000244140625,2020-05-04
158.72999572753906,2020-05-05
164.42999267578125,2020-05-06
170.2899932861328,2020-05-07
169.3800048828125,2020-05-08
174.3300018310547,2020-05-11
173.64999389648438,2020-05-12
177.36000061035156,2020-05-13
177.32000732421875,2020-05-14
181.60000610351562,2020-05-15
179.42999267578125,2020-05-18
180.77999877929688,2020-05-19
187.6999969482422,2020-05-20
187.74000549316406,2020-05-21
192.49000549316406,2020-05-22
184.1699981689453,2020-05-26
179.4199981689453,2020-05-27
183.9199981689453,2020-05-28
195.5800018310547,2020-05-29
204.77999877929688,2020-06-01
199.72999572753906,2020-06-02
195.2100067138672,2020-06-03
186.2899932861328,2020-06-04
180.60000610351562,2020-06-05
185.1300048828125,2020-06-08
180.07000732421875,2020-06-09
181.4499969482422,2020-06-10
178.8699951171875,2020-06-11
179.24000549316406,2020-06-12
187.4499969482422,2020-06-15
188.10000610351562,2020-06-16
194.32000732421875,2020-06-17
196.30999755859375,2020-06-18
198.19000244140625,2020-06-19
199.19000244140625,2020-06-22
195.6199951171875,2020-06-23
195.82000732421875,2020-06-24
204.22000122070312,2020-06-25
203.49000549316406,2020-06-26
199.83999633789062,2020-06-29
200.22999572753906,2020-06-30
210.9199981689453,2020-07-01
207.75999450683594,2020-07-02
207.25999450683594,2020-07-06
207.33999633789062,2020-07-07
219.77999877929688,2020-07-08
222.9499969482422,2020-07-09
218.72999572753906,2020-07-10
200.08999633789062,2020-07-13
206.75,2020-07-14
204.0500030517578,2020-07-15
202.52000427246094,2020-07-16
207.3800048828125,2020-07-17
213.24000549316406,2020-07-20
211.30999755859375,2020-07-21
210.82000732421875,2020-07-22
206.77000427246094,2020-07-23
205.63999938964844,2020-07-24
206.0,2020-07-27
205.05999755859375,2020-07-28
210.8800048828125,2020-07-29
219.32000732421875,2020-07-30
220.97999572753906,2020-07-31
222.32000732421875,2020-08-03
219.38999938964844,2020-08-04
223.55999755859375,2020-08-05
217.30999755859375,2020-08-06
208.22999572753906,2020-08-07
199.66000366210938,2020-08-10
196.17999267578125,2020-08-11
198.82000732421875,2020-08-12
202.8300018310547,2020-08-13
198.86000061035156,2020-08-14
199.72999572753906,2020-08-17
205.67999267578125,2020-08-18
205.2899932861328,2020-08-19
211.02999877929688,2020-08-20
208.38999938964844,2020-08-21
205.1199951171875,2020-08-24
209.52999877929688,2020-08-25
224.13999938964844,2020-08-26
218.44000244140625,2020-08-27
207.97999572753906,2020-08-28
215.3699951171875,2020-08-31
224.5,2020-09-01
230.60000610351562,2020-09-02
208.77999877929688,2020-09-03
203.44000244140625,2020-09-04
197.1300048828125,2020-09-08
200.49000549316406,2020-09-09
198.47999572753906,2020-09-10
193.66000366210938,2020-09-11
194.69000244140625,2020-09-14
193.4199981689453,2020-09-15
193.16000366210938,2020-09-16
194.89999389648438,2020-09-17
197.64999389648438,2020-09-18
206.47000122070312,2020-09-21
211.86000061035156,2020-09-22
207.72000122070312,2020-09-23
204.52999877929688,2020-09-24
216.1999969482422,2020-09-25
213.3300018310547,2020-09-28
213.55999755859375,2020-09-29
213.85000610351562,2020-09-30
219.3000030517578,2020-10-01
219.05999755859375,2020-10-02
227.25999450683594,2020-10-05
232.49000549316406,2020-10-06
236.60000610351562,2020-10-07
237.57000732421875,2020-10-08
236.4499969482422,2020-10-09
245.5500030517578,2020-10-12
246.9499969482422,2020-10-13
243.11000061035156,2020-10-14
246.30999755859375,2020-10-15
243.9499969482422,2020-10-16
242.08999633789062,2020-10-19
231.67999267578125,2020-10-20
220.80999755859375,2020-10-21
216.5500030517578,2020-10-22
219.50999450683594,2020-10-23
219.1999969482422,2020-10-26
221.3300018310547,2020-10-27
221.35000610351562,2020-10-28
218.35000610351562,2020-10-29
209.8300018310547,2020-10-30
203.86000061035156,2020-11-02
208.5,2020-11-03
228.82000732421875,2020-11-04
233.19000244140625,2020-11-05
233.25999450683594,2020-11-06
217.38999938964844,2020-11-09
213.33999633789062,2020-11-10
219.41000366210938,2020-11-11
224.25999450683594,2020-11-12
221.8000030517578,2020-11-13
222.77000427246094,2020-11-16
226.3300018310547,2020-11-17
223.83999633789062,2020-11-18
232.4499969482422,2020-11-19
232.64999389648438,2020-11-20
227.8300018310547,2020-11-23
229.52000427246094,2020-11-24
237.6699981689453,2020-11-25
236.0399932861328,2020-11-27
245.0399932861328,2020-11-30
236.99000549316406,2020-12-01
230.2100067138672,2020-12-02
242.35000610351562,2020-12-03
240.97999572753906,2020-12-04
246.0500030517578,2020-12-07
251.1300048828125,2020-12-08
232.3800048828125,2020-12-09
247.7899932861328,2020-12-10
