ADCT,Date
7.199999809265137,2022-07-25
7.289999961853027,2022-07-26
7.570000171661377,2022-07-27
7.670000076293945,2022-07-28
7.409999847412109,2022-07-29
7.059999942779541,2022-08-01
7.190000057220459,2022-08-02
7.329999923706055,2022-08-03
7.860000133514404,2022-08-04
8.300000190734863,2022-08-05
8.050000190734863,2022-08-08
7.96999979019165,2022-08-09
8.069999694824219,2022-08-10
8.119999885559082,2022-08-11
10.300000190734863,2022-08-12
9.279999732971191,2022-08-15
9.029999732971191,2022-08-16
8.859999656677246,2022-08-17
8.779999732971191,2022-08-18
8.420000076293945,2022-08-19
7.460000038146973,2022-08-22
7.739999771118164,2022-08-23
7.630000114440918,2022-08-24
7.329999923706055,2022-08-25
7.130000114440918,2022-08-26
7.090000152587891,2022-08-29
6.75,2022-08-30
6.820000171661377,2022-08-31
6.78000020980835,2022-09-01
6.429999828338623,2022-09-02
6.03000020980835,2022-09-06
6.159999847412109,2022-09-07
6.519999980926514,2022-09-08
6.170000076293945,2022-09-09
6.0,2022-09-12
5.699999809265137,2022-09-13
5.610000133514404,2022-09-14
5.440000057220459,2022-09-15
5.25,2022-09-16
5.480000019073486,2022-09-19
5.289999961853027,2022-09-20
5.070000171661377,2022-09-21
5.050000190734863,2022-09-22
4.889999866485596,2022-09-23
4.659999847412109,2022-09-26
4.820000171661377,2022-09-27
5.090000152587891,2022-09-28
4.889999866485596,2022-09-29
4.820000171661377,2022-09-30
4.829999923706055,2022-10-03
5.239999771118164,2022-10-04
5.099999904632568,2022-10-05
5.010000228881836,2022-10-06
4.760000228881836,2022-10-07
4.289999961853027,2022-10-10
4.110000133514404,2022-10-11
4.300000190734863,2022-10-12
4.46999979019165,2022-10-13
4.699999809265137,2022-10-14
5.03000020980835,2022-10-17
4.920000076293945,2022-10-18
4.690000057220459,2022-10-19
4.679999828338623,2022-10-20
4.78000020980835,2022-10-21
4.550000190734863,2022-10-24
4.650000095367432,2022-10-25
4.769999980926514,2022-10-26
4.519999980926514,2022-10-27
4.579999923706055,2022-10-28
4.440000057220459,2022-10-31
4.420000076293945,2022-11-01
4.130000114440918,2022-11-02
4.369999885559082,2022-11-03
4.230000019073486,2022-11-04
4.260000228881836,2022-11-07
4.139999866485596,2022-11-08
4.010000228881836,2022-11-09
4.0,2022-11-10
4.099999904632568,2022-11-11
4.159999847412109,2022-11-14
4.409999847412109,2022-11-15
4.309999942779541,2022-11-16
4.010000228881836,2022-11-17
3.9200000762939453,2022-11-18
3.7699999809265137,2022-11-21
3.740000009536743,2022-11-22
3.6700000762939453,2022-11-23
3.5899999141693115,2022-11-25
3.4000000953674316,2022-11-28
3.380000114440918,2022-11-29
3.6600000858306885,2022-11-30
3.4800000190734863,2022-12-01
3.619999885559082,2022-12-02
3.509999990463257,2022-12-05
3.4100000858306885,2022-12-06
2.869999885559082,2022-12-07
3.069999933242798,2022-12-08
3.0999999046325684,2022-12-09
3.0999999046325684,2022-12-12
3.2100000381469727,2022-12-13
3.4800000190734863,2022-12-14
3.319999933242798,2022-12-15
3.25,2022-12-16
3.0399999618530273,2022-12-19
3.180000066757202,2022-12-20
3.0399999618530273,2022-12-21
3.0799999237060547,2022-12-22
3.5199999809265137,2022-12-23
3.319999933242798,2022-12-27
3.5999999046325684,2022-12-28
3.7899999618530273,2022-12-29
3.8399999141693115,2022-12-30
3.5899999141693115,2023-01-03
3.450000047683716,2023-01-04
3.4800000190734863,2023-01-05
3.549999952316284,2023-01-06
3.630000114440918,2023-01-09
4.340000152587891,2023-01-10
4.269999980926514,2023-01-11
5.199999809265137,2023-01-12
5.0,2023-01-13
5.0,2023-01-17
4.849999904632568,2023-01-18
4.730000019073486,2023-01-19
4.699999809265137,2023-01-20
4.730000019073486,2023-01-23
4.679999828338623,2023-01-24
4.739999771118164,2023-01-25
4.71999979019165,2023-01-26
5.050000190734863,2023-01-27
4.920000076293945,2023-01-30
5.110000133514404,2023-01-31
5.449999809265137,2023-02-01
4.900000095367432,2023-02-02
4.630000114440918,2023-02-03
4.559999942779541,2023-02-06
4.53000020980835,2023-02-07
4.400000095367432,2023-02-08
4.409999847412109,2023-02-09
4.400000095367432,2023-02-10
4.320000171661377,2023-02-13
4.440000057220459,2023-02-14
4.429999828338623,2023-02-15
4.320000171661377,2023-02-16
4.349999904632568,2023-02-17
4.239999771118164,2023-02-21
4.150000095367432,2023-02-22
4.050000190734863,2023-02-23
4.0,2023-02-24
4.070000171661377,2023-02-27
3.5999999046325684,2023-02-28
3.380000114440918,2023-03-01
3.2699999809265137,2023-03-02
3.140000104904175,2023-03-03
2.9100000858306885,2023-03-06
2.799999952316284,2023-03-07
2.7100000381469727,2023-03-08
2.7899999618530273,2023-03-09
2.740000009536743,2023-03-10
