AGNC,Date
6.787770748138428,2011-06-14
6.783304691314697,2011-06-15
6.765436172485352,2011-06-16
6.734166145324707,2011-06-17
6.655990123748779,2011-06-20
6.67942476272583,2011-06-21
6.761452674865723,2011-06-22
6.712236404418945,2011-06-23
6.733331680297852,2011-06-24
6.75208044052124,2011-06-27
6.745052337646484,2011-06-28
6.796614646911621,2011-06-29
6.822390556335449,2011-06-30
6.937227725982666,2011-07-01
7.021600246429443,2011-07-05
7.094253063201904,2011-07-06
7.045039176940918,2011-07-07
7.077852249145508,2011-07-08
7.007539749145508,2011-07-11
6.960665702819824,2011-07-12
6.937227725982666,2011-07-13
6.824732780456543,2011-07-14
6.859890937805176,2011-07-15
6.798954963684082,2011-07-18
6.8856706619262695,2011-07-19
6.958324432373047,2011-07-20
6.925511360168457,2011-07-21
6.9559807777404785,2011-07-22
6.77082633972168,2011-07-25
6.791923999786377,2011-07-26
6.653648376464844,2011-07-27
6.639586448669434,2011-07-28
6.543496131896973,2011-07-29
6.803639888763428,2011-08-01
6.677085876464844,2011-08-02
6.822390556335449,2011-08-03
6.5997443199157715,2011-08-04
6.6442766189575195,2011-08-05
6.26460075378418,2011-08-08
6.979413986206055,2011-08-09
6.658333778381348,2011-08-10
6.73801851272583,2011-08-11
6.822390556335449,2011-08-12
6.963008403778076,2011-08-15
6.970041275024414,2011-08-16
7.021600246429443,2011-08-17
6.859890937805176,2011-08-18
6.705207347869873,2011-08-19
6.712236404418945,2011-08-22
6.782548427581787,2011-08-23
6.707553386688232,2011-08-24
6.505998134613037,2011-08-25
6.576305866241455,2011-08-26
6.7028656005859375,2011-08-29
6.7356743812561035,2011-08-30
6.681772232055664,2011-08-31
6.487246990203857,2011-09-01
6.391157150268555,2011-09-02
6.480217933654785,2011-09-06
6.534121990203857,2011-09-07
6.515373706817627,2011-09-08
6.653648376464844,2011-09-09
6.791923999786377,2011-09-12
6.822390556335449,2011-09-13
6.939574241638184,2011-09-14
6.995818614959717,2011-09-15
6.923165798187256,2011-09-16
6.911449909210205,2011-09-19
6.810676097869873,2011-09-20
6.677708625793457,2011-09-21
6.744193077087402,2011-09-22
6.781127452850342,2011-09-23
6.788510799407959,2011-09-26
6.749112606048584,2011-09-27
6.7392659187316895,2011-09-28
6.7318830490112305,2011-09-29
6.672784328460693,2011-09-30
6.374846935272217,2011-10-03
6.48565149307251,2011-10-04
6.478261947631836,2011-10-05
6.658011436462402,2011-10-06
6.5718278884887695,2011-10-07
6.685094833374023,2011-10-10
6.662933826446533,2011-10-11
6.655547142028809,2011-10-12
6.729416370391846,2011-10-13
6.808211803436279,2011-10-14
6.756502151489258,2011-10-17
6.842679977416992,2011-10-18
6.818061351776123,2011-10-19
6.815598964691162,2011-10-20
6.820523738861084,2011-10-21
7.032275199890137,2011-10-24
7.027351379394531,2011-10-25
7.054436683654785,2011-10-26
6.781127452850342,2011-10-27
6.822986125946045,2011-10-28
