EVRG,Date
48.714698791503906,2018-09-06
48.177555084228516,2018-09-07
48.32630157470703,2018-09-10
48.268463134765625,2018-09-11
48.053611755371094,2018-09-12
48.01228332519531,2018-09-13
47.731319427490234,2018-09-14
47.681739807128906,2018-09-17
47.49993133544922,2018-09-18
46.20252990722656,2018-09-19
46.08683395385742,2018-09-20
46.169471740722656,2018-09-21
45.98767852783203,2018-09-24
45.4670524597168,2018-09-25
44.81422424316406,2018-09-26
44.880332946777344,2018-09-27
45.38441848754883,2018-09-28
45.55796432495117,2018-10-01
45.81413650512695,2018-10-02
45.359622955322266,2018-10-03
45.657127380371094,2018-10-04
46.04551696777344,2018-10-05
46.37606430053711,2018-10-08
46.59091567993164,2018-10-09
46.3677978515625,2018-10-10
45.89677429199219,2018-10-11
45.9628791809082,2018-10-12
46.05378341674805,2018-10-15
46.39259719848633,2018-10-16
46.2851676940918,2018-10-17
46.491764068603516,2018-10-18
47.11980438232422,2018-10-19
46.94626998901367,2018-10-22
46.632240295410156,2018-10-23
47.35945510864258,2018-10-24
46.89668655395508,2018-10-25
46.37606430053711,2018-10-26
46.74794006347656,2018-10-29
46.5082893371582,2018-10-30
46.268638610839844,2018-10-31
46.3677978515625,2018-11-01
46.136417388916016,2018-11-02
46.55786895751953,2018-11-05
47.11980438232422,2018-11-06
47.252017974853516,2018-11-07
47.21895980834961,2018-11-08
48.218875885009766,2018-11-09
49.01219177246094,2018-11-12
49.35927963256836,2018-11-13
49.532814025878906,2018-11-14
49.65677261352539,2018-11-15
49.68156051635742,2018-11-16
49.45842742919922,2018-11-19
49.33448028564453,2018-11-20
48.4667854309082,2018-11-21
48.532894134521484,2018-11-23
49.19399642944336,2018-11-26
49.56586837768555,2018-11-27
49.25350570678711,2018-11-28
48.99528121948242,2018-11-29
49.45341110229492,2018-11-30
49.73663330078125,2018-12-03
50.011512756347656,2018-12-04
50.61957550048828,2018-12-06
50.23641586303711,2018-12-07
50.40299606323242,2018-12-10
50.502960205078125,2018-12-11
49.836585998535156,2018-12-12
50.169769287109375,2018-12-13
50.4279899597168,2018-12-14
48.60378646850586,2018-12-17
48.52048873901367,2018-12-18
48.3788948059082,2018-12-19
48.320579528808594,2018-12-20
48.54548263549805,2018-12-21
46.57133865356445,2018-12-24
47.129432678222656,2018-12-26
47.25437545776367,2018-12-27
47.08778381347656,2018-12-28
47.28770065307617,2018-12-31
46.54635238647461,2019-01-02
46.371421813964844,2019-01-03
46.55467987060547,2019-01-04
46.60466003417969,2019-01-07
47.154422760009766,2019-01-08
46.6962890625,2019-01-09
47.3626594543457,2019-01-10
47.03780746459961,2019-01-11
46.67963409423828,2019-01-14
46.93784713745117,2019-01-15
46.887874603271484,2019-01-16
47.146087646484375,2019-01-17
47.196067810058594,2019-01-18
47.32101821899414,2019-01-22
47.412635803222656,2019-01-23
47.595890045166016,2019-01-24
47.296016693115234,2019-01-25
47.23771286010742,2019-01-28
47.07945251464844,2019-01-29
47.22938537597656,2019-01-30
47.74583053588867,2019-01-31
47.66253662109375,2019-02-01
47.82912063598633,2019-02-04
47.84578323364258,2019-02-05
47.65420150756836,2019-02-06
48.01237487792969,2019-02-07
48.395545959472656,2019-02-08
48.37055206298828,2019-02-11
48.56214141845703,2019-02-12
48.68708038330078,2019-02-13
48.66209030151367,2019-02-14
48.95363235473633,2019-02-15
49.386775970458984,2019-02-19
49.47007751464844,2019-02-20
49.869903564453125,2019-02-21
46.22149658203125,2019-02-22
46.346435546875,2019-02-25
46.47138214111328,2019-02-26
46.22149658203125,2019-02-27
46.57133865356445,2019-02-28
46.23109817504883,2019-03-01
46.43272018432617,2019-03-04
46.27310562133789,2019-03-05
46.07148361206055,2019-03-06
46.53353500366211,2019-03-07
46.84437561035156,2019-03-08
47.34004592895508,2019-03-11
47.659278869628906,2019-03-12
47.827293395996094,2019-03-13
47.986915588378906,2019-03-14
48.44898223876953,2019-03-15
47.776893615722656,2019-03-18
47.40724182128906,2019-03-19
47.4660530090332,2019-03-20
48.17173767089844,2019-03-21
48.726219177246094,2019-03-22
48.55819320678711,2019-03-25
49.1042594909668,2019-03-26
48.85223388671875,2019-03-27
48.68421173095703,2019-03-28
48.768226623535156,2019-03-29
48.24735641479492,2019-04-01
48.30615997314453,2019-04-02
48.15494155883789,2019-04-03
47.524864196777344,2019-04-04
48.15494155883789,2019-04-05
47.978519439697266,2019-04-08
48.12133026123047,2019-04-09
48.02052307128906,2019-04-10
48.23055648803711,2019-04-11
48.49099349975586,2019-04-12
48.54978942871094,2019-04-15
47.94491195678711,2019-04-16
47.72649002075195,2019-04-17
47.524864196777344,2019-04-18
47.390445709228516,2019-04-22
47.50806427001953,2019-04-23
47.953311920166016,2019-04-24
48.04573440551758,2019-04-25
48.02052307128906,2019-04-26
47.86091232299805,2019-04-29
48.574989318847656,2019-04-30
48.24735641479492,2019-05-01
48.33976745605469,2019-05-02
48.390174865722656,2019-05-03
48.44898223876953,2019-05-06
48.3985710144043,2019-05-07
47.978519439697266,2019-05-08
47.835697174072266,2019-05-09
48.8270263671875,2019-05-10
49.053863525390625,2019-05-13
48.74302291870117,2019-05-14
48.90264129638672,2019-05-15
49.03705978393555,2019-05-16
49.314292907714844,2019-05-17
49.297489166259766,2019-05-20
49.36469268798828,2019-05-21
49.55793380737305,2019-05-22
49.93596267700195,2019-05-23
49.910770416259766,2019-05-24
49.38149642944336,2019-05-28
49.08930206298828,2019-05-29
49.08930206298828,2019-05-30
49.241764068603516,2019-05-31
49.9870719909668,2019-06-03
49.66522979736328,2019-06-04
50.783199310302734,2019-06-05
51.2490234375,2019-06-06
51.22361373901367,2019-06-07
50.681575775146484,2019-06-10
50.21574401855469,2019-06-11
51.13892364501953,2019-06-12
50.961063385009766,2019-06-13
51.38454055786133,2019-06-14
51.037288665771484,2019-06-17
51.13045120239258,2019-06-18
51.57933044433594,2019-06-19
51.92658615112305,2019-06-20
51.8672981262207,2019-06-21
51.81648635864258,2019-06-24
51.951995849609375,2019-06-25
50.52064895629883,2019-06-26
50.876373291015625,2019-06-27
50.944122314453125,2019-06-28
50.952598571777344,2019-07-01
51.36760711669922,2019-07-02
51.96894073486328,2019-07-03
52.11292266845703,2019-07-05
51.90964889526367,2019-07-08
52.0451545715332,2019-07-09
52.24842834472656,2019-07-10
52.12985610961914,2019-07-11
51.78260040283203,2019-07-12
51.647090911865234,2019-07-15
51.714847564697266,2019-07-16
51.680973052978516,2019-07-17
52.095985412597656,2019-07-18
51.48617935180664,2019-07-19
51.30831527709961,2019-07-22
51.38454055786133,2019-07-23
51.43535232543945,2019-07-24
51.30831527709961,2019-07-25
51.4268798828125,2019-07-26
51.83342361450195,2019-07-29
51.5115852355957,2019-07-30
51.232093811035156,2019-07-31
51.299842834472656,2019-08-01
51.52006149291992,2019-08-02
51.16433334350586,2019-08-05
51.76566696166992,2019-08-06
51.672508239746094,2019-08-07
52.45170211791992,2019-08-08
52.875186920166016,2019-08-09
53.41721725463867,2019-08-12
53.98468017578125,2019-08-13
54.00161361694336,2019-08-14
54.467430114746094,2019-08-15
54.58602523803711,2019-08-16
55.111122131347656,2019-08-19
54.967140197753906,2019-08-20
55.170413970947266,2019-08-21
55.136531829833984,2019-08-22
54.61988830566406,2019-08-23
55.20429229736328,2019-08-26
55.29745864868164,2019-08-27
54.95867919921875,2019-08-28
55.26155471801758,2019-08-29
55.457794189453125,2019-08-30
55.92705154418945,2019-09-03
56.140350341796875,2019-09-04
55.27009201049805,2019-09-05
54.57047653198242,2019-09-06
54.57899856567383,2019-09-09
54.8349609375,2019-09-10
55.49192428588867,2019-09-11
55.35540771484375,2019-09-12
54.78377151489258,2019-09-13
54.72404098510742,2019-09-16
55.176246643066406,2019-09-17
55.585784912109375,2019-09-18
55.92705154418945,2019-09-19
56.319522857666016,2019-09-20
56.481624603271484,2019-09-23
56.925289154052734,2019-09-24
57.368961334228516,2019-09-25
57.428680419921875,2019-09-26
56.78878402709961,2019-09-27
56.78878402709961,2019-09-30
56.54988098144531,2019-10-01
55.76495361328125,2019-10-02
55.79054260253906,2019-10-03
56.319522857666016,2019-10-04
55.99530792236328,2019-10-07
55.46632766723633,2019-10-08
54.433956146240234,2019-10-09
54.152400970458984,2019-10-10
54.56194305419922,2019-10-11
54.44248962402344,2019-10-14
54.5107421875,2019-10-15
54.24625778198242,2019-10-16
53.88790512084961,2019-10-17
54.01590347290039,2019-10-18
54.10120391845703,2019-10-21
54.56194305419922,2019-10-22
54.16093444824219,2019-10-23
54.48514175415039,2019-10-24
54.17799758911133,2019-10-25
53.82819366455078,2019-10-28
54.22066116333008,2019-10-29
54.33156967163086,2019-10-30
54.527809143066406,2019-10-31
54.46809005737305,2019-11-01
53.853782653808594,2019-11-04
53.350399017333984,2019-11-05
53.683143615722656,2019-11-06
53.59782791137695,2019-11-07
53.80259704589844,2019-11-08
53.427188873291016,2019-11-11
53.811126708984375,2019-11-12
54.51927947998047,2019-11-13
55.12504959106445,2019-11-14
55.2444953918457,2019-11-15
55.46632766723633,2019-11-18
55.26155471801758,2019-11-19
55.440738677978516,2019-11-20
55.2274284362793,2019-11-21
54.98000717163086,2019-11-22
54.25478744506836,2019-11-25
54.611698150634766,2019-11-26
54.43109130859375,2019-11-27
54.41389083862305,2019-11-29
53.648475646972656,2019-12-02
53.80327606201172,2019-12-03
54.40529251098633,2019-12-04
54.63750076293945,2019-12-05
54.241886138916016,2019-12-06
53.545257568359375,2019-12-09
53.8892822265625,2019-12-10
54.08708572387695,2019-12-11
53.44206237792969,2019-12-12
53.97527313232422,2019-12-13
54.35368347167969,2019-12-16
54.69770431518555,2019-12-17
54.91270446777344,2019-12-18
54.78370666503906,2019-12-19
55.14492416381836,2019-12-20
54.86970520019531,2019-12-23
55.23092269897461,2019-12-24
55.08470916748047,2019-12-26
55.10190963745117,2019-12-27
55.23952102661133,2019-12-30
55.97913360595703,2019-12-31
54.560089111328125,2020-01-02
54.611698150634766,2020-01-03
54.45689392089844,2020-01-06
54.49129867553711,2020-01-07
54.59449005126953,2020-01-08
55.110511779785156,2020-01-09
55.48032760620117,2020-01-10
56.09954833984375,2020-01-13
56.39194869995117,2020-01-14
57.27779006958008,2020-01-15
57.75079345703125,2020-01-16
57.90560531616211,2020-01-17
59.05803298950195,2020-01-21
59.43645095825195,2020-01-22
60.373878479003906,2020-01-23
61.38011169433594,2020-01-24
61.7069206237793,2020-01-27
62.07672119140625,2020-01-28
62.08534240722656,2020-01-29
62.31753158569336,2020-01-30
62.059539794921875,2020-01-31
61.758522033691406,2020-02-03
61.06190490722656,2020-02-04
61.0790901184082,2020-02-05
61.33710861206055,2020-02-06
60.950096130371094,2020-02-07
60.88129425048828,2020-02-10
60.924285888671875,2020-02-11
60.838287353515625,2020-02-12
61.53490447998047,2020-02-13
62.214324951171875,2020-02-14
63.53877258300781,2020-02-18
63.564579010009766,2020-02-19
63.26356887817383,2020-02-20
62.70456314086914,2020-02-21
61.91331481933594,2020-02-24
60.28787612915039,2020-02-25
59.84065246582031,2020-02-26
57.621795654296875,2020-02-27
56.20275115966797,2020-02-28
59.6772575378418,2020-03-02
59.21284484863281,2020-03-03
62.85074996948242,2020-03-04
61.586517333984375,2020-03-05
60.4908447265625,2020-03-06
55.89167022705078,2020-03-09
57.823158264160156,2020-03-10
54.00349807739258,2020-03-11
48.468902587890625,2020-03-12
51.179901123046875,2020-03-13
42.96027755737305,2020-03-16
49.85472106933594,2020-03-17
49.98463821411133,2020-03-18
47.72402572631836,2020-03-19
40.86424255371094,2020-03-20
38.90676498413086,2020-03-23
43.921688079833984,2020-03-24
44.95240020751953,2020-03-25
