LYB,Date
75.65423583984375,2018-02-08
76.51239776611328,2018-02-09
78.45042419433594,2018-02-12
78.40750122070312,2018-02-13
80.09520721435547,2018-02-14
78.64348602294922,2018-02-15
77.67092895507812,2018-02-16
77.65660858154297,2018-02-20
78.01416778564453,2018-02-21
79.25852966308594,2018-02-22
79.80915832519531,2018-02-23
79.02967071533203,2018-02-26
78.42179870605469,2018-02-27
77.39202117919922,2018-02-28
77.32764434814453,2018-03-01
77.38540649414062,2018-03-02
78.43924713134766,2018-03-05
79.21157836914062,2018-03-06
78.95172882080078,2018-03-07
78.94450378417969,2018-03-08
81.04498291015625,2018-03-09
80.22212219238281,2018-03-12
79.64466857910156,2018-03-13
78.4969711303711,2018-03-14
77.57306671142578,2018-03-15
77.36373138427734,2018-03-16
77.06778717041016,2018-03-19
77.57306671142578,2018-03-20
80.27265167236328,2018-03-21
76.9450912475586,2018-03-22
75.46536254882812,2018-03-23
75.85514831542969,2018-03-26
75.16943359375,2018-03-27
74.45484924316406,2018-03-28
76.2810287475586,2018-03-29
74.85905456542969,2018-04-02
75.16943359375,2018-04-03
74.15167999267578,2018-04-04
75.68193054199219,2018-04-05
72.75135803222656,2018-04-06
71.76969909667969,2018-04-09
73.87017059326172,2018-04-10
73.77632904052734,2018-04-11
74.85183715820312,2018-04-12
74.37545013427734,2018-04-13
75.45816802978516,2018-04-16
76.54087829589844,2018-04-17
78.58360290527344,2018-04-18
77.66690826416016,2018-04-19
77.72463989257812,2018-04-20
78.18660736083984,2018-04-23
76.46868896484375,2018-04-24
76.07170867919922,2018-04-25
76.8656997680664,2018-04-26
76.99560546875,2018-04-27
76.31713104248047,2018-04-30
74.91679382324219,2018-05-01
75.60973358154297,2018-05-02
75.03226470947266,2018-05-03
75.63861846923828,2018-05-04
75.50144958496094,2018-05-07
75.45816802978516,2018-05-08
79.32707214355469,2018-05-09
81.14604187011719,2018-05-10
81.2542953491211,2018-05-11
80.82843780517578,2018-05-14
80.96558380126953,2018-05-15
83.23206329345703,2018-05-16
83.86726379394531,2018-05-17
83.88890838623047,2018-05-18
84.83448028564453,2018-05-21
83.85282897949219,2018-05-22
83.48470306396484,2018-05-23
84.46635437011719,2018-05-24
82.1132583618164,2018-05-25
80.44585418701172,2018-05-29
82.19988250732422,2018-05-30
80.92948150634766,2018-05-31
81.65129852294922,2018-06-01
81.84618377685547,2018-06-04
83.32589721679688,2018-06-05
85.20262145996094,2018-06-06
85.56352996826172,2018-06-07
85.96390533447266,2018-06-08
85.55623626708984,2018-06-11
85.65816497802734,2018-06-12
84.10032653808594,2018-06-13
83.09575653076172,2018-06-14
83.94745635986328,2018-06-15
83.50341796875,2018-06-18
80.98469543457031,2018-06-19
80.07476806640625,2018-06-20
78.63343048095703,2018-06-21
80.81726837158203,2018-06-22
78.34223175048828,2018-06-25
78.83723449707031,2018-06-26
79.37592315673828,2018-06-27
79.60157775878906,2018-06-28
79.9655532836914,2018-06-29
78.2912826538086,2018-07-02
77.71620178222656,2018-07-03
78.4950942993164,2018-07-05
79.0337905883789,2018-07-06
80.46056365966797,2018-07-09
80.21308135986328,2018-07-10
77.65794372558594,2018-07-11
77.68708801269531,2018-07-12
78.16751098632812,2018-07-13
77.32310485839844,2018-07-16
78.69892120361328,2018-07-17
79.06289672851562,2018-07-18
79.02649688720703,2018-07-19
78.56788635253906,2018-07-20
78.31312561035156,2018-07-23
78.88819885253906,2018-07-24
79.65254974365234,2018-07-25
80.76631164550781,2018-07-26
79.70350646972656,2018-07-27
79.4268798828125,2018-07-30
80.64983367919922,2018-07-31
80.15483856201172,2018-08-01
78.96099853515625,2018-08-02
81.6398696899414,2018-08-03
82.2658920288086,2018-08-06
82.54978942871094,2018-08-07
82.30955505371094,2018-08-08
82.53522491455078,2018-08-09
81.9455795288086,2018-08-10
81.22492980957031,2018-08-13
82.39692687988281,2018-08-14
80.62799835205078,2018-08-15
81.49424743652344,2018-08-16
82.33141326904297,2018-08-17
82.97928619384766,2018-08-20
83.67084503173828,2018-08-21
