SRCL,Date
3.515625,1999-09-23
3.28125,1999-09-24
3.40625,1999-09-27
3.5,1999-09-28
3.484375,1999-09-29
3.671875,1999-09-30
3.734375,1999-10-01
3.980468988418579,1999-10-04
3.8125,1999-10-05
3.90625,1999-10-06
3.96875,1999-10-07
3.96875,1999-10-08
4.0,1999-10-11
4.078125,1999-10-12
4.015625,1999-10-13
4.03125,1999-10-14
3.90625,1999-10-15
3.890625,1999-10-18
3.953125,1999-10-19
4.0625,1999-10-20
4.03125,1999-10-21
4.015625,1999-10-22
4.015625,1999-10-25
3.84375,1999-10-26
3.9375,1999-10-27
3.953125,1999-10-28
3.90625,1999-10-29
3.953125,1999-11-01
3.921875,1999-11-02
4.0,1999-11-03
4.09375,1999-11-04
4.3125,1999-11-05
4.25,1999-11-08
4.3125,1999-11-09
4.1875,1999-11-10
4.25,1999-11-11
4.5,1999-11-12
4.5625,1999-11-15
4.4375,1999-11-16
4.4375,1999-11-17
4.140625,1999-11-18
4.125,1999-11-19
4.0625,1999-11-22
4.109375,1999-11-23
4.1875,1999-11-24
4.3125,1999-11-26
4.265625,1999-11-29
4.359375,1999-11-30
4.6875,1999-12-01
4.734375,1999-12-02
4.78125,1999-12-03
4.5625,1999-12-06
4.359375,1999-12-07
4.09375,1999-12-08
4.0625,1999-12-09
4.0625,1999-12-10
4.34375,1999-12-13
4.46875,1999-12-14
4.28125,1999-12-15
4.125,1999-12-16
4.09375,1999-12-17
4.125,1999-12-20
4.09375,1999-12-21
4.046875,1999-12-22
4.0,1999-12-23
4.453125,1999-12-27
4.484375,1999-12-28
4.546875,1999-12-29
4.65625,1999-12-30
4.703125,1999-12-31
4.46875,2000-01-03
4.28125,2000-01-04
4.25,2000-01-05
4.234375,2000-01-06
4.234375,2000-01-07
4.1875,2000-01-10
4.078125,2000-01-11
4.0625,2000-01-12
4.046875,2000-01-13
3.96875,2000-01-14
4.171875,2000-01-18
3.9375,2000-01-19
4.046875,2000-01-20
4.0625,2000-01-21
4.171875,2000-01-24
4.03125,2000-01-25
4.09375,2000-01-26
4.015625,2000-01-27
4.015625,2000-01-28
4.046875,2000-01-31
3.875,2000-02-01
3.984375,2000-02-02
3.953125,2000-02-03
4.0,2000-02-04
3.84375,2000-02-07
3.890625,2000-02-08
4.0625,2000-02-09
4.0,2000-02-10
4.046875,2000-02-11
4.125,2000-02-14
4.046875,2000-02-15
4.0625,2000-02-16
3.953125,2000-02-17
3.96875,2000-02-18
4.015625,2000-02-22
4.296875,2000-02-23
4.5,2000-02-24
4.5,2000-02-25
4.515625,2000-02-28
4.617187976837158,2000-02-29
4.6875,2000-03-01
4.625,2000-03-02
4.5,2000-03-03
4.53125,2000-03-06
4.546875,2000-03-07
4.578125,2000-03-08
4.71875,2000-03-09
5.0,2000-03-10
4.984375,2000-03-13
4.625,2000-03-14
4.5,2000-03-15
4.9375,2000-03-16
4.8125,2000-03-17
4.765625,2000-03-20
4.734375,2000-03-21
4.6875,2000-03-22
5.75,2000-03-23
5.75,2000-03-24
5.625,2000-03-27
5.53125,2000-03-28
5.609375,2000-03-29
5.75,2000-03-30
6.25,2000-03-31
6.0,2000-04-03
5.828125,2000-04-04
5.9375,2000-04-05
5.9375,2000-04-06
6.234375,2000-04-07
5.734375,2000-04-10
5.65625,2000-04-11
5.734375,2000-04-12
5.765625,2000-04-13
5.6875,2000-04-14
5.0625,2000-04-17
5.1875,2000-04-18
5.265625,2000-04-19
5.078125,2000-04-20
5.125,2000-04-24
5.21875,2000-04-25
5.0625,2000-04-26
5.328125,2000-04-27
5.25,2000-04-28
5.40625,2000-05-01
5.375,2000-05-02
5.28125,2000-05-03
5.640625,2000-05-04
5.53125,2000-05-05
5.65625,2000-05-08
5.84375,2000-05-09
5.640625,2000-05-10
5.625,2000-05-11
5.6875,2000-05-12
5.679687976837158,2000-05-15
5.671875,2000-05-16
6.09375,2000-05-17
5.671875,2000-05-18
5.671875,2000-05-19
5.609375,2000-05-22
5.765625,2000-05-23
5.75,2000-05-24
5.625,2000-05-25
5.484375,2000-05-26
5.296875,2000-05-30
5.0625,2000-05-31
5.171875,2000-06-01
5.4375,2000-06-02
5.71875,2000-06-05
5.71875,2000-06-06
5.5,2000-06-07
5.375,2000-06-08
5.4375,2000-06-09
5.40625,2000-06-12
5.171875,2000-06-13
5.3125,2000-06-14
5.28125,2000-06-15
5.25,2000-06-16
5.25,2000-06-19
5.4375,2000-06-20
5.515625,2000-06-21
5.5625,2000-06-22
5.671875,2000-06-23
5.703125,2000-06-26
5.78125,2000-06-27
5.757812976837158,2000-06-28
5.8125,2000-06-29
6.0,2000-06-30
6.0,2000-07-03
6.0625,2000-07-05
6.140625,2000-07-06
6.625,2000-07-07
6.59375,2000-07-10
6.25,2000-07-11
6.359375,2000-07-12
6.234375,2000-07-13
6.3125,2000-07-14
6.34375,2000-07-17
6.324219226837158,2000-07-18
6.4375,2000-07-19
6.734375,2000-07-20
6.5,2000-07-21
6.328125,2000-07-24
6.265625,2000-07-25
6.28125,2000-07-26
6.234375,2000-07-27
6.21875,2000-07-28
6.25,2000-07-31
6.265625,2000-08-01
6.234375,2000-08-02
6.21875,2000-08-03
6.015625,2000-08-04
5.9375,2000-08-07
5.625,2000-08-08
5.421875,2000-08-09
5.46875,2000-08-10
5.640625,2000-08-11
5.78125,2000-08-14
5.75,2000-08-15
5.625,2000-08-16
5.65625,2000-08-17
5.828125,2000-08-18
5.9375,2000-08-21
5.921875,2000-08-22
5.78125,2000-08-23
5.75,2000-08-24
5.640625,2000-08-25
5.640625,2000-08-28
5.640625,2000-08-29
5.59375,2000-08-30
5.625,2000-08-31
5.34375,2000-09-01
5.34375,2000-09-05
5.203125,2000-09-06
5.71875,2000-09-07
5.5625,2000-09-08
5.40625,2000-09-11
5.109375,2000-09-12
5.59375,2000-09-13
6.078125,2000-09-14
6.015625,2000-09-15
5.921875,2000-09-18
5.953125,2000-09-19
5.96875,2000-09-20
5.984375,2000-09-21
5.84375,2000-09-22
5.9375,2000-09-25
5.859375,2000-09-26
5.828125,2000-09-27
6.03125,2000-09-28
6.125,2000-09-29
6.84375,2000-10-02
6.875,2000-10-03
6.734375,2000-10-04
6.859375,2000-10-05
6.921875,2000-10-06
6.609375,2000-10-09
6.625,2000-10-10
6.59375,2000-10-11
6.6875,2000-10-12
6.625,2000-10-13
7.1875,2000-10-16
7.046875,2000-10-17
6.890625,2000-10-18
7.0,2000-10-19
6.625,2000-10-20
6.75,2000-10-23
6.75,2000-10-24
6.765625,2000-10-25
6.65625,2000-10-26
6.640625,2000-10-27
7.09375,2000-10-30
8.09375,2000-10-31
8.5625,2000-11-01
8.078125,2000-11-02
7.234375,2000-11-03
7.5,2000-11-06
7.09375,2000-11-07
7.421875,2000-11-08
7.265625,2000-11-09
6.96875,2000-11-10
7.125,2000-11-13
7.609375,2000-11-14
8.09375,2000-11-15
8.28125,2000-11-16
8.03125,2000-11-17
8.671875,2000-11-20
8.53125,2000-11-21
8.5,2000-11-22
8.59375,2000-11-24
7.96875,2000-11-27
7.75,2000-11-28
8.34375,2000-11-29
8.234375,2000-11-30
8.515625,2000-12-01
8.703125,2000-12-04
9.28125,2000-12-05
8.78125,2000-12-06
8.796875,2000-12-07
8.8125,2000-12-08
8.90625,2000-12-11
8.875,2000-12-12
9.015625,2000-12-13
8.9375,2000-12-14
9.3125,2000-12-15
9.25,2000-12-18
9.453125,2000-12-19
9.1875,2000-12-20
8.890625,2000-12-21
8.796875,2000-12-22
9.328125,2000-12-26
9.78125,2000-12-27
9.75,2000-12-28
9.53125,2000-12-29
8.9375,2001-01-02
9.515625,2001-01-03
8.828125,2001-01-04
8.71875,2001-01-05
8.59375,2001-01-08
7.46875,2001-01-09
7.765625,2001-01-10
8.59375,2001-01-11
8.1875,2001-01-12
9.0,2001-01-16
8.390625,2001-01-17
7.625,2001-01-18
7.53125,2001-01-19
7.3125,2001-01-22
7.1875,2001-01-23
7.15625,2001-01-24
7.390625,2001-01-25
8.0,2001-01-26
7.96875,2001-01-29
7.984375,2001-01-30
8.109375,2001-01-31
8.09375,2001-02-01
7.734375,2001-02-02
8.15234375,2001-02-05
7.601562976837158,2001-02-06
8.37890625,2001-02-07
8.28125,2001-02-08
7.90625,2001-02-09
8.234375,2001-02-12
8.46875,2001-02-13
8.28125,2001-02-14
8.40625,2001-02-15
8.71875,2001-02-16
8.71875,2001-02-20
9.640625,2001-02-21
9.6875,2001-02-22
9.84375,2001-02-23
9.84375,2001-02-26
9.0,2001-02-27
9.8125,2001-02-28
9.84375,2001-03-01
10.125,2001-03-02
9.765625,2001-03-05
9.5625,2001-03-06
9.640625,2001-03-07
9.585938453674316,2001-03-08
9.84375,2001-03-09
9.609375,2001-03-12
9.28125,2001-03-13
8.984375,2001-03-14
9.203125,2001-03-15
9.234375,2001-03-16
9.5625,2001-03-19
9.625,2001-03-20
10.15625,2001-03-21
9.84375,2001-03-22
9.96875,2001-03-23
11.125,2001-03-26
11.125,2001-03-27
10.375,2001-03-28
10.875,2001-03-29
11.15625,2001-03-30
11.28125,2001-04-02
10.625,2001-04-03
11.0,2001-04-04
11.5,2001-04-05
11.25,2001-04-06
11.8125,2001-04-09
11.862500190734863,2001-04-10
11.324999809265137,2001-04-11
11.350000381469727,2001-04-12
11.524999618530273,2001-04-16
11.930000305175781,2001-04-17
11.927499771118164,2001-04-18
11.7524995803833,2001-04-19
11.6875,2001-04-20
11.477499961853027,2001-04-23
11.430000305175781,2001-04-24
11.297499656677246,2001-04-25
11.3725004196167,2001-04-26
11.0,2001-04-27
10.475000381469727,2001-04-30
10.975000381469727,2001-05-01
10.520000457763672,2001-05-02
