FANG,Date
62.14503860473633,2015-11-04
62.97004699707031,2015-11-05
63.54182434082031,2015-11-06
65.03666687011719,2015-11-09
65.02030181884766,2015-11-10
65.20819854736328,2015-11-11
63.78689193725586,2015-11-12
62.66783142089844,2015-11-13
65.06930541992188,2015-11-16
65.02848815917969,2015-11-17
66.50696563720703,2015-11-18
62.945556640625,2015-11-19
63.280433654785156,2015-11-20
65.13465881347656,2015-11-23
65.29804992675781,2015-11-24
64.28514099121094,2015-11-25
63.3212890625,2015-11-27
63.729705810546875,2015-11-30
63.87675476074219,2015-12-01
62.72499084472656,2015-12-02
62.69231414794922,2015-12-03
62.332908630371094,2015-12-04
60.3234977722168,2015-12-07
61.21384811401367,2015-12-08
62.912872314453125,2015-12-09
64.60372924804688,2015-12-10
62.53711700439453,2015-12-11
61.7611198425293,2015-12-14
62.496280670166016,2015-12-15
59.10639572143555,2015-12-16
56.157630920410156,2015-12-17
54.0420036315918,2015-12-18
50.80733108520508,2015-12-21
51.74668502807617,2015-12-22
55.10390090942383,2015-12-23
55.47963333129883,2015-12-24
53.44571304321289,2015-12-28
54.27071762084961,2015-12-29
53.92765426635742,2015-12-30
54.64646911621094,2015-12-31
54.00116729736328,2016-01-04
53.24968719482422,2016-01-05
50.80733108520508,2016-01-06
49.33701705932617,2016-01-07
49.631080627441406,2016-01-08
47.04987335205078,2016-01-11
47.80136489868164,2016-01-12
48.61003494262695,2016-01-13
51.19941329956055,2016-01-14
51.59150314331055,2016-01-15
49.40236282348633,2016-01-19
49.75361251831055,2016-01-20
52.359317779541016,2016-01-21
54.050174713134766,2016-01-22
50.709312438964844,2016-01-25
54.34423828125,2016-01-26
55.76552963256836,2016-01-27
59.4576530456543,2016-01-28
61.712120056152344,2016-01-29
59.30244827270508,2016-02-01
58.19969940185547,2016-02-02
61.16482925415039,2016-02-03
58.812355041503906,2016-02-04
54.981361389160156,2016-02-05
57.137813568115234,2016-02-08
54.777156829833984,2016-02-09
54.997703552246094,2016-02-10
55.46331024169922,2016-02-11
56.46802520751953,2016-02-12
55.52049255371094,2016-02-16
57.538089752197266,2016-02-17
57.38288116455078,2016-02-18
58.8776969909668,2016-02-19
60.20097351074219,2016-02-22
57.170494079589844,2016-02-23
58.5836296081543,2016-02-24
58.45293045043945,2016-02-25
59.30244827270508,2016-02-26
58.19969940185547,2016-02-29
59.21258544921875,2016-03-01
60.44600296020508,2016-03-02
59.22892761230469,2016-03-03
62.07151794433594,2016-03-04
62.27573776245117,2016-03-07
60.76456832885742,2016-03-08
61.017822265625,2016-03-09
61.32818603515625,2016-03-10
64.0645980834961,2016-03-11
62.087867736816406,2016-03-14
62.88019943237305,2016-03-15
62.98640060424805,2016-03-16
63.29677963256836,2016-03-17
63.40297317504883,2016-03-18
63.75422668457031,2016-03-21
63.729705810546875,2016-03-22
62.65147399902344,2016-03-23
63.24777603149414,2016-03-24
62.455440521240234,2016-03-28
63.0272331237793,2016-03-29
64.5547103881836,2016-03-30
63.04356384277344,2016-03-31
62.708656311035156,2016-04-01
60.862606048583984,2016-04-04
60.28266525268555,2016-04-05
62.643314361572266,2016-04-06
64.5873794555664,2016-04-07
66.20474243164062,2016-04-08
65.82079315185547,2016-04-11
67.02157592773438,2016-04-12
66.49060821533203,2016-04-13
66.76017761230469,2016-04-14
65.43689727783203,2016-04-15
66.83369445800781,2016-04-18
