LIFE,Date
49.70000076293945,2017-03-02
48.29999923706055,2017-03-03
47.599998474121094,2017-03-06
46.900001525878906,2017-03-07
46.900001525878906,2017-03-08
51.099998474121094,2017-03-09
50.400001525878906,2017-03-10
50.400001525878906,2017-03-13
48.29999923706055,2017-03-14
49.70000076293945,2017-03-15
53.20000076293945,2017-03-16
53.20000076293945,2017-03-17
51.79999923706055,2017-03-20
51.099998474121094,2017-03-21
48.29999923706055,2017-03-22
49.0,2017-03-23
49.70000076293945,2017-03-24
49.70000076293945,2017-03-27
49.70000076293945,2017-03-28
49.0,2017-03-29
49.70000076293945,2017-03-30
49.0,2017-03-31
49.0,2017-04-03
47.599998474121094,2017-04-04
46.20000076293945,2017-04-05
46.900001525878906,2017-04-06
45.5,2017-04-07
45.5,2017-04-10
44.099998474121094,2017-04-11
44.099998474121094,2017-04-12
44.099998474121094,2017-04-13
42.0,2017-04-17
42.0,2017-04-18
42.349998474121094,2017-04-19
42.70000076293945,2017-04-20
42.70000076293945,2017-04-21
44.099998474121094,2017-04-24
45.5,2017-04-25
47.599998474121094,2017-04-26
49.0,2017-04-27
46.20000076293945,2017-04-28
42.70000076293945,2017-05-01
42.70000076293945,2017-05-02
43.400001525878906,2017-05-03
43.400001525878906,2017-05-04
44.099998474121094,2017-05-05
46.20000076293945,2017-05-08
44.099998474121094,2017-05-09
43.400001525878906,2017-05-10
43.400001525878906,2017-05-11
45.5,2017-05-12
46.900001525878906,2017-05-15
47.599998474121094,2017-05-16
46.20000076293945,2017-05-17
46.54999923706055,2017-05-18
47.599998474121094,2017-05-19
49.70000076293945,2017-05-22
49.70000076293945,2017-05-23
49.0,2017-05-24
47.599998474121094,2017-05-25
46.20000076293945,2017-05-26
44.79999923706055,2017-05-30
46.20000076293945,2017-05-31
46.900001525878906,2017-06-01
49.0,2017-06-02
47.599998474121094,2017-06-05
47.599998474121094,2017-06-06
49.0,2017-06-07
48.29999923706055,2017-06-08
47.599998474121094,2017-06-09
47.599998474121094,2017-06-12
48.29999923706055,2017-06-13
47.599998474121094,2017-06-14
46.900001525878906,2017-06-15
49.70000076293945,2017-06-16
50.400001525878906,2017-06-19
50.400001525878906,2017-06-20
51.45000076293945,2017-06-21
51.79999923706055,2017-06-22
51.099998474121094,2017-06-23
51.099998474121094,2017-06-26
51.099998474121094,2017-06-27
51.79999923706055,2017-06-28
51.099998474121094,2017-06-29
47.599998474121094,2017-06-30
44.099998474121094,2017-07-03
46.20000076293945,2017-07-05
46.900001525878906,2017-07-06
49.0,2017-07-07
48.29999923706055,2017-07-10
46.20000076293945,2017-07-11
46.20000076293945,2017-07-12
45.849998474121094,2017-07-13
46.20000076293945,2017-07-14
46.900001525878906,2017-07-17
46.900001525878906,2017-07-18
47.599998474121094,2017-07-19
47.599998474121094,2017-07-20
45.5,2017-07-21
49.70000076293945,2017-07-24
47.599998474121094,2017-07-25
47.599998474121094,2017-07-26
46.900001525878906,2017-07-27
49.0,2017-07-28
48.29999923706055,2017-07-31
48.29999923706055,2017-08-01
47.599998474121094,2017-08-02
46.900001525878906,2017-08-03
46.54999923706055,2017-08-04
44.099998474121094,2017-08-07
45.5,2017-08-08
44.79999923706055,2017-08-09
42.70000076293945,2017-08-10
42.70000076293945,2017-08-11
45.5,2017-08-14
40.599998474121094,2017-08-15
38.5,2017-08-16
37.79999923706055,2017-08-17
36.400001525878906,2017-08-18
36.400001525878906,2017-08-21
35.0,2017-08-22
34.29999923706055,2017-08-23
37.099998474121094,2017-08-24
36.400001525878906,2017-08-25
38.5,2017-08-28
39.20000076293945,2017-08-29
42.0,2017-08-30
42.70000076293945,2017-08-31
42.70000076293945,2017-09-01
38.5,2017-09-05
39.20000076293945,2017-09-06
42.70000076293945,2017-09-07
44.099998474121094,2017-09-08
42.0,2017-09-11
42.70000076293945,2017-09-12
45.5,2017-09-13
46.20000076293945,2017-09-14
51.79999923706055,2017-09-15
54.25,2017-09-18
53.900001525878906,2017-09-19
54.599998474121094,2017-09-20
54.25,2017-09-21
56.70000076293945,2017-09-22
56.70000076293945,2017-09-25
58.79999923706055,2017-09-26
64.4000015258789,2017-09-27
66.5,2017-09-28
70.69999694824219,2017-09-29
70.0,2017-10-02
66.5,2017-10-03
79.0999984741211,2017-10-04
79.80000305175781,2017-10-05
75.25,2017-10-06
77.0,2017-10-09
79.0999984741211,2017-10-10
88.19999694824219,2017-10-11
86.80000305175781,2017-10-12
82.5999984741211,2017-10-13
78.4000015258789,2017-10-16
75.5999984741211,2017-10-17
74.9000015258789,2017-10-18
72.0999984741211,2017-10-19
71.4000015258789,2017-10-20
69.30000305175781,2017-10-23
68.5999984741211,2017-10-24
67.19999694824219,2017-10-25
67.19999694824219,2017-10-26
72.80000305175781,2017-10-27
68.5999984741211,2017-10-30
67.19999694824219,2017-10-31
56.0,2017-11-01
56.0,2017-11-02
62.29999923706055,2017-11-03
63.0,2017-11-06
60.20000076293945,2017-11-07
59.5,2017-11-08
57.400001525878906,2017-11-09
