RSG,Date
5.85922908782959,2000-11-02
5.939863681793213,2000-11-03
5.912986755371094,2000-11-06
6.208634376525879,2000-11-07
6.36989688873291,2000-11-08
6.3967719078063965,2000-11-09
6.2892656326293945,2000-11-10
6.3161444664001465,2000-11-13
6.3161444664001465,2000-11-14
6.504284381866455,2000-11-15
6.611794471740723,2000-11-16
6.55803918838501,2000-11-17
6.450529098510742,2000-11-20
6.638670444488525,2000-11-21
6.4774065017700195,2000-11-22
6.584914684295654,2000-11-24
6.4774065017700195,2000-11-27
6.3161444664001465,2000-11-28
6.208634376525879,2000-11-29
6.262390613555908,2000-11-30
6.3967719078063965,2000-12-01
6.611794471740723,2000-12-04
6.746179580688477,2000-12-05
6.665547847747803,2000-12-06
6.638670444488525,2000-12-07
6.611794471740723,2000-12-08
6.504284381866455,2000-12-11
6.3967719078063965,2000-12-12
6.36989688873291,2000-12-13
6.262390613555908,2000-12-14
6.2892656326293945,2000-12-15
6.55803918838501,2000-12-18
6.746179580688477,2000-12-19
6.55803918838501,2000-12-20
6.880565166473389,2000-12-21
6.880565166473389,2000-12-22
6.719301223754883,2000-12-26
6.907439708709717,2000-12-27
7.149338722229004,2000-12-28
7.391233444213867,2000-12-29
7.122459411621094,2001-01-02
6.934319019317627,2001-01-03
7.04182767868042,2001-01-04
7.229968070983887,2001-01-05
7.364356517791748,2001-01-08
7.122459411621094,2001-01-09
7.014953136444092,2001-01-10
6.880565166473389,2001-01-11
6.826813697814941,2001-01-12
6.988073348999023,2001-01-16
6.7730560302734375,2001-01-17
6.853686809539795,2001-01-18
6.799931526184082,2001-01-19
6.799931526184082,2001-01-22
6.746179580688477,2001-01-23
6.826813697814941,2001-01-24
6.799931526184082,2001-01-25
6.7730560302734375,2001-01-26
6.824662208557129,2001-01-29
6.257015228271484,2001-01-30
5.912986755371094,2001-01-31
6.080699920654297,2001-02-01
6.304318904876709,2001-02-02
6.364522933959961,2001-02-05
6.665547847747803,2001-02-06
6.665547847747803,2001-02-07
6.493534564971924,2001-02-08
6.6870503425598145,2001-02-09
6.8289594650268555,2001-02-12
6.884864330291748,2001-02-13
6.876264572143555,2001-02-14
6.880565166473389,2001-02-15
6.876264572143555,2001-02-16
6.953672409057617,2001-02-20
6.9321699142456055,2001-02-21
6.9622721672058105,2001-02-22
6.953672409057617,2001-02-23
6.988073348999023,2001-02-26
6.988073348999023,2001-02-27
7.155787944793701,2001-02-28
7.2675981521606445,2001-03-01
7.357906341552734,2001-03-02
7.439611911773682,2001-03-05
7.431011199951172,2001-03-06
7.517016887664795,2001-03-07
7.908353805541992,2001-03-08
7.916953086853027,2001-03-09
8.067462921142578,2001-03-12
8.10616397857666,2001-03-13
7.934152603149414,2001-03-14
7.74063777923584,2001-03-15
7.848147869110107,2001-03-16
7.8180460929870605,2001-03-19
7.895446300506592,2001-03-20
7.762138843536377,2001-03-21
7.327803611755371,2001-03-22
7.525619983673096,2001-03-23
7.654630184173584,2001-03-26
7.517016887664795,2001-03-27
7.723435401916504,2001-03-28
8.174964904785156,2001-03-29
8.063163757324219,2001-03-30
7.848147869110107,2001-04-02
7.650331020355225,2001-04-03
7.74063777923584,2001-04-04
7.78363561630249,2001-04-05
7.805137634277344,2001-04-06
7.916953086853027,2001-04-09
7.955649375915527,2001-04-10
8.002957344055176,2001-04-11
8.110466957092285,2001-04-12
8.097565650939941,2001-04-16
7.912652015686035,2001-04-17
7.869644641876221,2001-04-18
7.891147136688232,2001-04-19
7.6761298179626465,2001-04-20
7.74063777923584,2001-04-23
7.719134330749512,2001-04-24
7.78363561630249,2001-04-25
8.084662437438965,2001-04-26
8.19647216796875,2001-04-27
7.74063777923584,2001-04-30
8.170670509338379,2001-05-01
8.007255554199219,2001-05-02
7.925552845001221,2001-05-03
7.749237060546875,2001-05-04
7.852444648742676,2001-05-07
7.916953086853027,2001-05-08
7.998658180236816,2001-05-09
8.020161628723145,2001-05-10
7.968555927276611,2001-05-11
7.972853183746338,2001-05-14
8.248075485229492,2001-05-15
8.381388664245605,2001-05-16
8.226576805114746,2001-05-17
8.170670509338379,2001-05-18
8.063163757324219,2001-05-21
7.938455581665039,2001-05-22
7.719134330749512,2001-05-23
7.719134330749512,2001-05-24
7.620228290557861,2001-05-25
7.697633266448975,2001-05-29
7.658929347991943,2001-05-30
7.904048442840576,2001-05-31
8.084662437438965,2001-06-01
8.174964904785156,2001-06-04
8.19217586517334,2001-06-05
8.028759002685547,2001-06-06
8.149169921875,2001-06-07
8.1018648147583,2001-06-08
8.187874794006348,2001-06-11
8.127667427062988,2001-06-12
8.25667953491211,2001-06-13
8.23518180847168,2001-06-14
8.162068367004395,2001-06-15
8.166369438171387,2001-06-18
8.29967975616455,2001-06-19
8.402892112731934,2001-06-20
8.40719223022461,2001-06-21
8.29967975616455,2001-06-22
8.157769203186035,2001-06-25
8.153472900390625,2001-06-26
8.23518180847168,2001-06-27
8.458795547485352,2001-06-28
8.536202430725098,2001-06-29
8.514697074890137,2001-07-02
8.493200302124023,2001-07-03
8.579205513000488,2001-07-05
8.55770492553711,2001-07-06
8.708213806152344,2001-07-09
8.609305381774902,2001-07-10
8.785622596740723,2001-07-11
8.880228996276855,2001-07-12
8.944734573364258,2001-07-13
8.686713218688965,2001-07-16
8.635108947753906,2001-07-17
8.622209548950195,2001-07-18
8.600707054138184,2001-07-19
8.600707054138184,2001-07-20
8.55770492553711,2001-07-23
8.002957344055176,2001-07-24
8.123372077941895,2001-07-25
8.10616397857666,2001-07-26
8.174964904785156,2001-07-27
8.342686653137207,2001-07-30
8.55770492553711,2001-07-31
8.579205513000488,2001-08-01
8.364189147949219,2001-08-02
8.600707054138184,2001-08-03
8.514697074890137,2001-08-06
8.471699714660645,2001-08-07
8.47599983215332,2001-08-08
8.398591995239258,2001-08-09
8.66520881652832,2001-08-10
8.751220703125,2001-08-13
8.686713218688965,2001-08-14
8.596405029296875,2001-08-15
8.587803840637207,2001-08-16
8.514697074890137,2001-08-17
8.574902534484863,2001-08-20
8.596405029296875,2001-08-21
8.531901359558105,2001-08-22
8.480297088623047,2001-08-23
8.42009162902832,2001-08-24
8.600707054138184,2001-08-27
8.626510620117188,2001-08-28
8.703917503356934,2001-08-29
8.55770492553711,2001-08-30
8.536202430725098,2001-08-31
8.600707054138184,2001-09-04
8.630807876586914,2001-09-05
8.579205513000488,2001-09-06
8.278179168701172,2001-09-07
8.213676452636719,2001-09-10
7.697633266448975,2001-09-17
7.405209541320801,2001-09-18
7.246095657348633,2001-09-19
6.992373943328857,2001-09-20
7.09558629989624,2001-09-21
7.284797668457031,2001-09-24
7.332103252410889,2001-09-25
6.9321699142456055,2001-09-26
7.224595546722412,2001-09-27
6.96657133102417,2001-09-28
6.9149699211120605,2001-10-01
7.13858699798584,2001-10-02
7.310600280761719,2001-10-03
7.349306106567383,2001-10-04
7.254696369171143,2001-10-05
7.147186279296875,2001-10-08
7.250391483306885,2001-10-09
7.3966064453125,2001-10-10
7.538519859313965,2001-10-11
7.486910820007324,2001-10-12
7.2675981521606445,2001-10-15
7.646029472351074,2001-10-16
7.590123176574707,2001-10-17
7.615927696228027,2001-10-18
7.461113452911377,2001-10-19
7.289096832275391,2001-10-22
7.310600280761719,2001-10-23
7.3708086013793945,2001-10-24
7.486910820007324,2001-10-25
7.547122478485107,2001-10-26
7.284797668457031,2001-10-29
7.203090667724609,2001-10-30
7.043982982635498,2001-10-31
6.9020676612854,2001-11-01
6.644044876098633,2001-11-02
6.79885721206665,2001-11-05
7.117082118988037,2001-11-06
7.293396949768066,2001-11-07
7.207395076751709,2001-11-08
7.323504447937012,2001-11-09
7.160091876983643,2001-11-12
7.310600280761719,2001-11-13
7.431011199951172,2001-11-14
7.680431365966797,2001-11-15
