BKR,Date
17.934112548828125,2009-07-08
18.084821701049805,2009-07-09
17.94450569152832,2009-07-10
18.277099609375,2009-07-13
18.739612579345703,2009-07-14
19.45676612854004,2009-07-15
19.778972625732422,2009-07-16
20.033611297607422,2009-07-17
20.490924835205078,2009-07-20
20.53770637512207,2009-07-21
20.267467498779297,2009-07-22
21.234071731567383,2009-07-23
21.545879364013672,2009-07-24
21.3847713470459,2009-07-27
20.82352638244629,2009-07-28
20.231094360351562,2009-07-29
20.87276268005371,2009-07-30
21.128395080566406,2009-07-31
22.051790237426758,2009-08-03
21.895273208618164,2009-08-04
20.17891502380371,2009-08-05
19.85025978088379,2009-08-06
19.495506286621094,2009-08-07
19.41204261779785,2009-08-10
19.17206573486328,2009-08-11
19.203365325927734,2009-08-12
19.77200698852539,2009-08-13
19.28683090209961,2009-08-14
18.509517669677734,2009-08-17
19.099027633666992,2009-08-18
19.354658126831055,2009-08-19
19.620716094970703,2009-08-20
20.1945743560791,2009-08-21
20.439767837524414,2009-08-24
19.980682373046875,2009-08-25
20.001554489135742,2009-08-26
19.871124267578125,2009-08-27
19.871124267578125,2009-08-28
17.972183227539062,2009-08-31
18.48343849182129,2009-09-01
18.264328002929688,2009-09-02
18.587772369384766,2009-09-03
18.582550048828125,2009-09-04
18.843393325805664,2009-09-08
18.655593872070312,2009-09-09
18.958162307739258,2009-09-10
19.605060577392578,2009-09-11
19.980682373046875,2009-09-14
20.22065544128418,2009-09-15
20.799732208251953,2009-09-16
21.274463653564453,2009-09-17
22.95950698852539,2009-09-18
22.484783172607422,2009-09-21
22.923015594482422,2009-09-22
22.620431900024414,2009-09-23
22.036134719848633,2009-09-24
22.103944778442383,2009-09-25
22.58911895751953,2009-09-28
22.448265075683594,2009-09-29
22.255245208740234,2009-09-30
21.72834014892578,2009-10-01
21.21186065673828,2009-10-02
21.78572654724121,2009-10-05
22.26567840576172,2009-10-06
22.782150268554688,2009-10-07
23.46556282043457,2009-10-08
23.41339683532715,2009-10-09
23.663808822631836,2009-10-12
23.49164581298828,2009-10-13
24.10723114013672,2009-10-14
24.868906021118164,2009-10-15
24.535015106201172,2009-10-16
24.696748733520508,2009-10-19
24.248088836669922,2009-10-20
24.30026626586914,2009-10-21
24.467205047607422,2009-10-22
23.663808822631836,2009-10-23
23.069074630737305,2009-10-26
22.996044158935547,2009-10-27
21.973527908325195,2009-10-28
23.1672420501709,2009-10-29
22.025890350341797,2009-10-30
22.09917640686035,2009-11-02
22.737924575805664,2009-11-03
21.408096313476562,2009-11-04
22.052059173583984,2009-11-05
21.5599308013916,2009-11-06
22.544206619262695,2009-11-09
22.251018524169922,2009-11-10
22.627971649169922,2009-11-11
21.690813064575195,2009-11-12
21.7012882232666,2009-11-13
22.6908016204834,2009-11-16
22.544206619262695,2009-11-17
22.09917640686035,2009-11-18
21.5599308013916,2009-11-19
21.198671340942383,2009-11-20
21.449989318847656,2009-11-23
21.465679168701172,2009-11-24
21.774587631225586,2009-11-25
21.13060760498047,2009-11-27
