SLB,Date
13.768099784851074,2002-09-17
13.678699493408203,2002-09-18
13.033012390136719,2002-09-19
12.996586799621582,2002-09-20
13.003207206726074,2002-09-23
12.615791320800781,2002-09-24
12.844266891479492,2002-09-25
13.576055526733398,2002-09-26
13.185324668884277,2002-09-27
12.734997749328613,2002-09-30
13.383997917175293,2002-10-01
12.983339309692383,2002-10-02
12.930362701416016,2002-10-03
12.307849884033203,2002-10-04
12.211819648742676,2002-10-07
11.989968299865723,2002-10-08
11.347594261169434,2002-10-09
11.612493515014648,2002-10-10
12.142284393310547,2002-10-11
12.443613052368164,2002-10-14
12.943604469299316,2002-10-15
12.509830474853516,2002-10-16
12.483343124389648,2002-10-17
13.473398208618164,2002-10-18
13.26810359954834,2002-10-21
13.377373695373535,2002-10-22
14.191938400268555,2002-10-23
13.632336616516113,2002-10-24
13.115788459777832,2002-10-25
13.095926284790039,2002-10-28
12.768107414245605,2002-10-29
13.480027198791504,2002-10-30
13.281352996826172,2002-10-31
13.893930435180664,2002-11-01
13.615784645080566,2002-11-04
13.923734664916992,2002-11-05
14.331008911132812,2002-11-06
13.976712226867676,2002-11-07
13.950220108032227,2002-11-08
13.549562454223633,2002-11-11
13.503203392028809,2002-11-12
13.109170913696289,2002-11-13
13.682010650634766,2002-11-14
13.860816955566406,2002-11-15
13.824392318725586,2002-11-18
13.764788627624512,2002-11-19
14.072735786437988,2002-11-20
14.529690742492676,2002-11-21
14.403861999511719,2002-11-22
14.278032302856445,2002-11-25
13.913790702819824,2002-11-26
14.387300491333008,2002-11-27
14.65220832824707,2002-11-29
15.268095970153809,2002-12-02
15.16544246673584,2002-12-03
14.956835746765137,2002-12-04
15.119087219238281,2002-12-05
15.29127025604248,2002-12-06
14.903853416442871,2002-12-09
14.966772079467773,2002-12-10
14.854193687438965,2002-12-11
14.943582534790039,2002-12-12
14.69021987915039,2002-12-13
15.062629699707031,2002-12-16
14.803269386291504,2002-12-17
14.464116096496582,2002-12-18
14.317809104919434,2002-12-19
14.570523262023926,2002-12-20
14.550573348999023,2002-12-23
14.30783748626709,2002-12-24
14.214719772338867,2002-12-26
13.938743591308594,2002-12-27
13.872249603271484,2002-12-30
13.995274543762207,2002-12-31
14.331106185913086,2003-01-02
14.231361389160156,2003-01-03
14.098357200622559,2003-01-06
13.533086776733398,2003-01-07
13.666095733642578,2003-01-08
13.91214656829834,2003-01-09
13.888875961303711,2003-01-10
13.71264934539795,2003-01-13
13.589617729187012,2003-01-14
13.732589721679688,2003-01-15
13.922128677368164,2003-01-16
13.536417961120605,2003-01-17
12.884696960449219,2003-01-21
12.655271530151367,2003-01-22
12.784945487976074,2003-01-23
12.422513008117676,2003-01-24
11.993574142456055,2003-01-27
12.18310546875,2003-01-28
12.522260665893555,2003-01-29
12.339385986328125,2003-01-30
12.535562515258789,2003-01-31
12.53223705291748,2003-02-03
12.738393783569336,2003-02-04
12.67189884185791,2003-02-05
12.708465576171875,2003-02-06
12.475711822509766,2003-02-07
12.987777709960938,2003-02-10
12.967825889587402,2003-02-11
12.758341789245605,2003-02-12
12.625343322753906,2003-02-13
12.927926063537598,2003-02-14
13.241328239440918,2003-02-18
13.31149959564209,2003-02-19
13.535362243652344,2003-02-20
14.016502380371094,2003-02-21
14.133440971374512,2003-02-24
13.632257461547852,2003-02-25
13.882854461669922,2003-02-26
13.652303695678711,2003-02-27
13.902897834777832,2003-02-28
13.816022872924805,2003-03-03
13.532022476196289,2003-03-04
13.42176342010498,2003-03-05
13.685724258422852,2003-03-06
13.411737442016602,2003-03-07
13.047541618347168,2003-03-10
12.703394889831543,2003-03-11
12.536332130432129,2003-03-12
12.686687469482422,2003-03-13
12.59981632232666,2003-03-14
12.723442077636719,2003-03-17
13.19789981842041,2003-03-18
13.127730369567871,2003-03-19
13.344908714294434,2003-03-20
13.004108428955078,2003-03-21
12.71341609954834,2003-03-24
12.76353645324707,2003-03-25
12.730123519897461,2003-03-26
12.833702087402344,2003-03-27
13.040855407714844,2003-03-28
12.700053215026855,2003-03-31
12.947303771972656,2003-04-01
12.810310363769531,2003-04-02
12.643245697021484,2003-04-03
12.603153228759766,2003-04-04
12.59312915802002,2003-04-07
12.543008804321289,2003-04-08
12.596467971801758,2003-04-09
12.943962097167969,2003-04-10
12.720096588134766,2003-04-11
12.813655853271484,2003-04-14
12.616517066955566,2003-04-15
12.499577522277832,2003-04-16
12.990741729736328,2003-04-17
13.12104606628418,2003-04-21
13.244675636291504,2003-04-22
13.919594764709473,2003-04-23
13.986428260803223,2003-04-24
13.869478225708008,2003-04-25
13.949675559997559,2003-04-28
13.799315452575684,2003-04-29
14.009819030761719,2003-04-30
14.076643943786621,2003-05-01
14.497640609741211,2003-05-02
14.587848663330078,2003-05-05
14.938675880432129,2003-05-06
15.062311172485352,2003-05-07
14.841791152954102,2003-05-08
15.028892517089844,2003-05-09
15.205974578857422,2003-05-12
15.352999687194824,2003-05-13
15.653707504272461,2003-05-14
15.663734436035156,2003-05-15
15.837471961975098,2003-05-16
15.687127113342285,2003-05-19
15.570170402526855,2003-05-20
15.870894432067871,2003-05-21
15.747270584106445,2003-05-22
15.763964653015137,2003-05-23
16.181621551513672,2003-05-27
15.964438438415527,2003-05-28
15.80740737915039,2003-05-29
16.245100021362305,2003-05-30
16.22096061706543,2003-06-02
16.066667556762695,2003-06-03
15.818458557128906,2003-06-04
15.882176399230957,2003-06-05
15.892245292663574,2003-06-06
15.979456901550293,2003-06-09
16.13374137878418,2003-06-10
16.697254180908203,2003-06-11
16.553024291992188,2003-06-12
16.163942337036133,2003-06-13
16.116975784301758,2003-06-16
15.935845375061035,2003-06-17
15.845284461975098,2003-06-18
16.05324935913086,2003-06-19
15.855347633361816,2003-06-20
15.848637580871582,2003-06-23
15.932502746582031,2003-06-24
16.150510787963867,2003-06-25
16.019697189331055,2003-06-26
15.996228218078613,2003-06-27
15.955977439880371,2003-06-30
16.049888610839844,2003-07-01
16.106918334960938,2003-07-02
16.11362075805664,2003-07-03
15.932502746582031,2003-07-07
15.955977439880371,2003-07-08
16.120332717895508,2003-07-09
15.647390365600586,2003-07-10
15.862049102783203,2003-07-11
15.546754837036133,2003-07-14
15.4796781539917,2003-07-15
15.328741073608398,2003-07-16
15.4058837890625,2003-07-17
15.919076919555664,2003-07-18
15.808395385742188,2003-07-21
15.563528060913086,2003-07-22
15.265002250671387,2003-07-23
15.100651741027832,2003-07-24
15.338801383972168,2003-07-25
15.4796781539917,2003-07-28
15.036922454833984,2003-07-29
15.057049751281738,2003-07-30
15.117425918579102,2003-07-31
15.268362998962402,2003-08-01
15.13084602355957,2003-08-04
14.973190307617188,2003-08-05
15.2616548538208,2003-08-06
15.617205619812012,2003-08-07
15.607138633728027,2003-08-08
15.73795223236084,2003-08-11
15.805034637451172,2003-08-12
15.888885498046875,2003-08-13
15.939192771911621,2003-08-14
15.848637580871582,2003-08-15
16.08342933654785,2003-08-18
16.157224655151367,2003-08-19
16.39872932434082,2003-08-20
16.519479751586914,2003-08-21
16.247791290283203,2003-08-22
15.982810020446777,2003-08-25
16.070024490356445,2003-08-26
15.952616691589355,2003-08-27
16.59663200378418,2003-08-28
16.670032501220703,2003-08-29
16.602691650390625,2003-09-02
16.44108009338379,2003-09-03
16.084169387817383,2003-09-04
16.31313133239746,2003-09-05
16.66330337524414,2003-09-08
16.48484992980957,2003-09-09
16.205379486083984,2003-09-10
16.195281982421875,2003-09-11
16.272716522216797,2003-09-12
16.195281982421875,2003-09-15
16.296295166015625,2003-09-16
16.245790481567383,2003-09-17
16.582489013671875,2003-09-18
17.1683406829834,2003-09-19
17.195281982421875,2003-09-22
17.070711135864258,2003-09-23
17.148141860961914,2003-09-24
16.629629135131836,2003-09-25
16.404035568237305,2003-09-26
16.558917999267578,2003-09-29
16.296295166015625,2003-09-30
16.659927368164062,2003-10-01
16.723901748657227,2003-10-02
16.8619441986084,2003-10-03
16.956214904785156,2003-10-06
16.993261337280273,2003-10-07
17.003360748291016,2003-10-08
16.9427547454834,2003-10-09
17.101009368896484,2003-10-10
16.993261337280273,2003-10-13
16.888883590698242,2003-10-14
16.585861206054688,2003-10-15
16.848482131958008,2003-10-16
16.666667938232422,2003-10-17
16.781143188476562,2003-10-20
17.29291534423828,2003-10-21
16.144773483276367,2003-10-22
16.16161346435547,2003-10-23
15.86195182800293,2003-10-24
15.835014343261719,2003-10-27
15.909090995788574,2003-10-28
15.656561851501465,2003-10-29
15.572391510009766,2003-10-30
15.814812660217285,2003-10-31
15.538715362548828,2003-11-03
15.65992546081543,2003-11-04
15.723898887634277,2003-11-05
15.703697204589844,2003-11-06
15.696961402893066,2003-11-07
15.521879196166992,2003-11-10
15.585850715637207,2003-11-11
15.720532417297363,2003-11-12
16.03366470336914,2003-11-13
16.02692985534668,2003-11-14
15.814812660217285,2003-11-17
15.528610229492188,2003-11-18
15.66666030883789,2003-11-19
15.643096923828125,2003-11-20
15.575752258300781,2003-11-21
15.585850715637207,2003-11-24
15.700335502624512,2003-11-25
15.791241645812988,2003-11-26
15.7979736328125,2003-11-28
15.737372398376465,2003-12-01
16.111108779907227,2003-12-02
15.90572452545166,2003-12-03
16.218847274780273,2003-12-04
16.57912254333496,2003-12-05
16.740737915039062,2003-12-08
16.77104377746582,2003-12-09
16.828271865844727,2003-12-10
16.85857391357422,2003-12-11
17.14476776123047,2003-12-12
16.961605072021484,2003-12-15
17.019052505493164,2003-12-16
17.032581329345703,2003-12-17
17.826753616333008,2003-12-18
17.955171585083008,2003-12-19
18.468856811523438,2003-12-22
18.249191284179688,2003-12-23
18.573619842529297,2003-12-24
18.6817626953125,2003-12-26
18.813566207885742,2003-12-29
18.769628524780273,2003-12-30
18.492517471313477,2003-12-31
18.472230911254883,2004-01-02
18.759483337402344,2004-01-05
18.556724548339844,2004-01-06
18.09711265563965,2004-01-07
18.19849395751953,2004-01-08
18.249191284179688,2004-01-09
18.029518127441406,2004-01-12
18.08021354675293,2004-01-13
17.985591888427734,2004-01-14
17.806480407714844,2004-01-15
18.212011337280273,2004-01-16
18.800045013427734,2004-01-20
18.941974639892578,2004-01-21
18.783143997192383,2004-01-22
20.199155807495117,2004-01-23
20.63510513305664,2004-01-26
20.952775955200195,2004-01-27
20.90207862854004,2004-01-28
20.89194679260254,2004-01-29
20.675661087036133,2004-01-30
20.817602157592773,2004-02-02
20.82773780822754,2004-02-03
20.844633102416992,2004-02-04
20.564136505126953,2004-02-05
20.68917465209961,2004-02-06
20.9967041015625,2004-02-09
21.446170806884766,2004-02-10
21.44955825805664,2004-02-11
21.621910095214844,2004-02-12
