CMA,Date
32.690574645996094,2002-05-17
32.47407531738281,2002-05-20
32.47407531738281,2002-05-21
32.604976654052734,2002-05-22
32.87685012817383,2002-05-23
32.7509765625,2002-05-24
32.348209381103516,2002-05-28
32.323020935058594,2002-05-29
32.18708419799805,2002-05-30
32.272674560546875,2002-05-31
32.036041259765625,2002-06-03
31.683612823486328,2002-06-04
32.02095031738281,2002-06-05
31.26068878173828,2002-06-06
31.502349853515625,2002-06-07
31.839696884155273,2002-06-10
31.441944122314453,2002-06-11
31.584009170532227,2002-06-12
30.949800491333008,2002-06-13
31.1781005859375,2002-06-14
31.969615936279297,2002-06-17
32.121826171875,2002-06-18
31.97977066040039,2002-06-19
31.86306381225586,2002-06-20
31.634733200073242,2002-06-21
31.660110473632812,2002-06-24
31.50790023803711,2002-06-25
30.934574127197266,2002-06-26
31.03096580505371,2002-06-27
31.152748107910156,2002-06-28
31.183181762695312,2002-07-01
31.010679244995117,2002-07-02
30.574342727661133,2002-07-03
31.558635711669922,2002-07-05
31.903661727905273,2002-07-08
31.406442642211914,2002-07-09
30.543888092041016,2002-07-10
30.559120178222656,2002-07-11
29.864023208618164,2002-07-12
29.52913475036621,2002-07-15
29.01669692993164,2002-07-16
29.15876579284668,2002-07-17
27.418472290039062,2002-07-18
27.007495880126953,2002-07-19
26.28196144104004,2002-07-22
25.495525360107422,2002-07-23
27.119129180908203,2002-07-24
27.027803421020508,2002-07-25
27.692441940307617,2002-07-26
29.280534744262695,2002-07-29
29.168912887573242,2002-07-30
29.508838653564453,2002-07-31
29.163833618164062,2002-08-01
28.72241973876953,2002-08-02
27.717815399169922,2002-08-05
28.372339248657227,2002-08-06
28.41800308227539,2002-08-07
30.0618953704834,2002-08-08
30.112634658813477,2002-08-09
29.57988739013672,2002-08-12
29.05731773376465,2002-08-13
29.21457290649414,2002-08-14
29.42767906188965,2002-08-15
29.488561630249023,2002-08-16
29.884328842163086,2002-08-19
29.331275939941406,2002-08-20
29.534212112426758,2002-08-21
30.006078720092773,2002-08-22
29.49869728088379,2002-08-23
29.843713760375977,2002-08-26
29.88937759399414,2002-08-27
29.47333526611328,2002-08-28
29.539304733276367,2002-08-29
29.681364059448242,2002-08-30
28.808666229248047,2002-09-03
28.98118782043457,2002-09-04
29.01669692993164,2002-09-05
29.36678695678711,2002-09-06
29.544384002685547,2002-09-09
28.768077850341797,2002-09-10
28.55316734313965,2002-09-11
27.529756546020508,2002-09-12
27.376253128051758,2002-09-13
27.642333984375,2002-09-16
27.893075942993164,2002-09-17
27.565576553344727,2002-09-18
26.12258529663086,2002-09-19
26.035587310791016,2002-09-20
25.518760681152344,2002-09-23
24.270185470581055,2002-09-24
25.001935958862305,2002-09-25
25.989521026611328,2002-09-26
24.971237182617188,2002-09-27
24.674449920654297,2002-09-30
25.682493209838867,2002-10-01
