FWONK,Date
20.530973434448242,2016-08-26
20.796459197998047,2016-08-29
21.022615432739258,2016-08-30
20.904621124267578,2016-08-31
20.806293487548828,2016-09-01
21.327434539794922,2016-09-02
21.297935485839844,2016-09-06
21.33726692199707,2016-09-07
21.278268814086914,2016-09-08
22.09439468383789,2016-09-09
23.31366729736328,2016-09-12
26.843658447265625,2016-09-13
26.489675521850586,2016-09-14
26.696165084838867,2016-09-15
26.696165084838867,2016-09-16
27.472959518432617,2016-09-19
28.269420623779297,2016-09-20
28.78072738647461,2016-09-21
28.908554077148438,2016-09-22
28.131759643554688,2016-09-23
27.33530044555664,2016-09-26
27.413963317871094,2016-09-27
28.043264389038086,2016-09-28
27.649951934814453,2016-09-29
27.66961669921875,2016-09-30
28.131759643554688,2016-10-03
28.131759643554688,2016-10-04
28.072763442993164,2016-10-05
27.77777862548828,2016-10-06
28.33824920654297,2016-10-07
28.711898803710938,2016-10-10
28.86922264099121,2016-10-11
28.220256805419922,2016-10-12
26.764995574951172,2016-10-13
27.07964515686035,2016-10-14
27.187807083129883,2016-10-17
27.118976593017578,2016-10-18
27.118976593017578,2016-10-19
27.33530044555664,2016-10-20
27.56145477294922,2016-10-21
27.620452880859375,2016-10-24
27.502458572387695,2016-10-25
27.09931182861328,2016-10-26
26.371681213378906,2016-10-27
26.283185958862305,2016-10-28
26.951818466186523,2016-10-31
26.361848831176758,2016-11-01
26.33234977722168,2016-11-02
26.155359268188477,2016-11-03
26.420846939086914,2016-11-04
27.177974700927734,2016-11-07
27.394296646118164,2016-11-08
27.738445281982422,2016-11-09
27.649951934814453,2016-11-10
28.78072738647461,2016-11-11
29.596853256225586,2016-11-14
30.363815307617188,2016-11-15
30.99311637878418,2016-11-16
32.045230865478516,2016-11-17
32.39921188354492,2016-11-18
31.278268814086914,2016-11-21
30.7866268157959,2016-11-22
31.189773559570312,2016-11-23
31.268436431884766,2016-11-25
30.86528968811035,2016-11-28
30.904621124267578,2016-11-29
30.629301071166992,2016-11-30
29.862340927124023,2016-12-01
30.137659072875977,2016-12-02
30.717796325683594,2016-12-05
30.66863250732422,2016-12-06
30.521141052246094,2016-12-07
30.501474380493164,2016-12-08
30.678466796875,2016-12-09
29.98033332824707,2016-12-12
30.285152435302734,2016-12-13
30.01966667175293,2016-12-14
30.0884952545166,2016-12-15
30.511308670043945,2016-12-16
30.599803924560547,2016-12-19
30.99311637878418,2016-12-20
30.5899715423584,2016-12-21
30.639135360717773,2016-12-22
30.98328399658203,2016-12-23
31.179941177368164,2016-12-27
31.140609741210938,2016-12-28
31.396263122558594,2016-12-29
30.806293487548828,2016-12-30
30.973451614379883,2017-01-03
31.258604049682617,2017-01-04
31.583087921142578,2017-01-05
31.120943069458008,2017-01-06
30.147493362426758,2017-01-09
30.294984817504883,2017-01-10
30.521141052246094,2017-01-11
29.53785514831543,2017-01-12
