NI,Date
2.3633768558502197,1996-01-08
2.378722906112671,1996-01-09
2.378722906112671,1996-01-10
2.371048927307129,1996-01-11
2.371048927307129,1996-01-12
2.378722906112671,1996-01-15
2.378722906112671,1996-01-16
2.378722906112671,1996-01-17
2.378722906112671,1996-01-18
2.371048927307129,1996-01-19
2.3633768558502197,1996-01-22
2.3633768558502197,1996-01-23
2.371048927307129,1996-01-24
2.3633768558502197,1996-01-25
2.3557026386260986,1996-01-26
2.3740122318267822,1996-01-29
2.358494997024536,1996-01-30
2.36625337600708,1996-01-31
2.3740122318267822,1996-02-01
2.350736141204834,1996-02-02
2.342979669570923,1996-02-05
2.350736141204834,1996-02-06
2.358494997024536,1996-02-07
2.36625337600708,1996-02-08
2.36625337600708,1996-02-09
2.3895275592803955,1996-02-12
2.3972885608673096,1996-02-13
2.3972885608673096,1996-02-14
2.3895275592803955,1996-02-15
2.3895275592803955,1996-02-16
2.3740122318267822,1996-02-20
2.3740122318267822,1996-02-21
2.358494997024536,1996-02-22
2.36625337600708,1996-02-23
2.350736141204834,1996-02-26
2.350736141204834,1996-02-27
2.350736141204834,1996-02-28
2.342979669570923,1996-02-29
2.342979669570923,1996-03-01
2.36625337600708,1996-03-04
2.358494997024536,1996-03-05
2.350736141204834,1996-03-06
2.342979669570923,1996-03-07
2.288670539855957,1996-03-08
2.280914783477783,1996-03-11
2.2421226501464844,1996-03-12
2.234365224838257,1996-03-13
2.2498815059661865,1996-03-14
2.2421226501464844,1996-03-15
2.280914783477783,1996-03-18
2.2731552124023438,1996-03-19
2.2731552124023438,1996-03-20
2.280914783477783,1996-03-21
2.2731552124023438,1996-03-22
2.2731552124023438,1996-03-25
2.327462673187256,1996-03-26
2.319705009460449,1996-03-27
2.304187536239624,1996-03-28
2.3119471073150635,1996-03-29
2.327462673187256,1996-04-01
2.350736141204834,1996-04-02
2.335219621658325,1996-04-03
2.350736141204834,1996-04-04
2.2964296340942383,1996-04-08
2.2964296340942383,1996-04-09
2.265397071838379,1996-04-10
2.2498815059661865,1996-04-11
2.257639169692993,1996-04-12
2.2498815059661865,1996-04-15
2.2498815059661865,1996-04-16
2.2421226501464844,1996-04-17
2.2731552124023438,1996-04-18
2.280914783477783,1996-04-19
2.2731552124023438,1996-04-22
2.257639169692993,1996-04-23
2.265397071838379,1996-04-24
2.2498815059661865,1996-04-25
2.252706527709961,1996-04-26
2.2841029167175293,1996-04-29
2.252706527709961,1996-04-30
2.2684051990509033,1996-05-01
2.252706527709961,1996-05-02
2.221309185028076,1996-05-03
2.221309185028076,1996-05-06
2.2370080947875977,1996-05-07
2.2684051990509033,1996-05-08
2.3076508045196533,1996-05-09
2.3468964099884033,1996-05-10
2.3468964099884033,1996-05-13
2.362593650817871,1996-05-14
2.3704428672790527,1996-05-15
2.378293037414551,1996-05-16
2.354745626449585,1996-05-17
2.3861424922943115,1996-05-20
2.3704428672790527,1996-05-21
2.378293037414551,1996-05-22
2.3704428672790527,1996-05-23
2.378293037414551,1996-05-24
2.3861424922943115,1996-05-28
2.354745626449585,1996-05-29
2.3704428672790527,1996-05-30
2.339047431945801,1996-05-31
2.323348045349121,1996-06-03
2.3468964099884033,1996-06-04
2.3468964099884033,1996-06-05
2.354745626449585,1996-06-06
2.331197500228882,1996-06-07
2.3076508045196533,1996-06-10
2.331197500228882,1996-06-11
2.323348045349121,1996-06-12
2.315499782562256,1996-06-13
2.3076508045196533,1996-06-14
2.299801826477051,1996-06-17
2.315499782562256,1996-06-18
2.315499782562256,1996-06-19
2.331197500228882,1996-06-20
2.339047431945801,1996-06-21
2.339047431945801,1996-06-24
2.3468964099884033,1996-06-25
2.3704428672790527,1996-06-26
2.4018404483795166,1996-06-27
2.5274264812469482,1996-06-28
2.48818039894104,1996-07-01
2.4803307056427,1996-07-02
2.4803307056427,1996-07-03
2.456784248352051,1996-07-05
2.441086530685425,1996-07-08
2.441086530685425,1996-07-09
2.4489355087280273,1996-07-10
2.441086530685425,1996-07-11
2.4489355087280273,1996-07-12
2.456784248352051,1996-07-15
2.4489355087280273,1996-07-16
2.4489355087280273,1996-07-17
2.441086530685425,1996-07-18
2.433236837387085,1996-07-19
