ES,Date
4.073271751403809,1986-05-13
4.048732757568359,1986-05-14
4.024193286895752,1986-05-15
3.9505796432495117,1986-05-16
3.9260411262512207,1986-05-19
3.9751198291778564,1986-05-20
3.9505796432495117,1986-05-21
3.9505796432495117,1986-05-22
3.9596030712127686,1986-05-23
3.984663724899292,1986-05-27
4.009725093841553,1986-05-28
3.984663724899292,1986-05-29
3.984663724899292,1986-05-30
3.9345414638519287,1986-06-02
3.884423017501831,1986-06-03
3.8092377185821533,1986-06-04
3.8092377185821533,1986-06-05
3.7841761112213135,1986-06-06
3.708994150161743,1986-06-09
3.708994150161743,1986-06-10
3.6087534427642822,1986-06-11
3.859360933303833,1986-06-12
3.9596030712127686,1986-06-13
4.059845447540283,1986-06-16
4.185149192810059,1986-06-17
4.160090446472168,1986-06-18
4.185149192810059,1986-06-19
4.185149192810059,1986-06-20
4.210209369659424,1986-06-23
4.2603325843811035,1986-06-24
4.310452461242676,1986-06-25
4.3355183601379395,1986-06-26
4.3355183601379395,1986-06-27
4.3355183601379395,1986-06-30
4.3355183601379395,1986-07-01
4.3856377601623535,1986-07-02
4.3856377601623535,1986-07-03
4.3355183601379395,1986-07-07
4.2603325843811035,1986-07-08
4.3355183601379395,1986-07-09
4.410696983337402,1986-07-10
4.586124897003174,1986-07-11
4.611185073852539,1986-07-14
4.536001205444336,1986-07-15
4.611185073852539,1986-07-16
4.711427211761475,1986-07-17
4.661304950714111,1986-07-18
4.661304950714111,1986-07-21
4.811669826507568,1986-07-22
4.811669826507568,1986-07-23
4.962032794952393,1986-07-24
5.087336540222168,1986-07-25
5.012155532836914,1986-07-28
4.886851787567139,1986-07-29
4.886851787567139,1986-07-30
4.911914348602295,1986-07-31
4.911914348602295,1986-08-01
4.861792087554932,1986-08-04
4.93697452545166,1986-08-05
5.012155532836914,1986-08-06
5.087336540222168,1986-08-07
5.087336540222168,1986-08-08
5.187582969665527,1986-08-11
5.162520408630371,1986-08-12
5.187582969665527,1986-08-13
5.162520408630371,1986-08-14
5.212641716003418,1986-08-15
5.337946891784668,1986-08-18
5.413126468658447,1986-08-19
5.613615036010742,1986-08-20
5.613615036010742,1986-08-21
5.563495635986328,1986-08-22
5.394531726837158,1986-08-25
5.394531726837158,1986-08-26
5.394531726837158,1986-08-27
5.445422649383545,1986-08-28
5.445422649383545,1986-08-29
5.369087219238281,1986-09-02
5.190965175628662,1986-09-03
5.292749404907227,1986-09-04
5.1655168533325195,1986-09-05
5.140071392059326,1986-09-08
5.114627838134766,1986-09-09
5.038287162780762,1986-09-10
4.732937335968018,1986-09-11
4.758387088775635,1986-09-12
4.834722518920898,1986-09-15
4.936506271362305,1986-09-16
4.885614395141602,1986-09-17
4.758387088775635,1986-09-18
4.860169410705566,1986-09-19
4.911059379577637,1986-09-22
4.860169410705566,1986-09-23
4.961950778961182,1986-09-24
4.961950778961182,1986-09-25
4.911059379577637,1986-09-26
4.885614395141602,1986-09-29
4.987399101257324,1986-09-30
5.089179039001465,1986-10-01
5.089179039001465,1986-10-02
5.114627838134766,1986-10-03
5.1655168533325195,1986-10-06
5.114627838134766,1986-10-07
5.089179039001465,1986-10-08
5.012845516204834,1986-10-09
4.961950778961182,1986-10-10
4.987399101257324,1986-10-13
4.987399101257324,1986-10-14
4.987399101257324,1986-10-15
5.012845516204834,1986-10-16
4.987399101257324,1986-10-17
4.961950778961182,1986-10-20
5.038287162780762,1986-10-21
5.038287162780762,1986-10-22
5.089179039001465,1986-10-23
5.114627838134766,1986-10-24
5.114627838134766,1986-10-27
5.216410160064697,1986-10-28
5.267302989959717,1986-10-29
5.292749404907227,1986-10-30
5.267302989959717,1986-10-31
5.292749404907227,1986-11-03
5.241855621337891,1986-11-04
5.241855621337891,1986-11-05
5.216410160064697,1986-11-06
5.216410160064697,1986-11-07
5.267302989959717,1986-11-10
5.292749404907227,1986-11-11
5.343637943267822,1986-11-12
5.343637943267822,1986-11-13
5.343637943267822,1986-11-14
5.369087219238281,1986-11-17
5.267302989959717,1986-11-18
5.241855621337891,1986-11-19
5.267302989959717,1986-11-20
5.292749404907227,1986-11-21
5.276197910308838,1986-11-24
5.3796515464782715,1986-11-25
5.327920913696289,1986-11-26
5.302061080932617,1986-11-28
5.198607921600342,1986-12-01
5.224466323852539,1986-12-02
5.302061080932617,1986-12-03
5.302061080932617,1986-12-04
5.327920913696289,1986-12-05
5.224466323852539,1986-12-08
5.198607921600342,1986-12-09
5.198607921600342,1986-12-10
5.198607921600342,1986-12-11
5.224466323852539,1986-12-12
5.224466323852539,1986-12-15
5.276197910308838,1986-12-16
5.224466323852539,1986-12-17
5.172741413116455,1986-12-18
5.172741413116455,1986-12-19
5.172741413116455,1986-12-22
5.198607921600342,1986-12-23
5.172741413116455,1986-12-24
5.198607921600342,1986-12-26
5.146878719329834,1986-12-29
4.965832710266113,1986-12-30
5.017560005187988,1986-12-31
5.224466323852539,1987-01-02
5.3796515464782715,1987-01-05
5.405517101287842,1987-01-06
5.4313764572143555,1987-01-07
5.457240104675293,1987-01-08
5.508968830108643,1987-01-09
5.560698509216309,1987-01-12
5.560698509216309,1987-01-13
5.534832000732422,1987-01-14
5.48310661315918,1987-01-15
5.534832000732422,1987-01-16
5.48310661315918,1987-01-19
5.508968830108643,1987-01-20
5.48310661315918,1987-01-21
5.560698509216309,1987-01-22
5.612423419952393,1987-01-23
5.612423419952393,1987-01-26
5.715878963470459,1987-01-27
5.690014362335205,1987-01-28
5.638290882110596,1987-01-29
5.664155006408691,1987-01-30
5.664155006408691,1987-02-02
5.612423419952393,1987-02-03
5.612423419952393,1987-02-04
5.534832000732422,1987-02-05
5.560698509216309,1987-02-06
5.4313764572143555,1987-02-09
5.327920913696289,1987-02-10
5.405517101287842,1987-02-11
5.405517101287842,1987-02-12
5.4313764572143555,1987-02-13
5.534832000732422,1987-02-17
5.508968830108643,1987-02-18
5.457240104675293,1987-02-19
5.457240104675293,1987-02-20
5.365710258483887,1987-02-23
5.39201021194458,1987-02-24
5.39201021194458,1987-02-25
5.365710258483887,1987-02-26
5.260500431060791,1987-02-27
5.260500431060791,1987-03-02
5.365710258483887,1987-03-03
5.365710258483887,1987-03-04
5.418313980102539,1987-03-05
5.44461727142334,1987-03-06
5.44461727142334,1987-03-09
5.418313980102539,1987-03-10
5.365710258483887,1987-03-11
5.365710258483887,1987-03-12
5.470920562744141,1987-03-13
5.39201021194458,1987-03-16
5.365710258483887,1987-03-17
5.339404582977295,1987-03-18
5.365710258483887,1987-03-19
5.418313980102539,1987-03-20
5.418313980102539,1987-03-23
5.44461727142334,1987-03-24
5.470920562744141,1987-03-25
5.549828052520752,1987-03-26
5.549828052520752,1987-03-27
5.44461727142334,1987-03-30
5.418313980102539,1987-03-31
5.234199523925781,1987-04-01
5.234199523925781,1987-04-02
5.286803245544434,1987-04-03
5.234199523925781,1987-04-06
5.234199523925781,1987-04-07
5.155292987823486,1987-04-08
4.8922624588012695,1987-04-09
4.8922624588012695,1987-04-10
4.839656352996826,1987-04-13
4.602937698364258,1987-04-14
4.734450340270996,1987-04-15
4.997473239898682,1987-04-16
5.0500807762146,1987-04-20
5.0500807762146,1987-04-21
4.9711713790893555,1987-04-22
4.918569564819336,1987-04-23
4.734450340270996,1987-04-24
4.813358306884766,1987-04-27
4.8922624588012695,1987-04-28
4.918569564819336,1987-04-29
4.9711713790893555,1987-04-30
4.944871425628662,1987-05-01
4.9711713790893555,1987-05-04
4.997473239898682,1987-05-05
5.1289873123168945,1987-05-06
5.155292987823486,1987-05-07
5.1289873123168945,1987-05-08
5.076382637023926,1987-05-11
5.102683067321777,1987-05-12
4.997473239898682,1987-05-13
5.0500807762146,1987-05-14
4.9711713790893555,1987-05-15
4.944871425628662,1987-05-18
4.734450340270996,1987-05-19
4.734450340270996,1987-05-20
4.655544757843018,1987-05-21
4.734450340270996,1987-05-22
4.882534980773926,1987-05-26
4.855706214904785,1987-05-27
4.828881740570068,1987-05-28
4.855706214904785,1987-05-29
4.748400688171387,1987-06-01
4.694746494293213,1987-06-02
4.8020524978637695,1987-06-03
4.882534980773926,1987-06-04
4.855706214904785,1987-06-05
4.936190605163574,1987-06-08
4.989842414855957,1987-06-09
4.963014602661133,1987-06-10
4.909363269805908,1987-06-11
4.936190605163574,1987-06-12
5.016671657562256,1987-06-15
5.016671657562256,1987-06-16
5.043498992919922,1987-06-17
5.016671657562256,1987-06-18
4.989842414855957,1987-06-19
5.016671657562256,1987-06-22
4.989842414855957,1987-06-23
4.882534980773926,1987-06-24
4.963014602661133,1987-06-25
4.963014602661133,1987-06-26
4.936190605163574,1987-06-29
4.909363269805908,1987-06-30
4.909363269805908,1987-07-01
4.909363269805908,1987-07-02
4.855706214904785,1987-07-06
4.936190605163574,1987-07-07
4.963014602661133,1987-07-08
4.936190605163574,1987-07-09
4.882534980773926,1987-07-10
4.855706214904785,1987-07-13
4.828881740570068,1987-07-14
4.855706214904785,1987-07-15
4.882534980773926,1987-07-16
4.855706214904785,1987-07-17
4.828881740570068,1987-07-20
4.828881740570068,1987-07-21
4.828881740570068,1987-07-22
4.748400688171387,1987-07-23
4.72157096862793,1987-07-24
4.748400688171387,1987-07-27
4.748400688171387,1987-07-28
4.748400688171387,1987-07-29
4.775228977203369,1987-07-30
4.8020524978637695,1987-07-31
4.775228977203369,1987-08-03
4.748400688171387,1987-08-04
4.775228977203369,1987-08-05
4.909363269805908,1987-08-06
4.909363269805908,1987-08-07
4.963014602661133,1987-08-10
5.016671657562256,1987-08-11
5.043498992919922,1987-08-12
5.177634239196777,1987-08-13
5.177634239196777,1987-08-14
5.123976707458496,1987-08-17
5.043498992919922,1987-08-18
5.043498992919922,1987-08-19
5.070324897766113,1987-08-20
5.070324897766113,1987-08-21
5.043498992919922,1987-08-24
5.070324897766113,1987-08-25
4.9478583335876465,1987-08-26
4.838515281677246,1987-08-27
4.893184185028076,1987-08-28
4.893184185028076,1987-08-31
4.78384256362915,1987-09-01
4.811176300048828,1987-09-02
4.78384256362915,1987-09-03
4.811176300048828,1987-09-04
4.78384256362915,1987-09-08
4.811176300048828,1987-09-09
4.756503105163574,1987-09-10
4.756503105163574,1987-09-11
4.756503105163574,1987-09-14
4.756503105163574,1987-09-15
4.756503105163574,1987-09-16
4.78384256362915,1987-09-17
4.78384256362915,1987-09-18
4.756503105163574,1987-09-21
4.838515281677246,1987-09-22
4.811176300048828,1987-09-23
4.756503105163574,1987-09-24
4.78384256362915,1987-09-25
4.838515281677246,1987-09-28
4.811176300048828,1987-09-29
4.838515281677246,1987-09-30
4.893184185028076,1987-10-01
4.920523166656494,1987-10-02
5.057202339172363,1987-10-05
5.002532958984375,1987-10-06
4.975195407867432,1987-10-07
5.002532958984375,1987-10-08
4.9478583335876465,1987-10-09
4.811176300048828,1987-10-12
4.9478583335876465,1987-10-13
5.002532958984375,1987-10-14
4.975195407867432,1987-10-15
4.756503105163574,1987-10-16
4.127771854400635,1987-10-19
4.264454364776611,1987-10-20
4.78384256362915,1987-10-21
4.701833248138428,1987-10-22
4.6198248863220215,1987-10-23
4.40113639831543,1987-10-26
4.59248685836792,1987-10-27
4.537817001342773,1987-10-28
4.537817001342773,1987-10-29
4.59248685836792,1987-10-30
4.565154075622559,1987-11-02
4.565154075622559,1987-11-03
4.537817001342773,1987-11-04
4.647161483764648,1987-11-05
4.701833248138428,1987-11-06
4.647161483764648,1987-11-09
4.59248685836792,1987-11-10
4.647161483764648,1987-11-11
4.701833248138428,1987-11-12
4.729172229766846,1987-11-13
4.701833248138428,1987-11-16
4.674495220184326,1987-11-17
4.674495220184326,1987-11-18
4.59248685836792,1987-11-19
4.6198248863220215,1987-11-20
4.647161483764648,1987-11-23
4.633762359619141,1987-11-24
4.550018310546875,1987-11-25
4.550018310546875,1987-11-27
4.466277122497559,1987-11-30
4.522104740142822,1987-12-01
4.494190692901611,1987-12-02
4.382534027099609,1987-12-03
4.35461950302124,1987-12-04
4.35461950302124,1987-12-07
4.522104740142822,1987-12-08
4.661675930023193,1987-12-09
4.605846881866455,1987-12-10
4.577930927276611,1987-12-11
4.550018310546875,1987-12-14
4.522104740142822,1987-12-15
4.522104740142822,1987-12-16
4.522104740142822,1987-12-17
4.466277122497559,1987-12-18
4.466277122497559,1987-12-21
4.466277122497559,1987-12-22
4.550018310546875,1987-12-23
4.550018310546875,1987-12-24
