BR,Date
34.42097091674805,2014-06-25
34.29438400268555,2014-06-26
34.40408706665039,2014-06-27
35.13826370239258,2014-06-30
35.18043899536133,2014-07-01
34.67412185668945,2014-07-02
35.07072830200195,2014-07-03
34.691001892089844,2014-07-07
34.463165283203125,2014-07-08
34.48848342895508,2014-07-09
34.395660400390625,2014-07-10
34.53911590576172,2014-07-11
34.73319625854492,2014-07-14
34.76696014404297,2014-07-15
34.45471954345703,2014-07-16
33.965293884277344,2014-07-17
34.45471954345703,2014-07-18
34.285953521728516,2014-07-21
34.555992126464844,2014-07-22
34.691001892089844,2014-07-23
34.69944381713867,2014-07-24
34.94416809082031,2014-07-25
34.9779167175293,2014-07-28
34.81757736206055,2014-07-29
34.84290313720703,2014-07-30
34.066551208496094,2014-07-31
34.19313430786133,2014-08-01
34.54755401611328,2014-08-04
34.353458404541016,2014-08-05
34.29438400268555,2014-08-06
33.6530647277832,2014-08-07
34.066551208496094,2014-08-08
34.3197021484375,2014-08-11
34.117183685302734,2014-08-12
34.176265716552734,2014-08-13
34.38721466064453,2014-08-14
34.4462890625,2014-08-15
34.59817886352539,2014-08-18
34.89353561401367,2014-08-19
35.46735382080078,2014-08-20
35.63612365722656,2014-08-21
35.54330062866211,2014-08-22
35.644569396972656,2014-08-25
35.54330062866211,2014-08-26
35.39985275268555,2014-08-27
35.74583053588867,2014-08-28
35.897727966308594,2014-08-29
36.11713790893555,2014-09-02
36.1593132019043,2014-09-03
36.336517333984375,2014-09-04
36.42935562133789,2014-09-05
36.44622039794922,2014-09-08
36.201515197753906,2014-09-09
36.26901626586914,2014-09-10
36.21806716918945,2014-09-11
36.099185943603516,2014-09-12
36.00577926635742,2014-09-15
36.2435417175293,2014-09-16
35.96331787109375,2014-09-17
36.2435417175293,2014-09-18
35.99728012084961,2014-09-19
35.82743835449219,2014-09-22
35.59815979003906,2014-09-23
35.69157409667969,2014-09-24
35.0716552734375,2014-09-25
35.377376556396484,2014-09-26
35.39435958862305,2014-09-29
35.35190200805664,2014-09-30
34.96125793457031,2014-10-01
34.58761215209961,2014-10-02
35.11410903930664,2014-10-03
34.91880798339844,2014-10-06
34.34135055541992,2014-10-07
35.04618835449219,2014-10-08
34.46024703979492,2014-10-09
33.78938674926758,2014-10-10
33.27137756347656,2014-10-13
33.432708740234375,2014-10-14
33.44968795776367,2014-10-15
33.21193313598633,2014-10-16
33.70445251464844,2014-10-17
34.3668327331543,2014-10-20
35.40283966064453,2014-10-21
35.30943298339844,2014-10-22
35.88688278198242,2014-10-23
36.19258499145508,2014-10-24
36.116172790527344,2014-10-27
36.78703689575195,2014-10-28
36.87194061279297,2014-10-29
37.007835388183594,2014-10-30
37.30503845214844,2014-10-31
37.3814582824707,2014-11-03
37.67869567871094,2014-11-04
37.73811340332031,2014-11-05
37.65320587158203,2014-11-06
37.73811340332031,2014-11-07
38.12874221801758,2014-11-10
38.12025833129883,2014-11-11
38.239158630371094,2014-11-12
38.290103912353516,2014-11-13
38.27312088012695,2014-11-14
38.29859161376953,2014-11-17
38.6722412109375,2014-11-18
38.56184387207031,2014-11-19
38.485408782958984,2014-11-20
38.5533447265625,2014-11-21
38.740169525146484,2014-11-24
38.417484283447266,2014-11-25
38.32406234741211,2014-11-26
38.459930419921875,2014-11-28
38.290103912353516,2014-12-01
38.64676284790039,2014-12-02
38.75716018676758,2014-12-03
38.50239562988281,2014-12-04
38.689231872558594,2014-12-05
38.50239562988281,2014-12-08
38.290103912353516,2014-12-09
37.418704986572266,2014-12-10
38.09360885620117,2014-12-11
37.64937210083008,2014-12-12
37.25639343261719,2014-12-15
37.31617736816406,2014-12-16
37.897117614746094,2014-12-17
38.82832336425781,2014-12-18
38.87957000732422,2014-12-19
39.1785774230957,2014-12-22
39.511756896972656,2014-12-23
39.563018798828125,2014-12-24
39.545928955078125,2014-12-26
39.75951385498047,2014-12-29
39.682621002197266,2014-12-30
39.451961517333984,2014-12-31
38.956459045410156,2015-01-02
38.375526428222656,2015-01-05
38.66600036621094,2015-01-06
39.298187255859375,2015-01-07
39.88764953613281,2015-01-08
39.904747009277344,2015-01-09
39.87910461425781,2015-01-12
39.96454620361328,2015-01-13
39.6313591003418,2015-01-14
39.24692153930664,2015-01-15
39.94745635986328,2015-01-16
39.7253303527832,2015-01-20
39.7680549621582,2015-01-21
40.55402755737305,2015-01-22
40.69923782348633,2015-01-23
41.4424934387207,2015-01-26
41.15201950073242,2015-01-27
40.83595275878906,2015-01-28
41.365596771240234,2015-01-29
40.998260498046875,2015-01-30
41.4083251953125,2015-02-02
42.143028259277344,2015-02-03
42.20283126831055,2015-02-04
43.50138473510742,2015-02-05
43.90289306640625,2015-02-06
43.52701187133789,2015-02-09
44.26171112060547,2015-02-10
44.23607635498047,2015-02-11
45.17583084106445,2015-02-12
44.928062438964844,2015-02-13
44.87681198120117,2015-02-17
45.252708435058594,2015-02-18
45.19291687011719,2015-02-19
45.97031784057617,2015-02-20
45.73965835571289,2015-02-23
45.79092788696289,2015-02-24
45.92761993408203,2015-02-25
45.389408111572266,2015-02-26
45.474830627441406,2015-02-27
46.67085647583008,2015-03-02
46.15827178955078,2015-03-03
45.61152648925781,2015-03-04
45.65422439575195,2015-03-05
45.24415969848633,2015-03-06
45.338134765625,2015-03-09
44.33860778808594,2015-03-10
44.24413299560547,2015-03-11
45.20596694946289,2015-03-12
44.53612518310547,2015-03-13
45.41206741333008,2015-03-16
45.62677764892578,2015-03-17
46.391075134277344,2015-03-18
46.33955001831055,2015-03-19
46.3223876953125,2015-03-20
46.16780090332031,2015-03-23
45.807106018066406,2015-03-24
45.111488342285156,2015-03-25
45.30043029785156,2015-03-26
45.953094482421875,2015-03-27
46.820472717285156,2015-03-30
47.24126434326172,2015-03-31
47.14680480957031,2015-04-01
47.601951599121094,2015-04-02
47.687835693359375,2015-04-06
46.777530670166016,2015-04-07
46.863407135009766,2015-04-08
46.58860397338867,2015-04-09
46.502716064453125,2015-04-10
46.38249588012695,2015-04-13
46.305206298828125,2015-04-14
46.27942657470703,2015-04-15
46.18496322631836,2015-04-16
45.16302490234375,2015-04-17
45.64393997192383,2015-04-20
46.02180099487305,2015-04-21
45.987449645996094,2015-04-22
46.26226043701172,2015-04-23
46.87199401855469,2015-04-24
46.17638397216797,2015-04-27
46.545658111572266,2015-04-28
46.708824157714844,2015-04-29
46.305206298828125,2015-04-30
46.6658935546875,2015-05-01
46.62294387817383,2015-05-04
46.227909088134766,2015-05-05
46.18496322631836,2015-05-06
46.459774017333984,2015-05-07
43.82333755493164,2015-05-08
43.99509811401367,2015-05-11
44.16686248779297,2015-05-12
44.25271987915039,2015-05-13
44.40730667114258,2015-05-14
45.30043029785156,2015-05-15
46.18496322631836,2015-05-18
46.51988983154297,2015-05-19
46.8376350402832,2015-05-20
46.51988983154297,2015-05-21
46.442596435546875,2015-05-22
46.2536735534668,2015-05-26
46.992218017578125,2015-05-27
46.863407135009766,2015-05-28
46.52849197387695,2015-05-29
46.614356994628906,2015-06-01
46.21073913574219,2015-06-02
46.5714111328125,2015-06-03
46.038978576660156,2015-06-04
45.987449645996094,2015-06-05
45.351951599121094,2015-06-08
45.15444564819336,2015-06-09
45.34336471557617,2015-06-10
45.489356994628906,2015-06-11
44.7851676940918,2015-06-12
44.56071853637695,2015-06-15
44.811058044433594,2015-06-16
44.690208435058594,2015-06-17
45.15635681152344,2015-06-18
45.018245697021484,2015-06-19
45.44987106323242,2015-06-22
45.15635681152344,2015-06-23
44.56071853637695,2015-06-24
44.50892639160156,2015-06-25
43.749267578125,2015-06-26
43.19679641723633,2015-06-29
43.17089080810547,2015-06-30
44.58662033081055,2015-07-01
44.71611022949219,2015-07-02
44.931915283203125,2015-07-06
45.259952545166016,2015-07-07
44.97507095336914,2015-07-08
45.700199127197266,2015-07-09
46.24404525756836,2015-07-10
46.34764862060547,2015-07-13
46.35626220703125,2015-07-14
46.261314392089844,2015-07-15
46.41669845581055,2015-07-16
45.959171295166016,2015-07-17
46.036869049072266,2015-07-20
45.864234924316406,2015-07-21
45.803794860839844,2015-07-22
46.27857971191406,2015-07-23
45.846954345703125,2015-07-24
45.28583908081055,2015-07-27
45.92464828491211,2015-07-28
46.882843017578125,2015-07-29
46.882843017578125,2015-07-30
46.848323822021484,2015-07-31
46.87421417236328,2015-08-03
46.90876007080078,2015-08-04
46.92600631713867,2015-08-05
46.701560974121094,2015-08-06
48.3848991394043,2015-08-07
49.317203521728516,2015-08-10
48.55754470825195,2015-08-11
48.18635559082031,2015-08-12
48.49711608886719,2015-08-13
48.600711822509766,2015-08-14
48.97190475463867,2015-08-17
48.609344482421875,2015-08-18
48.13456344604492,2015-08-19
46.90876007080078,2015-08-20
45.648406982421875,2015-08-21
44.0255012512207,2015-08-24
43.6888427734375,2015-08-25
45.22541809082031,2015-08-26
46.045501708984375,2015-08-27
46.20952224731445,2015-08-28
45.57072448730469,2015-08-31
44.034141540527344,2015-09-01
44.672935485839844,2015-09-02
44.681583404541016,2015-09-03
43.85286331176758,2015-09-04
45.61387634277344,2015-09-08
45.38079833984375,2015-09-09
45.21678924560547,2015-09-10
45.78981399536133,2015-09-11
45.51197814941406,2015-09-14
45.902671813964844,2015-09-15
47.613067626953125,2015-09-16
47.534915924072266,2015-09-17
47.048728942871094,2015-09-18
47.75198745727539,2015-09-21
47.82143783569336,2015-09-22
47.925628662109375,2015-09-23
47.804080963134766,2015-09-24
48.151363372802734,2015-09-25
47.41338348388672,2015-09-28
47.75198745727539,2015-09-29
48.05586242675781,2015-09-30
47.7259407043457,2015-10-01
49.340824127197266,2015-10-02
49.80966567993164,2015-10-05
49.15849685668945,2015-10-06
49.02826690673828,2015-10-07
49.53182601928711,2015-10-08
49.77493667602539,2015-10-09
49.92253112792969,2015-10-12
49.51446533203125,2015-10-13
49.05431365966797,2015-10-14
49.73151397705078,2015-10-15
50.33058547973633,2015-10-16
50.76470184326172,2015-10-19
50.64314651489258,2015-10-20
50.2350959777832,2015-10-21
51.29430389404297,2015-10-22
51.797874450683594,2015-10-23
51.66764831542969,2015-10-26
51.32903289794922,2015-10-27
