AIG,Date
1004.35791015625,2001-10-29
1009.8140869140625,2001-10-30
974.5989990234375,2001-10-31
996.2986450195312,2001-11-01
1011.7973022460938,2001-11-02
1016.7576293945312,2001-11-05
1027.2972412109375,2001-11-06
1003.9861450195312,2001-11-07
1002.7457275390625,2001-11-08
988.1148681640625,2001-11-09
989.4786987304688,2001-11-12
1003.1179809570312,2001-11-13
1007.333984375,2001-11-14
1016.1376953125,2001-11-15
1005.8458251953125,2001-11-16
1008.07763671875,2001-11-19
1003.7376708984375,2001-11-20
993.1986694335938,2001-11-21
1003.1179809570312,2001-11-23
1003.7376708984375,2001-11-26
1023.7012939453125,2001-11-27
1026.67724609375,2001-11-28
1031.016845703125,2001-11-29
1021.7174072265625,2001-11-30
1013.65771484375,2001-12-03
1016.7576293945312,2001-12-04
1027.5751953125,2001-12-05
1008.9664916992188,2001-12-06
1016.0377807617188,2001-12-07
987.5042114257812,2001-12-10
988.7449951171875,2001-12-11
997.4290161132812,2001-12-12
987.6281127929688,2001-12-13
995.0721435546875,2001-12-14
1004.2518920898438,2001-12-17
1009.8352661132812,2001-12-18
1011.0753784179688,2001-12-19
1000.5306396484375,2001-12-20
992.466796875,2001-12-21
986.2640991210938,2001-12-24
986.2640991210938,2001-12-26
991.3504028320312,2001-12-27
995.1962280273438,2001-12-28
985.0233154296875,2001-12-31
976.959716796875,2002-01-02
974.8504638671875,2002-01-03
965.1740112304688,2002-01-04
952.76806640625,2002-01-07
945.3245849609375,2002-01-08
963.933837890625,2002-01-09
966.4146118164062,2002-01-10
968.275634765625,2002-01-11
961.7002563476562,2002-01-14
977.4560546875,2002-01-15
976.5870361328125,2002-01-16
987.6281127929688,2002-01-17
986.2640991210938,2002-01-18
980.6810913085938,2002-01-22
957.72998046875,2002-01-23
959.9634399414062,2002-01-24
967.7791748046875,2002-01-25
951.1554565429688,2002-01-28
903.6410522460938,2002-01-29
884.411865234375,2002-01-30
919.8926391601562,2002-01-31
908.7275390625,2002-02-01
876.5960083007812,2002-02-04
870.2692260742188,2002-02-05
877.7127075195312,2002-02-06
882.178955078125,2002-02-07
918.0317993164062,2002-02-08
920.0165405273438,2002-02-11
917.6595458984375,2002-02-12
