CNC,Date
6.385000228881836,2006-02-06
6.597499847412109,2006-02-07
6.699999809265137,2006-02-08
6.635000228881836,2006-02-09
6.534999847412109,2006-02-10
6.434999942779541,2006-02-13
6.542500019073486,2006-02-14
6.630000114440918,2006-02-15
6.5,2006-02-16
6.622499942779541,2006-02-17
6.777500152587891,2006-02-21
6.894999980926514,2006-02-22
6.909999847412109,2006-02-23
6.96999979019165,2006-02-24
6.949999809265137,2006-02-27
6.837500095367432,2006-02-28
7.03249979019165,2006-03-01
7.15500020980835,2006-03-02
7.135000228881836,2006-03-03
6.957499980926514,2006-03-06
6.952499866485596,2006-03-07
7.070000171661377,2006-03-08
7.067500114440918,2006-03-09
7.202499866485596,2006-03-10
7.137499809265137,2006-03-13
7.25,2006-03-14
7.327499866485596,2006-03-15
7.3125,2006-03-16
7.114999771118164,2006-03-17
7.164999961853027,2006-03-20
7.03000020980835,2006-03-21
7.15749979019165,2006-03-22
7.152500152587891,2006-03-23
7.28000020980835,2006-03-24
7.275000095367432,2006-03-27
7.184999942779541,2006-03-28
7.192500114440918,2006-03-29
7.164999961853027,2006-03-30
7.292500019073486,2006-03-31
7.199999809265137,2006-04-03
7.267499923706055,2006-04-04
7.252500057220459,2006-04-05
7.175000190734863,2006-04-06
7.114999771118164,2006-04-07
7.137499809265137,2006-04-10
7.065000057220459,2006-04-11
7.21999979019165,2006-04-12
7.212500095367432,2006-04-13
7.119999885559082,2006-04-17
7.25,2006-04-18
7.262499809265137,2006-04-19
7.212500095367432,2006-04-20
7.065000057220459,2006-04-21
7.034999847412109,2006-04-24
6.684999942779541,2006-04-25
6.324999809265137,2006-04-26
6.152500152587891,2006-04-27
6.422500133514404,2006-04-28
6.25,2006-05-01
6.302499771118164,2006-05-02
6.257500171661377,2006-05-03
6.352499961853027,2006-05-04
6.380000114440918,2006-05-05
6.329999923706055,2006-05-08
6.277500152587891,2006-05-09
6.182499885559082,2006-05-10
6.052499771118164,2006-05-11
6.152500152587891,2006-05-12
6.184999942779541,2006-05-15
6.402500152587891,2006-05-16
6.434999942779541,2006-05-17
6.53000020980835,2006-05-18
6.684999942779541,2006-05-19
6.712500095367432,2006-05-22
6.627500057220459,2006-05-23
6.565000057220459,2006-05-24
6.552499771118164,2006-05-25
6.497499942779541,2006-05-26
6.5,2006-05-30
6.512499809265137,2006-05-31
6.597499847412109,2006-06-01
6.667500019073486,2006-06-02
6.514999866485596,2006-06-05
6.505000114440918,2006-06-06
6.579999923706055,2006-06-07
6.757500171661377,2006-06-08
7.027500152587891,2006-06-09
6.949999809265137,2006-06-12
6.90749979019165,2006-06-13
7.042500019073486,2006-06-14
7.054999828338623,2006-06-15
7.037499904632568,2006-06-16
6.90500020980835,2006-06-19
6.607500076293945,2006-06-20
6.127500057220459,2006-06-21
6.057499885559082,2006-06-22
6.199999809265137,2006-06-23
6.150000095367432,2006-06-26
5.942500114440918,2006-06-27
5.824999809265137,2006-06-28
5.985000133514404,2006-06-29
5.882500171661377,2006-06-30
5.940000057220459,2006-07-03
5.877500057220459,2006-07-05
5.837500095367432,2006-07-06
5.792500019073486,2006-07-07
5.882500171661377,2006-07-10
5.675000190734863,2006-07-11
5.497499942779541,2006-07-12
5.235000133514404,2006-07-13
5.127500057220459,2006-07-14
5.260000228881836,2006-07-17
3.4000000953674316,2006-07-18
3.7074999809265137,2006-07-19
3.680000066757202,2006-07-20
3.637500047683716,2006-07-21
3.7125000953674316,2006-07-24
3.990000009536743,2006-07-25
3.922499895095825,2006-07-26
3.8575000762939453,2006-07-27
3.9149999618530273,2006-07-28
4.0625,2006-07-31
3.9700000286102295,2006-08-01
4.042500019073486,2006-08-02
4.170000076293945,2006-08-03
4.337500095367432,2006-08-04
4.337500095367432,2006-08-07
4.327499866485596,2006-08-08
4.264999866485596,2006-08-09
4.3125,2006-08-10
4.272500038146973,2006-08-11
4.3125,2006-08-14
4.304999828338623,2006-08-15
4.412499904632568,2006-08-16
4.485000133514404,2006-08-17
4.512499809265137,2006-08-18
4.472499847412109,2006-08-21
4.482500076293945,2006-08-22
4.440000057220459,2006-08-23
4.472499847412109,2006-08-24
4.127500057220459,2006-08-25
3.9574999809265137,2006-08-28
3.8949999809265137,2006-08-29
3.940000057220459,2006-08-30
3.862499952316284,2006-08-31
3.8524999618530273,2006-09-01
3.7874999046325684,2006-09-05
3.762500047683716,2006-09-06
3.8125,2006-09-07
3.922499895095825,2006-09-08
4.052499771118164,2006-09-11
4.065000057220459,2006-09-12
4.087500095367432,2006-09-13
4.090000152587891,2006-09-14
4.059999942779541,2006-09-15
4.010000228881836,2006-09-18
4.074999809265137,2006-09-19
4.125,2006-09-20
4.074999809265137,2006-09-21
4.012499809265137,2006-09-22
4.070000171661377,2006-09-25
4.022500038146973,2006-09-26
4.010000228881836,2006-09-27
4.067500114440918,2006-09-28
4.110000133514404,2006-09-29
4.074999809265137,2006-10-02
4.065000057220459,2006-10-03
4.130000114440918,2006-10-04
4.184999942779541,2006-10-05
4.127500057220459,2006-10-06
4.260000228881836,2006-10-09
4.340000152587891,2006-10-10
4.357500076293945,2006-10-11
4.397500038146973,2006-10-12
4.349999904632568,2006-10-13
4.320000171661377,2006-10-16
4.322500228881836,2006-10-17
4.462500095367432,2006-10-18
4.420000076293945,2006-10-19
4.482500076293945,2006-10-20
4.5625,2006-10-23
5.775000095367432,2006-10-24
5.909999847412109,2006-10-25
6.199999809265137,2006-10-26
6.237500190734863,2006-10-27
6.170000076293945,2006-10-30
5.897500038146973,2006-10-31
5.724999904632568,2006-11-01
5.875,2006-11-02
