EQR,Date
22.893587112426758,2010-06-08
22.888118743896484,2010-06-09
24.196475982666016,2010-06-10
24.38807487487793,2010-06-11
24.754854202270508,2010-06-14
25.417251586914062,2010-06-15
25.283790588378906,2010-06-16
25.54848861694336,2010-06-17
25.234163284301758,2010-06-18
25.123876571655273,2010-06-21
24.180898666381836,2010-06-22
24.451114654541016,2010-06-23
23.68459701538086,2010-06-24
24.572425842285156,2010-06-25
24.202960968017578,2010-06-28
23.23793601989746,2010-06-29
22.962209701538086,2010-06-30
22.967729568481445,2010-07-01
22.427303314208984,2010-07-02
22.179161071777344,2010-07-06
23.453001022338867,2010-07-07
23.883127212524414,2010-07-08
24.291196823120117,2010-07-09
24.434572219848633,2010-07-12
24.941896438598633,2010-07-13
24.64411163330078,2010-07-14
24.70477867126465,2010-07-15
23.541223526000977,2010-07-16
24.065099716186523,2010-07-19
24.329795837402344,2010-07-20
23.62944984436035,2010-07-21
24.770954132080078,2010-07-22
24.89777946472168,2010-07-23
25.763545989990234,2010-07-26
25.609146118164062,2010-07-27
25.67532730102539,2010-07-28
24.930871963500977,2010-07-29
25.283790588378906,2010-07-30
26.099933624267578,2010-08-02
25.884876251220703,2010-08-03
25.81869888305664,2010-08-04
25.31688117980957,2010-08-05
25.283790588378906,2010-08-06
25.912446975708008,2010-08-09
25.962080001831055,2010-08-10
25.05219078063965,2010-08-11
24.633087158203125,2010-08-12
24.74889373779297,2010-08-13
24.74889373779297,2010-08-16
25.31137466430664,2010-08-17
25.338945388793945,2010-08-18
24.627574920654297,2010-08-19
24.73235321044922,2010-08-20
24.770954132080078,2010-08-23
24.599998474121094,2010-08-24
25.024612426757812,2010-08-25
24.80404281616211,2010-08-26
25.305850982666016,2010-08-27
24.925357818603516,2010-08-30
25.272769927978516,2010-08-31
26.381183624267578,2010-09-01
26.524553298950195,2010-09-02
26.943647384643555,2010-09-03
26.5852108001709,2010-09-07
26.612783432006836,2010-09-08
26.160598754882812,2010-09-09
26.26536750793457,2010-09-10
26.414262771606445,2010-09-13
26.4583740234375,2010-09-14
26.998796463012695,2010-09-15
27.06987190246582,2010-09-16
27.136503219604492,2010-09-17
28.030502319335938,2010-09-20
27.29198455810547,2010-09-21
27.23090362548828,2010-09-22
26.542356491088867,2010-09-23
27.353057861328125,2010-09-24
26.720048904418945,2010-09-27
26.68673324584961,2010-09-28
26.3146915435791,2010-09-29
26.414634704589844,2010-09-30
26.553455352783203,2010-10-01
26.781126022338867,2010-10-04
27.14760971069336,2010-10-05
26.9754695892334,2010-10-06
26.936601638793945,2010-10-07
27.00323486328125,2010-10-08
26.958810806274414,2010-10-11
27.475229263305664,2010-10-12
27.736202239990234,2010-10-13
27.630706787109375,2010-10-14
27.736202239990234,2010-10-15
28.13601303100586,2010-10-18
27.897241592407227,2010-10-19
28.602432250976562,2010-10-20
28.602432250976562,2010-10-21
28.224842071533203,2010-10-22
28.036052703857422,2010-10-25
27.847267150878906,2010-10-26
27.647354125976562,2010-10-27
27.06987190246582,2010-10-28
27.00323486328125,2010-10-29
27.169816970825195,2010-11-01
27.15316390991211,2010-11-02
27.119848251342773,2010-11-03
27.991641998291016,2010-11-04
28.23040771484375,2010-11-05
27.85835838317871,2010-11-08
26.88662338256836,2010-11-09
27.741762161254883,2010-11-10
27.49188232421875,2010-11-11
27.380828857421875,2010-11-12
27.319746017456055,2010-11-15
26.298025131225586,2010-11-16
26.82554054260254,2010-11-17
