MRVL,Date
12.987104415893555,2011-07-21
13.141406059265137,2011-07-22
13.107117652893066,2011-07-25
13.304279327392578,2011-07-26
12.892809867858887,2011-07-27
12.841375350952148,2011-07-28
12.704217910766602,2011-07-29
12.738507270812988,2011-08-01
12.23274040222168,2011-08-02
12.215595245361328,2011-08-03
11.53837776184082,2011-08-04
11.1611967086792,2011-08-05
10.252530097961426,2011-08-08
10.269669532775879,2011-08-09
10.23537826538086,2011-08-10
10.826872825622559,2011-08-11
10.784013748168945,2011-08-12
11.144051551818848,2011-08-15
11.092615127563477,2011-08-16
11.01546859741211,2011-08-17
10.261098861694336,2011-08-18
10.869734764099121,2011-08-19
10.766864776611328,2011-08-22
11.186914443969727,2011-08-23
11.20405387878418,2011-08-24
10.826872825622559,2011-08-25
11.04975414276123,2011-08-26
11.281208992004395,2011-08-29
11.332645416259766,2011-08-30
11.272637367248535,2011-08-31
11.1611967086792,2011-09-01
11.04975414276123,2011-09-02
10.998319625854492,2011-09-06
11.57266902923584,2011-09-07
11.512661933898926,2011-09-08
11.735542297363281,2011-09-09
12.33560848236084,2011-09-12
12.498480796813965,2011-09-13
12.68707275390625,2011-09-14
13.029966354370117,2011-09-15
13.004250526428223,2011-09-16
13.064257621765137,2011-09-19
12.875664710998535,2011-09-20
12.738507270812988,2011-09-21
12.489910125732422,2011-09-22
13.115690231323242,2011-09-23
13.158554077148438,2011-09-26
13.055683135986328,2011-09-27
12.764225959777832,2011-09-28
12.824233055114746,2011-09-29
12.447049140930176,2011-09-30
12.129873275756836,2011-10-03
12.472765922546387,2011-10-04
12.8585205078125,2011-10-05
13.227130889892578,2011-10-06
13.158554077148438,2011-10-07
13.432868957519531,2011-10-10
13.124265670776367,2011-10-11
12.952813148498535,2011-10-12
12.969961166381836,2011-10-13
12.841375350952148,2011-10-14
12.258453369140625,2011-10-17
12.481339454650879,2011-10-18
11.74411678314209,2011-10-19
11.418367385864258,2011-10-20
11.26406478881836,2011-10-21
11.829837799072266,2011-10-24
11.486944198608398,2011-10-25
11.70982551574707,2011-10-26
12.061293601989746,2011-10-27
12.078438758850098,2011-10-28
11.992714881896973,2011-10-31
11.589814186096191,2011-11-01
11.658390045166016,2011-11-02
11.915563583374023,2011-11-03
12.207023620605469,2011-11-04
12.33560848236084,2011-11-07
12.532768249511719,2011-11-08
12.09558391571045,2011-11-09
12.412761688232422,2011-11-10
12.789939880371094,2011-11-11
12.72136402130127,2011-11-14
12.927102088928223,2011-11-15
12.584205627441406,2011-11-16
11.795548439025879,2011-11-17
12.558486938476562,2011-11-18
12.327033996582031,2011-11-21
12.009858131408691,2011-11-22
11.47836971282959,2011-11-23
11.26406478881836,2011-11-25
11.469799041748047,2011-11-28
11.315498352050781,2011-11-29
12.104154586791992,2011-11-30
11.881270408630371,2011-12-01
