MCK,Date
123.46643829345703,2018-08-22
123.123779296875,2018-08-23
123.4188232421875,2018-08-24
124.03748321533203,2018-08-27
123.73291778564453,2018-08-28
123.73291778564453,2018-08-29
123.7138900756836,2018-08-30
122.91197204589844,2018-08-31
118.28189086914062,2018-09-04
117.83319091796875,2018-09-05
119.80931091308594,2018-09-06
123.85710144042969,2018-09-07
124.44895935058594,2018-09-10
124.18165588378906,2018-09-11
124.38215637207031,2018-09-12
123.73299407958984,2018-09-13
122.7305679321289,2018-09-14
125.8045654296875,2018-09-17
127.04561614990234,2018-09-18
128.18165588378906,2018-09-19
129.69007873535156,2018-09-20
128.830810546875,2018-09-21
126.6255874633789,2018-09-24
125.7472915649414,2018-09-25
125.97639465332031,2018-09-26
125.71865844726562,2018-09-27
126.63509368896484,2018-09-28
126.32010650634766,2018-10-01
126.52053833007812,2018-10-02
124.5826187133789,2018-10-03
126.26283264160156,2018-10-04
128.00027465820312,2018-10-05
129.88096618652344,2018-10-08
130.6351776123047,2018-10-09
129.35589599609375,2018-10-10
123.37977600097656,2018-10-11
124.85945129394531,2018-10-12
125.41315460205078,2018-10-15
127.38929748535156,2018-10-16
128.916748046875,2018-10-17
126.68283081054688,2018-10-18
126.38687133789062,2018-10-19
120.98355865478516,2018-10-22
121.51818084716797,2018-10-23
116.06707763671875,2018-10-24
116.45849609375,2018-10-25
113.02173614501953,2018-10-26
115.2938003540039,2018-10-29
118.4919204711914,2018-10-30
119.1028823852539,2018-10-31
123.23653411865234,2018-11-01
119.72341918945312,2018-11-02
121.35588836669922,2018-11-05
122.76878356933594,2018-11-06
126.70193481445312,2018-11-07
126.55873107910156,2018-11-08
124.87854766845703,2018-11-09
124.55398559570312,2018-11-12
124.24848937988281,2018-11-13
123.04561614990234,2018-11-14
121.69000244140625,2018-11-15
118.2723388671875,2018-11-16
120.46804809570312,2018-11-19
116.99311065673828,2018-11-20
116.2866439819336,2018-11-21
115.6661148071289,2018-11-23
115.1697006225586,2018-11-26
119.99072265625,2018-11-27
121.39408874511719,2018-11-28
121.25086212158203,2018-11-29
119.22075653076172,2018-11-30
121.7679672241211,2018-12-03
119.74745178222656,2018-12-04
121.04020690917969,2018-12-06
119.6421127319336,2018-12-07
117.88013458251953,2018-12-10
116.97041320800781,2018-12-11
118.10038757324219,2018-12-12
117.65032196044922,2018-12-13
111.71321105957031,2018-12-14
107.15504455566406,2018-12-17
104.55995178222656,2018-12-18
105.93888854980469,2018-12-19
105.20157623291016,2018-12-20
103.74597930908203,2018-12-21
103.64067840576172,2018-12-24
106.08252716064453,2018-12-26
106.35066223144531,2018-12-27
105.37391662597656,2018-12-28
105.78567504882812,2018-12-31
108.27543640136719,2019-01-02
108.15095520019531,2019-01-03
109.48199462890625,2019-01-04
110.46832275390625,2019-01-07
112.71866607666016,2019-01-08
113.245361328125,2019-01-09
116.86506652832031,2019-01-10
116.9800033569336,2019-01-11
116.52992248535156,2019-01-14
117.83224487304688,2019-01-15
118.35892486572266,2019-01-16
119.11541748046875,2019-01-17
121.29875946044922,2019-01-18
120.53266906738281,2019-01-22
120.7720718383789,2019-01-23
120.1496353149414,2019-01-24
121.66263580322266,2019-01-25
120.43692016601562,2019-01-28
119.9772720336914,2019-01-29
119.67082977294922,2019-01-30
122.81172943115234,2019-01-31
121.9307632446289,2019-02-01
126.65168762207031,2019-02-04
126.1824951171875,2019-02-05
126.9964370727539,2019-02-06
125.06208038330078,2019-02-07
123.04155731201172,2019-02-08
