COST,Date
7.883166790008545,1989-05-17
7.883166790008545,1989-05-18
7.988555908203125,1989-05-19
7.883166790008545,1989-05-22
7.630227088928223,1989-05-23
7.524837493896484,1989-05-24
7.503759860992432,1989-05-25
7.54591178894043,1989-05-26
7.503759860992432,1989-05-30
7.503759860992432,1989-05-31
7.672384262084961,1989-06-01
7.946396827697754,1989-06-02
7.798851013183594,1989-06-05
7.630227088928223,1989-06-06
7.7566962242126465,1989-06-07
7.777774810791016,1989-06-08
7.735619068145752,1989-06-09
7.71453857421875,1989-06-12
7.609149932861328,1989-06-13
7.651308059692383,1989-06-14
7.71453857421875,1989-06-15
7.967477798461914,1989-06-16
8.009629249572754,1989-06-19
6.913572788238525,1989-06-20
6.997886657714844,1989-06-21
6.787106990814209,1989-06-22
6.787106990814209,1989-06-23
7.082197666168213,1989-06-26
7.124358654022217,1989-06-27
7.082197666168213,1989-06-28
6.871419429779053,1989-06-29
6.74495267868042,1989-06-30
6.660639762878418,1989-07-03
6.702796936035156,1989-07-05
6.913572788238525,1989-07-06
7.124358654022217,1989-07-07
7.1665143966674805,1989-07-10
7.082197666168213,1989-07-11
7.208669662475586,1989-07-12
7.187592029571533,1989-07-13
7.25082540512085,1989-07-14
7.124358654022217,1989-07-17
7.103279113769531,1989-07-18
7.1665143966674805,1989-07-19
7.082197666168213,1989-07-20
7.082197666168213,1989-07-21
6.997886657714844,1989-07-24
7.082197666168213,1989-07-25
7.040045261383057,1989-07-26
7.124358654022217,1989-07-27
7.082197666168213,1989-07-28
7.377292156219482,1989-07-31
7.25082540512085,1989-08-01
7.2929792404174805,1989-08-02
7.377292156219482,1989-08-03
7.082197666168213,1989-08-04
7.124358654022217,1989-08-07
7.1665143966674805,1989-08-08
7.187592029571533,1989-08-09
7.208669662475586,1989-08-10
7.187592029571533,1989-08-11
7.208669662475586,1989-08-14
7.208669662475586,1989-08-15
7.271903038024902,1989-08-16
7.377292156219482,1989-08-17
7.2929792404174805,1989-08-18
7.208669662475586,1989-08-21
7.2929792404174805,1989-08-22
7.1665143966674805,1989-08-23
7.208669662475586,1989-08-24
7.208669662475586,1989-08-25
7.25082540512085,1989-08-28
7.4194488525390625,1989-08-29
7.4194488525390625,1989-08-30
7.503759860992432,1989-08-31
7.461606025695801,1989-09-01
7.461606025695801,1989-09-05
7.398370265960693,1989-09-06
7.4194488525390625,1989-09-07
7.4194488525390625,1989-09-08
7.4194488525390625,1989-09-11
7.461606025695801,1989-09-12
7.4194488525390625,1989-09-13
7.4194488525390625,1989-09-14
7.377292156219482,1989-09-15
7.461606025695801,1989-09-18
7.4405293464660645,1989-09-19
7.461606025695801,1989-09-20
7.187592029571533,1989-09-21
7.145432472229004,1989-09-22
7.124358654022217,1989-09-25
7.1665143966674805,1989-09-26
7.25082540512085,1989-09-27
7.2929792404174805,1989-09-28
7.25082540512085,1989-09-29
7.1665143966674805,1989-10-02
7.082197666168213,1989-10-03
7.124358654022217,1989-10-04
7.25082540512085,1989-10-05
7.335134983062744,1989-10-06
7.4194488525390625,1989-10-09
7.54591178894043,1989-10-10
7.524837493896484,1989-10-11
7.588072776794434,1989-10-12
7.377292156219482,1989-10-13
7.040045261383057,1989-10-16
7.4194488525390625,1989-10-17
7.630227088928223,1989-10-18
8.051787376403809,1989-10-19
7.967477798461914,1989-10-20
7.967477798461914,1989-10-23
8.009629249572754,1989-10-24
7.967477798461914,1989-10-25
7.71453857421875,1989-10-26
7.588072776794434,1989-10-27
7.54591178894043,1989-10-30
7.4405293464660645,1989-10-31
7.461606025695801,1989-11-01
7.461606025695801,1989-11-02
7.461606025695801,1989-11-03
7.335134983062744,1989-11-06
7.187592029571533,1989-11-07
7.335134983062744,1989-11-08
7.356211185455322,1989-11-09
7.461606025695801,1989-11-10
7.377292156219482,1989-11-13
7.377292156219482,1989-11-14
7.672384262084961,1989-11-15
8.009629249572754,1989-11-16
8.30472183227539,1989-11-17
8.220406532287598,1989-11-20
8.17824935913086,1989-11-21
8.009629249572754,1989-11-22
8.136099815368652,1989-11-24
8.093944549560547,1989-11-27
7.925321102142334,1989-11-28
7.883166790008545,1989-11-29
7.883166790008545,1989-11-30
8.051787376403809,1989-12-01
8.093944549560547,1989-12-04
8.093944549560547,1989-12-05
7.7566962242126465,1989-12-06
7.71453857421875,1989-12-07
7.630227088928223,1989-12-08
7.54591178894043,1989-12-11
7.461606025695801,1989-12-12
7.54591178894043,1989-12-13
7.461606025695801,1989-12-14
7.4194488525390625,1989-12-15
7.1665143966674805,1989-12-18
7.1665143966674805,1989-12-19
7.4194488525390625,1989-12-20
7.588072776794434,1989-12-21
7.672384262084961,1989-12-22
7.672384262084961,1989-12-26
7.7566962242126465,1989-12-27
7.798851013183594,1989-12-28
7.798851013183594,1989-12-29
7.841006278991699,1990-01-02
7.967477798461914,1990-01-03
8.051787376403809,1990-01-04
8.093944549560547,1990-01-05
7.946396827697754,1990-01-08
7.883166790008545,1990-01-09
7.71453857421875,1990-01-10
7.4194488525390625,1990-01-11
6.997886657714844,1990-01-12
6.913572788238525,1990-01-15
7.103279113769531,1990-01-16
6.892499923706055,1990-01-17
6.787106990814209,1990-01-18
6.808187961578369,1990-01-19
6.492018222808838,1990-01-22
6.6184868812561035,1990-01-23
