ALLY,Date
18.960664749145508,2017-03-07
18.865219116210938,2017-03-08
18.908599853515625,2017-03-09
19.073476791381836,2017-03-10
19.073476791381836,2017-03-13
18.82182502746582,2017-03-14
18.813148498535156,2017-03-15
18.73505401611328,2017-03-16
18.353233337402344,2017-03-17
18.32719612121582,2017-03-20
17.79786491394043,2017-03-21
17.693735122680664,2017-03-22
17.485464096069336,2017-03-23
17.320589065551758,2017-03-24
16.930097579956055,2017-03-27
17.21645736694336,2017-03-28
17.450754165649414,2017-03-29
17.79786491394043,2017-03-30
17.641664505004883,2017-03-31
17.337947845458984,2017-04-03
16.921419143676758,2017-04-04
16.55695915222168,2017-04-05
17.008195877075195,2017-04-06
16.990842819213867,2017-04-07
16.990842819213867,2017-04-10
17.094974517822266,2017-04-11
16.990842819213867,2017-04-12
16.63505744934082,2017-04-13
16.834636688232422,2017-04-17
16.69580078125,2017-04-18
16.817291259765625,2017-04-19
17.337947845458984,2017-04-20
17.294559478759766,2017-04-21
17.763153076171875,2017-04-24
17.962738037109375,2017-04-25
18.33587646484375,2017-04-26
17.560626983642578,2017-04-27
17.24704933166504,2017-04-28
17.21220588684082,2017-05-01
17.369001388549805,2017-05-02
17.107677459716797,2017-05-03
17.046709060668945,2017-05-04
17.16864776611328,2017-05-05
17.342866897583008,2017-05-08
17.203493118286133,2017-05-09
16.98573112487793,2017-05-10
16.402114868164062,2017-05-11
16.297592163085938,2017-05-12
16.663433074951172,2017-05-15
16.524066925048828,2017-05-16
15.87076473236084,2017-05-17
15.931742668151855,2017-05-18
16.367273330688477,2017-05-19
16.43695831298828,2017-05-22
16.524066925048828,2017-05-23
16.602460861206055,2017-05-24
16.646015167236328,2017-05-25
16.646015167236328,2017-05-26
16.30629539489746,2017-05-30
16.149505615234375,2017-05-31
16.428247451782227,2017-06-01
16.471803665161133,2017-06-02
16.463092803955078,2017-06-05
16.57632827758789,2017-06-06
16.619882583618164,2017-06-07
16.55890655517578,2017-06-08
17.151229858398438,2017-06-09
16.977020263671875,2017-06-12
17.36028289794922,2017-06-13
17.41254997253418,2017-06-14
17.86550521850586,2017-06-15
17.743555068969727,2017-06-16
17.595474243164062,2017-06-19
17.473526000976562,2017-06-20
17.464815139770508,2017-06-21
17.760974884033203,2017-06-22
17.891637802124023,2017-06-23
18.083271026611328,2017-06-26
18.283615112304688,2017-06-27
18.45782470703125,2017-06-28
18.475248336791992,2017-06-29
18.20521354675293,2017-06-30
18.579776763916016,2017-07-03
18.562353134155273,2017-07-05
18.10940170288086,2017-07-06
18.13553237915039,2017-07-07
18.118104934692383,2017-07-10
18.20521354675293,2017-07-11
18.623327255249023,2017-07-12
18.736568450927734,2017-07-13
18.693010330200195,2017-07-14
18.257482528686523,2017-07-17
18.196504592895508,2017-07-18
18.67559242248535,2017-07-19
18.753986358642578,2017-07-20
19.1024112701416,2017-07-21
19.05014991760254,2017-07-24
19.189516067504883,2017-07-25
18.910776138305664,2017-07-26
19.842817306518555,2017-07-27
19.869089126586914,2017-07-28
19.825298309326172,2017-07-31
19.939138412475586,2017-08-01
19.94789695739746,2017-08-02
19.834056854248047,2017-08-03
19.895355224609375,2017-08-04
19.982921600341797,2017-08-07
20.02671241760254,2017-08-08
19.93038558959961,2017-08-09
19.369951248168945,2017-08-10
19.27362632751465,2017-08-11
19.790279388427734,2017-08-14
19.825298309326172,2017-08-15
19.781517028808594,2017-08-16
19.396221160888672,2017-08-17
19.2911376953125,2017-08-18
19.203571319580078,2017-08-21
19.317411422729492,2017-08-22
19.728975296020508,2017-08-23
19.76400375366211,2017-08-24
19.921627044677734,2017-08-25
19.440004348754883,2017-08-28
19.34368324279785,2017-08-29
19.58011245727539,2017-08-30
19.790279388427734,2017-08-31
19.912870407104492,2017-09-01
19.632652282714844,2017-09-05
19.755247116088867,2017-09-06
19.32616424560547,2017-09-07
19.588871002197266,2017-09-08
19.702707290649414,2017-09-11
20.02671241760254,2017-09-12
19.834056854248047,2017-09-13
19.475027084350586,2017-09-14
19.772764205932617,2017-09-15
20.0529727935791,2017-09-18
20.114273071289062,2017-09-19
20.114273071289062,2017-09-20
20.219356536865234,2017-09-21
20.42076301574707,2017-09-22
20.37697982788086,2017-09-25
20.43827247619629,2017-09-26
20.86735725402832,2017-09-27
20.91989517211914,2017-09-28
21.243896484375,2017-09-29
21.384008407592773,2017-10-02
21.445302963256836,2017-10-03
21.243896484375,2017-10-04
21.22638702392578,2017-10-05
21.366493225097656,2017-10-06
21.331466674804688,2017-10-09
21.436548233032227,2017-10-10
21.32270622253418,2017-10-11
20.98119354248047,2017-10-12
21.156330108642578,2017-10-13
21.497840881347656,2017-10-16
21.3752498626709,2017-10-17
21.436548233032227,2017-10-18
21.471576690673828,2017-10-19
21.795574188232422,2017-10-20
21.559144973754883,2017-10-23
21.567903518676758,2017-10-24
22.478599548339844,2017-10-25
22.78508949279785,2017-10-26
23.012765884399414,2017-10-27
22.968976974487305,2017-10-30
22.986574172973633,2017-10-31
23.18010711669922,2017-11-01
23.347251892089844,2017-11-02
23.470413208007812,2017-11-03
23.61996078491211,2017-11-06
23.276872634887695,2017-11-07
22.625892639160156,2017-11-08
22.432361602783203,2017-11-09
22.493940353393555,2017-11-10
22.564315795898438,2017-11-13
22.731454849243164,2017-11-14
23.074541091918945,2017-11-15
23.24168586730957,2017-11-16
23.461610794067383,2017-11-17
23.44401741027832,2017-11-20
23.215293884277344,2017-11-21
23.19769859313965,2017-11-22
23.329654693603516,2017-11-24
